MAIN	KEGG-Metabolism	Name	KO	KO-Name	EC
Folding_sorting_degradation	03050	Proteasome  	K03033	['PSMD3,', 'RPN3;', '26S', 'proteasome', 'regulatory', 'subunit', 'N3\n']	-
Folding_sorting_degradation	03050	Proteasome  	K06693	['PSMD9,', 'RPN4;', '26S', 'proteasome', 'regulatory', 'subunit', 'N4\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03035	['PSMD12,', 'RPN5;', '26S', 'proteasome', 'regulatory', 'subunit', 'N5\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03036	['PSMD11,', 'RPN6;', '26S', 'proteasome', 'regulatory', 'subunit', 'N6\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03037	['PSMD6,', 'RPN7;', '26S', 'proteasome', 'regulatory', 'subunit', 'N7\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03038	['PSMD7,', 'RPN8;', '26S', 'proteasome', 'regulatory', 'subunit', 'N8\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03039	['PSMD13,', 'RPN9;', '26S', 'proteasome', 'regulatory', 'subunit', 'N9\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03030	['PSMD14,', 'RPN11,', 'POH1;', '26S', 'proteasome', 'regulatory', 'subunit', 'N11\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03031	['PSMD8,', 'RPN12;', '26S', 'proteasome', 'regulatory', 'subunit', 'N12\n']	-
Folding_sorting_degradation	03050	Proteasome  	K10881	['SHFM1,', 'DSS1,', 'RPN15;', '26', 'proteasome', 'complex', 'subunit', 'DSS1\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03029	['PSMD4,', 'RPN10;', '26S', 'proteasome', 'regulatory', 'subunit', 'N10\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03028	['PSMD2,', 'RPN1;', '26S', 'proteasome', 'regulatory', 'subunit', 'N1\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03032	['PSMD1,', 'RPN2;', '26S', 'proteasome', 'regulatory', 'subunit', 'N2\n']	-
Folding_sorting_degradation	03050	Proteasome  	K06691	['RPN13;', '26S', 'proteasome', 'regulatory', 'subunit', 'N13\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03061	['PSMC2,', 'RPT1;', '26S', 'proteasome', 'regulatory', 'subunit', 'T1\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03062	['PSMC1,', 'RPT2;', '26S', 'proteasome', 'regulatory', 'subunit', 'T2\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03066	['PSMC5,', 'RPT6;', '26S', 'proteasome', 'regulatory', 'subunit', 'T6\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03064	['PSMC6,', 'RPT4;', '26S', 'proteasome', 'regulatory', 'subunit', 'T4\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03065	['PSMC3,', 'RPT5;', '26S', 'proteasome', 'regulatory', 'subunit', 'T5\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03063	['PSMC4,', 'RPT3;', '26S', 'proteasome', 'regulatory', 'subunit', 'T3\n']	-
Folding_sorting_degradation	03050	Proteasome  	K06696	['PSME1;', 'proteasome', 'activator', 'subunit', '1', '(PA28', 'alpha)\n']	-
Folding_sorting_degradation	03050	Proteasome  	K06697	['PSME2;', 'proteasome', 'activator', 'subunit', '2', '(PA28', 'beta)\n']	-
Folding_sorting_degradation	03050	Proteasome  	K06698	['PSME3;', 'proteasome', 'activator', 'subunit', '3', '(PA28', 'gamma)\n']	-
Folding_sorting_degradation	03050	Proteasome  	K06699	['PSME4;', 'proteasome', 'activator', 'subunit', '4\n']	-
Folding_sorting_degradation	03050	Proteasome  	K13527	['mpa;', 'proteasome-associated', 'ATPase\n']	-
Folding_sorting_degradation	03050	Proteasome  	K03420	['psmR;', 'proteasome', 'regulatory', 'subunit\n']	-
Folding_sorting_degradation	03050	Proteasome  	K02730	PSMA6; 20S proteasome subunit alpha 1 	3.4.25.1
Folding_sorting_degradation	03050	Proteasome  	K02726	PSMA2; 20S proteasome subunit alpha 2 	3.4.25.1
Folding_sorting_degradation	03050	Proteasome  	K02728	PSMA4; 20S proteasome subunit alpha 3 	3.4.25.1
Folding_sorting_degradation	03050	Proteasome  	K02731	PSMA7; 20S proteasome subunit alpha 4 	3.4.25.1
Folding_sorting_degradation	03050	Proteasome  	K02729	PSMA5; 20S proteasome subunit alpha 5 	3.4.25.1
Folding_sorting_degradation	03050	Proteasome  	K02725	PSMA1; 20S proteasome subunit alpha 6 	3.4.25.1
Folding_sorting_degradation	03050	Proteasome  	K02727	PSMA3; 20S proteasome subunit alpha 7 	3.4.25.1
Folding_sorting_degradation	03050	Proteasome  	K02738	PSMB6; 20S proteasome subunit beta 1 	3.4.25.1
Folding_sorting_degradation	03050	Proteasome  	K02739	PSMB7; 20S proteasome subunit beta 2 	3.4.25.1
Folding_sorting_degradation	03050	Proteasome  	K02735	PSMB3; 20S proteasome subunit beta 3 	3.4.25.1
Folding_sorting_degradation	03050	Proteasome  	K02734	PSMB2; 20S proteasome subunit beta 4 	3.4.25.1
Folding_sorting_degradation	03050	Proteasome  	K02737	PSMB5; 20S proteasome subunit beta 5 	3.4.25.1
