,Control_1_B,Control_2_B,Control_3_B,AA_1_B,AA_2_B,AA_3_B,AAAb_1_B,AAAb_2_B
EX_cpd00001_m,12.713046552724453,11.64137893520181,12.502148540989165,10.4786541108337,10.888120660255227,12.384321404836907,13.203803613915438,12.318333591533715
EX_cpd00418_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00079107233218007,0.00038067938781287104
EX_cpd00075_m,0.00018290205100470605,-0.0005342930502435604,-0.0004817836645226993,-0.0005973240155064698,-0.0006965137141268559,-0.0005356405043129319,-0.000861326422236033,-0.000923118371431574
EX_cpd00009_m,-0.028222689679223808,-0.04877713321356042,-0.1271262895289098,-0.34176310561235324,-0.5346971358174072,-0.04798545402870253,-0.15353294912055615,-0.17080707654246297
EX_cpd00023_m,-0.0003960778674530081,-0.0016241929990619497,-0.0004937706855099765,-0.00036534691022111176,-0.0003757090331175575,-0.0024852558379183515,-0.0007115422388437631,-0.0033961428458705663
EX_cpd00027_m,-0.0009715008170167926,-0.0038347247306660323,-0.0009820602797365038,-0.0009800416317415296,-0.0009804504674460093,-0.0018358541654504824,-0.0009814367922844445,-0.0005284424598260423
EX_cpd00030_m,1.3386140085189902e-13,-2.812494254085248e-06,-2.0776220303236977e-15,2.392240971103051e-13,7.76499170587927e-11,-1.8381513769780732e-06,1.8127000699271989e-13,1.881654487507329e-08
EX_cpd00034_m,6.470151736504632e-14,-9.49303460773757e-10,6.049070700387895e-15,1.9315762717264075e-15,8.910199561607675e-14,7.242607839125341e-14,1.7194451342456038e-13,-6.287188789608633e-10
EX_cpd00039_m,-0.0002683559829303718,-0.001169857306968138,-0.00026368624085073504,-0.00021523720717760077,-0.00024003542031064766,-0.0004293021457379338,-0.0002969794104356175,-0.005429734370307067
EX_cpd00041_m,-0.0002992753075919539,-0.0024128238015189386,-0.000352510899809094,-0.0005417013527631126,-0.000588835944521823,-0.0025709557921298008,-0.0007610923683070239,-0.010915756944972961
EX_cpd00048_m,-0.6831604901712133,-0.11513897989086361,-0.16629480317620848,-0.11594781119773458,-0.037877240549665105,-0.47506471827046526,-0.3227561239546952,-0.06669201994983823
EX_cpd00051_m,-0.0002704191732042169,-0.007750302915949399,-0.0002902451470936555,-0.00020761551766502394,-0.00024321425303653794,-0.001524929770028542,-0.0003587869659088641,-0.004474992764709319
EX_cpd00053_m,-4.661488585161369e-05,-0.0030862821425547376,-5.3715580141348084e-05,-3.6395713924132654e-05,-4.072314051826299e-05,-0.0002462713574033714,1.7172549033124351e-06,8.031804626693686e-07
EX_cpd00064_m,-5.553087545067696e-05,-0.005907656775344516,-5.839248920041721e-05,-4.2990596072330004e-05,-4.657288931031378e-05,-0.0014390281144417273,-5.100525951209099e-05,-0.01553812640147261
EX_cpd00098_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_cpd00105_m,-0.0007680876152725818,-0.0005306679171046443,-0.0004947249510935982,-0.000514191708117076,-0.0002256929282926437,-0.0006209049957400584,-0.000187834882420565,5.2814836733222625e-05
EX_cpd00107_m,-0.0006464772538649265,-0.0009724644475483564,-0.0006787137671184049,-0.0008354465740706792,-0.0009601342099585839,-0.0011132320454219655,-0.0012339297273164167,-0.008873518265131638
EX_cpd00108_m,-0.0008043053971086844,-0.0006732639448733064,-0.0005616324076434843,-0.0005958863568868177,-0.00033410574602512266,-0.000688547342544827,-0.0002960714411987765,8.296721595766818e-05
EX_cpd00118_m,-0.00020476261695551168,-0.0011430525865855877,0.00026735158724511265,0.0056472576256100665,0.0018341470282697558,-0.0002720651695015258,0.0011421703297622016,-0.00020440003761029724
EX_cpd00119_m,-5.277882154699986e-05,-5.675667017200096e-05,-5.059677043431989e-05,-3.4695723349417005e-05,-3.76595606342984e-05,-0.00011816506943658279,-6.829071280569705e-05,-0.00041327479485393033
EX_cpd00129_m,-0.0002093880817462164,-0.0005793315289564759,-0.00023548601339117535,-0.00016446863637015156,-0.0001725265470539226,-0.0006999530598265378,-0.0002775671191385733,-0.010349961681853297
EX_cpd00149_m,-6.875023582813699e-09,-1.5077827888162865e-05,1.6012510028769984e-10,1.3553008087853297e-12,-2.3627787937876084e-10,-3.86435654284514e-06,-3.410721283622345e-10,-0.0002539560128816517
EX_cpd00154_m,-0.000882505930371866,-0.000810238456547291,-0.0008186166166307505,-0.0007940357059116981,-0.0008562039611948789,-0.000838089306695812,-0.0008728338452428014,-0.0003141821256227869
EX_cpd00156_m,-0.00044855470217414634,-0.0005854147401932638,-0.0005837127319969679,-0.0009224404018642954,-0.0010664654404730926,-0.0015846260399704447,-0.0012782297426884952,-0.004535490399634338
EX_cpd00161_m,-0.0002977018534578034,-0.00162295601850805,-0.00034998996281620376,-0.0002518798454815939,-0.0003041709662852388,-0.00037122107952849526,-0.00042104535967675815,-0.0018097153539515117
