,compartments,growth_rate
Control_1_B,maxbin2_megahit_017,0.04151360203504629
Control_1_B,maxbin2_spades_001,0.016708401401942758
Control_1_B,maxbin2_spades_006,0.4121687226455154
Control_1_B,medium,
Control_1_B,metabat1_megahit_20,0.1828124703461487
Control_1_B,metabat1_spades_2,0.015540544651871501
Control_1_B,metabat2_megahit_14,0.03180951821303065
Control_1_B,metabat2_megahit_24,1.1526312639180134
Control_1_B,metabat2_megahit_33,0.5335067571188944
Control_1_B,metabat2_spades_15,1.9330333673313154
Control_1_B,metabat2_spades_18,0.2014979838459508
Control_1_B,metabat2_spades_25,1.1474756533211765
Control_1_B,vamb_megahit_295,0.04766212260669712
Control_1_B,vamb_megahit_39,0.020437496191651985
Control_1_B,vamb_megahit_488,0.014740946099563482
Control_1_B,vamb_megahit_77,0.014988456303780533
Control_1_B,vamb_spades_1,0.18647106663109456
Control_1_B,vamb_spades_1056,0.025918697562245914
Control_1_B,vamb_spades_108,0.12806559034474468
Control_1_B,vamb_spades_21,0.021780005479635378
Control_1_B,vamb_spades_222,0.04510466465046844
Control_1_B,vamb_spades_267,0.05144534909272949
Control_1_B,vamb_spades_286,0.21694112341292315
Control_1_B,vamb_spades_298,0.04377307704488017
Control_1_B,vamb_spades_6,0.01206522082280881
Control_1_B,vamb_spades_812,0.03198687407144682
Control_1_B,vamb_spades_857,0.05034263393729295
Control_2_B,concoct_megahit_6,0.02144327227163341
Control_2_B,maxbin2_megahit_017,0.03660577330705585
Control_2_B,maxbin2_spades_001,0.03994130119250654
Control_2_B,maxbin2_spades_006,0.18822853903281803
Control_2_B,medium,
Control_2_B,metabat1_megahit_20,0.3988631276299452
Control_2_B,metabat1_spades_2,0.013037089574440237
Control_2_B,metabat2_megahit_24,0.19423464365290025
Control_2_B,metabat2_megahit_33,0.5806533205514463
Control_2_B,metabat2_spades_15,1.7879324999734916
Control_2_B,metabat2_spades_18,0.688367517289086
Control_2_B,metabat2_spades_25,0.39628647992894744
Control_2_B,vamb_megahit_295,0.03832236554079578
Control_2_B,vamb_megahit_488,0.022722760115851268
Control_2_B,vamb_megahit_77,0.017232765948729977
Control_2_B,vamb_spades_1,0.21243557071407457
Control_2_B,vamb_spades_1056,0.023887314313996797
Control_2_B,vamb_spades_108,0.07759779134832007
Control_2_B,vamb_spades_21,0.035195937627291236
Control_2_B,vamb_spades_222,0.027740817598965083
Control_2_B,vamb_spades_267,0.0787592237721773
Control_2_B,vamb_spades_286,0.2959800377075301
Control_2_B,vamb_spades_298,0.03620804387065115
Control_2_B,vamb_spades_812,0.029258643259967968
Control_2_B,vamb_spades_857,0.06151237516059318
Control_3_B,concoct_megahit_6,0.12774551981576476
Control_3_B,maxbin2_megahit_017,0.02823093298510465
Control_3_B,maxbin2_spades_001,0.004157363255330479
Control_3_B,maxbin2_spades_006,0.1603298835894948
Control_3_B,medium,
Control_3_B,metabat1_megahit_20,0.486168466745602
Control_3_B,metabat1_spades_2,0.017038739765639785
Control_3_B,metabat2_megahit_24,0.21369350812409055
Control_3_B,metabat2_megahit_33,0.4788275424787212
Control_3_B,metabat2_spades_15,2.6981403415139646
Control_3_B,metabat2_spades_18,0.5835311667081364
Control_3_B,metabat2_spades_25,1.6248504674243833
Control_3_B,vamb_megahit_295,0.07491083662147212
Control_3_B,vamb_megahit_488,0.019853599325190763
Control_3_B,vamb_megahit_77,0.019307719501237313
Control_3_B,vamb_spades_1,0.2698089637822423
Control_3_B,vamb_spades_1056,0.03192046717737
Control_3_B,vamb_spades_108,0.05900528282072985
Control_3_B,vamb_spades_21,0.02023076618888923
Control_3_B,vamb_spades_222,0.04355028825194746
Control_3_B,vamb_spades_267,0.07179686659220111
Control_3_B,vamb_spades_286,0.419665932146413
Control_3_B,vamb_spades_298,0.09506233818394619
Control_3_B,vamb_spades_812,0.03690510738871265
Control_3_B,vamb_spades_857,0.0866459093694583
AA_1_B,concoct_megahit_6,0.013397102488686263
AA_1_B,maxbin2_megahit_017,0.05908916590692227
AA_1_B,maxbin2_spades_001,0.048998041187536444
AA_1_B,maxbin2_spades_006,0.044810652323772134
AA_1_B,medium,
AA_1_B,metabat1_megahit_20,0.15170499143426333
AA_1_B,metabat1_spades_2,0.010651267145699852
AA_1_B,metabat2_megahit_14,0.0188995286021574
AA_1_B,metabat2_megahit_24,0.29127217725139753
AA_1_B,metabat2_megahit_33,0.17467077028941128
AA_1_B,metabat2_spades_15,0.730883765583333
AA_1_B,metabat2_spades_18,0.19756002726752403
AA_1_B,metabat2_spades_25,0.37401279821064326
AA_1_B,vamb_megahit_295,0.017724247873335833
AA_1_B,vamb_megahit_488,0.03168215196165627
AA_1_B,vamb_megahit_77,0.012744442205918543
AA_1_B,vamb_spades_1,0.02503443855891698
AA_1_B,vamb_spades_1056,0.014185446520681691
AA_1_B,vamb_spades_108,0.10970352004262361
AA_1_B,vamb_spades_21,0.038884345406215944
AA_1_B,vamb_spades_222,0.023256410431622767
AA_1_B,vamb_spades_267,0.056621113636526936
AA_1_B,vamb_spades_286,0.06855152803901327
AA_1_B,vamb_spades_6,0.01285060418143296
AA_1_B,vamb_spades_812,0.014135616847565662
AA_1_B,vamb_spades_857,0.06353514864999811
AA_2_B,maxbin2_megahit_017,0.02598722414391819
AA_2_B,maxbin2_spades_001,0.022086676034793622
AA_2_B,maxbin2_spades_006,0.02719361291310305
AA_2_B,medium,
AA_2_B,metabat1_megahit_20,0.18135589527501236
AA_2_B,metabat2_megahit_24,0.04502050495119887
AA_2_B,metabat2_megahit_33,0.17396046968127668
AA_2_B,metabat2_spades_15,1.065767796710511
AA_2_B,metabat2_spades_18,0.2785521549296123
AA_2_B,metabat2_spades_25,1.0231687780690102
AA_2_B,vamb_megahit_295,0.015269365398933006
AA_2_B,vamb_megahit_39,0.03591902301263084
AA_2_B,vamb_megahit_488,0.014296233872083302
AA_2_B,vamb_spades_1,0.020169797532402424
AA_2_B,vamb_spades_1056,0.012185369325736647
AA_2_B,vamb_spades_108,0.15024961530274034
AA_2_B,vamb_spades_21,0.01416387421052937
AA_2_B,vamb_spades_222,0.0118018375200505
AA_2_B,vamb_spades_267,0.14674785895431772
AA_2_B,vamb_spades_286,0.09356787053251882
AA_2_B,vamb_spades_812,0.012889041323114168
AA_2_B,vamb_spades_857,0.03386015050383594
AA_3_B,maxbin2_megahit_017,0.03350017288010238
AA_3_B,maxbin2_spades_001,0.013160763091417966
AA_3_B,maxbin2_spades_006,0.029939942576605656
AA_3_B,medium,
AA_3_B,metabat1_megahit_20,0.19597453320537112
AA_3_B,metabat1_spades_2,0.0115462008978702
AA_3_B,metabat2_megahit_24,0.38491163334506584
AA_3_B,metabat2_megahit_33,0.14867123121914688
AA_3_B,metabat2_spades_15,1.7762136871486405
AA_3_B,metabat2_spades_18,0.26979087662395207
AA_3_B,metabat2_spades_25,0.6882725131986176
AA_3_B,vamb_megahit_295,0.015299381141820828
AA_3_B,vamb_megahit_488,0.020666464451316795
AA_3_B,vamb_spades_1,0.021754010211429507
AA_3_B,vamb_spades_1056,0.012493098695818603
AA_3_B,vamb_spades_108,0.10993525687736405
AA_3_B,vamb_spades_21,0.03811899242794736
AA_3_B,vamb_spades_222,0.0332788811864604
AA_3_B,vamb_spades_267,0.034740001231145304
AA_3_B,vamb_spades_286,0.06582907757317462
AA_3_B,vamb_spades_812,0.014933902387218978
AA_3_B,vamb_spades_857,0.12013091371391792
AAAb_1_B,concoct_megahit_6,0.10745393986218844
AAAb_1_B,maxbin2_megahit_017,0.07427077182512855
AAAb_1_B,maxbin2_spades_001,0.05915244548194846
AAAb_1_B,maxbin2_spades_006,0.15279180337670367
AAAb_1_B,maxbin2_spades_028,0.019017837846987504
AAAb_1_B,medium,
AAAb_1_B,metabat1_megahit_20,0.17323566813862476
AAAb_1_B,metabat1_spades_2,0.011051044237817942
AAAb_1_B,metabat2_megahit_14,0.014135844990213465
AAAb_1_B,metabat2_megahit_24,0.16870307005740484
AAAb_1_B,metabat2_megahit_33,0.30469435304793
AAAb_1_B,metabat2_spades_15,1.010709663838808
AAAb_1_B,metabat2_spades_18,1.2614428721554911
AAAb_1_B,metabat2_spades_25,0.3934356042744149
AAAb_1_B,vamb_megahit_39,0.010605360854999786
AAAb_1_B,vamb_megahit_488,0.04162341191756023
AAAb_1_B,vamb_spades_1,0.03037499592049622
AAAb_1_B,vamb_spades_1056,0.020202611663864486
AAAb_1_B,vamb_spades_108,0.11662048410453067
AAAb_1_B,vamb_spades_21,0.059305081558228744
AAAb_1_B,vamb_spades_222,0.020812667489463917
AAAb_1_B,vamb_spades_267,0.14233905944141223
AAAb_1_B,vamb_spades_286,0.13307558889292534
AAAb_1_B,vamb_spades_6,0.013271392438155852
AAAb_1_B,vamb_spades_812,0.012853146517473688
AAAb_1_B,vamb_spades_857,0.06197291428146929
AAAb_2_B,concoct_megahit_6,0.012729160592044247
AAAb_2_B,maxbin2_megahit_017,0.03351139170844469
AAAb_2_B,maxbin2_spades_001,0.0018406836757349047
AAAb_2_B,maxbin2_spades_006,0.0648031084467894
AAAb_2_B,maxbin2_spades_028,0.02266248659191315
AAAb_2_B,medium,
AAAb_2_B,metabat1_megahit_20,0.2479622904755617
AAAb_2_B,metabat1_spades_2,0.010251788974071262
AAAb_2_B,metabat2_megahit_14,0.01888957728593156
AAAb_2_B,metabat2_megahit_24,0.24648887162762861
AAAb_2_B,metabat2_megahit_33,0.2285846922839995
AAAb_2_B,metabat2_spades_15,1.2692685212605286
AAAb_2_B,metabat2_spades_18,0.7319892329148778
AAAb_2_B,metabat2_spades_25,0.45916748026145804
AAAb_2_B,vamb_megahit_39,0.008778340209311706
AAAb_2_B,vamb_megahit_488,0.03868519958590377
AAAb_2_B,vamb_spades_1056,0.019994175396402157
AAAb_2_B,vamb_spades_108,0.1639484496357967
AAAb_2_B,vamb_spades_21,0.05080668644795139
AAAb_2_B,vamb_spades_222,0.014185374769950031
AAAb_2_B,vamb_spades_267,0.11435178934338154
AAAb_2_B,vamb_spades_286,0.17369746963604765
AAAb_2_B,vamb_spades_298,0.007301730664393948
AAAb_2_B,vamb_spades_6,0.010116486166595435
AAAb_2_B,vamb_spades_812,0.01442000239304525
AAAb_2_B,vamb_spades_857,0.0880963893202694
