,Control_1_B,Control_2_B,Control_3_B,AA_1_B,AA_2_B,AA_3_B,AAAb_1_B,AAAb_2_B
EX_cpd00001_m,11.005332952290104,11.324617126377523,12.340396708607983,9.566028346322467,10.10248774262267,11.359360484665354,12.91557187206433,13.08633744904417
EX_cpd00418_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00047743639085579074,0.0003120595227167006
EX_cpd00075_m,-0.0008087398150070724,-0.0007435155456716543,-0.0007637502244542517,-0.000616424533409127,-0.0008056006445574399,-0.000999999421901179,-0.0009352654533811892,-0.0009517542772598401
EX_cpd00009_m,-0.056260139335651695,-0.7643043997418105,-0.821782221454876,-0.38345844177866617,-0.07627451863169646,-0.045239969755590075,-0.9013121364899872,-0.7966557803014124
EX_cpd00023_m,-0.00039642188244642316,-0.0004598592762743034,-0.0004960260505772967,-0.00036603299481909946,-0.0003755633709554508,-0.0004984544310192923,-0.0007102776670104723,-0.0006676242657917161
EX_cpd00027_m,-0.0009769365619121766,-0.0009827915422294291,-0.0009800696153912994,-0.0009691172522191862,-0.0009800045635467362,-0.0009811537610013605,-0.0009786510659026263,-0.000982337367815073
EX_cpd00030_m,-6.280708353363356e-06,-5.173817658354956e-12,2.807965366053115e-14,1.592965158346942e-12,-1.514919578235942e-11,-3.6583183470972783e-06,1.0400965296674886e-12,2.7950700661342856e-12
EX_cpd00034_m,-6.070163440301037e-06,2.1605412046749903e-13,-2.3476631330784873e-16,-1.7625957127777333e-16,-1.7520779205951694e-10,-3.779388290798152e-06,-6.749282089939854e-10,5.262846613416951e-15
EX_cpd00039_m,-0.000268155165327253,-0.0002485563412858166,-0.00026236634494652397,-0.00021592705251375315,-0.00023996263203945601,-0.0002523547988549237,-0.000294890120229204,-0.0002931788584216774
EX_cpd00041_m,-0.0002993352409980253,-0.0002980625851274017,-0.00035354593640383336,-0.0005428683552803951,-0.000588562559915733,-0.0006419063119077477,-0.000761984673028613,-0.0007075096577074824
EX_cpd00048_m,-0.13496745512948835,-0.015893186675651223,-0.021845001828370215,-0.021595555441904755,-0.05355148398331839,-0.17686199939249414,-0.14789273314383486,-0.02551681912629239
EX_cpd00051_m,-0.0002709526755649821,-0.00022166633716255203,-0.00029268946942447163,-0.00020807031553806001,-0.00024318604888247503,-0.00027436317942248703,-0.0003597424579714693,-0.0002915995210530422
EX_cpd00053_m,-4.6726991712674396e-05,-4.3009020310266375e-05,-5.4143645407726225e-05,-3.641772147124342e-05,-4.073950737908987e-05,-4.912392898662602e-05,1.5602581295055317e-06,8.415210518083408e-07
EX_cpd00064_m,-5.555320476813662e-05,-5.164063351121309e-05,-5.85365401384933e-05,-4.3089234810209166e-05,-4.656964625354516e-05,-4.635067516233935e-05,-5.100671629229017e-05,-5.107140646085922e-05
EX_cpd00098_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_cpd00105_m,-0.0007045620326816189,-0.0008337409387469127,-0.000870846904641114,-0.0004238274932290356,-0.0007937240182841752,-0.000906392653962536,-0.0008928040815533399,-0.0005515537320335184
EX_cpd00107_m,-0.0006462332529188605,-0.0005727566560121858,-0.0006750519379101449,-0.00083553456884396,-0.0009590984555691982,-0.001005269277615782,-0.001229654432863438,-0.0010920567566529485
EX_cpd00108_m,-0.0007081704786505898,-0.0008293948384277361,-0.0008810749643438247,-0.00039542938906883627,-0.0007777676053575558,-0.0009184080619038504,-0.0008914703390558508,-0.0005407623089079324
EX_cpd00118_m,0.009792441318025587,0.003528529483235166,-0.00019752495252676333,0.006571827078268541,0.0006768448357929212,-0.0009984332867767247,-0.00040441563485642176,-0.0005218926449547688
EX_cpd00119_m,-5.3236713978607434e-05,-3.5534311303632214e-05,-5.10646579871057e-05,-3.459906672270911e-05,-3.7279193277873164e-05,-4.048446703812647e-05,-6.861710002209474e-05,-5.481392953709032e-05
EX_cpd00129_m,-0.0002091929985788931,-0.00018467964181937676,-0.00023404685291188065,-0.00016420131161789988,-0.00017249067513305734,-0.00020966514552316973,-0.00027469432066771056,-0.0002557602177843155
EX_cpd00149_m,-1.365479248812911e-06,1.7837569688069741e-09,7.857567388643121e-12,1.6073658459712803e-10,1.6486131589650459e-09,-3.8819551614398705e-05,-0.0003962006312147793,-1.6493653015324865e-05
EX_cpd00154_m,-0.0008783579739197898,-0.0008694710715747048,-0.0009095720248316398,-0.0007617623146123127,-0.0008767075934018769,-0.0009183289027841098,-0.000922315286003432,-0.0008640487183604058
EX_cpd00156_m,-0.0004480128543028734,-0.0004949042799086393,-0.000581010165284051,-0.0009224815340855081,-0.001065571311294457,-0.0010964343670162703,-0.001267364727393919,-0.0012002305397615328
EX_cpd00161_m,-0.00029736798664295406,-0.0002844168401969219,-0.0003494609558359374,-0.00025100169488694583,-0.000304085011035356,-0.00031931666484992646,-0.0004184230694238828,-0.0003756062203070478
EX_cpd00179_m,-0.0008970212593002139,-0.0009744193229752068,-0.0009455756745919226,-0.000782130522814676,-0.0009707606421570036,-0.0009717401852325197,-0.0008989230152921463,-0.0008186962099442554
EX_cpd00209_m,-0.00094816996653553,-0.0008070427841215068,-0.0009358654799616275,-0.0009236287753816864,-0.0008664583188460963,-0.0009999994765167678,-0.0009659944136185198,-0.0009261391935478233
EX_cpd00210_m,-0.0008870364680278692,-0.0008709237661730056,-0.0009246059144264286,-0.000906120913636,-0.0008729236493925808,-0.000999998794885436,-0.0009275544120143874,-0.0009441083333273416
EX_cpd00224_m,-0.0008551243914401752,-0.0008810885011778341,-0.0009152675488870581,-0.000773765792733258,-0.0008313717123413474,-0.0009187268899077252,-0.000919966272087869,-0.000805364082091926
EX_cpd00244_m,-7.238533045705605e-05,-8.273717168417205e-05,-0.00010055441960473162,-3.0334904650667456e-06,-5.545971602849684e-07,-8.417043212333134e-05,-0.00017739208991924822,-0.00012556701313205112
EX_cpd00264_m,0.00891257331733369,0.00396696927456244,0.0019450127813320092,0.004381458305270833,0.0029728471097644196,-2.4588589991198656e-06,0.0014020003038443729,0.0028643071518670554
EX_cpd00268_m,-0.0007921084529722165,-1.9377548845300224e-16,-7.067230041813243e-15,4.643975961489087e-12,1.8439265111255447e-14,-0.0005556540387862748,-2.521439358604915e-13,8.067536071238329e-13
EX_cpd00305_m,0.010042088015722317,0.006506384117113472,0.004304728040194147,0.011827830657355697,0.006751117662054078,-6.556677302212034e-07,0.003315819304438742,0.004326399867225307
EX_cpd00322_m,-0.00040736051276913326,-0.00037200975537168954,-0.0004359625010822938,-0.00029824429988766074,-0.0003592994649207622,-0.00037599299339484947,-0.0004768427803735093,-0.00042668492870972396
EX_cpd00266_m,-3.096497962388556e-16,-1.8243703217722857e-15,1.7228375011179033e-15,1.68469392342524e-12,9.297689414087245e-14,-4.0132072093821176e-13,-5.712563906787342e-17,-1.1689830211580015e-17
EX_cpd00540_m,-7.99290261637262e-05,-6.97269394784302e-06,-2.0846008649099773e-06,-5.28802107785952e-06,-5.966361186497357e-06,-9.264217068619615e-06,-1.3332153760405059e-05,-1.853277661432484e-12
EX_cpd08305_m,-1.2618733503176124e-16,-4.5891357155758955e-15,-1.3392694673021324e-15,1.6854243060377415e-12,-2.446170011767623e-13,-9.624985260230392e-13,8.34021890539777e-19,-4.8354291279215954e-17
EX_cpd10516_m,-4.992157966936578e-05,-3.105708165707301e-06,-2.389739057254947e-06,-3.6656518316727595e-06,-3.7827494906616094e-06,-3.8027301870569485e-06,-9.119794056358662e-06,-1.8834000460768524e-06
EX_cpd00067_m,0.0,0.0,0.0,0.0,0.0,-0.0978173648008844,0.0,0.0
EX_cpd00092_m,-0.0004291556216900437,0.14959908541872402,0.0003355077280353747,0.007234520870517867,0.00020340915312404674,-0.0009999990738057023,-2.9533923676248975e-05,-0.0007962384906385137
EX_cpd00367_m,-0.0008509822218294022,-0.0007983346411350178,-0.0008900334736971494,-0.0004975510603315164,-0.0008425213289809524,-0.0009972629408470726,-0.0008921032232763366,-0.0009559463507277585
EX_cpd00249_m,-0.0007940642034943574,-0.0006974624403565666,-0.0008013039723870907,-0.0002661162546157003,-0.0007546595743414437,-0.0009979429185341462,-0.00085878025212385,-0.0009265447701316178
EX_cpd00309_m,3.170924318430038e-05,0.006630705950738643,-0.0001805375820315286,0.00758965081319591,0.0085637625735073,-0.001000011770862716,0.00038677988117824524,-0.0007415124600620021
EX_cpd00311_m,-0.000865218878661758,-0.0007978878140899454,-0.0008977563371896646,-0.00042658116523150436,-0.0008250283609543899,-0.0010012896595108858,-0.0008953908110939483,-0.0009760110110173803
EX_cpd00130_m,-0.0006160191166970641,-0.0004414386174871332,-0.0007264758929723669,0.0011704841041981773,-0.00029893034662054063,-0.0009069338507642355,-0.0008133133511495361,-0.0009223084647165258
EX_cpd00971_m,-1.2566619887884342e-08,-8.076172877942279e-11,5.368568544196842e-14,5.897310022820434e-11,-4.7706471281635244e-12,3.005302342701586e-11,1.7127955791947688e-12,3.4392592815953207e-12
EX_cpd00060_m,-0.00010561778029410308,-8.835870348978758e-05,-0.00011136265868497463,-8.827476649148899e-05,-9.731445562144813e-05,-0.00010449325170944925,-0.00012605681823185083,-0.0001071824779380122
EX_cpd00104_m,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.097825482349983e-16,-1.760492511256989e-16
EX_cpd00220_m,0.0017040833380223158,0.001136781962110893,0.0007530129190403286,0.003889948145051537,0.0011276212038824826,-5.260502803477104e-06,0.000581563194201791,0.0006181858476630962
EX_cpd00084_m,0.0,0.0,0.0,-2.6352512821022143e-05,-1.632800173175689e-05,-2.867184772557092e-05,-3.95753366804675e-05,-2.98371506018526e-05
EX_cpd00069_m,-6.822839822984505e-05,-6.384613192403696e-05,-6.932908537618591e-05,-5.4301224456639385e-05,-6.895307099123904e-05,-7.088245659991298e-05,-0.00010408983732571661,-8.754648230185795e-05
EX_cpd00066_m,-0.00031799820479385505,-0.00028513750601148275,-0.00034253313560821173,-0.0002248251568189822,-0.000288220558069712,-0.00028471814567420647,-0.00043053643162750747,-0.00036157899278303285
EX_cpd00246_m,-0.0008420372612416294,0.00027698672964193705,0.00013110022445404768,0.0027052323607173606,-0.000644346530246101,-0.0010075807606098712,-0.0005359245361268306,-0.0009707239394910055
EX_cpd00182_m,-0.0008667456831466681,-0.0007172216091179129,-0.0008548713667490618,-0.0001805523431966452,-0.0008152540735893617,-0.0010006574129692311,-0.0008864414276115082,-0.0009758460408733961
EX_cpd00013_m,-0.39046248797135874,-0.4434719377738996,-0.6243888562557434,-0.22048604970396113,-0.0461750586136116,-0.34036778041590576,-0.9081357872438544,-0.5876794094481945
EX_cpd00020_m,4.590979624330416e-05,0.001343543390112778,0.0016038906987139168,0.006929048917407199,0.0012095134496485915,-0.0008494610633187349,0.00021551183172485722,-0.000652627809478723
EX_cpd00139_m,-0.0009481099582964933,-0.0009663317763542569,-0.0009432129644980289,-0.000915060880696156,-0.0009138144210778147,-0.000930897004650192,-0.0009450048497569826,-0.0009602211824956322
EX_cpd00029_m,-0.011839694087397988,-0.025968139808976224,-0.05836861699480627,-0.030406103533932714,-0.0036479371285726364,0.00037876131950047374,0.0004274425860601958,-0.004799342043866059
EX_cpd04098_m,2.884643069422364e-18,-8.388749435200258e-19,7.700422900459413e-18,1.4455491158557637e-14,-4.406988470905863e-19,6.9816492346343585e-15,7.28582790491657e-16,2.2421242470433555e-15
EX_cpd00063_m,-6.044187661608884e-06,2.0256510986090042e-13,-6.689720849575665e-17,-3.7950031302672706e-16,-1.7562854244846284e-10,-3.7715116389988927e-06,4.4701850645400607e-10,-4.540746237580557e-18
EX_cpd01012_m,-1.318492481118595e-16,-1.0530438913676926e-13,-4.464740520503281e-17,-1.8630565999179817e-17,-1.682655690254662e-14,6.370363074329111e-15,5.094335081180163e-16,4.800400451616113e-16
EX_cpd00058_m,-6.0646710093332565e-06,2.598622611918661e-13,-1.1719866641714163e-15,2.702867432436069e-14,-1.7441689629137194e-10,-3.769850697891849e-06,-8.192879306579162e-10,1.0494512391918022e-14
EX_cpd10515_m,-4.982302690042984e-05,-4.476429349810591e-06,-3.965474110629963e-06,-4.8466915047305145e-06,-7.466117177259639e-06,-8.940290445351725e-06,6.425993809626206e-06,-2.0753511038984655e-06
EX_cpd00047_m,0.0025348622913572427,0.0005450734847833871,-0.0003187645095783509,0.003228498509256106,0.0013693145609785518,0.00027755505152082804,-0.0004970299720028493,-0.0008437843761681663
EX_cpd00082_m,-0.000692991749655399,-0.0008112691798879865,-0.0008239433127782969,-0.00018623506198139775,-0.0007869855205341848,-0.0009067837658383515,-0.0007478508599114402,-0.0004354772080467084
