,compartments,growth_rate
Control_1_B,maxbin2_megahit_017,0.00361184916804795
Control_1_B,maxbin2_spades_001,0.14602728025595768
Control_1_B,maxbin2_spades_006,0.0019893321300136165
Control_1_B,medium,
Control_1_B,metabat1_megahit_20,0.000953480199044033
Control_1_B,metabat1_spades_2,0.006930532340365855
Control_1_B,metabat2_megahit_14,0.0010160237729448405
Control_1_B,metabat2_megahit_24,0.0025950418661045884
Control_1_B,metabat2_megahit_33,0.0015457470446600908
Control_1_B,metabat2_spades_15,0.00443038091466764
Control_1_B,metabat2_spades_18,0.001979391021289009
Control_1_B,metabat2_spades_25,0.002734774710033993
Control_1_B,vamb_megahit_295,0.002007841732793743
Control_1_B,vamb_megahit_39,0.0026575579433279406
Control_1_B,vamb_megahit_488,0.0015593865665883442
Control_1_B,vamb_megahit_77,0.005485028367320343
Control_1_B,vamb_spades_1,0.0026783610079350083
Control_1_B,vamb_spades_1056,0.004830668055333869
Control_1_B,vamb_spades_108,0.004313677562481919
Control_1_B,vamb_spades_21,0.00572749758653542
Control_1_B,vamb_spades_222,0.0011135745813631583
Control_1_B,vamb_spades_267,0.0028532160081239225
Control_1_B,vamb_spades_286,0.0034683061054611654
Control_1_B,vamb_spades_298,0.004283750767969559
Control_1_B,vamb_spades_6,0.0026737910497047677
Control_1_B,vamb_spades_812,0.004307110560652824
Control_1_B,vamb_spades_857,0.004321855597173599
Control_2_B,concoct_megahit_6,0.004398958121067532
Control_2_B,maxbin2_megahit_017,0.0029830219378635067
Control_2_B,maxbin2_spades_001,0.11751892493506623
Control_2_B,maxbin2_spades_006,0.0019009124048387546
Control_2_B,medium,
Control_2_B,metabat1_megahit_20,0.0014183969629873367
Control_2_B,metabat1_spades_2,0.006735827874270621
Control_2_B,metabat2_megahit_24,0.0005131008364170569
Control_2_B,metabat2_megahit_33,0.001311476469174787
Control_2_B,metabat2_spades_15,0.0032746399546065533
Control_2_B,metabat2_spades_18,0.002540289373888853
Control_2_B,metabat2_spades_25,0.0010033095395433345
Control_2_B,vamb_megahit_295,0.002229408376353457
Control_2_B,vamb_megahit_488,0.001595675047899836
Control_2_B,vamb_megahit_77,0.005703574472258596
Control_2_B,vamb_spades_1,0.0018387798904929548
Control_2_B,vamb_spades_1056,0.004906573384151132
Control_2_B,vamb_spades_108,0.004384128638358116
Control_2_B,vamb_spades_21,0.0037299598292052745
Control_2_B,vamb_spades_222,0.0006996281162677708
Control_2_B,vamb_spades_267,0.002379579356310653
Control_2_B,vamb_spades_286,0.003019854428543557
Control_2_B,vamb_spades_298,0.004071825342362354
Control_2_B,vamb_spades_812,0.0035313139313286933
Control_2_B,vamb_spades_857,0.0024830917886426796
Control_3_B,concoct_megahit_6,0.00609260498298806
Control_3_B,maxbin2_megahit_017,0.003771891896588947
Control_3_B,maxbin2_spades_001,0.11443648108877431
Control_3_B,maxbin2_spades_006,0.0020899783082834688
Control_3_B,medium,
Control_3_B,metabat1_megahit_20,0.0011974521137721693
Control_3_B,metabat1_spades_2,0.004997773062461846
Control_3_B,metabat2_megahit_24,0.0003983880705816805
Control_3_B,metabat2_megahit_33,0.0008724822232863875
Control_3_B,metabat2_spades_15,0.0033049711146361147
Control_3_B,metabat2_spades_18,0.002262006913635985
Control_3_B,metabat2_spades_25,0.0021113027531818674
Control_3_B,vamb_megahit_295,0.002889924201857797
Control_3_B,vamb_megahit_488,0.00177692750510812
Control_3_B,vamb_megahit_77,0.008457719988760689
Control_3_B,vamb_spades_1,0.002566130055109615
Control_3_B,vamb_spades_1056,0.006256364761452703
Control_3_B,vamb_spades_108,0.00344915659200719
Control_3_B,vamb_spades_21,0.005035835260025741
Control_3_B,vamb_spades_222,0.0009184153673636269
Control_3_B,vamb_spades_267,0.0035757354369806674
Control_3_B,vamb_spades_286,0.003098517712104601
Control_3_B,vamb_spades_298,0.005817154567205499
Control_3_B,vamb_spades_812,0.0035181957704534866
Control_3_B,vamb_spades_857,0.004047072302714079
AA_1_B,concoct_megahit_6,0.004031466229707779
AA_1_B,maxbin2_megahit_017,0.003678195430179965
AA_1_B,maxbin2_spades_001,0.14909193135357834
AA_1_B,maxbin2_spades_006,0.001667497729366211
AA_1_B,medium,
AA_1_B,metabat1_megahit_20,0.0011515897618740692
AA_1_B,metabat1_spades_2,0.005905709678330887
AA_1_B,metabat2_megahit_14,0.0009080492376042968
AA_1_B,metabat2_megahit_24,0.0014576381719511654
AA_1_B,metabat2_megahit_33,0.0011451288635140513
AA_1_B,metabat2_spades_15,0.005636488630608423
AA_1_B,metabat2_spades_18,0.0018826411846533813
AA_1_B,metabat2_spades_25,0.0022530925417190597
AA_1_B,vamb_megahit_295,0.001922303480686663
AA_1_B,vamb_megahit_488,0.0014271519285138545
AA_1_B,vamb_megahit_77,0.009763434333055687
AA_1_B,vamb_spades_1,0.0017652101514228089
AA_1_B,vamb_spades_1056,0.004545815846622971
AA_1_B,vamb_spades_108,0.0032505387264077706
AA_1_B,vamb_spades_21,0.0040306662614633185
AA_1_B,vamb_spades_222,0.0009395517983265173
AA_1_B,vamb_spades_267,0.0023890672679930855
AA_1_B,vamb_spades_286,0.0027985613793039934
AA_1_B,vamb_spades_6,0.0025717284069940835
AA_1_B,vamb_spades_812,0.003548772525256284
AA_1_B,vamb_spades_857,0.0025152459573760796
AA_2_B,maxbin2_megahit_017,0.004095689849004865
AA_2_B,maxbin2_spades_001,0.1382941969027356
AA_2_B,maxbin2_spades_006,0.0020814845988334396
AA_2_B,medium,
AA_2_B,metabat1_megahit_20,0.0014535400561663536
AA_2_B,metabat2_megahit_24,0.0003871718602404545
AA_2_B,metabat2_megahit_33,0.0011016455648431274
AA_2_B,metabat2_spades_15,0.005283442754469286
AA_2_B,metabat2_spades_18,0.002492222819427087
AA_2_B,metabat2_spades_25,0.004978603580653494
AA_2_B,vamb_megahit_295,0.0027663158084491168
AA_2_B,vamb_megahit_39,0.002630271970121827
AA_2_B,vamb_megahit_488,0.001810951266457523
AA_2_B,vamb_spades_1,0.002057434096224034
AA_2_B,vamb_spades_1056,0.006644497277499855
AA_2_B,vamb_spades_108,0.005188362878598165
AA_2_B,vamb_spades_21,0.0044349438933258415
AA_2_B,vamb_spades_222,0.0006967986735862153
AA_2_B,vamb_spades_267,0.003176260151685501
AA_2_B,vamb_spades_286,0.004014441045054798
AA_2_B,vamb_spades_812,0.004154594118897738
AA_2_B,vamb_spades_857,0.003127845992623697
AA_3_B,maxbin2_megahit_017,0.0030750564516257937
AA_3_B,maxbin2_spades_001,0.14751800369405557
AA_3_B,maxbin2_spades_006,0.0015564963942957275
AA_3_B,medium,
AA_3_B,metabat1_megahit_20,0.001086330268236586
AA_3_B,metabat1_spades_2,0.005183279066913957
AA_3_B,metabat2_megahit_24,0.00152024202203284
AA_3_B,metabat2_megahit_33,0.0011683481126989377
AA_3_B,metabat2_spades_15,0.007051969610381631
AA_3_B,metabat2_spades_18,0.0019897506734347366
AA_3_B,metabat2_spades_25,0.002810093751686771
AA_3_B,vamb_megahit_295,0.0017605871234522587
AA_3_B,vamb_megahit_488,0.0013412362804119044
AA_3_B,vamb_spades_1,0.002178255698299237
AA_3_B,vamb_spades_1056,0.0039686503832459105
AA_3_B,vamb_spades_108,0.003734513618859463
AA_3_B,vamb_spades_21,0.005077492594349539
AA_3_B,vamb_spades_222,0.0008889251897002271
AA_3_B,vamb_spades_267,0.003153074461769608
AA_3_B,vamb_spades_286,0.0027534693221589594
AA_3_B,vamb_spades_812,0.0037407402756637355
AA_3_B,vamb_spades_857,0.0028334958681560745
AAAb_1_B,concoct_megahit_6,0.006017767127701712
AAAb_1_B,maxbin2_megahit_017,0.004536115768843019
AAAb_1_B,maxbin2_spades_001,0.16167980411515853
AAAb_1_B,maxbin2_spades_006,0.0022367166959860515
AAAb_1_B,maxbin2_spades_028,0.004742790848071273
AAAb_1_B,medium,
AAAb_1_B,metabat1_megahit_20,0.0017684172926681655
AAAb_1_B,metabat1_spades_2,0.005102684246905023
AAAb_1_B,metabat2_megahit_14,0.0010272752328033756
AAAb_1_B,metabat2_megahit_24,0.0010048269623510568
AAAb_1_B,metabat2_megahit_33,0.0020357156983503585
AAAb_1_B,metabat2_spades_15,0.00563682560275094
AAAb_1_B,metabat2_spades_18,0.007130504059574729
AAAb_1_B,metabat2_spades_25,0.002204228035687465
AAAb_1_B,vamb_megahit_39,0.002831329552878213
AAAb_1_B,vamb_megahit_488,0.0016078156323712357
AAAb_1_B,vamb_spades_1,0.002210493145415828
AAAb_1_B,vamb_spades_1056,0.007163357217917537
AAAb_1_B,vamb_spades_108,0.004498544778252453
AAAb_1_B,vamb_spades_21,0.004888582294824249
AAAb_1_B,vamb_spades_222,0.0013480782544560946
AAAb_1_B,vamb_spades_267,0.0036802682584897665
AAAb_1_B,vamb_spades_286,0.004144251951025371
AAAb_1_B,vamb_spades_6,0.003524918105913708
AAAb_1_B,vamb_spades_812,0.004508727295137578
AAAb_1_B,vamb_spades_857,0.0031091548938474134
AAAb_2_B,concoct_megahit_6,0.0032335839133201044
AAAb_2_B,maxbin2_megahit_017,0.0031821460835098733
AAAb_2_B,maxbin2_spades_001,0.18431099413581645
AAAb_2_B,maxbin2_spades_006,0.0023859899414891343
AAAb_2_B,maxbin2_spades_028,0.003468998669093012
AAAb_2_B,medium,
AAAb_2_B,metabat1_megahit_20,0.0031470640190010978
