,compartments,0
Control_1_B,maxbin2_megahit_017,4.797143293142907e-07
Control_1_B,maxbin2_spades_001,1.954483088538944e-06
Control_1_B,maxbin2_spades_006,2.0708979257370045e-08
Control_1_B,medium,
Control_1_B,metabat1_megahit_20,1.0284389669053293e-07
Control_1_B,metabat1_spades_2,1.0247372606518184e-05
Control_1_B,metabat2_megahit_14,9.723389924375154e-07
Control_1_B,metabat2_megahit_24,1.3593994715230749e-12
Control_1_B,metabat2_megahit_33,2.5603246197112504e-08
Control_1_B,metabat2_spades_15,2.401023186297434e-13
Control_1_B,metabat2_spades_18,9.946465230732513e-08
Control_1_B,metabat2_spades_25,4.834775176006116e-09
Control_1_B,vamb_megahit_295,3.744509459764815e-07
Control_1_B,vamb_megahit_39,1.7806752229332154e-06
Control_1_B,vamb_megahit_488,1.4108769288645455e-05
Control_1_B,vamb_megahit_77,1.8843365485369145e-05
Control_1_B,vamb_spades_1,1.1942975961497353e-07
Control_1_B,vamb_spades_1056,1.213625363961306e-06
Control_1_B,vamb_spades_108,1.36463057771866e-07
Control_1_B,vamb_spades_21,3.0686409420142833e-06
Control_1_B,vamb_spades_222,6.108902324286378e-07
Control_1_B,vamb_spades_267,3.640133696039759e-07
Control_1_B,vamb_spades_286,8.53455915020904e-08
Control_1_B,vamb_spades_298,4.298665409094118e-07
Control_1_B,vamb_spades_6,0.00019687612143045368
Control_1_B,vamb_spades_812,1.2246424415071216e-06
Control_1_B,vamb_spades_857,3.6126507026302333e-07
Control_2_B,concoct_megahit_6,0.0035310955041405667
Control_2_B,maxbin2_megahit_017,0.005384145234990195
Control_2_B,maxbin2_spades_001,0.03696096727356248
Control_2_B,maxbin2_spades_006,0.0038374311359076446
Control_2_B,medium,
Control_2_B,metabat1_megahit_20,0.008040010718191026
Control_2_B,metabat1_spades_2,0.006207866396253736
Control_2_B,metabat2_megahit_24,0.003160679450686738
Control_2_B,metabat2_megahit_33,0.00707411252870092
Control_2_B,metabat2_spades_15,0.005907751327237947
Control_2_B,metabat2_spades_18,0.007765525239685977
Control_2_B,metabat2_spades_25,5.2245757337942215e-05
Control_2_B,vamb_megahit_295,0.004954695654436622
Control_2_B,vamb_megahit_488,0.0074101418702604656
Control_2_B,vamb_megahit_77,0.005368025147259043
Control_2_B,vamb_spades_1,0.0017804933785663334
Control_2_B,vamb_spades_1056,0.003184649027988364
Control_2_B,vamb_spades_108,0.0032513872040770947
Control_2_B,vamb_spades_21,0.006518545873843701
Control_2_B,vamb_spades_222,0.008147636301007575
Control_2_B,vamb_spades_267,0.003506467562668377
Control_2_B,vamb_spades_286,0.004061819268036664
Control_2_B,vamb_spades_298,0.006033335320770309
Control_2_B,vamb_spades_812,0.004556895852326197
Control_2_B,vamb_spades_857,0.003779728960775979
Control_3_B,concoct_megahit_6,1.1965943600364652e-12
Control_3_B,maxbin2_megahit_017,2.3352187103958774e-12
Control_3_B,maxbin2_spades_001,0.003538900513723414
Control_3_B,maxbin2_spades_006,3.1317003654840437e-13
Control_3_B,medium,
Control_3_B,metabat1_megahit_20,0.0
Control_3_B,metabat1_spades_2,0.0004739312573992621
Control_3_B,metabat2_megahit_24,1.891468747140933e-12
Control_3_B,metabat2_megahit_33,0.0
Control_3_B,metabat2_spades_15,0.0
Control_3_B,metabat2_spades_18,0.0
Control_3_B,metabat2_spades_25,0.0
Control_3_B,vamb_megahit_295,1.2392083635563795e-12
Control_3_B,vamb_megahit_488,6.997616454387804e-12
Control_3_B,vamb_megahit_77,9.17867880492196e-12
Control_3_B,vamb_spades_1,8.922595311764798e-13
Control_3_B,vamb_spades_1056,1.5457660234131555e-12
Control_3_B,vamb_spades_108,9.13320334790187e-13
Control_3_B,vamb_spades_21,5.622655282450016e-08
Control_3_B,vamb_spades_222,1.2721676391442998e-12
Control_3_B,vamb_spades_267,6.671757491267598e-13
Control_3_B,vamb_spades_286,0.0
Control_3_B,vamb_spades_298,9.806096762179453e-13
Control_3_B,vamb_spades_812,1.845535049809967e-12
Control_3_B,vamb_spades_857,5.620118931069822e-13
AA_1_B,concoct_megahit_6,0.0
AA_1_B,maxbin2_megahit_017,0.0
AA_1_B,maxbin2_spades_001,0.04777099091657612
AA_1_B,maxbin2_spades_006,0.0
AA_1_B,medium,
AA_1_B,metabat1_megahit_20,0.0
AA_1_B,metabat1_spades_2,0.0
AA_1_B,metabat2_megahit_14,0.0
AA_1_B,metabat2_megahit_24,0.0
AA_1_B,metabat2_megahit_33,0.0
AA_1_B,metabat2_spades_15,0.0
AA_1_B,metabat2_spades_18,0.0
AA_1_B,metabat2_spades_25,0.0
AA_1_B,vamb_megahit_295,0.0
AA_1_B,vamb_megahit_488,0.0
AA_1_B,vamb_megahit_77,0.0
AA_1_B,vamb_spades_1,0.0
AA_1_B,vamb_spades_1056,0.0
AA_1_B,vamb_spades_108,0.0
AA_1_B,vamb_spades_21,0.0
AA_1_B,vamb_spades_222,0.0
AA_1_B,vamb_spades_267,0.0
AA_1_B,vamb_spades_286,0.0
AA_1_B,vamb_spades_6,0.0
AA_1_B,vamb_spades_812,0.0
AA_1_B,vamb_spades_857,0.0
AA_2_B,maxbin2_megahit_017,0.00019114184029003965
AA_2_B,maxbin2_spades_001,0.009366131831805583
AA_2_B,maxbin2_spades_006,5.294690022313603e-06
AA_2_B,medium,
AA_2_B,metabat1_megahit_20,8.630134254359187e-08
AA_2_B,metabat2_megahit_24,5.712559584341251e-07
AA_2_B,metabat2_megahit_33,7.374628475161516e-08
AA_2_B,metabat2_spades_15,1.068512185578875e-09
AA_2_B,metabat2_spades_18,5.071781578385361e-08
AA_2_B,metabat2_spades_25,1.584778560796547e-09
AA_2_B,vamb_megahit_295,0.0015313265871438068
AA_2_B,vamb_megahit_39,3.417317476933845e-06
AA_2_B,vamb_megahit_488,0.0030093372304137453
AA_2_B,vamb_spades_1,1.8593059266154507e-05
AA_2_B,vamb_spades_1056,0.0008994944077209942
AA_2_B,vamb_spades_108,1.0271594249377393e-07
AA_2_B,vamb_spades_21,0.003440218934035487
AA_2_B,vamb_spades_222,0.003943462971669658
AA_2_B,vamb_spades_267,9.955123478202345e-08
AA_2_B,vamb_spades_286,3.01802630198547e-07
AA_2_B,vamb_spades_812,0.0017992395793245328
AA_2_B,vamb_spades_857,1.304754369502397e-06
AA_3_B,maxbin2_megahit_017,0.0008179869822762376
AA_3_B,maxbin2_spades_001,9.190466122203249e-07
AA_3_B,maxbin2_spades_006,0.001683188860771645
AA_3_B,medium,
AA_3_B,metabat1_megahit_20,0.0003749660257214477
AA_3_B,metabat1_spades_2,0.0005927451987052048
AA_3_B,metabat2_megahit_24,0.0004370892966197323
AA_3_B,metabat2_megahit_33,0.0005767525036309955
AA_3_B,metabat2_spades_15,0.00015965037368992024
AA_3_B,metabat2_spades_18,0.0004893301748462433
AA_3_B,metabat2_spades_25,7.67646120978425e-05
AA_3_B,vamb_megahit_295,0.0009565136144177678
AA_3_B,vamb_megahit_488,0.0011101125714887631
AA_3_B,vamb_spades_1,0.017670142459352518
AA_3_B,vamb_spades_1056,0.0054335734167424024
AA_3_B,vamb_spades_108,0.00028708410209017453
AA_3_B,vamb_spades_21,0.0008784642448780419
AA_3_B,vamb_spades_222,0.0009358986601854624
AA_3_B,vamb_spades_267,0.0011000833155854288
AA_3_B,vamb_spades_286,0.0006970278756952051
AA_3_B,vamb_spades_812,0.0005281430220063715
AA_3_B,vamb_spades_857,0.004747505597026231
AAAb_1_B,concoct_megahit_6,0.0
AAAb_1_B,maxbin2_megahit_017,0.0
AAAb_1_B,maxbin2_spades_001,0.09772118527505348
AAAb_1_B,maxbin2_spades_006,0.0
AAAb_1_B,maxbin2_spades_028,0.0
AAAb_1_B,medium,
AAAb_1_B,metabat1_megahit_20,0.0
AAAb_1_B,metabat1_spades_2,2.1416536309103788e-10
AAAb_1_B,metabat2_megahit_14,0.0
AAAb_1_B,metabat2_megahit_24,0.0
AAAb_1_B,metabat2_megahit_33,0.0
AAAb_1_B,metabat2_spades_15,0.0
