Condition	Day	Histidin	Asparagine	Serine	Glutammine	Arginin	Glycine	Aspartic Acid	Glutamic Acid	Threonine	Alanine	GABA	Cysteine	Proline	Ornithine	lysine	Tyrosine	Methionine	Valine	Isoleucine	Leucine	Phenylalanine	Tryptophan
Control	0	697	3403	3654	634	4066	3840	3766	8727	3174	6231	196	27	2242	618	3420	1077	1370	5623	4536	7192	4487	1178
Control	0	540	3253	3607	620	3671	3538	4108	9429	3137	6143	187	27	2090	607	3467	1074	1201	5235	4398	6789	4248	1013
Control	0	680	3521	3863	670	4412	3767	4391	10314	3614	6530	214	28	2391	653	3333	1094	1419	5811	4866	7577	4782	1199
AA	0	540	2945	3260	550	3728	3232	7620	8533	3033	5422	177	416.0187208	2028	569	3270	1002	1325	10832	3904	10985	3728	1012
AA	0	604	3608	4089	667	4400	3969	8396	9830	3685	6346	203	394.4237112	2297	614	3657	1268	1458	12483	4756	12586	4849	1223
AA	0	570	3388	3822	666	4376	3518	7985	9935	3445	6109	198	391.6968073	2292	546	3383	1163	1401	11473	4397	11784	4193	1062
AA-BES	0	728	3421	4027	690	4104	3903	8229	9492	3595	6290	198	354.2009022	2218	605	3690	1198	1459	11691	4608	12445	4624	1178
AA-BES	0	729	3319	3731	663	4118	3673	7744	9279	3489	5616	180	347.9840866	2249	611	3372	1184	1438	11550	4357	12083	4529	1139
AA-BES	0	837	3411	3721	642	3951	3877	8104	9628	3448	6243	194	354.5269646	2315	614	3584	1236	1456	12034	4482	12226	4633	1213
BES	0	857	3956	4493	767	4909	4312	4856	11094	4053	7045	244	27	2480	712	3862	1290	1550	5949	5023	7838	4872	1307
BES	0	797	3661	3893	663	4931	3828	4293	10133	3534	6340	200	27	2301	523	3403	1214	1523	5403	4474	7518	4941	1313
BES	0	829	3603	4119	729	5058	3715	4411	10395	3762	6357	200	27	2383	630	3323	1225	1530	5293	4604	7391	5156	1332
AA-Ab	0	882	3831	4678	6	5248	4338	8684	11132	4199	6282	220	443.2734182	2779	554	3653	1577	1570	12333	5181	13331	5877	1503
AA-Ab	0	804	4007	4519	3	4823	4550	9106	11797	4184	7211	253	392.9598277	2865	622	4067	1495	1488	12987	5166	13237	5509	1374
