Genome	H52	H53	H54	H55	H56	H57	H58	H59	H60	H61	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	L83	L84	L85	L86	L87	L88	L89	L90	L91
unmapped	1.4063895	1.3368487	1.0324657	1.1507034	1.2833416	1.1891186	1.7387927	2.0578504	1.215136	0.59738755	1.6642749	1.5967727	2.2819817	1.2905717	1.0968626	1.3882577	1.1845589	1.284653	1.5022516	1.2980342	1.4413416	1.6847491	0.9334445	1.1039734	1.1005759	1.2474835	1.7131269	1.6708076	1.6360044	7.371479	2.3272574	3.4186542	1.6035676	1.7261267	1.3283551	2.1755576	2.0842493	2.1323621	1.9896388
metabat1.spades.10	1.3202472	1.1991208	1.2732074	1.6737853	1.6827816	2.102797	1.4973896	2.768557	0.39301574	0.06982002	0.37195364	0.46226922	0.69816154	1.2407764	1.3019924	0.8502119	1.1434734	1.0582013	0.7796324	0.7249908	0.6060378	0.90819734	1.2247074	1.4780757	1.2417107	1.165081	1.5251318	0.96302134	0.66336554	0	0.115821116	0.40090442	0.13092807	0.15118231	0.25184873	0.11497138	0.16160169	0.14437196	0.11195069
vamb.spades.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.803885	0	0	0	0	0	0	0	0	0
vamb.megahit.39	0	0	0	0	0.113476515	0	0	0	0	0	1.5156568	1.0408822	1.5680662	0	0	0	0.26084867	0	0	0.47786832	0.48693523	0.5285498	0	0	0	0.388004	0	0	0	0	0	0	0	0	0.6964918	0	0.2726915	0.124656856	0.30952322
concoct_spades_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
metabat1.spades.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5522385	0	0	0	0	0	0	0	0	0
vamb.spades.267	0.07073268	0.10674943	0.06796754	0.14904054	0.46602687	0.08304938	0.41845545	0.49889222	0.33842608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12419065	2.6756227	0	0.29507586	0.37643856	0.30218002
metabat2.spades.18	0.27647978	0.9298134	0.5524515	0.58566374	0.8815884	0.644111	3.6974127	3.1935723	2.0194573	0	1.4014084	1.4271116	2.10178	0.21413726	0.3342871	0.5093174	0.24811316	2.1743612	3.015742	0.48307347	0.5211817	0	0	0	0.18749602	0.1845381	1.5684837	1.3191231	0.3086077	0	0	0.17225884	0	0	0	0	0.07300707	0	0
metabat1.megahit.20	0.250841	0.54159707	0.46342164	0.44575873	0.5809532	0.47343937	0.5132572	1.147906	0.20247915	0.061180178	0.23908971	0.23772201	0.27740857	0.16532278	0.18809268	0	0.541609	0.19291206	0.1841681	0.28798243	0.256541	0.25744316	0.100775994	0.1384603	0	0.63511443	0.43053207	0.53012836	0.26615748	0	0.26088053	0.42050838	0.27841464	0.19408242	0.19604537	0.22585303	0.6860414	0.5909281	0.70698035
vamb.spades.812	0	0	0	0	0	0	0	0.05599375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vamb.spades.298	0.060047366	0	0.089995295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26721328	0	0	0	0	0	0	0
maxbin2.spades.006	0.5655425	0.25557852	0.15282315	0.114002265	0.080070935	0.06893388	0.4498779	0.28987125	0.45748243	0	1.6383319	1.4055966	1.8642757	0.44740796	0.5551523	0.38838124	0.45874706	0.3222343	0.84095645	0.9660189	0.74822026	0.36399385	0.33930182	0.3872515	0.508836	0.31457394	0.36529773	0.3669513	0	0	0.7189465	1.0839971	0.684622	0.6338362	0.19882491	0.50728506	4.327624	2.1684914	0.6004592
vamb.spades.21	0	0	0	0.10245317	0	0.09065809	0.17481123	0.22137347	0	0	0	0	0	0	0	0	0	0.06706506	0	0	0	0	0.085082315	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38409507	0.3090512	0.2803556
metabat2.spades.15	2.0362277	1.8554909	1.9603018	2.56947	2.587966	3.2578168	2.2820585	4.245756	0.6023532	0.10592652	0.5715579	0.6993169	1.0733607	1.9017735	1.8931005	1.2974973	1.7432294	1.613186	1.1626487	1.1148864	0.92420226	1.3940092	1.891641	2.2442002	1.9008355	1.7889203	2.3630402	1.4671646	1.0189464	0	0.16970159	0.59176594	0.19591622	0.22823875	0.3849667	0.16767555	0.23663902	0.21203423	0.17011577
vamb.megahit.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15466681	0	0	0.04407111	0.1225607	0.12897782	0	0	0	0.16003525	0	0	0	0	0	0	4.5530953	0	0	0	0	0	0	0	0	0
