Genome	H52	H53	H54	H55	H56	H57	H58	H59	H60	H61	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	L83	L84	L85	L86	L87	L88	L89	L90	L91
metabat1.spades.10	7.3897448	6.790454	7.1511073	9.408677	9.306029	11.789823	8.367383	15.1890335	2.2291672	0.40411103	2.0489838	2.5668268	3.8133078	7.0382376	7.363504	4.855525	6.4032426	5.992893	4.415407	4.1222677	3.4473097	5.176309	6.971999	8.3658285	7.0740523	6.5815063	8.665426	5.4864736	3.8041735	0	0.6237441	2.044	0.7162744	0.8333939	1.3740075	0.6264445	0.83790576	0.7574013	0.59827965
vamb.spades.6	0.046739627	0	0	0.06314334	0	0	0.089177415	0.08354419	0.08963837	0	0.11329052	0.114846624	0.15230356	0.21655339	0	0	0	0.062383015	0	0	0	0	0	0	0	0	0	0	0.16287287	118.501236	0	0	0	0	0	0	0	0	0
vamb.megahit.39	0.14735687	0	0	0	0.6339587	0	0.07966696	0.08289426	0.1295607	0	8.303361	5.7464776	8.519003	0	0	0	1.451977	0.13353236	0.15338014	2.7031102	2.751173	2.997409	0	0	0	2.1791406	0.25536132	0.13473672	0.16423051	0	0	0.25597435	0.11885835	0	3.782445	0	1.4073399	0.65245926	1.6459035
concoct_spades_11	0	0	0	0	0	0	0	0	0	0	0.14093904	0.14016065	0.20915583	0.20572206	0.3098122	0.22417267	0.16076562	0.24404013	0.22265786	0.10653142	0.14696142	0.17005362	0.2328888	0.33250985	0.21996988	0.19994996	0.20153546	0.20669869	0	0	0	0	0	0	0	0	0	0	0
metabat1.spades.2	0.08310396	0.055111676	0.061550755	0.07250413	0	0.08674382	0.06675877	0.10407898	0	0	0.11858783	0.11050015	0.15403809	0.16652223	0.09188736	0	0.08328757	0.14191464	0.098005734	0.09547111	0	0	0.15934655	0.08471714	0.13523363	0.088600084	0.1626203	0.12249915	0	22.62959	0	0.09362035	0	0	0	0	0	0	0
vamb.spades.267	0.3937175	0.6012974	0.3809818	0.83603406	2.5742898	0.46444085	2.3284547	2.728006	1.9136775	0	0.108591564	0.1322491	0.18052202	0.12860213	0.09087764	0	0.20337911	0.22513811	0.13380711	0.1705157	0.124097906	0.15425399	0.12824933	0.13730645	0.106509276	0.17176709	0.23560157	0.13953774	0.15306409	0	0.1038442	0.36801136	0.099478774	0.6824827	14.545133	0.31356096	1.5234151	1.9631244	1.6061097
metabat2.spades.18	1.5350232	5.2248983	3.0815592	3.2691092	4.8336506	3.5809774	20.486181	17.383446	11.36691	0.27720818	7.6600976	7.8600855	11.378957	1.2020872	1.8740847	2.8786595	1.3763154	12.219128	16.898378	2.7214067	2.9384334	0.4856259	0.08982532	0	1.0580767	1.0340378	8.826289	7.4398246	1.7510375	0.09391285	0.3088964	0.8691479	0.24109268	0	0.11034035	0.35011977	0.3753867	0	0.3706758
metabat1.megahit.20	1.3968793	3.0511649	2.593038	2.4951203	3.194637	2.6407616	2.8561082	6.2664413	1.1447476	0.35199344	1.3119787	1.3151141	1.5096561	0.93914515	1.0582803	0.66280365	3.0131264	1.0903513	1.0381677	1.6264547	1.4518526	1.457357	0.57496625	0.778322	0.54186326	3.565398	2.4281034	2.9999104	1.5132654	0	1.3827741	2.133472	1.5024188	1.0649298	1.0637516	1.2228125	3.5385954	3.0753815	3.7537715
vamb.spades.812	0.24100877	0.22220144	0.1936692	0.18126349	0.17504309	0.18081574	0.12881127	0.30702147	0.060086753	0	0.15253022	0.11506091	0.16237561	0.15395652	0	0	0.09730344	0.13494778	0	0	0	0	0.17927942	0.16650333	0	0.11508971	0.088657014	0.10901715	0.119002156	0	0.10008887	0.30988097	0.08383239	0	0.03179041	0	0.1447381	0.15213288	0.1444778
vamb.spades.298	0.3312587	0.26883647	0.49715626	0	0	0	0	0.047454834	0	0.12433421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31087106	1.3390028	0.17275567	0	0	0	0	0	0
maxbin2.spades.006	3.1541798	1.443424	0.8593917	0.641575	0.4457884	0.38775885	2.51074	1.5904807	2.5860586	0.06813949	8.9941	7.7731614	10.1398115	2.5247421	3.1226363	2.2058258	2.5575433	1.8197017	4.7327023	5.462817	4.2344885	2.0673735	1.9228551	2.1799216	2.8844218	1.7690053	2.0639398	2.0794306	0.45003605	0	3.8313172	5.516673	3.7021015	3.479425	1.0867513	2.7505043	22.354273	11.3001375	3.1986861
vamb.spades.21	0.12946711	0.2496362	0.08157719	0.57439494	0.15093523	0.50621927	0.9758888	1.2130538	0.3173585	0	0.12909843	0.1323527	0.15853086	0.28829873	0	0.14490718	0.049551412	0.3791765	0.15972468	0	0.10923694	0	0.4823451	0.11733317	0.29160807	0.06168938	0.38744226	0.43466228	0	0.30449402	0.13589765	0.27845654	0.06040867	0.30251297	0.084713444	0.3096726	1.9919647	1.6131809	1.4971528
metabat2.spades.15	11.386833	10.498317	11.003406	14.433895	14.299879	18.246119	12.741648	23.276026	3.4133592	0.61254394	3.151402	3.8848586	5.862567	10.772981	10.695407	7.392543	9.7528	9.134736	6.579766	6.3373895	5.2534823	7.939768	10.751026	12.688213	10.818546	10.1000185	13.406063	8.350843	5.8376093	0	0.9137968	3.018852	1.0682882	1.2589297	2.1011791	0.9125553	1.226462	1.108735	0.90990037
vamb.megahit.77	0.07184393	0.082843445	0.076922044	0.06690749	0	0	0	0	0	0	0.32517415	0.3253261	0.49553475	0.8772234	0.11595074	0.3938132	0.24673612	0.69508815	0.73033965	0.11734708	0.19184026	0.12183457	0.9099734	0.21247955	0.35281476	0.25352538	0.42243218	0.5216656	0.11372568	18.73201	0	0.1100535	0	0	0	0	0	0	0.10313233
metabat2.spades.25	8.812121	3.046309	8.651068	6.7393417	17.863735	9.197233	6.4829707	10.968599	3.3703804	0.13312824	10.226913	9.966946	14.297639	3.0520253	7.2315855	2.8743136	10.170748	2.5381658	5.843686	2.279721	2.750988	3.3816705	1.9030182	1.3299156	1.9380214	4.27235	2.7082708	3.3880422	2.75741	0	46.349083	60.6116	36.310593	7.914549	22.995829	9.821973	25.351946	25.560709	24.60694
maxbin2.megahit.017	0.31766805	0.26521757	0.14808904	0.8692722	0.43421316	0.43851653	1.2094501	0.7955699	1.0908942	0	0.107414626	0.106982335	0.15904002	0.18732335	0.10051706	0	0.15849736	0.12229953	0.120493345	0.11820901	0.12457813	0.15387976	0.23302032	0.12913479	0	0.17079118	0.13813068	0.13860455	0.37603104	0	0.32388118	0.7704357	0.19959268	3.9368134	3.00431	4.769632	0	0	0
maxbin2.spades.028	0	0	0	0	0	0	0.25497308	0.45811883	0.110143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109736316	0	0	0	0	0.9751335	1.3091569	1.2843875
vamb.megahit.295	0.36732128	0.28520903	0.3972705	0.22145498	0.24146503	0.17004786	0	0	0.071972184	0.33021182	1.138755	0.6002818	1.1075063	0.36846703	0	0	0.44779575	0.2745899	0.1926976	1.2841687	0.45225626	0.671378	0.27834013	0	0	0.2482022	0.26600608	0.21009801	0.39130032	0	0.83662605	1.3764544	0.5314916	0	0.37183464	0	0.046578232	0	0
