,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
metabat1.spades.2_103_11,0.454904868751712,1.56645306154284,3.53271608794824,0.277818267052662,0.78115186790283,1
metabat1.spades.2_103_12,0.386400999547207,1.8981319361411,4.05472899540333,0.323851960915203,0.746050115133087,1
metabat1.spades.2_103_13,1.31587636532277,1.46470144691018,2.52156007297715,0.348871897337563,0.727185483897813,1
metabat1.spades.2_103_15,0.376240582627397,-1.77915266617969,4.01501377924375,-0.297421810194788,0.766144494526205,1
metabat1.spades.2_103_17,1.34160812298793,0.750830383722464,1.90460281250858,0.0870682236912408,0.930617283258158,1
metabat1.spades.2_103_19,1.00762755165415,1.89193084212718,2.67725642139574,0.488160503298309,0.625436158287438,1
metabat1.spades.2_103_20,0.725627094198222,1.22737509460869,2.85322755092072,0.225139805060903,0.821870515804042,1
metabat1.spades.2_103_21,0.30657408760709,0.7223858588251,4.0479890959795,0.0339392857953973,0.972925565686812,1
metabat1.spades.2_103_23,1.42289283897596,3.03615901820228,2.0110503412364,1.21884518151609,0.222902959214592,1
metabat1.spades.2_103_24,0.901781583102356,1.75348775740157,2.50975748386653,0.465577955206015,0.641517625424733,1
metabat1.spades.2_103_26,0.936738776413491,3.00722759109915,2.46063024789481,0.984393162349964,0.324922238717742,1
metabat1.spades.2_103_28,0.482944618527977,-2.54144735244076,3.64705979715287,-0.536445098588209,0.591650969858544,1
metabat1.spades.2_103_32,1.25373993393269,0.00544139320652373,2.12805321018041,0,1,1
metabat1.spades.2_103_34,0.58113183440554,-0.793607315653296,3.25896832626857,-0.0640102310819774,0.948962080290879,1
metabat1.spades.2_103_5,0.811242397370676,-0.871042881204124,2.50440661552835,-0.114215830380954,0.90906670320004,1
metabat1.spades.2_103_7,0.620681806222561,1.22677600248497,2.9710259771611,0.216011575603324,0.828978724544624,1
metabat1.spades.2_106_1,8.53547372672049,-0.766452846707477,1.02293408800218,-0.17738469060295,0.859206231759215,1
metabat1.spades.2_106_14,0.471297322348789,-0.681133788159294,3.83056055294149,-0.0250965326955796,0.979977965820736,1
