,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
metabat2.spades.15_10_1,37.6484068343562,0.509169744394858,0.492150954572719,0,1,1
metabat2.spades.15_10_10,14.7067158963765,0.318093693692617,0.741947086310721,0,1,NA
metabat2.spades.15_10_100,496.754012833482,0.288263959708181,0.323757520896605,0,1,1
metabat2.spades.15_10_101,140.82153325677,0.659278785875655,0.329254479176782,0.225596888040432,0.821514961446459,1
metabat2.spades.15_10_102,11.3380147610246,-0.477961917038414,0.871714094963652,0,1,NA
metabat2.spades.15_10_103,27.5895563795213,0.577915309717378,0.507012243642062,0,1,1
metabat2.spades.15_10_104,331.784086675044,0.569374751291022,0.35124688142679,0,1,1
metabat2.spades.15_10_105,14.0289219032031,1.00080998594016,0.624494034085196,0.665835001209048,0.505516570104379,NA
metabat2.spades.15_10_106,129.813803138772,0.299403357963586,0.469011205684106,0,1,1
metabat2.spades.15_10_107,35.7515331392533,0.358456678365106,0.597858210189571,0,1,1
metabat2.spades.15_10_108,50.8193516630615,-0.0263084377990692,0.469539283045397,0,1,1
metabat2.spades.15_10_109,335.187591829525,0.244709574034144,0.323409514707129,0,1,1
metabat2.spades.15_10_11,27.468402214802,0.151125236535032,0.531818605565449,0,1,1
metabat2.spades.15_10_110,209.257706932186,-0.161750952725786,0.310096330071964,0,1,1
metabat2.spades.15_10_111,31.8589145133465,-0.0838741666878876,0.511801979581656,0,1,1
metabat2.spades.15_10_112,80.2000087697203,-0.280375745792544,0.493833900623258,0,1,1
metabat2.spades.15_10_113,68.7672633143717,-0.359194632593889,0.382603377950407,0,1,1
metabat2.spades.15_10_114,43.3242203426221,-0.271449320589504,0.435307924063194,0,1,1
metabat2.spades.15_10_115,160.228765168198,-0.431044945212103,0.450570789781368,0,1,1
metabat2.spades.15_10_116,24.6564124688548,-0.231942223917628,0.584056321014293,0,1,1
metabat2.spades.15_10_117,1.18993663930271,3.53056452058052,2.19561446645474,1.34156727676181,0.179736342294504,NA
metabat2.spades.15_10_12,36.5681943759748,0.271486166715438,0.446018612116658,0,1,1
metabat2.spades.15_10_13,58.2541712589893,0.0435445664638343,0.446426294886295,0,1,1
metabat2.spades.15_10_14,242.528736448202,0.000364414154068405,0.326142300759681,0,1,1
metabat2.spades.15_10_15,170.235763375855,0.132470131069102,0.361414287400207,0,1,1
metabat2.spades.15_10_16,0.279802151084699,1.64374762536325,4.48589527521495,0.236017017876664,0.81341946481201,NA
metabat2.spades.15_10_2,25.1027640395827,-0.027209774412108,0.518242573651578,0,1,1
metabat2.spades.15_10_20,0.796472525433382,0.203315305856549,2.44577264493705,0,1,NA
metabat2.spades.15_10_24,191.676249638921,-0.860520667636687,0.439727212724967,-0.626571791928226,0.53093996354009,1
