,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
metabat2.spades.15_10_1,37.6484068343562,0.0947549525363193,0.423004335401281,0.224004684127954,0.822753658439791,0.897379390328785
metabat2.spades.15_10_10,14.7067158963765,-1.0753727977811,0.598589090600692,-1.79651252364447,0.072413042762479,0.189968863052436
metabat2.spades.15_10_100,496.754012833482,-1.11667128702205,0.285368200168983,-3.91308942748634,9.11227693777149e-05,0.00122072159687069
metabat2.spades.15_10_101,140.82153325677,-0.58165577118957,0.279713396055558,-2.07947055590444,0.0375741213686806,0.120322221752041
metabat2.spades.15_10_102,11.3380147610246,-0.273064095445515,0.776998575490987,-0.351434486572856,0.725262413747136,0.8484874448995
metabat2.spades.15_10_103,27.5895563795213,0.183443812730528,0.430480172526346,0.42613765845232,0.670007540867816,0.81422279791988
metabat2.spades.15_10_104,331.784086675044,-0.258477979155139,0.310046700658698,-0.833674341981384,0.404464520472299,0.600070559861917
metabat2.spades.15_10_105,14.0289219032031,0.493571278861873,0.507688198629042,0.97219372085999,0.330954183782026,0.534818181357963
metabat2.spades.15_10_106,129.813803138772,-1.58614709813578,0.403985863918117,-3.92624405901805,8.62826097358872e-05,0.00119112090513444
metabat2.spades.15_10_107,35.7515331392533,-1.31802957665676,0.494718017295163,-2.66420370914121,0.00771708148779655,0.0373322061717337
metabat2.spades.15_10_108,50.8193516630615,-1.46746883283042,0.392448993536025,-3.73926002359773,0.000184562743079235,0.00213481893409949
metabat2.spades.15_10_109,335.187591829525,-0.717692564475411,0.284822175124963,-2.51979174079592,0.0117424286567934,0.0512232340635456
metabat2.spades.15_10_11,27.468402214802,-1.60368763219546,0.415511302240984,-3.85955237209256,0.000113594911153788,0.001469593593441
metabat2.spades.15_10_110,209.257706932186,-0.58368289866936,0.273655674660775,-2.13290990363308,0.0329321177695184,0.108685589839927
metabat2.spades.15_10_111,31.8589145133465,-0.655590424242207,0.439111926243696,-1.49299161571478,0.135439381610387,0.298096482319464
metabat2.spades.15_10_112,80.2000087697203,-0.758892145713282,0.435471063342883,-1.74269247625242,0.081387346589167,0.206339252718784
metabat2.spades.15_10_113,68.7672633143717,-0.439667375272512,0.33770235084822,-1.30193756178535,0.192937730759313,0.378191361419121
metabat2.spades.15_10_114,43.3242203426221,0.20765564751136,0.392005714918024,0.529726071862971,0.596301868660963,0.761432122546468
metabat2.spades.15_10_115,160.228765168198,0.342181414584216,0.405145287272285,0.844589398751285,0.398340130091406,0.59618420953982
metabat2.spades.15_10_116,24.6564124688548,0.284169913887653,0.52667167831924,0.539557993310976,0.589501892528841,0.757505356458891
metabat2.spades.15_10_117,1.18993663930271,2.82086803044411,1.90179548166683,1.48326571265789,0.138003828244503,NA
metabat2.spades.15_10_12,36.5681943759748,-0.139901797112783,0.381187059202397,-0.36701612432887,0.71360699056764,0.846310228729774
metabat2.spades.15_10_13,58.2541712589893,-0.616515926863401,0.385965948405688,-1.5973324315527,0.110191625217445,0.257454942716506
metabat2.spades.15_10_14,242.528736448202,-0.95498193700384,0.286092073581248,-3.33802305338121,0.000843767485381224,0.00710830229985818
metabat2.spades.15_10_15,170.235763375855,-0.669361550557132,0.316655193589813,-2.11384990395643,0.034528089091553,0.112315508194362
metabat2.spades.15_10_16,0.279802151084699,1.89584661346068,3.99509935742764,0.474543044827145,0.635112710162033,NA
metabat2.spades.15_10_2,25.1027640395827,0.0188184591454652,0.455562022408079,0.0413082263661745,0.967050174977761,0.98149130630531
metabat2.spades.15_10_20,0.796472525433382,-0.44500035735534,2.01216331883484,-0.221155188144977,0.824971600003909,NA
metabat2.spades.15_10_24,191.676249638921,-0.0621315684108343,0.395277880170222,-0.157184531510031,0.87509941882593,0.929688611498027
metabat2.spades.15_10_25,90.0942904772394,0.634735182937156,0.322937882048114,1.96550240223161,0.0493561179080212,0.144743848372746
metabat2.spades.15_10_26,68.1040996267486,0.595382649283993,0.358270818843952,1.66182289477312,0.0965482902897331,0.233531334632431
metabat2.spades.15_10_27,91.364731437992,0.401716124124126,0.330528943732753,1.21537351491048,0.224223664729478,0.419886167863968
metabat2.spades.15_10_28,0.945787683432111,2.6330556651042,2.14574772203735,1.22710402442099,0.219783495471438,NA
metabat2.spades.15_10_29,57.1892994055131,0.46523993392421,0.352583829567663,1.31951579995794,0.1869967314995,0.369215261775417
metabat2.spades.15_10_3,19.3439275883332,-0.692502829731648,0.490981532821025,-1.41044577736508,0.158408096462898,0.329325923224978
metabat2.spades.15_10_30,54.2231576696407,1.29031935685927,0.435051081744291,2.96590311116082,0.00301795549577873,0.0189270117519198
metabat2.spades.15_10_31,180.574671845907,0.761358133221353,0.391367403274437,1.94537952535477,0.0517293171305964,0.149694048395385
metabat2.spades.15_10_32,19.7493460248046,1.30572192551366,0.648308095712743,2.0140453808126,0.0440047691720463,0.134449119305685
metabat2.spades.15_10_33,231.168070141002,-0.386837155081867,0.267375273347493,-1.44679479982846,0.14795440365503,0.317036916248045
metabat2.spades.15_10_34,93.9274754310953,-0.667323754854673,0.341521044506384,-1.95397550338131,0.0507041142869571,0.147740173417852
metabat2.spades.15_10_35,366.538183820612,-0.612034382050039,0.249991310177336,-2.44822262668203,0.0143562919600996,0.0595837603556631
metabat2.spades.15_10_36,194.152477392833,-0.611406600482323,0.274515970194803,-2.22721687211296,0.0259327830410809,0.091026078767453
metabat2.spades.15_10_37,191.701183625943,-1.09557685913662,0.372390191817738,-2.94201319800827,0.00326086029024052,0.0198991582132198
metabat2.spades.15_10_38,13.9614321145809,0.889006301506951,0.584769444904094,1.520268046243,0.128443621493131,0.287632402631502
metabat2.spades.15_10_39,7.45476931749592,1.29412776066407,0.733244697200206,1.76493299659107,0.0775750273138666,0.199579388452948
metabat2.spades.15_10_4,1.86973220093525,0.247604256085538,1.33629134099663,0.185292120430017,0.852999918007145,NA
metabat2.spades.15_10_40,2.40894952698553,0.38538739846239,1.30638397779053,0.295003157581733,0.767991467596445,NA
metabat2.spades.15_10_41,3.4674692324603,0.805716149440655,0.957365366856488,0.841597343432452,0.400013376793684,0.596594390685705
metabat2.spades.15_10_42,6.5349756604099,0.742033982700933,0.829967257912101,0.894052115462511,0.371294007827056,0.573442431402843
metabat2.spades.15_10_43,5.83473277615727,0.583803750108625,0.822873707786156,0.70946944176802,0.478033208213818,0.671381627416926
metabat2.spades.15_10_44,11.3649602850896,-0.659383425567813,0.587403009306907,-1.12254008767479,0.261632872860318,0.463806511895859
metabat2.spades.15_10_45,7.53022836956944,0.135345805868377,0.842835945022484,0.160583808352842,0.872421208442662,0.928613829766896
metabat2.spades.15_10_46,49.1052487010669,0.0222432017379659,0.36376424907043,0.0611473001945809,0.951241899492125,0.973163877293344
metabat2.spades.15_10_47,8.00050912238819,-0.623029168425782,0.694003832552414,-0.897731596285858,0.36932866029866,0.571537995158008
metabat2.spades.15_10_48,0.461210076407,-0.425377447250488,2.93811848323943,-0.144778860919689,0.884885472899683,NA
metabat2.spades.15_10_49,6.59455447025367,0.0805362398409643,0.795993361313356,0.101177024527042,0.919409934883902,0.956591954309354
metabat2.spades.15_10_5,135.638482978416,-0.940808022798219,0.364252335012396,-2.58284692331815,0.00979887892888194,0.044817498777755
metabat2.spades.15_10_50,4.2576552656673,-0.284659570727075,0.967937443777376,-0.294088809723272,0.768690041541318,0.867821343454903
metabat2.spades.15_10_53,0.729725034409825,-3.00738566248368,2.57749298477887,-1.1667871378287,0.243296342536245,NA
metabat2.spades.15_10_55,55.9739944513601,0.726365430396774,0.364934818509034,1.99039771914445,0.0465471409668423,0.139027344523656
metabat2.spades.15_10_56,27.8914149833375,0.716568200804896,0.406655448451455,1.76210156173633,0.0780521394899299,0.200351523588664
metabat2.spades.15_10_57,15.5926189201097,0.251910292743422,0.52280622953999,0.481842561373216,0.629917791975981,0.786181852830001
metabat2.spades.15_10_58,17.2504209252851,-0.187730470649196,0.510938677358502,-0.3674227044618,0.713303738419726,0.846310228729774
metabat2.spades.15_10_59,25.9931162213707,-0.251504878491572,0.400301635489895,-0.628288411022295,0.529815022055933,0.714606908716646
metabat2.spades.15_10_6,7.24328641860961,0.306221753257866,0.779327950238825,0.392930541197739,0.694370783481668,0.83061835499772
metabat2.spades.15_10_60,43.9478958005099,-0.207490184996735,0.481536760630388,-0.430891682547987,0.666547131471901,0.81176046565486
metabat2.spades.15_10_61,10.3200544026205,0.292347186333111,0.646742672567626,0.452030148517132,0.651247263481492,0.801317285066358
metabat2.spades.15_10_63,106.095860022488,0.224752915984094,0.391789495378875,0.573657330364994,0.566199708126828,0.739578920438716
metabat2.spades.15_10_64,73.9989110868131,0.46841023412447,0.341083521337761,1.37330068684445,0.169658889174603,0.344182549364964
metabat2.spades.15_10_65,13.3633795034636,1.57789380275814,0.559715898182626,2.81909770274794,0.0048158856915036,0.0269213955692942
metabat2.spades.15_10_66,156.775537683156,0.485584504497708,0.335247232306458,1.44843702707685,0.147494865703367,0.316820091036454
metabat2.spades.15_10_67,104.371231708692,0.361176668268635,0.356004180784776,1.01452928859559,0.310330261169455,0.514339466535611
metabat2.spades.15_10_68,26.3141791561927,0.147494422074059,0.608590332859278,0.242354198071305,0.808505721201183,0.888140200290868
metabat2.spades.15_10_69,62.304009987041,-1.87582018558154,0.492113785272531,-3.81176110427941,0.000137980199636226,0.00172589597777026
metabat2.spades.15_10_7,14.642366493694,-0.642111836774499,0.523553594378563,-1.2264491041011,0.220029717052436,0.414777085267874
metabat2.spades.15_10_70,53.7579333398888,1.21085038222345,0.439027040511832,2.75803144337488,0.00581506041237118,0.0308515452046401
metabat2.spades.15_10_71,2.45239139625104,1.59183322679914,1.49276843479065,1.06636313422743,0.286259519977673,NA
metabat2.spades.15_10_72,34.1237653703627,-0.331659259386043,0.405269376167675,-0.818367433834484,0.413147411419085,0.608565868219133
metabat2.spades.15_10_73,19.3681185315892,-0.16856370548843,0.504591557676209,-0.33405970219699,0.738334507924452,0.852673869094138
metabat2.spades.15_10_74,8.81531549901331,-0.894602921174088,0.74197419700535,-1.20570624259544,0.227930777161068,0.425334659914219
metabat2.spades.15_10_75,22.010031880654,-0.503199130751972,0.473876759523914,-1.06187763092142,0.288291241294472,0.490654225398937
metabat2.spades.15_10_76,30.0761079521346,0.150293781152513,0.433651432187516,0.346577389112656,0.728908835120084,0.8484874448995
metabat2.spades.15_10_77,19.6945327199362,0.817671066622977,0.529361000719215,1.544637904024,0.122433872492264,0.277467755077564
metabat2.spades.15_10_78,33.3235253900698,-0.199850453706497,0.513727585221993,-0.389020289070398,0.697261137737977,0.833218068571993
metabat2.spades.15_10_79,20.2532450270798,-0.279533276490675,0.434163403137069,-0.643843480290817,0.519676935433033,0.710047424152315
metabat2.spades.15_10_8,3.62683651193797,-0.690804777860458,0.96990726372636,-0.712237967170596,0.476317429861163,0.670174502852063
metabat2.spades.15_10_80,22.6398453368729,-1.27579874919041,0.446016744496023,-2.86042792100105,0.00423069713180308,0.0243596196748462
metabat2.spades.15_10_81,26.7950698657533,-0.233603645405484,0.419466786357577,-0.556906179471258,0.577591532369723,0.747383222595349
metabat2.spades.15_10_82,39.2087923093649,-0.753781252425702,0.388168473974505,-1.94189199526598,0.0521501766624225,0.150068771995359
