,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
metabat2.spades.15_10_1,37.6484068343562,0.0947549525363193,0.423004335401281,0,1,1
metabat2.spades.15_10_10,14.7067158963765,-1.0753727977811,0.598589090600692,-0.819214391777511,0.412664105223823,1
metabat2.spades.15_10_100,496.754012833482,-1.11667128702205,0.285368200168983,-1.86310628411722,0.0624473142902353,0.431340009233363
metabat2.spades.15_10_101,140.82153325677,-0.58165577118957,0.279713396055558,0,1,1
metabat2.spades.15_10_102,11.3380147610246,-0.273064095445515,0.776998575490987,0,1,1
metabat2.spades.15_10_103,27.5895563795213,0.183443812730528,0.430480172526346,0,1,1
metabat2.spades.15_10_104,331.784086675044,-0.258477979155139,0.310046700658698,0,1,1
metabat2.spades.15_10_105,14.0289219032031,0.493571278861873,0.507688198629042,0,1,1
metabat2.spades.15_10_106,129.813803138772,-1.58614709813578,0.403985863918117,-2.47817358861522,0.0132056879636385,0.152415648580327
metabat2.spades.15_10_107,35.7515331392533,-1.31802957665676,0.494718017295163,-1.48171190664239,0.138416967586741,0.715467357990101
metabat2.spades.15_10_108,50.8193516630615,-1.46746883283042,0.392448993536025,-2.24862045097694,0.0245366541467038,0.22845893104662
metabat2.spades.15_10_109,335.187591829525,-0.717692564475411,0.284822175124963,-0.465878629068097,0.641302379031714,1
metabat2.spades.15_10_11,27.468402214802,-1.60368763219546,0.415511302240984,-2.45164843098456,0.0142203523693062,0.158353270604937
metabat2.spades.15_10_110,209.257706932186,-0.58368289866936,0.273655674660775,0,1,1
metabat2.spades.15_10_111,31.8589145133465,-0.655590424242207,0.439111926243696,-0.160757246668429,0.872284599399962,1
metabat2.spades.15_10_112,80.2000087697203,-0.758892145713282,0.435471063342883,-0.39931963418741,0.68965770176194,1
metabat2.spades.15_10_113,68.7672633143717,-0.439667375272512,0.33770235084822,0,1,1
metabat2.spades.15_10_114,43.3242203426221,0.20765564751136,0.392005714918024,0,1,1
metabat2.spades.15_10_115,160.228765168198,0.342181414584216,0.405145287272285,0,1,1
metabat2.spades.15_10_116,24.6564124688548,0.284169913887653,0.52667167831924,0,1,1
metabat2.spades.15_10_117,1.18993663930271,2.82086803044411,1.90179548166683,1.17566165867871,0.239730105754851,NA
metabat2.spades.15_10_12,36.5681943759748,-0.139901797112783,0.381187059202397,0,1,1
metabat2.spades.15_10_13,58.2541712589893,-0.616515926863401,0.385965948405688,-0.0816546822163563,0.934921316312288,1
metabat2.spades.15_10_14,242.528736448202,-0.95498193700384,0.286092073581248,-1.29322680063266,0.195932628914005,0.85977565479888
metabat2.spades.15_10_15,170.235763375855,-0.669361550557132,0.316655193589813,-0.26641454890019,0.789919961598698,1
metabat2.spades.15_10_16,0.279802151084699,1.89584661346068,3.99509935742764,0.32811364528984,0.742825737168955,NA
metabat2.spades.15_10_2,25.1027640395827,0.0188184591454652,0.455562022408079,0,1,1
metabat2.spades.15_10_20,0.796472525433382,-0.44500035735534,2.01216331883484,0,1,NA
metabat2.spades.15_10_24,191.676249638921,-0.0621315684108343,0.395277880170222,0,1,1
metabat2.spades.15_10_25,90.0942904772394,0.634735182937156,0.322937882048114,0.154008512788061,0.877603023433831,1
metabat2.spades.15_10_26,68.1040996267486,0.595382649283993,0.358270818843952,0.0289798910151142,0.976880628503271,1
metabat2.spades.15_10_27,91.364731437992,0.401716124124126,0.330528943732753,0,1,1
metabat2.spades.15_10_28,0.945787683432111,2.6330556651042,2.14574772203735,0.954471788118507,0.339844883169428,NA
metabat2.spades.15_10_29,57.1892994055131,0.46523993392421,0.352583829567663,0,1,1
metabat2.spades.15_10_3,19.3439275883332,-0.692502829731648,0.490981532821025,-0.218954935257891,0.826685152404261,1
metabat2.spades.15_10_30,54.2231576696407,1.29031935685927,0.435051081744291,1.62123342856974,0.104967586067072,0.604177066817224
metabat2.spades.15_10_31,180.574671845907,0.761358133221353,0.391367403274437,0.450620393384387,0.652263165957028,1
metabat2.spades.15_10_32,19.7493460248046,1.30572192551366,0.648308095712743,1.11169663047522,0.266268609068062,1
metabat2.spades.15_10_33,231.168070141002,-0.386837155081867,0.267375273347493,0,1,1
metabat2.spades.15_10_34,93.9274754310953,-0.667323754854673,0.341521044506384,-0.241050313527999,0.809516121420993,1
metabat2.spades.15_10_35,366.538183820612,-0.612034382050039,0.249991310177336,-0.108141287114585,0.913883617791323,1
metabat2.spades.15_10_36,194.152477392833,-0.611406600482323,0.274515970194803,-0.096193312409418,0.923367042109796,1
metabat2.spades.15_10_37,191.701183625943,-1.09557685913662,0.372390191817738,-1.37108030865247,0.170349922648146,0.790707191948548
metabat2.spades.15_10_38,13.9614321145809,0.889006301506951,0.584769444904094,0.519873779583011,0.60315155172138,1
metabat2.spades.15_10_39,7.45476931749592,1.29412776066407,0.733244697200206,0.967109292943782,0.333489400387991,1
metabat2.spades.15_10_4,1.86973220093525,0.247604256085538,1.33629134099663,0,1,NA
metabat2.spades.15_10_40,2.40894952698553,0.38538739846239,1.30638397779053,0,1,NA
metabat2.spades.15_10_41,3.4674692324603,0.805716149440655,0.957365366856488,0.230545366567183,0.817668015312569,NA
metabat2.spades.15_10_42,6.5349756604099,0.742033982700933,0.829967257912101,0.189205033335862,0.849932122884933,1
metabat2.spades.15_10_43,5.83473277615727,0.583803750108625,0.822873707786156,0,1,1
metabat2.spades.15_10_44,11.3649602850896,-0.659383425567813,0.587403009306907,-0.126630991651848,0.899232466600072,1
metabat2.spades.15_10_45,7.53022836956944,0.135345805868377,0.842835945022484,0,1,1
metabat2.spades.15_10_46,49.1052487010669,0.0222432017379659,0.36376424907043,0,1,1
metabat2.spades.15_10_47,8.00050912238819,-0.623029168425782,0.694003832552414,-0.0547967700494071,0.956300373665391,1
metabat2.spades.15_10_48,0.461210076407,-0.425377447250488,2.93811848323943,0,1,NA
metabat2.spades.15_10_49,6.59455447025367,0.0805362398409643,0.795993361313356,0,1,1
metabat2.spades.15_10_5,135.638482978416,-0.940808022798219,0.364252335012396,-0.976817410892123,0.328659554842991,1
metabat2.spades.15_10_50,4.2576552656673,-0.284659570727075,0.967937443777376,0,1,1
metabat2.spades.15_10_53,0.729725034409825,-3.00738566248368,2.57749298477887,-0.939822407583198,0.347308662994761,NA
metabat2.spades.15_10_55,55.9739944513601,0.726365430396774,0.364934818509034,0.387371725653179,0.698481032669769,1
metabat2.spades.15_10_56,27.8914149833375,0.716568200804896,0.406655448451455,0.323537287661849,0.746288373187445,1
metabat2.spades.15_10_57,15.5926189201097,0.251910292743422,0.52280622953999,0,1,1
metabat2.spades.15_10_58,17.2504209252851,-0.187730470649196,0.510938677358502,0,1,1
metabat2.spades.15_10_59,25.9931162213707,-0.251504878491572,0.400301635489895,0,1,1
metabat2.spades.15_10_6,7.24328641860961,0.306221753257866,0.779327950238825,0,1,1
metabat2.spades.15_10_60,43.9478958005099,-0.207490184996735,0.481536760630388,0,1,1
metabat2.spades.15_10_61,10.3200544026205,0.292347186333111,0.646742672567626,0,1,1
metabat2.spades.15_10_63,106.095860022488,0.224752915984094,0.391789495378875,0,1,1
metabat2.spades.15_10_64,73.9989110868131,0.46841023412447,0.341083521337761,0,1,1
metabat2.spades.15_10_65,13.3633795034636,1.57789380275814,0.559715898182626,1.77392460350336,0.0760756224629443,0.485831640858457
metabat2.spades.15_10_66,156.775537683156,0.485584504497708,0.335247232306458,0,1,1
metabat2.spades.15_10_67,104.371231708692,0.361176668268635,0.356004180784776,0,1,1
metabat2.spades.15_10_68,26.3141791561927,0.147494422074059,0.608590332859278,0,1,1
metabat2.spades.15_10_69,62.304009987041,-1.87582018558154,0.492113785272531,-2.62301163716983,0.00871562955572318,0.117053546033228
metabat2.spades.15_10_7,14.642366493694,-0.642111836774499,0.523553594378563,-0.109084986499403,0.913135082860089,1
metabat2.spades.15_10_70,53.7579333398888,1.21085038222345,0.439027040511832,1.42553948725758,0.154001314179206,0.75003716971675
metabat2.spades.15_10_71,2.45239139625104,1.59183322679914,1.49276843479065,0.6744738188012,0.500010125302528,NA
metabat2.spades.15_10_72,34.1237653703627,-0.331659259386043,0.405269376167675,0,1,1
metabat2.spades.15_10_73,19.3681185315892,-0.16856370548843,0.504591557676209,0,1,1
metabat2.spades.15_10_74,8.81531549901331,-0.894602921174088,0.74197419700535,-0.417269121249314,0.676481571882385,1
metabat2.spades.15_10_75,22.010031880654,-0.503199130751972,0.473876759523914,0,1,1
metabat2.spades.15_10_76,30.0761079521346,0.150293781152513,0.433651432187516,0,1,1
metabat2.spades.15_10_77,19.6945327199362,0.817671066622977,0.529361000719215,0.439531938142135,0.660276145271292,1
metabat2.spades.15_10_78,33.3235253900698,-0.199850453706497,0.513727585221993,0,1,1
metabat2.spades.15_10_79,20.2532450270798,-0.279533276490675,0.434163403137069,0,1,1
metabat2.spades.15_10_8,3.62683651193797,-0.690804777860458,0.96990726372636,-0.109087519825307,0.913133073549309,NA
