,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
metabat2.megahit.24_10_1,0.07919811103441,-2.60285365449034,4.47173116041941,-0.451246638516857,0.65181179929985,1
metabat2.megahit.24_10_10,0.357540581089322,-1.48812459064174,4.08818822572537,-0.220910716624722,0.825161952897192,1
metabat2.megahit.24_10_11,0.397947814969724,-1.60410932759872,3.95331595205011,-0.25778595486916,0.79657210462687,1
metabat2.megahit.24_10_12,0.215774359436636,-1.53782061572168,4.37476674197368,-0.217799181515176,0.827585582313085,1
metabat2.megahit.24_10_13,4.01351714600048,-0.499432395108337,2.27839655315842,0,NA,NA
metabat2.megahit.24_10_14,0.160416246906955,-0.04763046021586,4.33356850953605,0,1,1
metabat2.megahit.24_10_15,0.0795390141056905,-1.63525707405196,4.43863739600933,-0.236617002099838,0.812953928952218,1
metabat2.megahit.24_10_16,0.467914218797978,1.55792835931185,4.14331671622815,0.234818727591154,0.814349431588405,1
metabat2.megahit.24_10_17,0.642068655739561,2.46657790384671,3.77924874978849,0.497870880807202,0.618575052672522,1
metabat2.megahit.24_10_18,6.0325913004402,-2.5930475041771,2.06811634150015,-0.970954807465294,0.331570783678903,1
metabat2.megahit.24_10_19,2.2171583968954,-2.41607896615376,2.83857577455803,-0.645069609402576,NA,NA
metabat2.megahit.24_10_20,3.00328615846066,-2.49348988501542,2.07239687183335,-0.920909460419647,0.357097698965908,1
metabat2.megahit.24_10_21,1.01120187194445,0.393180119067894,3.01077434945585,0,1,1
metabat2.megahit.24_10_22,0.339294223946795,-1.26573611750114,4.18177253871523,-0.162786500508773,0.870686537520156,1
metabat2.megahit.24_10_24,0.336061510494009,-0.710573102224707,4.14079037675043,-0.030325877622246,0.975807158702686,1
metabat2.megahit.24_10_25,7.35875291499594,0.161605265636665,2.03908332554937,0,1,1
metabat2.megahit.24_10_26,0.294378822958495,0.106541908215674,4.31159042052598,0,1,1
metabat2.megahit.24_10_27,1.74818382711384,-0.306260404545933,2.49179175386322,0,NA,NA
metabat2.megahit.24_10_28,0.581269509797575,0.584643648814482,3.46297381354849,0,1,1
metabat2.megahit.24_10_29,0.317474250280201,-0.900778339254438,4.23593052085696,-0.0745475728885548,0.940574688753557,1
metabat2.megahit.24_10_3,4.09210214127805,-0.499988125905999,2.36975703240159,0,NA,NA
metabat2.megahit.24_10_30,0.447585071776855,0.0806794743943837,3.75668529972624,0,1,1
metabat2.megahit.24_10_31,1.3082571322941,0.89087844590028,2.88915006847534,0.105871428846096,0.915684363114385,1
metabat2.megahit.24_10_32,0.722075787276881,0.308103160862706,3.66852824375942,0,1,1
metabat2.megahit.24_10_33,0.594242069614032,-1.57467803822435,3.26942879526867,-0.30270671123242,0.762113382793504,1
metabat2.megahit.24_10_34,0.0674799458379165,-1.70617999921185,4.44137162819238,-0.252440032735601,0.800700960195353,1
metabat2.megahit.24_10_35,2.57800754429883,-0.265976942248169,2.27226991407717,0,1,1
metabat2.megahit.24_10_36,9.17585540838069,-1.18769711015229,1.78846927750592,-0.336990474330523,NA,NA
metabat2.megahit.24_10_37,0.443751371505657,-0.935871740089888,3.57049197421501,-0.0982698582222771,0.921718011963164,1
metabat2.megahit.24_10_39,0.25692616450006,0.572933234014961,4.30966257954172,0,1,1
metabat2.megahit.24_10_4,0.135300794747114,-0.38588510250256,4.34937081309674,0,1,1
metabat2.megahit.24_10_40,0.833987935665418,1.84797797976989,2.91443409265701,0.433352733195098,0.664758533616424,1
metabat2.megahit.24_10_41,0.240296164083926,0.612917993562908,4.31137301751849,0.00647542985714014,0.994833390599466,1
metabat2.megahit.24_10_42,0.22749252463313,-2.06243865143954,4.40668871164584,-0.335271844261432,0.737420030869041,1
metabat2.megahit.24_10_43,0.0997426310458913,-1.81292299186215,4.43808534495443,-0.276678544106448,0.782026948278817,1
metabat2.megahit.24_10_44,0.0981262743194982,-1.04636425022897,4.39259721309307,-0.105032223044211,0.916350239832313,1
metabat2.megahit.24_10_45,0.51009041735467,-0.77055631792305,4.07341297503106,-0.0455530335520757,0.963666504076997,1
metabat2.megahit.24_10_46,2.75658373158623,-0.396731095928436,2.37614598458791,0,NA,NA
metabat2.megahit.24_10_47,2.56272174060737,0.245650158511057,2.35642447388632,0,NA,NA
metabat2.megahit.24_10_48,2.05637094445329,0.966961251107171,2.57885919818405,0.148112487636447,0.88225399443539,1
metabat2.megahit.24_10_49,4.13277256425872,-0.190501021077505,2.28875608223017,0,NA,NA
metabat2.megahit.24_10_5,0.421725048433991,-1.80791316121656,4.32387927348789,-0.282827776602118,0.777308860639521,1
metabat2.megahit.24_10_50,1.76926826029582,-0.608604538387765,2.5606520893217,-0.00921817473220963,0.992645064866491,1
metabat2.megahit.24_10_51,5.00126100295168,-0.21246428618422,2.14660667760329,0,1,1
metabat2.megahit.24_10_52,0.774201186353776,0.0753309072006061,3.60246877444388,0,1,1
metabat2.megahit.24_10_53,0.727035306530932,1.41137037447946,3.02848373186013,0.272866043751833,0.784956189485439,1
metabat2.megahit.24_10_54,0.231469809268938,-0.088083385894913,4.32182090935769,0,1,1
metabat2.megahit.24_10_55,0.550748711396916,1.94157192640949,3.95401659620362,0.343087059298634,0.731532966144767,1
metabat2.megahit.24_10_56,0.158737125140101,-1.49631541235782,4.39130537030035,-0.207527223800308,0.835598133906366,1
metabat2.megahit.24_10_57,0.663888629406155,2.000097823588,3.76191272559176,0.376164447931311,0.706794644112878,1
metabat2.megahit.24_10_58,0.384613293046837,-1.01550024398901,3.97778923417082,-0.108226006619667,0.913816415815058,1
metabat2.megahit.24_10_59,2.44962229719373,0.337599468253505,2.52001968178833,0,NA,NA
metabat2.megahit.24_10_6,0.783646582270863,0.184639618165631,3.18928727294578,0,1,1
metabat2.megahit.24_10_60,0.972215367476318,-0.255666777005942,3.21794359056832,0,1,1
metabat2.megahit.24_10_61,1.14886359460098,1.06885110671983,2.91271471723802,0.166116888776064,0.8680649634913,1
metabat2.megahit.24_10_62,1.1026280292008,0.970287481931755,2.78837009486632,0.138176593789006,0.890100853087244,1
metabat2.megahit.24_10_63,6.34089976491248,1.18048872332546,1.98810844948441,0.299525271611764,0.764539292641243,1
metabat2.megahit.24_10_64,8.55497201643781,1.96734870414187,2.04497200128894,0.675974391468721,0.499056904191215,1
metabat2.megahit.24_10_65,1.27668656581218,1.83285726834924,2.68327553653416,0.465049992577739,0.641895656194017,1
metabat2.megahit.24_10_66,0.505985918358512,0.95533603409843,3.60259991914606,0.10279688070004,0.918124180991365,1
metabat2.megahit.24_10_67,0.0779226573792974,-0.818720085606693,4.39341782909297,-0.0531977823868724,0.957574322514233,1
metabat2.megahit.24_10_68,0.31169062951719,0.881814322766821,4.22320778787815,0.070281723674304,0.943969428926977,1
metabat2.megahit.24_10_69,1.43345443429168,3.31246282700367,2.82999299278635,0.963770169733977,0.33516116536178,1
metabat2.megahit.24_10_7,0.38622964977323,-1.27972583834014,3.97905099839167,-0.17459586183262,0.861397200419739,1
metabat2.megahit.24_10_70,2.78858928021003,-1.02471588889871,2.50781402233181,-0.175338316551024,NA,NA
metabat2.megahit.24_10_8,1.11032714616767,-2.19691625622295,2.98746472384557,-0.539559929647649,NA,NA
metabat2.megahit.24_10_9,0.441056879830821,0.0364732190849559,3.76926315204288,0,1,1
metabat2.megahit.24_11_10,0.236722547559859,0.772200198630384,4.31034285464866,0.0434304659613076,0.965358392280953,1
metabat2.megahit.24_11_11,0.104995369336812,-0.0132751912818375,4.35079802748333,0,1,1
metabat2.megahit.24_11_12,0.160416246906955,-0.04763046021586,4.33356850953605,0,1,1
metabat2.megahit.24_11_13,0.366833369056513,1.46134710734701,4.02811696749675,0.217557512460124,0.827773891639271,1
metabat2.megahit.24_11_14,2.06919258059927,-0.410751534204131,2.35225783982992,0,1,1
metabat2.megahit.24_11_15,1.0540550892196,1.50582136569862,2.86338502115389,0.321584893018525,0.747767190001294,1
metabat2.megahit.24_11_16,1.49044695783145,2.10156490441814,2.59685120944963,0.584001462578809,0.559219328028083,1
metabat2.megahit.24_11_17,0.717971288280724,1.58752975152038,3.33806096263747,0.30033296657598,0.763923189521263,1
metabat2.megahit.24_11_18,0.550748711396916,1.94157192640949,3.95401659620362,0.343087059298634,0.731532966144767,1
metabat2.megahit.24_11_19,1.17457100999395,3.42338236102952,2.99006914885253,0.949269806057424,0.342483406068936,1
metabat2.megahit.24_11_2,0.179003507120763,0.141369399768093,4.32617952973511,0,1,1
metabat2.megahit.24_11_20,0.473319565038796,0.0199282234613494,3.69824226578169,0,1,1
metabat2.megahit.24_11_21,0.253693451047274,1.26729579117033,4.30597975828873,0.158453088372502,0.874099783640184,1
metabat2.megahit.24_11_22,0.195974410608177,0.685717580660819,4.31656001070378,0.0233328345745383,0.981384780635115,1
metabat2.megahit.24_11_23,2.10249903405624,0.339957946344411,2.56655735388246,0,NA,NA
metabat2.megahit.24_11_24,1.33215989583929,1.41675936682306,2.93563083680529,0.283332412371109,0.77692203332135,1
metabat2.megahit.24_11_25,0.429742382746069,1.42558581323456,3.78674449090045,0.221981127919902,0.82432857458503,1
metabat2.megahit.24_11_26,0.591496848348598,1.94283501615719,3.50689850037109,0.387189710798162,0.698615766846165,1
metabat2.megahit.24_11_27,0.485299505374962,-0.685848851651053,3.79950170246597,-0.0265426520497674,0.978824514154565,1
metabat2.megahit.24_11_28,0.480988656973733,0.634059821609245,3.43131586130702,0.0142976699296221,0.988592498568995,1
metabat2.megahit.24_11_29,29.5210613780895,-2.08753573108411,1.8597158104186,-0.807938354164934,0.419126070589654,1
metabat2.megahit.24_11_3,2.38616772242036,-0.323094845915828,2.40470814264969,0,NA,NA
metabat2.megahit.24_11_30,1.56637661065308,-2.10331614273519,2.51415138302405,-0.603908003705386,0.54590480726935,1
metabat2.megahit.24_11_31,0.348714226274334,-2.44112843066309,4.40605927845347,-0.421267239807675,0.673559949463601,1
metabat2.megahit.24_11_32,0.797036529928351,-1.24545366346464,3.30592302595585,-0.199778899351015,0.841653504530542,1
metabat2.megahit.24_11_33,0.721037997056989,-0.406318747513184,3.05985852865157,0,1,1
metabat2.megahit.24_11_34,0.321110631844729,0.0525488863068202,4.18389563482561,0,1,1
metabat2.megahit.24_11_35,0.56880677341806,-0.304685848546387,3.50023284944716,0,1,1
metabat2.megahit.24_11_36,1.67584578751146,0.842784331773465,2.5754578663666,0.100092622418685,0.920270792376487,1
metabat2.megahit.24_11_37,0.371619674195231,-0.179593890818965,3.98788325791294,0,1,1
metabat2.megahit.24_11_38,1.72105568942173,0.097992662838442,2.66687344055836,0,NA,NA
metabat2.megahit.24_11_4,0.215180711924085,0.413890764376932,4.31705252720228,0,1,1
metabat2.megahit.24_11_40,1.67794662456063,-0.35069114670585,2.68522485389448,0,NA,NA
metabat2.megahit.24_11_41,2.32878790077312,0.934127722024432,2.40436369989457,0.145205869660959,0.884548331734206,1
metabat2.megahit.24_11_42,0.221368000798838,-0.0178357147877729,4.32201632306459,0,1,1
metabat2.megahit.24_11_43,1.42471960666556,-0.223761456441572,2.76476358243278,0,1,1
metabat2.megahit.24_11_44,6.74170580647967,-0.4278606369832,1.86682742002328,0,1,1
metabat2.megahit.24_11_45,74.7446963709889,0.579414427323803,1.81797361007468,0,1,1
