,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
metabat2.megahit.24_10_1,0.07919811103441,1.97273805812188,4.52550779379382,0.30664803185733,0.759111289646763,1
metabat2.megahit.24_10_10,0.357540581089322,0.00963332084698415,4.14972946587693,0,1,1
metabat2.megahit.24_10_11,0.397947814969724,0.00943658330170534,4.01766399671083,0,1,1
metabat2.megahit.24_10_12,0.215774359436636,0.458553833817159,4.43079881049457,0,1,1
metabat2.megahit.24_10_13,4.01351714600048,-1.94768367975335,2.44870300353979,-0.556492019564432,NA,NA
metabat2.megahit.24_10_14,0.160416246906955,-0.328299029576122,4.38826429668921,0,1,1
metabat2.megahit.24_10_15,0.0795390141056905,1.25931420093921,4.49205061818356,0.150112778829701,0.880675638177748,1
metabat2.megahit.24_10_16,0.467914218797978,-2.02401340524382,4.20122852836716,-0.342522049330913,0.731958053431066,1
metabat2.megahit.24_10_17,0.642068655739561,-2.5860200997549,3.84253521306944,-0.520755175632202,0.602537332368915,1
metabat2.megahit.24_10_18,6.0325913004402,-0.339986344161876,2.23722544527512,0,1,1
metabat2.megahit.24_10_19,2.2171583968954,1.94520259495077,2.86765669608247,0.47432546469351,NA,NA
metabat2.megahit.24_10_20,3.00328615846066,-1.62367345039305,2.33160639317898,-0.445475468514601,0.655976184087799,1
metabat2.megahit.24_10_21,1.01120187194445,-2.40164373392429,3.10249618794697,-0.58554261596899,0.558182920426756,1
metabat2.megahit.24_10_22,0.339294223946795,-0.117423306066914,4.24144519645271,0,1,1
metabat2.megahit.24_10_24,0.336061510494009,-0.533945656811833,4.20086476996968,0,1,1
metabat2.megahit.24_10_25,7.35875291499594,-4.9351091104284,2.32043964200121,-1.87469177464868,0.0608351391332025,1
metabat2.megahit.24_10_26,0.294378822958495,-0.93241379541207,4.36786135633011,-0.0795386499410247,0.936604190769163,1
metabat2.megahit.24_10_27,1.74818382711384,-1.60661394104567,2.64891160637574,-0.385673096296125,NA,NA
metabat2.megahit.24_10_28,0.581269509797575,-1.88246090051788,3.53800736804851,-0.366720802289774,0.713827288050636,1
metabat2.megahit.24_10_29,0.317474250280201,-0.34215393133151,4.29438967300319,0,1,1
metabat2.megahit.24_10_3,4.09210214127805,-0.898345499919362,2.45712593084078,-0.127525209834134,NA,NA
metabat2.megahit.24_10_30,0.447585071776855,-1.33286652615216,3.82434127610592,-0.195554337899903,0.84495900319448,1
metabat2.megahit.24_10_31,1.3082571322941,-2.96803245273004,2.98616429669055,-0.798024561264451,0.424856237111653,1
metabat2.megahit.24_10_32,0.722075787276881,-1.96358963387691,3.7389766998354,-0.368707735979633,0.712345581935601,1
metabat2.megahit.24_10_33,0.594242069614032,0.00802112505967378,3.35152196170302,0,1,1
metabat2.megahit.24_10_34,0.0674799458379165,1.33023653594353,4.4947522683947,0.165801470569076,0.868313188795442,1
metabat2.megahit.24_10_35,2.57800754429883,-3.21971196557288,2.48539616096882,-1.06007726532653,0.289109449736418,1
metabat2.megahit.24_10_36,9.17585540838069,-2.08346492820499,1.98124830247275,-0.756323640169076,NA,NA
metabat2.megahit.24_10_37,0.443751371505657,0.839560436276289,3.63964334136019,0.0699410388329853,0.944240588823398,1
metabat2.megahit.24_10_39,0.25692616450006,-1.042419146027,4.36496281249979,-0.104793366100875,0.916539774150557,1
metabat2.megahit.24_10_4,0.135300794747114,0.00995279667781763,4.40386982225927,0,1,1
metabat2.megahit.24_10_40,0.833987935665418,-1.37632932971363,2.99983579721457,-0.263790881637057,0.791941061186503,1
metabat2.megahit.24_10_41,0.240296164083926,-0.988841339050737,4.36634757866263,-0.0924895079411955,0.926309126940265,1
metabat2.megahit.24_10_42,0.22749252463313,0.859073733946366,4.46256033245465,0.0614162528970472,0.951027708853499,1
metabat2.megahit.24_10_43,0.0997426310458913,1.25931568002157,4.49205061818218,0.150113108096374,0.880675378404357,1
metabat2.megahit.24_10_44,0.0981262743194982,0.670426445792579,4.44656503768537,0.019211783718123,0.984672157290598,1
metabat2.megahit.24_10_45,0.51009041735467,-0.869918102342657,4.13535577189438,-0.0688980871438148,0.945070741141059,1
metabat2.megahit.24_10_46,2.75658373158623,-2.21403899152021,2.57937267317423,-0.631564026579951,NA,NA
metabat2.megahit.24_10_47,2.56272174060737,-2.4431844473422,2.540511581303,-0.731421364506891,NA,NA
metabat2.megahit.24_10_48,2.05637094445329,-3.59440889351544,2.71805458349693,-1.10719222188822,0.268210829708236,1
metabat2.megahit.24_10_49,4.13277256425872,-1.66243005229375,2.4147157478678,-0.446193326583107,NA,NA
metabat2.megahit.24_10_5,0.421725048433991,0.149560591202804,4.3816410006135,0,1,1
metabat2.megahit.24_10_50,1.76926826029582,0.0751685995498982,2.60423914019742,0,1,1
metabat2.megahit.24_10_51,5.00126100295168,-4.17552301346534,2.40565157964365,-1.49253659334874,0.135558531573737,1
metabat2.megahit.24_10_52,0.774201186353776,-1.89773333577985,3.67484069413815,-0.357221834914867,0.720925740943787,1
metabat2.megahit.24_10_53,0.727035306530932,-1.03048095661551,3.11003407826525,-0.143239895578249,0.886100722556599,1
metabat2.megahit.24_10_54,0.231469809268938,-0.612257775975797,4.37763750889727,-0.00622659503451285,0.995031928058038,1
metabat2.megahit.24_10_55,0.550748711396916,-2.30681310853138,4.01492558437746,-0.428853056512717,0.668030164668948,1
metabat2.megahit.24_10_56,0.158737125140101,0.670430181050472,4.44656503683193,0.0192126237540291,0.984671487162604,1
metabat2.megahit.24_10_57,0.663888629406155,-2.54329598683226,3.82733096198027,-0.511660999867916,0.608888285540501,1
metabat2.megahit.24_10_58,0.384613293046837,-0.435602579797262,4.04131105157718,0,1,1
metabat2.megahit.24_10_59,2.44962229719373,-3.53081018479839,2.69816486549083,-1.0917828715639,NA,NA
metabat2.megahit.24_10_6,0.783646582270863,-1.98877102297978,3.27393923740443,-0.428771251140472,0.668089702482485,1
metabat2.megahit.24_10_60,0.972215367476318,2.03819933425541,3.20192345454099,0.453851990807113,0.649935360202542,1
metabat2.megahit.24_10_61,1.14886359460098,-2.89499360291059,3.00816217916254,-0.767908598449861,0.44254148869313,1
metabat2.megahit.24_10_62,1.1026280292008,-1.62276473000922,2.88560174901952,-0.359635466107489,0.719119757622972,1
metabat2.megahit.24_10_63,6.34089976491248,-4.22651648108529,2.24815715085339,-1.61977843928882,0.105279879383318,1
metabat2.megahit.24_10_64,8.55497201643781,-2.37306095868162,2.06536434277973,-0.865736336028302,0.386634768867111,1
metabat2.megahit.24_10_65,1.27668656581218,-2.05549241194735,2.78242382385614,-0.528493322742401,0.597156980338652,1
metabat2.megahit.24_10_66,0.505985918358512,-1.89466794758632,3.67302203220513,-0.356564141489792,0.721418126092347,1
metabat2.megahit.24_10_67,0.0779226573792974,0.670424550615984,4.4465650376873,0.0192113575067405,0.984672497295328,1
metabat2.megahit.24_10_68,0.31169062951719,-1.34951770439141,4.27984251388401,-0.178632204785872,0.858226505429301,1
metabat2.megahit.24_10_69,1.43345443429168,-3.72340715129995,2.92358658917902,-1.07347843327646,0.283056510042849,1
metabat2.megahit.24_10_7,0.38622964977323,-0.230884339710516,4.042689750051,0,1,1
metabat2.megahit.24_10_70,2.78858928021003,-2.82608235102757,2.71581962031734,-0.825195581570218,NA,NA
metabat2.megahit.24_10_8,1.11032714616767,-0.623107402697207,3.11718396382504,-0.0122249450592085,NA,NA
metabat2.megahit.24_10_9,0.441056879830821,-1.28838285170114,3.83664181910708,-0.183332947109678,0.854536784420264,1
metabat2.megahit.24_11_10,0.236722547559859,-1.04242080496021,4.36496281250038,-0.104793746157526,0.916539472569711,1
metabat2.megahit.24_11_11,0.104995369336812,0.00994969463473454,4.40386982226133,0,1,1
metabat2.megahit.24_11_12,0.160416246906955,-0.328299029576122,4.38826429668921,0,1,1
metabat2.megahit.24_11_13,0.366833369056513,-1.7207781342937,4.08728882770196,-0.277880566353879,0.781104042415395,1
metabat2.megahit.24_11_14,2.06919258059927,-2.81174714951838,2.54518226782283,-0.874887106385179,0.381635335283301,1
metabat2.megahit.24_11_15,1.0540550892196,-1.67371539028952,2.95375819862549,-0.3685864979727,0.712435961113821,1
metabat2.megahit.24_11_16,1.49044695783145,-2.45092676231483,2.70301350848696,-0.690313517285864,0.489997049156365,1
metabat2.megahit.24_11_17,0.717971288280724,-2.52869827547181,3.41561274359012,-0.569062836271306,0.569313497812985,1
metabat2.megahit.24_11_18,0.550748711396916,-2.30681310853138,4.01492558437746,-0.428853056512717,0.668030164668948,1
metabat2.megahit.24_11_19,1.17457100999395,-3.46622297858552,3.07472833240664,-0.937065869598416,0.348724676379859,1
metabat2.megahit.24_11_2,0.179003507120763,-0.517297316101118,4.38096781145882,0,1,1
metabat2.megahit.24_11_20,0.473319565038796,-1.34710545308947,3.76740521721092,-0.202289217418899,0.839690628982418,1
metabat2.megahit.24_11_21,0.253693451047274,-1.27061062685251,4.35959866664632,-0.157264619814173,0.875036302548974,1
metabat2.megahit.24_11_22,0.195974410608177,-0.834000590945718,4.3706444641155,-0.0569711384648416,0.954568185956083,1
metabat2.megahit.24_11_23,2.10249903405624,-3.32573464159032,2.72984795159324,-1.00398802064808,NA,NA
metabat2.megahit.24_11_24,1.33215989583929,-3.21685779192083,3.02997927877383,-0.868605871451995,0.385062741906976,1
metabat2.megahit.24_11_25,0.429742382746069,-1.88174477628291,3.85134972243663,-0.336698786071938,0.736343978569316,1
metabat2.megahit.24_11_26,0.591496848348598,-2.38936535484197,3.57792750759845,-0.504304615174578,0.614047334797036,1
metabat2.megahit.24_11_27,0.485299505374962,2.03028961634395,3.82429379990116,0.377923269488685,0.705487595646378,1
metabat2.megahit.24_11_28,0.480988656973733,-0.220970472105438,3.50202321246232,0,1,1
metabat2.megahit.24_11_29,29.5210613780895,-1.48121025975041,1.93354227149983,-0.463506939031246,0.643001042197349,1
metabat2.megahit.24_11_3,2.38616772242036,-1.26119456542044,2.52935509810517,-0.267338724375634,NA,NA
metabat2.megahit.24_11_30,1.56637661065308,-1.11751899459081,2.69451300128517,-0.197630887042228,0.843333867044719,1
metabat2.megahit.24_11_31,0.348714226274334,0.859076886605135,4.46256033245135,0.0614169593656968,0.95102714623517,1
