,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
metabat2.megahit.24_10_1,0.07919811103441,-0.63011559636846,4.02064833242398,-0.156719897954511,0.875465604562627,1
metabat2.megahit.24_10_10,0.357540581089322,-1.47849126979476,3.79533863333643,-0.38955450689127,0.696865997806845,1
metabat2.megahit.24_10_11,0.397947814969724,-1.59467274429701,3.67918553941674,-0.433430912144164,0.664701747331785,1
metabat2.megahit.24_10_12,0.215774359436636,-1.07926678190452,4.01946373861472,-0.268510142668057,0.788306668716234,1
metabat2.megahit.24_10_13,4.01351714600048,-2.44711607486168,2.28536923338522,-1.07077492735687,NA,NA
metabat2.megahit.24_10_14,0.160416246906955,-0.375929489791982,4.02149813312689,-0.0934799612848957,0.925522268556652,1
metabat2.megahit.24_10_15,0.0795390141056905,-0.375942873112745,4.02149813254668,-0.0934832892424279,0.925519624807608,1
metabat2.megahit.24_10_16,0.467914218797978,-0.466085045931963,3.89498155562484,-0.119662966120822,0.90475013825332,1
metabat2.megahit.24_10_17,0.642068655739561,-0.119442195908189,3.59246797415299,-0.0332479500910096,0.973476860596177,1
metabat2.megahit.24_10_18,6.0325913004402,-2.93303384833898,2.05315171609158,-1.42855193084433,0.153133058560735,1
metabat2.megahit.24_10_19,2.2171583968954,-0.47087637120299,2.6267879985773,-0.179259373599248,NA,NA
metabat2.megahit.24_10_20,3.00328615846066,-4.11716333540846,2.16854434716329,-1.89858387761089,0.0576192098565515,1
metabat2.megahit.24_10_21,1.01120187194445,-2.00846361485639,2.95028325974991,-0.680769755995108,0.496017189916075,1
metabat2.megahit.24_10_22,0.339294223946795,-1.38315942356805,3.88179465541266,-0.356319575441585,0.721601251032727,1
metabat2.megahit.24_10_24,0.336061510494009,-1.24451875903654,3.86218521811405,-0.322231764856749,0.747277121914408,1
metabat2.megahit.24_10_25,7.35875291499594,-4.77350384479173,2.1745323835727,-2.19518636781531,0.0281502317459731,1
metabat2.megahit.24_10_26,0.294378822958495,-0.825871887196396,4.02008708847456,-0.205436317428083,0.837231248124116,1
metabat2.megahit.24_10_27,1.74818382711384,-1.91287434559161,2.52106530402163,-0.758756364835203,NA,NA
metabat2.megahit.24_10_28,0.581269509797575,-1.2978172517034,3.31807916476921,-0.391135107770603,0.695697371335659,1
metabat2.megahit.24_10_29,0.317474250280201,-1.24293227058595,3.93738209256668,-0.315674791362632,0.752249362597964,1
metabat2.megahit.24_10_3,4.09210214127805,-1.39833362582536,2.28529543028659,-0.611883088415402,NA,NA
metabat2.megahit.24_10_30,0.447585071776855,-1.25218705175778,3.55556137558813,-0.352177031833869,0.724705500873165,1
metabat2.megahit.24_10_31,1.3082571322941,-2.07715400682976,2.85670839236524,-0.727114469359597,0.467155835629034,1
metabat2.megahit.24_10_32,0.722075787276881,-1.65548647301421,3.49152510831049,-0.474144226851996,0.635397062134348,1
metabat2.megahit.24_10_33,0.594242069614032,-1.56665691316468,3.09567420984607,-0.506079389162395,0.612800918895414,1
metabat2.megahit.24_10_34,0.0674799458379165,-0.375943463268322,4.02149813254838,-0.0934834359925688,0.925519508228452,1
metabat2.megahit.24_10_35,2.57800754429883,-3.48568890782104,2.3528328990674,-1.48148596069134,0.138477123320717,1
metabat2.megahit.24_10_36,9.17585540838069,-3.27116203835728,1.83856643619321,-1.77919164299022,NA,NA
metabat2.megahit.24_10_37,0.443751371505657,-0.0963113038135983,3.35459627783015,-0.0287102517969451,0.977095679987653,1
metabat2.megahit.24_10_39,0.25692616450006,-0.469485912012035,4.02116809162855,-0.116753615196896,0.907055301981606,1
metabat2.megahit.24_10_4,0.135300794747114,-0.375932305824742,4.02149813313054,-0.0934806615295124,0.92552171227814,1
metabat2.megahit.24_10_40,0.833987935665418,0.471648650056254,2.8666322098887,0.164530576482487,0.869313478169495,1
metabat2.megahit.24_10_41,0.240296164083926,-0.375923345487829,4.02149813547055,-0.0934784333659384,0.925523482344737,1
metabat2.megahit.24_10_42,0.22749252463313,-1.20336491749317,4.01919570862411,-0.299404409422282,0.764631498163036,1
metabat2.megahit.24_10_43,0.0997426310458913,-0.553607311840588,4.02088883073365,-0.137682819681333,0.890491097981514,1
metabat2.megahit.24_10_44,0.0981262743194982,-0.37593780443639,4.02149813314051,-0.0934820288335702,0.925520626083724,1
metabat2.megahit.24_10_45,0.51009041735467,-1.64047442026571,3.8141258386125,-0.430104954497903,0.667119296157195,1
metabat2.megahit.24_10_46,2.75658373158623,-2.61077008744864,2.4282274520401,-1.07517526220831,NA,NA
metabat2.megahit.24_10_47,2.56272174060737,-2.19753428883114,2.41669973746548,-0.90931208985681,NA,NA
metabat2.megahit.24_10_48,2.05637094445329,-2.62744764240827,2.60651201080761,-1.00803204877394,0.313439076825675,1
metabat2.megahit.24_10_49,4.13277256425872,-1.85293107337126,2.25426354892024,-0.821967366796478,NA,NA
metabat2.megahit.24_10_5,0.421725048433991,-1.65835257001376,3.9921633134204,-0.415401986296225,0.677847652840496,1
metabat2.megahit.24_10_50,1.76926826029582,-0.533435938837867,2.47507553674334,-0.215523094515229,0.829359508292433,1
metabat2.megahit.24_10_51,5.00126100295168,-4.38798729964956,2.25523193629079,-1.94569224967013,0.05169171819525,1
metabat2.megahit.24_10_52,0.774201186353776,-1.82240242857925,3.43500393143286,-0.530538673304825,0.595738502822349,1
metabat2.megahit.24_10_53,0.727035306530932,0.380889417863952,2.95511092313746,0.128891749843204,0.897443304886233,1
metabat2.megahit.24_10_54,0.231469809268938,-0.70034116187071,4.02043827769062,-0.174195227857842,0.861712035821198,1
metabat2.megahit.24_10_55,0.550748711396916,-0.365241182121886,3.73731160057887,-0.0977283194864765,0.922148027492463,1
metabat2.megahit.24_10_56,0.158737125140101,-0.825885231307344,4.02008708849279,-0.205439636785825,0.837228654963157,1
metabat2.megahit.24_10_57,0.663888629406155,-0.543198163244264,3.57711760368208,-0.151853593710514,0.879302410567912,1
metabat2.megahit.24_10_58,0.384613293046837,-1.45110282378627,3.71901782673132,-0.390184422714011,0.696400179467075,1
metabat2.megahit.24_10_59,2.44962229719373,-3.19321071654488,2.55214943131785,-1.25118485515012,NA,NA
metabat2.megahit.24_10_6,0.783646582270863,-1.80413140481415,3.09178682084865,-0.583523868026238,0.559540694256908,1
metabat2.megahit.24_10_60,0.972215367476318,1.78253255724947,2.96758659758673,0.600667410581731,0.548061529327463,1
metabat2.megahit.24_10_61,1.14886359460098,-1.82614249619075,2.87534505102801,-0.635103774949675,0.52536073519509,1
metabat2.megahit.24_10_62,1.1026280292008,-0.652477248077467,2.76783159655443,-0.235735891189952,0.813637617496122,1
metabat2.megahit.24_10_63,6.34089976491248,-3.04602775775983,2.1369430195824,-1.42541365391909,0.154037663489959,1
metabat2.megahit.24_10_64,8.55497201643781,-0.405712254539759,1.95029696298947,-0.208025886436223,0.835208755017952,1
