,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
metabat2.megahit.24_10_1,0.07919811103441,-0.63011559636846,4.02064833242398,-0.0112209754841357,0.991047144780556,1
metabat2.megahit.24_10_10,0.357540581089322,-1.47849126979476,3.79533863333643,-0.235418063080527,0.813884267683541,1
metabat2.megahit.24_10_11,0.397947814969724,-1.59467274429701,3.67918553941674,-0.274428330259495,0.783755473996385,1
metabat2.megahit.24_10_12,0.215774359436636,-1.07926678190452,4.01946373861472,-0.122968339571305,0.9021321690145,1
metabat2.megahit.24_10_13,4.01351714600048,-2.44711607486168,2.28536923338522,-0.814798785097589,NA,NA
metabat2.megahit.24_10_14,0.160416246906955,-0.375929489791982,4.02149813312689,0,1,1
metabat2.megahit.24_10_15,0.0795390141056905,-0.375942873112745,4.02149813254668,0,1,1
metabat2.megahit.24_10_16,0.467914218797978,-0.466085045931963,3.89498155562484,0,1,1
metabat2.megahit.24_10_17,0.642068655739561,-0.119442195908189,3.59246797415299,0,1,1
metabat2.megahit.24_10_18,6.0325913004402,-2.93303384833898,2.05315171609158,-1.1436241315906,0.252779549465471,1
metabat2.megahit.24_10_19,2.2171583968954,-0.47087637120299,2.6267879985773,0,NA,NA
metabat2.megahit.24_10_20,3.00328615846066,-4.11716333540846,2.16854434716329,-1.62881766288476,0.103351624417819,1
metabat2.megahit.24_10_21,1.01120187194445,-2.00846361485639,2.95028325974991,-0.482483710725817,0.629462367263095,1
metabat2.megahit.24_10_22,0.339294223946795,-1.38315942356805,3.88179465541266,-0.205616085965579,0.837090811227022,1
metabat2.megahit.24_10_24,0.336061510494009,-1.24451875903654,3.86218521811405,-0.170763109947014,0.864410036951245,1
metabat2.megahit.24_10_25,7.35875291499594,-4.77350384479173,2.1745323835727,-1.9261630116127,0.0540840227422849,1
metabat2.megahit.24_10_26,0.294378822958495,-0.825871887196396,4.02008708847456,-0.0599170818679442,0.952221674974105,1
metabat2.megahit.24_10_27,1.74818382711384,-1.91287434559161,2.52106530402163,-0.526711602223619,NA,NA
metabat2.megahit.24_10_28,0.581269509797575,-1.2978172517034,3.31807916476921,-0.214828283565976,0.829901200594946,1
metabat2.megahit.24_10_29,0.317474250280201,-1.24293227058595,3.93738209256668,-0.167098913724438,0.867292220720648,1
metabat2.megahit.24_10_3,4.09210214127805,-1.39833362582536,2.28529543028659,-0.355898679464548,NA,NA
metabat2.megahit.24_10_30,0.447585071776855,-1.25218705175778,3.55556137558813,-0.187646051152026,0.851154123811839,1
metabat2.megahit.24_10_31,1.3082571322941,-2.07715400682976,2.85670839236524,-0.522333329792305,0.601438266862586,1
metabat2.megahit.24_10_32,0.722075787276881,-1.65548647301421,3.49152510831049,-0.30659566802663,0.759151151358875,1
