,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
metabat1.megahit.20_10_1,0.324551712944297,1.36206554799381,4.40245875345613,0.176507172811961,0.859895514061511,1
metabat1.megahit.20_10_10,1.24857962837485,4.20507585961747,4.22073330736818,0.85768884124895,0.391064303348787,1
metabat1.megahit.20_10_11,0.492586041335004,1.45721266101667,3.96681912144027,0.219877094043044,0.825966876080688,1
metabat1.megahit.20_10_12,0.613238429855567,3.71139847885313,4.34987936862136,0.718732225405139,0.472305923723895,1
metabat1.megahit.20_10_14,0.314926653270446,0.529383020216329,4.42966214996472,0,1,1
metabat1.megahit.20_10_15,1.86181805823042,4.79666740583239,4.10244253498275,1.02662435120498,0.304597383024831,1
metabat1.megahit.20_10_16,0.657443967183003,2.86156336797711,4.3366380850328,0.524960424028535,0.599610703113898,1
metabat1.megahit.20_10_17,2.53220158222923,0.658352421782083,3.0928568994525,0.0237167202255843,0.981078568945729,1
metabat1.megahit.20_10_18,0.444690615936738,1.17219830652881,4.37620399471287,0.134179829651047,0.893260375274675,1
metabat1.megahit.20_10_19,0.164344440319877,-0.444052869162293,4.46689778963276,0,1,1
metabat1.megahit.20_10_2,1.18281248226403,1.36741074972359,3.589141920452,0.217993817760501,0.827433928312903,1
metabat1.megahit.20_10_22,0.340719310004994,1.12145286234608,4.4353083264882,0.120950523133267,0.903730224205437,1
metabat1.megahit.20_10_23,0.613238429855567,3.71139847885313,4.34987936862136,0.718732225405139,0.472305923723895,1
metabat1.megahit.20_10_24,0.657443967183003,2.86156336797711,4.3366380850328,0.524960424028535,0.599610703113898,1
metabat1.megahit.20_10_25,3.70242660123459,3.07708420784533,2.99975224374958,0.830763344885549,0.406107333616628,1
metabat1.megahit.20_10_26,2.11815516905762,3.85317122745953,3.07101268001092,1.06419984806051,0.287238175842883,1
metabat1.megahit.20_10_27,0.720899623858141,3.95913333267723,4.34193523902669,0.777103560262587,0.437097673645931,1
metabat1.megahit.20_10_28,0.797468695637421,2.29624491564122,3.64312227014348,0.469719320063836,0.638555562753066,1
metabat1.megahit.20_10_29,0.360605135466971,1.14569021515593,4.24655619137004,0.132034097722616,0.894957321752687,1
metabat1.megahit.20_10_3,0.908401478250188,0.747567931333484,3.64530608294194,0.0445965105904861,0.964428924039839,1
metabat1.megahit.20_10_30,1.77870689713776,0.928111386258975,2.85522778842798,0.120169531709372,0.904348853014808,1
metabat1.megahit.20_10_31,0.554744073479808,0.337198442273502,4.00829713824694,0,1,1
metabat1.megahit.20_10_7,0.744367976840934,1.46354886685901,3.72436352483276,0.23589235073353,0.813516204009409,1
metabat1.megahit.20_10_8,0.120138902992441,-0.092352161706343,4.4699608107997,0,1,1
metabat1.megahit.20_10_9,0.727442161244988,3.18554939300416,4.11854791567134,0.631423852836311,0.527763423812297,1
metabat1.megahit.20_11_10,0.613238429855567,3.71139847885313,4.34987936862136,0.718732225405139,0.472305923723895,1
metabat1.megahit.20_11_12,0.573170060223588,1.8568927817135,4.20070451786514,0.302780825526832,0.762056896942999,1
metabat1.megahit.20_11_13,1.32451299403986,3.93728455893529,3.80888311653857,0.880122717438957,0.378792833677216,1
metabat1.megahit.20_11_15,1.20257608713985,3.16793304844126,3.90926801395771,0.660720380188596,0.508791651407873,1
metabat1.megahit.20_11_16,1.06626958708671,3.61223108502371,4.29006694031637,0.705637260942242,0.480413746223524,1
metabat1.megahit.20_11_17,1.45299243832671,4.43022263669084,4.16879327588021,0.922382661413918,0.356329010507038,1
metabat1.megahit.20_11_19,0.430928388567429,2.58501499208589,4.36671428767558,0.458013705575068,0.646942594668016,1
metabat1.megahit.20_11_2,1.62981458763645,3.04081112756185,4.13732412735987,0.593574748306936,0.552796574534895,1
metabat1.megahit.20_11_20,0.248618347279292,1.12143502589284,4.43530917581344,0.12094647850439,0.903733427834262,1
metabat1.megahit.20_11_21,1.02206404975928,4.46239769680267,4.32934891600662,0.895607577958666,0.370462386995571,1
metabat1.megahit.20_11_22,2.27756728924211,1.68867675666876,3.60720435618477,0.305964577464661,0.759631616293601,1
metabat1.megahit.20_11_23,0.132616611982308,-1.8230067114517,4.51506288784715,-0.274194788024759,0.783934933247179,1
metabat1.megahit.20_11_24,0.649103425888593,1.88519806783291,4.08517626925327,0.318272207155109,0.750278464512802,1
metabat1.megahit.20_11_25,0.120138902992441,-0.092352161706343,4.4699608107997,0,1,1
metabat1.megahit.20_11_26,0.475133925894865,2.01880593243481,4.35987782818061,0.328863786771093,0.742258647159156,1
metabat1.megahit.20_11_29,2.55056136306952,0.0815851467103017,3.32188930347231,0,1,1
metabat1.megahit.20_11_3,0.11051384331859,-1.68536838784174,4.51606995888253,-0.243656187317793,0.807497108217472,1
metabat1.megahit.20_11_30,1.58509556478089,2.28688148267049,3.40692490417934,0.499535954133523,0.617401864269028,1
metabat1.megahit.20_11_31,0.657443967183003,2.86156336797711,4.3366380850328,0.524960424028535,0.599610703113898,1
metabat1.megahit.20_11_4,1.93552100039937,1.74560178446305,3.48776414445664,0.332763838491683,0.739312556744057,1
metabat1.megahit.20_11_5,2.240200368176,4.24935130004371,3.64457378406846,1.00542656484599,0.314691493631677,1
metabat1.megahit.20_11_6,0.727442161244988,3.18554939300416,4.11854791567134,0.631423852836311,0.527763423812297,1
metabat1.megahit.20_11_7,0.430928388567429,2.58501499208589,4.36671428767558,0.458013705575068,0.646942594668016,1
metabat1.megahit.20_11_8,1.45299243832671,4.43022263669084,4.16879327588021,0.922382661413918,0.356329010507038,1
metabat1.megahit.20_11_9,1.09250952344589,2.21246613166216,3.86685931111817,0.420875444571463,0.673846036890109,1
metabat1.megahit.20_12_1,1.10498723243576,1.8809910798945,4.26260530151864,0.3040373171386,0.761099461078624,1
