,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
metabat1.megahit.20_10_1,0.324551712944297,-0.586296922469049,4.03050909548446,-0.145464731273253,0.884343959895531,1
metabat1.megahit.20_10_10,1.24857962837485,-0.0192500935125332,3.95720341661072,-0.00486457012336773,0.9961186499117,1
metabat1.megahit.20_10_11,0.492586041335004,0.383210372971994,3.61144333288076,0.106110033482462,0.915495050523573,1
metabat1.megahit.20_10_12,0.613238429855567,0,4.04755553352815,0,1,1
metabat1.megahit.20_10_14,0.314926653270446,-0.93799884110618,4.02711199228768,-0.232920972374878,0.815822772682231,1
metabat1.megahit.20_10_15,1.86181805823042,-0.0182272344247579,3.86401409036566,-0.00471717597257339,0.996236252079228,1
metabat1.megahit.20_10_16,0.657443967183003,-0.345934050304377,4.03332196282459,-0.0857690145971176,0.93165003845453,1
metabat1.megahit.20_10_17,2.53220158222923,-1.21686856776681,2.85671583639501,-0.425967662678842,0.670131409524808,1
metabat1.megahit.20_10_18,0.444690615936738,-1.07563789806834,4.02561054679954,-0.267198698325027,0.789316178315166,1
metabat1.megahit.20_10_19,0.164344440319877,-0.938009900815,4.02711243093787,-0.23292369331654,0.815820659784663,1
metabat1.megahit.20_10_2,1.18281248226403,-0.186529461716841,3.30017890470616,-0.0565210151034067,0.954926754651982,1
metabat1.megahit.20_10_22,0.340719310004994,0.835058020418901,3.97882981292017,0.209875279839132,0.833765016369125,1
metabat1.megahit.20_10_23,0.613238429855567,0,4.04755553352815,0,1,1
metabat1.megahit.20_10_24,0.657443967183003,-0.345934050304377,4.03332196282459,-0.0857690145971176,0.93165003845453,1
metabat1.megahit.20_10_25,3.70242660123459,-0.388529175959668,2.81373261576282,-0.1380831902019,0.890174670781602,1
metabat1.megahit.20_10_26,2.11815516905762,1.67513307212512,2.86404595472326,0.584883447614575,0.558626089104759,1
metabat1.megahit.20_10_27,0.720899623858141,0,4.04755542297139,0,1,1
metabat1.megahit.20_10_28,0.797468695637421,-0.04680086599846,3.39189142191797,-0.0137978667878455,0.988991244428955,1
metabat1.megahit.20_10_29,0.360605135466971,1.28709214504997,3.79302078178951,0.339331688144017,0.734359873573871,1
metabat1.megahit.20_10_3,0.908401478250188,-0.877838017544867,3.35407709303263,-0.261722671601194,0.79353526021852,1
metabat1.megahit.20_10_30,1.77870689713776,-0.109155453435398,2.63261592955993,-0.0414627337811649,0.966927001425354,1
metabat1.megahit.20_10_31,0.554744073479808,0.863269870840511,3.56543419734113,0.242121947302879,0.808685672578722,1
metabat1.megahit.20_10_7,0.744367976840934,-1.32450409973743,3.49108020456429,-0.379396640044464,0.704393345248816,1
metabat1.megahit.20_10_8,0.120138902992441,-0.586313714018123,4.0305097472917,-0.145468873859466,0.884340689376708,1
metabat1.megahit.20_10_9,0.727442161244988,1.15738145552263,3.78987631273786,0.305387659125614,0.760070919750407,1
metabat1.megahit.20_11_10,0.613238429855567,0,4.04755553352815,0,1,1
metabat1.megahit.20_11_12,0.573170060223588,-0.941506892759304,3.90068313049442,-0.241369745057955,0.809268559570604,1
metabat1.megahit.20_11_13,1.32451299403986,-0.348046893442242,3.60732794548926,-0.0964832969726119,0.923136739117309,1
metabat1.megahit.20_11_15,1.20257608713985,0.384123244975446,3.62577757952919,0.105942307973928,0.915628126023682,1
metabat1.megahit.20_11_16,1.06626958708671,-0.346020028417147,4.01108001913545,-0.086266049733839,0.9312549262248,1
metabat1.megahit.20_11_17,1.45299243832671,-0.0188095259953843,3.9161297330843,-0.00480309062196725,0.996167702883579,1
metabat1.megahit.20_11_19,0.430928388567429,-0.0200868176596256,4.03790295226356,-0.00497456672364188,0.996030886384685,1
metabat1.megahit.20_11_2,1.62981458763645,-1.40808659331331,3.88633539724845,-0.362317311653092,0.717114922941953,1
metabat1.megahit.20_11_20,0.248618347279292,-0.34595367077361,4.03332272391338,-0.0857738630044323,0.931646184188711,1
metabat1.megahit.20_11_21,1.02206404975928,0,4.04755519837901,0,1,1
metabat1.megahit.20_11_22,2.27756728924211,-2.91665591089432,3.42501581569587,-0.851574435810812,0.394450333346252,1
metabat1.megahit.20_11_23,0.132616611982308,-1.07566095935237,4.02598358495724,-0.267179668434687,0.78933082954876,1
metabat1.megahit.20_11_24,0.649103425888593,-1.08302042466091,3.80771502195902,-0.284427909760881,0.776082472935379,1
metabat1.megahit.20_11_25,0.120138902992441,-0.586313714018123,4.0305097472917,-0.145468873859466,0.884340689376708,1
metabat1.megahit.20_11_26,0.475133925894865,-0.586289340215331,4.03050880115902,-0.1454628606807,0.884345436705069,1
metabat1.megahit.20_11_29,2.55056136306952,-2.77097096838312,3.09937485301411,-0.894041895477205,0.371299475722352,1
metabat1.megahit.20_11_3,0.11051384331859,-0.938024232257055,4.02711298771976,-0.232927219851407,0.815817921320393,1
metabat1.megahit.20_11_30,1.58509556478089,-0.731051654745665,3.19486800411062,-0.228820612871978,0.819008345037348,1
metabat1.megahit.20_11_31,0.657443967183003,-0.345934050304377,4.03332196282459,-0.0857690145971176,0.93165003845453,1
metabat1.megahit.20_11_4,1.93552100039937,-0.701118074377383,3.22802151756102,-0.217197459980727,0.828054464081695,1
metabat1.megahit.20_11_5,2.240200368176,-0.792605461647029,3.47747010832591,-0.227925887773798,0.819703856827471,1
metabat1.megahit.20_11_6,0.727442161244988,1.15738145552263,3.78987631273786,0.305387659125614,0.760070919750407,1
metabat1.megahit.20_11_7,0.430928388567429,-0.0200868176596256,4.03790295226356,-0.00497456672364188,0.996030886384685,1
metabat1.megahit.20_11_8,1.45299243832671,-0.0188095259953843,3.9161297330843,-0.00480309062196725,0.996167702883579,1
metabat1.megahit.20_11_9,1.09250952344589,-1.51061113868327,3.64310511976953,-0.414649341432901,0.678398622070941,1
metabat1.megahit.20_12_1,1.10498723243576,-1.74975460097296,3.97738255313757,-0.439926151833863,0.659990594184034,1
metabat1.megahit.20_12_11,0.430928388567429,-0.0200868176596256,4.03790295226356,-0.00497456672364188,0.996030886384685,1
metabat1.megahit.20_12_110,1.22647685971113,0,4.0475550794247,0,1,1
metabat1.megahit.20_12_112,0.817651239807423,0,4.04755534439776,0,1,1
metabat1.megahit.20_12_113,0.817651239807423,0,4.04755534439776,0,1,1
metabat1.megahit.20_12_114,1.12134428772921,-2.82196426121765,3.96173868281883,-0.712304492332084,0.47627624281723,1
metabat1.megahit.20_12_118,0.839754008471141,-0.0200749669599959,4.03790249309491,-0.00497163242409282,0.99603322758804,1
metabat1.megahit.20_12_120,1.01372350846487,-0.787564310768128,3.63923679143996,-0.21640919673614,0.828668798160148,1
metabat1.megahit.20_12_123,1.02206404975928,0,4.04755519837901,0,1,1
metabat1.megahit.20_12_124,0.613238429855567,0,4.04755553352815,0,1,1
metabat1.megahit.20_12_126,1.67950801694228,-0.346558497845632,3.88953688504573,-0.0891001957528826,0.929002281826611,1
metabat1.megahit.20_12_129,1.044166818423,-0.019815118677828,4.01205722307778,-0.00493889233778854,0.996059350076705,1
metabat1.megahit.20_12_13,0.430928388567429,-0.0200868176596256,4.03790295226356,-0.00497456672364188,0.996030886384685,1
metabat1.megahit.20_12_130,1.08837235575043,-0.586673084053247,4.0019153330831,-0.146598074977581,0.883449273212284,1
metabat1.megahit.20_12_131,1.78716921094486,-0.348618346789826,3.51325443881242,-0.0992294617032261,0.92095608323391,1
metabat1.megahit.20_12_133,0.11051384331859,-0.938024232257055,4.02711298771976,-0.232927219851407,0.815817921320393,1
metabat1.megahit.20_12_134,0.523029351293132,1.16030616276004,3.94782561967256,0.293910186148565,0.768826534284637,1
metabat1.megahit.20_12_136,0.690537379839647,-1.33520808213474,3.83979484339409,-0.34772901589568,0.728043703427204,1
metabat1.megahit.20_12_138,0.248618347279292,-0.34595367077361,4.03332272391338,-0.0857738630044323,0.931646184188711,1
metabat1.megahit.20_12_139,1.12907643149669,0.567822563301129,3.66119031956656,0.155092337119571,0.876748523183324,1
metabat1.megahit.20_12_14,1.86181805823042,-0.0182272344247579,3.86401409036566,-0.00471717597257339,0.996236252079228,1
metabat1.megahit.20_12_140,1.55102857265543,-0.593953013013743,3.57217778382867,-0.166271963199195,0.867942929026441,1
metabat1.megahit.20_12_15,1.08203310488937,-1.50781837580591,3.02814055002102,-0.497935399925687,0.618529575228414,1
metabat1.megahit.20_12_17,1.8397152895667,0,4.04755481575156,0,1,1
metabat1.megahit.20_12_19,0.151217919064843,0.141506635095674,3.98668123575771,0.0354948456441562,0.971685156367311,1
metabat1.megahit.20_12_23,0.55106729155987,-0.780260029031483,3.92380815102521,-0.198852746872351,0.8423779337775,1
metabat1.megahit.20_12_24,0.271356822057284,-0.277071576832469,3.98315482270304,-0.069560835359255,0.944543210251261,1
metabat1.megahit.20_12_25,0.444690615936738,-1.07563789806834,4.02561054679954,-0.267198698325027,0.789316178315166,1
metabat1.megahit.20_12_26,1.26315288219719,0.951021407607128,3.00193973721182,0.31680229813355,0.75139362030799,1
metabat1.megahit.20_12_28,0.292823884606728,-0.777990175096693,4.0285607838849,-0.193118638847109,0.846866055729607,1
