,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
metabat1.megahit.20_10_1,0.324551712944297,-0.586296922469049,4.03050909548446,-0.0003217763409844,0.999743259629927,1
metabat1.megahit.20_10_10,1.24857962837485,-0.0192500935125332,3.95720341661072,0,1,1
metabat1.megahit.20_10_11,0.492586041335004,0.383210372971994,3.61144333288076,0,1,1
metabat1.megahit.20_10_12,0.613238429855567,0,4.04755553352815,0,1,1
metabat1.megahit.20_10_14,0.314926653270446,-0.93799884110618,4.02711199228768,-0.0876555809180892,0.930150424960513,1
metabat1.megahit.20_10_15,1.86181805823042,-0.0182272344247579,3.86401409036566,0,1,1
metabat1.megahit.20_10_16,0.657443967183003,-0.345934050304377,4.03332196282459,0,1,1
metabat1.megahit.20_10_17,2.53220158222923,-1.21686856776681,2.85671583639501,-0.221187056730218,0.824946786921005,1
metabat1.megahit.20_10_18,0.444690615936738,-1.07563789806834,4.02561054679954,-0.121879126747222,0.902994746814752,1
metabat1.megahit.20_10_19,0.164344440319877,-0.938009900815,4.02711243093787,-0.0876583176826746,0.930148249711402,1
metabat1.megahit.20_10_2,1.18281248226403,-0.186529461716841,3.30017890470616,0,1,1
metabat1.megahit.20_10_22,0.340719310004994,0.835058020418901,3.97882981292017,0.0628471264608769,0.949888238524785,1
metabat1.megahit.20_10_23,0.613238429855567,0,4.04755553352815,0,1,1
metabat1.megahit.20_10_24,0.657443967183003,-0.345934050304377,4.03332196282459,0,1,1
metabat1.megahit.20_10_25,3.70242660123459,-0.388529175959668,2.81373261576282,0,1,1
metabat1.megahit.20_10_26,2.11815516905762,1.67513307212512,2.86404595472326,0.380626948505249,0.703480081875198,1
metabat1.megahit.20_10_27,0.720899623858141,0,4.04755542297139,0,1,1
metabat1.megahit.20_10_28,0.797468695637421,-0.04680086599846,3.39189142191797,0,1,1
metabat1.megahit.20_10_29,0.360605135466971,1.28709214504997,3.79302078178951,0.185101054130985,0.853149774817581,1
metabat1.megahit.20_10_3,0.908401478250188,-0.877838017544867,3.35407709303263,-0.087308075939332,0.930426634864806,1
metabat1.megahit.20_10_30,1.77870689713776,-0.109155453435398,2.63261592955993,0,1,1
metabat1.megahit.20_10_31,0.554744073479808,0.863269870840511,3.56543419734113,0.0780465591113773,0.93779101710001,1
metabat1.megahit.20_10_7,0.744367976840934,-1.32450409973743,3.49108020456429,-0.211826728807489,0.832242215098291,1
metabat1.megahit.20_10_8,0.120138902992441,-0.586313714018123,4.0305097472917,-0.000325942399470838,0.999739935596356,1
metabat1.megahit.20_10_9,0.727442161244988,1.15738145552263,3.78987631273786,0.15102905960251,0.879952792573534,1
metabat1.megahit.20_11_10,0.613238429855567,0,4.04755553352815,0,1,1
metabat1.megahit.20_11_12,0.573170060223588,-0.941506892759304,3.90068313049442,-0.0913960147063049,0.927177928301272,1
metabat1.megahit.20_11_13,1.32451299403986,-0.348046893442242,3.60732794548926,0,1,1
metabat1.megahit.20_11_15,1.20257608713985,0.384123244975446,3.62577757952919,0,1,1
metabat1.megahit.20_11_16,1.06626958708671,-0.346020028417147,4.01108001913545,0,1,1
metabat1.megahit.20_11_17,1.45299243832671,-0.0188095259953843,3.9161297330843,0,1,1
metabat1.megahit.20_11_19,0.430928388567429,-0.0200868176596256,4.03790295226356,0,1,1
metabat1.megahit.20_11_2,1.62981458763645,-1.40808659331331,3.88633539724845,-0.211789902100591,0.832270946784962,1
metabat1.megahit.20_11_20,0.248618347279292,-0.34595367077361,4.03332272391338,0,1,1
metabat1.megahit.20_11_21,1.02206404975928,0,4.04755519837901,0,1,1
metabat1.megahit.20_11_22,2.27756728924211,-2.91665591089432,3.42501581569587,-0.680772304819442,0.496015576883076,1
metabat1.megahit.20_11_23,0.132616611982308,-1.07566095935237,4.02598358495724,-0.121873561826154,0.902999154124755,1
metabat1.megahit.20_11_24,0.649103425888593,-1.08302042466091,3.80771502195902,-0.130792462615725,0.895939485736146,1
metabat1.megahit.20_11_25,0.120138902992441,-0.586313714018123,4.0305097472917,-0.000325942399470838,0.999739935596356,1
metabat1.megahit.20_11_26,0.475133925894865,-0.586289340215331,4.03050880115902,-0.000319895149456182,0.999744760603526,1
metabat1.megahit.20_11_29,2.55056136306952,-2.77097096838312,3.09937485301411,-0.705294155128504,0.480627197075946,1
metabat1.megahit.20_11_3,0.11051384331859,-0.938024232257055,4.02711298771976,-0.0876618643016882,0.930145430770464,1
metabat1.megahit.20_11_30,1.58509556478089,-0.731051654745665,3.19486800411062,-0.0457144566090839,0.963537841148291,1
metabat1.megahit.20_11_31,0.657443967183003,-0.345934050304377,4.03332196282459,0,1,1
metabat1.megahit.20_11_4,1.93552100039937,-0.701118074377383,3.22802151756102,-0.0359719022149265,0.971304763233064,1
metabat1.megahit.20_11_5,2.240200368176,-0.792605461647029,3.47747010832591,-0.0597001426841802,0.95239445809394,1
metabat1.megahit.20_11_6,0.727442161244988,1.15738145552263,3.78987631273786,0.15102905960251,0.879952792573534,1
metabat1.megahit.20_11_7,0.430928388567429,-0.0200868176596256,4.03790295226356,0,1,1
metabat1.megahit.20_11_8,1.45299243832671,-0.0188095259953843,3.9161297330843,0,1,1
metabat1.megahit.20_11_9,1.09250952344589,-1.51061113868327,3.64310511976953,-0.254072036972082,0.799439905934187,1
metabat1.megahit.20_12_1,1.10498723243576,-1.74975460097296,3.97738255313757,-0.292844498966823,0.769641013233863,1
metabat1.megahit.20_12_11,0.430928388567429,-0.0200868176596256,4.03790295226356,0,1,1
metabat1.megahit.20_12_110,1.22647685971113,0,4.0475550794247,0,1,1
metabat1.megahit.20_12_112,0.817651239807423,0,4.04755534439776,0,1,1
metabat1.megahit.20_12_113,0.817651239807423,0,4.04755534439776,0,1,1
metabat1.megahit.20_12_114,1.12134428772921,-2.82196426121765,3.96173868281883,-0.56464205247026,0.572317256075449,1
metabat1.megahit.20_12_118,0.839754008471141,-0.0200749669599959,4.03790249309491,0,1,1
metabat1.megahit.20_12_120,1.01372350846487,-0.787564310768128,3.63923679143996,-0.0556612065597353,0.955611704246642,1
metabat1.megahit.20_12_123,1.02206404975928,0,4.04755519837901,0,1,1
metabat1.megahit.20_12_124,0.613238429855567,0,4.04755553352815,0,1,1
