,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
metabat2.spades.18_10_1,1422.48450243837,-0.253559082964841,0.450131431498349,0,1,1
metabat2.spades.18_10_10,8.15555484499158,-0.112321208145445,0.81387253936836,0,1,1
metabat2.spades.18_10_11,3.85376528313854,0.218492993481889,1.26263710757539,0,1,1
metabat2.spades.18_10_12,0.481420027592524,4.41861592977544,3.44000802070893,1.11442063701508,0.265098774025914,1
metabat2.spades.18_10_13,5.17504742389544,-0.497961630121773,0.944806352710373,0,1,1
metabat2.spades.18_10_14,208.095867939692,0.121050857000866,0.454413487500659,0,1,1
metabat2.spades.18_10_15,120.223947516728,0.243213112879292,0.451249883023508,0,1,1
metabat2.spades.18_10_16,139.002121289267,0.264661751163998,0.476624117566538,0,1,1
metabat2.spades.18_10_17,20.3961310266392,0.367545406800447,0.716488641627592,0,1,1
metabat2.spades.18_10_18,64.5270987243239,0.134575025287727,0.650308231404466,0,1,1
metabat2.spades.18_10_19,64.0502484427333,0.00766620410094686,0.696338698422168,0,1,1
metabat2.spades.18_10_2,17.481121030368,0.088631239132727,0.640352319307124,0,1,1
metabat2.spades.18_10_20,33.4851999538349,0.182924533487588,0.771807157267118,0,1,1
metabat2.spades.18_10_21,230.049802555803,0.0726806578127807,0.679314884373917,0,1,1
metabat2.spades.18_10_22,150.628870073922,0.00144848949523698,0.608647700090283,0,1,1
metabat2.spades.18_10_23,21.184633341211,-0.27270696980014,0.65304625710253,0,1,1
metabat2.spades.18_10_25,2.38948583860731,-0.450515459121472,1.95698496233259,0,1,1
metabat2.spades.18_10_26,3.33410702392197,1.45621145935405,1.33452790592847,0.652823710529996,0.513869935962573,1
metabat2.spades.18_10_27,52.3755087443968,0.812640788934011,0.816911144682191,0.278660403173435,0.7805054528972,1
metabat2.spades.18_10_28,17.8664226099555,0.937730086522353,0.72580458752899,0.485984922915997,0.62697785574472,1
metabat2.spades.18_10_29,56.0838515807256,0.810829583971543,0.562083843591079,0.401772060425626,0.68785178604615,1
metabat2.spades.18_10_3,5.68848862469103,-0.873026019773685,0.938902486710382,-0.306768832600324,0.759019333108826,1
metabat2.spades.18_10_30,18.2596445575306,0.602624960253493,0.673320025609739,0.0261762008898107,0.97911679831576,1
metabat2.spades.18_10_31,72.4575968102577,0.499405314465119,0.516319447512082,0,1,1
metabat2.spades.18_10_32,16.7946546962495,1.00457637869639,0.710650183147865,0.590411975745726,0.554914483663651,1
metabat2.spades.18_10_33,27.5144428574197,0.770490434067985,0.618083961815658,0.300105560938834,0.764096637585465,1
metabat2.spades.18_10_34,25.9797648645626,0.247467493183243,0.575386131378273,0,1,1
metabat2.spades.18_10_35,12.9568870364519,0.129425338590321,0.753742855660428,0,1,1
metabat2.spades.18_10_36,19.1974638495392,0.445729055102417,0.762168554553099,0,1,1
metabat2.spades.18_10_37,55.4644961785632,0.800967154214812,0.728529320786309,0.296442638687098,0.766892066847715,1
metabat2.spades.18_10_38,81.8387628478854,0.647802911113551,0.533097191187331,0.117807619608114,0.906220092019886,1
metabat2.spades.18_10_39,41.4831991130375,0.68036709223558,0.590372852118588,0.161537055596898,0.871670428427176,1
metabat2.spades.18_10_4,23.7705143328051,-0.128402278528452,0.567461948579992,0,1,1
metabat2.spades.18_10_40,71.4212753875943,0.520804062724247,0.520394495061395,0,1,1
metabat2.spades.18_10_41,153.290529795239,0.61201921064775,0.524232013020981,0.051540558334175,0.95889478390424,1
metabat2.spades.18_10_42,19.1860569307639,0.422890768291677,0.705572670995609,0,1,1
metabat2.spades.18_10_43,175.675865201062,-0.483944696327768,0.507266707071696,0,1,1
metabat2.spades.18_10_44,371.189569077854,-0.493200956591381,0.459606465296979,0,1,1
metabat2.spades.18_10_45,29.5225866682533,1.41740684497677,0.802746294213839,1.03694884794451,0.299759696883799,1
metabat2.spades.18_10_46,21.1443980355895,0.632812200467039,0.739602720900587,0.0646457876856101,0.948456027628203,1
metabat2.spades.18_10_48,5.436723554877,1.18191455129414,1.14129962259889,0.523013010321413,0.600965199454733,1
metabat2.spades.18_10_49,9.52052801886766,0.960977289412307,0.893525574247754,0.420779550410559,0.673916065638456,1
metabat2.spades.18_10_5,1.63194744873347,-0.399116671833188,1.65853382903223,0,1,1
metabat2.spades.18_10_50,29.8199977883736,0.230854182645579,0.553869066828171,0,1,1
metabat2.spades.18_10_51,6.04467284524381,0.384716163810256,1.05746516012125,0,1,1
metabat2.spades.18_10_52,0.343182997707985,-0.827625954472272,4.34557898813046,-0.0558328257603836,0.955474984545361,1
metabat2.spades.18_10_53,0.903679301332767,1.64310029647361,2.35948071988454,0.448446256651499,0.653831164615539,1
metabat2.spades.18_10_54,169.16272524896,1.16398142456994,0.518717275922796,1.11617918169378,0.264345443863993,1
metabat2.spades.18_10_55,0.95909513692554,1.2754540623957,2.65439616208906,0.260117186822746,0.794773380956517,1
metabat2.spades.18_10_56,15.5650215079512,0.251405413068224,0.725084000375818,0,1,1
metabat2.spades.18_10_57,2.09457019585504,-0.624389179495484,1.39617497752607,-0.02821220844774,0.977492900167467,1
metabat2.spades.18_10_58,19.8987033259601,-1.52172804742244,0.656294317013167,-1.42729873341818,0.153493805546996,1
metabat2.spades.18_10_59,2.76756755482372,-0.447709266861437,1.68255099130226,0,1,1
metabat2.spades.18_10_6,2.85274607115252,-0.497582412570659,1.27250186716658,0,1,1
metabat2.spades.18_10_60,0.9569502171695,-2.20200601041963,2.48490671868616,-0.650731071013638,0.515220102376578,1
metabat2.spades.18_10_61,22.7959619455786,1.30417533364212,0.938384373176812,0.766397389171577,0.443439885820652,1
metabat2.spades.18_10_62,6.51053076228333,-0.130999029070125,0.940799535856369,0,1,1
metabat2.spades.18_10_63,16.9319319063336,0.069538367535006,0.728691126487065,0,1,1
metabat2.spades.18_10_64,49.0323816252856,0.452943958328047,0.692183552000775,0,1,1
metabat2.spades.18_10_65,1.06292892763523,-1.21718220743909,2.23493442479907,-0.282863873062373,0.777281189151392,1
metabat2.spades.18_10_66,3.64900039974414,-0.222469680297402,1.21205901516125,0,1,1
metabat2.spades.18_10_67,10.234551578242,0.574783037580824,0.875403643464493,0,1,1
metabat2.spades.18_10_68,0.826801608123348,1.31242163449,2.4865041525817,0.292547926668342,0.769867721526347,1
metabat2.spades.18_10_69,0.566872507343045,-1.19653475005088,3.66422184154453,-0.166893484209218,0.86745386009408,1
metabat2.spades.18_10_7,4.57150923172846,0.598844471390341,1.09218995803998,0.0126758823302006,0.989886380034264,1
metabat2.spades.18_10_70,5.15711295728832,0.464212226202538,1.23445047538902,0,1,1
metabat2.spades.18_10_71,5.70333006119757,-0.513674800486995,1.19896289920498,0,1,1
metabat2.spades.18_10_8,0.635738162387219,-1.3682879731133,2.66801412883944,-0.293584642092589,0.769075312717576,1
metabat2.spades.18_10_9,22.6959175234412,0.0427234694805853,0.604163186217127,0,1,1
metabat2.spades.18_11_1,232.096198173797,-0.079686895238598,0.469831941894897,0,1,1
metabat2.spades.18_11_10,415.464046943116,-0.262140609887262,0.681997757480075,0,1,1
metabat2.spades.18_11_11,1100.94047038462,-0.493597614371236,0.609912785863996,0,1,1
metabat2.spades.18_11_12,81.0190380857518,-0.156151651536578,0.498952299106013,0,1,1
metabat2.spades.18_11_13,137.61392531751,-0.0540317799485019,0.517656507640151,0,1,1
metabat2.spades.18_11_14,189.806682830115,-0.384677511207257,0.452826639675461,0,1,1
metabat2.spades.18_11_15,28.3874054523862,-0.201912519301112,0.679732183135641,0,1,1
metabat2.spades.18_11_16,71.1743262272048,-0.0902976843295432,0.615774670006161,0,1,1
metabat2.spades.18_11_17,21.5804649835073,-0.186696343215812,0.668583816529427,0,1,1
metabat2.spades.18_11_18,51.6562394346958,-0.327992210611156,0.632889401856831,0,1,1
metabat2.spades.18_11_19,3.2585064994281,-0.387831286605829,1.43183573357317,0,1,1
metabat2.spades.18_11_2,1.2725695850751,-2.18599151894751,1.99541164562193,-0.802336461481617,0.422358356452738,1
metabat2.spades.18_11_20,7.42850621263066,-0.597241484377002,1.03482405634433,-0.0118295320851422,0.990561619119345,1
metabat2.spades.18_11_21,5.60799288674637,-0.0950052238433286,1.06781331236916,0,1,1
metabat2.spades.18_11_22,752.589273620743,-0.236132536017421,0.502357077490948,0,1,1
metabat2.spades.18_11_23,82.7311216003573,0.432195347433717,0.723996923661569,0,1,1
metabat2.spades.18_11_24,1139.07064324916,0.418605689850985,0.652429917519402,0,1,1
metabat2.spades.18_11_25,41.4310259971244,0.739410569778808,0.889246323916615,0.173642067024487,0.862146769488349,1
metabat2.spades.18_11_26,70.8018956859084,0.605239503710538,0.759247631207507,0.0266573155827294,0.978733058252931,1
metabat2.spades.18_11_27,217.16506304126,0.864225549500552,0.761361879830531,0.366744851426898,0.713809347540683,1
metabat2.spades.18_11_28,181.190246435442,0.791790633097555,0.763877625828848,0.270711729346931,0.786612754847977,1
metabat2.spades.18_11_29,321.931102149558,1.20174613831297,0.798306971541098,0.772567646656479,0.439778297955006,1
metabat2.spades.18_11_3,35.106879244879,-0.333605067080348,0.57326520070553,0,1,1
metabat2.spades.18_11_30,47.2966850360724,0.908709911274831,0.853472048267973,0.379285896863013,0.704475571333854,1
metabat2.spades.18_11_31,20.5335193759234,0.321419087488623,0.954221035409108,0,1,1
metabat2.spades.18_11_32,484.261686280767,0.645731541663009,0.841601865594557,0.072161842963721,0.942473110878428,1
metabat2.spades.18_11_33,351.816102703289,1.37688535477831,1.56184308233288,0.507019792023854,0.612140931500932,1
metabat2.spades.18_11_34,50.4721047069711,0.657802627423264,0.559657232587586,0.130084314441287,0.896499719929061,1
metabat2.spades.18_11_35,153.851159159345,0.426339083787815,0.827643462000892,0,1,1
metabat2.spades.18_11_36,44.4005941689009,0.782307750965674,0.671088106889451,0.294011693755402,0.76874896776627,1
metabat2.spades.18_11_37,310.989301005225,0.658893848075237,0.907494931826897,0.0814261826525907,0.935103027496256,1
metabat2.spades.18_11_38,751.976056347294,0.633077053627109,0.787074835770405,0.0610832051059671,0.951292944556126,1
metabat2.spades.18_11_39,39.6924092377643,1.23632607094128,2.28139592000373,0.285494536581891,NA,NA
metabat2.spades.18_11_4,10.5089245649454,0.177409827757825,0.928585982412662,0,1,1
metabat2.spades.18_11_40,74.6040001215542,1.50303332630977,2.03114517763168,0.45197819260768,NA,NA
metabat2.spades.18_11_41,37.3731587891444,1.77776823437627,1.99823132872288,0.596911987731969,NA,NA
metabat2.spades.18_11_42,5.09866547348294,1.8219939290176,3.16264927417742,0.391125863723644,0.695704203878379,1
metabat2.spades.18_11_43,99.6227671804978,2.04522751383094,2.12271050994044,0.687907044786769,NA,NA
metabat2.spades.18_11_44,10.6011856255711,2.85095733420947,3.40256352472937,0.665955923450303,NA,NA
metabat2.spades.18_11_45,8.8037445576847,1.71455503983709,3.63615659073786,0.310645323337924,NA,NA
metabat2.spades.18_11_46,64.5376926578312,2.33090583541324,2.47201486638897,0.706268339706063,NA,NA
metabat2.spades.18_11_47,20.3187292379119,2.39745264581709,3.27335956169511,0.55369800098542,NA,NA
metabat2.spades.18_11_48,10.5930392761201,2.14458162954828,3.87524001207137,0.402447751543177,NA,NA
