,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.spades.1_10_1,0.312695411467141,-1.40079005143423,4.44105365283641,-0.183692906054672,0.854254374360242,1
vamb.spades.1_10_10,1.79240519178382,0.382069224899852,1.87228613768583,0,1,1
vamb.spades.1_10_11,0.197621833447863,-0.798924795475828,4.45803859405779,-0.0479863040577918,0.961727157811343,1
vamb.spades.1_10_12,0.247804528357503,2.04708380232458,4.41587371926564,0.331097285673224,0.740571001839761,1
vamb.spades.1_10_13,3.06694476507559,-0.862421980790369,1.67181749890371,-0.165940349931908,0.86820389302145,1
vamb.spades.1_10_14,11.28446808307,-0.74010446291074,1.34148723882008,-0.11562127348089,0.907952702181252,1
vamb.spades.1_10_15,4.18251659608051,-0.160858962199696,1.43010017193431,0,1,1
vamb.spades.1_10_16,2.76990517266802,-0.0562869334900322,1.69852609787586,0,1,1
vamb.spades.1_10_18,0.355789329770121,0.570024722197862,3.36604067692451,0,1,1
vamb.spades.1_10_19,0.273048383263852,-1.21378562509049,4.44562002802271,-0.141439354044426,0.887522866713486,1
vamb.spades.1_10_20,1.25472481408844,5.26931830364916,3.20898703880679,1.45974983600773,0.144358839828455,1
vamb.spades.1_10_21,3.86643086356149,-0.0654319420420783,1.62656715011701,0,1,1
vamb.spades.1_10_22,0.133037057828771,-0.245136716424197,4.4809362535374,0,1,1
vamb.spades.1_10_24,1.31058761072581,2.74039701111825,3.04945930775121,0.70681284568697,0.479682790664303,1
vamb.spades.1_10_25,2.08998515412786,-0.100551172575796,1.90179337481542,0,1,1
vamb.spades.1_10_26,2.31081502266205,-0.117603436770092,2.11920321696206,0,1,1
vamb.spades.1_10_27,1.56209324929979,-1.6984417127462,2.12920058669889,-0.522938853061504,0.601016805803696,1
vamb.spades.1_10_28,4.14909277511121,0.351338627239523,2.11545972630339,0,1,1
vamb.spades.1_10_29,0.997346522684612,0.0873915721065914,2.80522208422976,0,1,1
vamb.spades.1_10_3,3.1672675985744,-0.16780283162757,1.80881869174046,0,1,1
vamb.spades.1_10_30,2.07874560145216,0.852187290769923,2.31404550578144,0.115463282853504,0.908077921825366,1
vamb.spades.1_10_31,3.5395241298386,-0.283305384932557,1.48487827731178,0,1,1
vamb.spades.1_10_4,2.22689955807973,-1.73604691668262,1.7706490502999,-0.650070614776916,0.515646609416311,1
vamb.spades.1_10_5,2.77773070547556,1.30790885435951,1.78975731173563,0.40391445790964,0.686275624227466,1
vamb.spades.1_10_6,1.32077745028926,-2.68567927676392,2.71250583668832,-0.774442306575318,0.43866927336588,1
vamb.spades.1_10_7,0.878035829966359,0.830673687667319,3.02309742659816,0.0812655541650112,0.935230767150205,1
vamb.spades.1_10_9,395.242035936982,-1.82777325820077,1.18867258798246,-1.04551351714952,0.295785696557875,1
vamb.spades.1_11_1,2.3073346414986,2.89241036853129,2.09470864647405,1.10154238987617,0.270660665941237,1
vamb.spades.1_11_10,1.89033316091219,4.7279628451415,2.52580241033817,1.64025611353614,0.100951926443284,1
vamb.spades.1_11_100,2.33341869470444,1.2998830755193,1.6648997170392,0.42938506638143,0.667643019749161,1
vamb.spades.1_11_101,3.06347341122052,1.63017708970926,1.4852018413643,0.703727305339974,0.481602612337706,1
vamb.spades.1_11_103,0.562199118548923,0.352759683436518,3.47037377635685,0,1,1
vamb.spades.1_11_104,5.06905279027435,0.533357984468588,1.24191613137426,0,1,1
vamb.spades.1_11_105,2.84728508436581,1.55727114900724,1.69248181534236,0.574464753590609,0.565653345141514,1
vamb.spades.1_11_106,1.7857730116517,0.745753983347457,2.18814201315363,0.07346597358906,0.941435320023908,1
vamb.spades.1_11_107,2.04930353128233,-1.16828265263332,2.50239968582028,-0.233089324594493,0.815692044362218,1
vamb.spades.1_11_108,0.415205236559859,-1.50159540924929,4.34016301106609,-0.211189166607856,0.832739663912617,1
vamb.spades.1_11_109,2.51601991053094,-0.395148561113979,1.76763820543435,0,1,1
vamb.spades.1_11_11,0.820623251001221,1.20361633613665,3.53702917968047,0.174897153716029,0.861160446809787,1
vamb.spades.1_11_110,9.21837471299745,2.39828675779565,1.00639812341021,1.80175888211244,0.0715833495044893,1
vamb.spades.1_11_111,4.37721989798978,3.40075106641403,1.82324447115792,1.54436287122033,0.122500449434484,1
vamb.spades.1_11_112,0.262416743842719,0.373724114762958,4.50441984286672,0,1,1
vamb.spades.1_11_114,2.18519508687804,2.69727194061951,2.3804464409747,0.887342770776483,0.374894384876995,1
vamb.spades.1_11_115,0.810526181723476,-1.09699634588162,3.62254078218123,-0.141336254487473,0.887604310128522,1
vamb.spades.1_11_116,0.901550509782863,1.04404820553624,2.69520291497158,0.170320461953448,0.864758120051923,1
vamb.spades.1_11_117,0.555463023693719,-0.835689520010178,3.89052469449412,-0.0644359153830728,0.948623133094429,1
vamb.spades.1_11_118,0.927080552750304,-0.171325727340102,2.40345088046292,0,1,1
vamb.spades.1_11_119,2.80470379138473,1.23576049424359,1.61625624715446,0.402634480385953,0.687217140130008,1
vamb.spades.1_11_120,4.85194286113299,-4.35058212098533,1.96574573783438,-1.91559978918423,0.0554160564280732,1
vamb.spades.1_11_121,2.00546246794279,2.64333153648796,2.45586104852295,0.838130291502412,0.401957531975353,1
vamb.spades.1_11_122,3.05183972640474,-1.43785775425553,1.66452105317564,-0.512374266836944,0.608389097238031,1
vamb.spades.1_11_123,0.625482531929248,-0.782090784428809,3.25083697164361,-0.0606277048489333,0.951655708825093,1
