,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.spades.1_10_1,0.312695411467141,-1.09300796051919,3.94206935484779,-0.128868346746478,0.89746182341834,1
vamb.spades.1_10_10,1.79240519178382,-1.1824143115889,1.80338257731489,-0.331274305909292,0.740437297534482,1
vamb.spades.1_10_11,0.197621833447863,-0.491149657829434,3.96119407371315,0,1,1
vamb.spades.1_10_12,0.247804528357503,0.594634099843782,4.01008082677114,0.00240247023936915,0.998083107932226,1
vamb.spades.1_10_13,3.06694476507559,-0.384635706011959,1.43791372978168,0,1,1
vamb.spades.1_10_14,11.28446808307,-0.742611918672486,1.1944407026488,-0.131954577839624,0.895020219131176,1
vamb.spades.1_10_15,4.18251659608051,-1.29304358553787,1.38926179843867,-0.509654541954302,0.61029350540726,1
vamb.spades.1_10_16,2.76990517266802,-0.496332827757053,1.56458101749764,0,1,1
vamb.spades.1_10_18,0.355789329770121,0.470135603260487,3.02508590386345,0,1,1
vamb.spades.1_10_19,0.273048383263852,-0.906005694621806,3.94721294152206,-0.0813246458646909,0.935183774337457,1
vamb.spades.1_10_20,1.25472481408844,1.74931922957,3.06983793008554,0.37927710064406,0.70448210261674,1
vamb.spades.1_10_21,3.86643086356149,1.2075070024138,1.33142045957319,0.467551026377761,0.64010569394941,1
vamb.spades.1_10_22,0.133037057828771,0.0626320233676529,3.986945607089,0,1,1
vamb.spades.1_10_24,1.31058761072581,-0.648086815189681,2.89793403090097,-0.0217695829225164,0.982631757746178,1
vamb.spades.1_10_25,2.08998515412786,-0.176006077103092,1.70331745534111,0,1,1
vamb.spades.1_10_26,2.31081502266205,-1.11259588627698,1.97432475290539,-0.267228522308994,0.789293216790111,1
vamb.spades.1_10_27,1.56209324929979,-2.38970679213534,1.95637988997572,-0.922472573646079,0.356282129797103,1
vamb.spades.1_10_28,4.14909277511121,-0.898681696685557,1.97349101747834,-0.158947618158591,0.873710143685201,1
vamb.spades.1_10_29,0.997346522684612,-1.243798574569,2.56830487623914,-0.256511047681265,0.797556250931326,1
vamb.spades.1_10_3,3.1672675985744,-2.08499451191027,1.78528670073092,-0.840198110082911,0.400797317892266,1
vamb.spades.1_10_30,2.07874560145216,-0.66156552117569,2.18316961425963,-0.0350708074515112,0.972023279365454,1
vamb.spades.1_10_31,3.5395241298386,-1.324091349107,1.43678229031514,-0.514407335118876,0.606967231962245,1
vamb.spades.1_10_4,2.22689955807973,-0.740075067201331,1.51096592354975,-0.102633067221668,0.918254197563057,1
vamb.spades.1_10_5,2.77773070547556,-2.74907798748264,1.91259340270763,-1.13148878607392,0.257849420673595,1
vamb.spades.1_10_6,1.32077745028926,-1.1545553327029,2.30404521446226,-0.247197984279065,0.804755005219635,1
vamb.spades.1_10_7,0.878035829966359,-1.21679093162004,2.79715305624454,-0.225869274550275,0.821303095661972,1
vamb.spades.1_10_9,395.242035936982,-0.617290952353554,1.05947598632361,-0.0304782295874433,0.975685655586687,1
vamb.spades.1_11_1,2.3073346414986,-0.477875126700069,2.10353039358819,0,1,1
vamb.spades.1_11_10,1.89033316091219,1.48601653169863,2.47220484872809,0.36445868640788,0.715515518887077,1
vamb.spades.1_11_100,2.33341869470444,-0.776611812538466,1.68267697297828,-0.113873200629423,0.909338310151359,1
vamb.spades.1_11_101,3.06347341122052,-2.79690648259483,1.71159373880207,-1.292308117546,0.196250461897711,1
vamb.spades.1_11_103,0.562199118548923,-0.305832924474587,3.1339743198448,0,1,1
vamb.spades.1_11_104,5.06905279027435,-2.26949034785829,1.38576227575268,-1.21556949365168,0.224148961049876,1
vamb.spades.1_11_105,2.84728508436581,-0.804332227143399,1.72112813506611,-0.127435152952731,0.898595995003783,1
vamb.spades.1_11_106,1.7857730116517,-0.264228264677929,2.03770081662533,0,1,1
