,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.megahit.295_100_2,0.398722638184383,-1.16449022026401,4.31057172051405,-0.134434654574059,0.893058879953732,1
vamb.megahit.295_100_3,0.177672349570084,-1.94836996104307,4.5499343268761,-0.29964607466744,0.764447135567958,1
vamb.megahit.295_100_4,0.650337462278026,0.618251726690761,3.3505883694431,0.00992414556022826,0.992081807453916,1
vamb.megahit.295_100_5,0.792972551743605,0.401224388169401,2.66306768569372,0,1,1
vamb.megahit.295_100_9,0.828322891774505,0.130764004023028,2.99717295269783,0,1,1
vamb.megahit.295_101_10,0.571177807323134,-0.240691050739375,2.97461552446528,0,1,1
vamb.megahit.295_101_11,0.199479962428178,-0.98812793161778,4.50885520677925,-0.0894080455304176,0.928757629672362,1
vamb.megahit.295_101_12,1.24392559975798,0.54650689225746,2.17186170856915,0,1,1
vamb.megahit.295_101_13,1.81262290401099,-1.69866143841641,2.12412124854334,-0.524292781864559,0.600074916553208,1
vamb.megahit.295_101_14,0.757430008768216,-0.496958230501246,3.12499606047021,0,1,1
vamb.megahit.295_101_15,0.867409692577426,-4.25048065934244,2.8913737516578,-1.26772979703534,0.204894460054188,1
vamb.megahit.295_101_17,1.26914207290862,1.1970401597832,2.96586957336514,0.206361117589121,0.836508840797323,1
vamb.megahit.295_101_22,0.193219022212334,-1.36740473065661,4.52471537444206,-0.172917999456062,0.862715883255149,1
vamb.megahit.295_101_23,0.347042594952761,-0.992191382921211,3.6920439736709,-0.11028887679156,0.912180278483289,1
vamb.megahit.295_101_29,0.583617915035892,0.398732987626288,4.35846815872241,0,1,1
vamb.megahit.295_101_3,0.127575997796002,-1.94837522403825,4.54993447673476,-0.299647221517059,0.764446260686334,1
vamb.megahit.295_101_34,0.67725319521863,-0.464865056673149,2.63236892141766,0,1,1
vamb.megahit.295_101_36,0.284481071403876,0,4.56207696003448,0,1,1
vamb.megahit.295_101_5,0.35923771751676,-0.759580004153475,4.25242880975794,-0.0410541861989248,0.967252697903181,1
vamb.megahit.295_101_6,0.407465016049132,-0.993549396836466,3.53068956172836,-0.115713769135928,0.907879393368506,1
vamb.megahit.295_101_7,2.22511450673481,-2.85330514017345,2.05441384939176,-1.10411304949342,0.269544101236707,1
vamb.megahit.295_101_8,0.201895959379627,0,4.5620769600371,0,1,1
vamb.megahit.295_102_1,0.3178803207188,-1.70579979665237,3.78383558679605,-0.296207319515539,0.76707175936774,1
vamb.megahit.295_102_10,1.79447949064521,-0.706868685902769,2.11864207755385,-0.0575220737820312,0.954129322882833,1
vamb.megahit.295_102_11,0.60049217262151,0.147073967773913,2.84239268308506,0,1,1
vamb.megahit.295_102_2,0.911959462060051,0.196224809566076,2.3367036006446,0,1,1
vamb.megahit.295_102_3,0.689958307745585,-0.761711047174451,2.62370039106419,-0.0673518393244497,0.94630160872968,1
vamb.megahit.295_102_4,1.07918718210159,-0.745142824328814,2.37190864971921,-0.067516438437784,0.946170575904445,1
vamb.megahit.295_102_5,0.846733533522332,-0.585385687470002,2.82464470877561,-0.00013654371072006,0.99989105388168,1
vamb.megahit.295_102_6,1.19005478981356,0.942231805609052,2.20949252349108,0.161680477218638,0.871557479172312,1
vamb.megahit.295_102_7,0.31546432376735,-0.550659959707524,4.49476804251272,0,1,1
vamb.megahit.295_102_8,2.32979789419545,-2.18093033678496,1.74948205413702,-0.91223018436288,0.361647557528812,1
vamb.megahit.295_102_9,0.551425036377898,-0.0149636764337731,3.29838790366889,0,1,1
vamb.megahit.295_103_1,2.54608300956878,-0.295245515396667,1.92840039078894,0,1,1
vamb.megahit.295_103_10,0.619740164259852,-0.254949442861871,2.87096069753498,0,1,1
vamb.megahit.295_103_11,0.889480268317152,0.393979349421604,2.51479937865662,0,1,1
vamb.megahit.295_103_12,1.20026572181822,0.693996037426773,2.2270850816535,0.0489411196387024,0.960966219374703,1
vamb.megahit.295_103_13,1.64155478153767,0.556949953163227,2.1986894235319,0,1,1
vamb.megahit.295_103_15,0.284199132508334,-1.70333547490183,3.88874188334675,-0.287582850302052,0.773666074026455,1
vamb.megahit.295_103_16,0.157888701846872,0,4.56207696003962,0,1,1
vamb.megahit.295_103_17,0.917689889585973,1.05877238394416,2.61143096335876,0.181422519144374,0.85603594443958,1
vamb.megahit.295_103_18,2.87874186401768,2.14867167968416,2.00047198553025,0.781651375772547,0.434419484966353,1
vamb.megahit.295_103_19,6.33292202300282,0.9763575855339,1.62673220774078,0.240578986308644,0.809881438387039,1
