,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.megahit.295_100_2,0.398722638184383,-0.490879160743496,3.70105657359598,0,1,1
vamb.megahit.295_100_3,0.177672349570084,-0.169359858273132,3.97585408480122,0,1,1
vamb.megahit.295_100_4,0.650337462278026,3.96814487581954,2.96420861862482,1.14133156976956,0.253731969418799,1
vamb.megahit.295_100_5,0.792972551743605,1.29520765884548,2.11066247269668,0.336485661744908,0.736504662162803,1
vamb.megahit.295_100_9,0.828322891774505,0.154908059994908,2.4140383871821,0,1,1
vamb.megahit.295_101_10,0.571177807323134,1.09445418733242,2.45549506466903,0.207475142044764,0.835638804079734,1
vamb.megahit.295_101_11,0.199479962428178,2.36174805387054,4.02086323692431,0.441882240001187,0.658574422958645,1
vamb.megahit.295_101_12,1.24392559975798,-0.029664878228117,1.52165464483368,0,1,1
vamb.megahit.295_101_13,1.81262290401099,-1.01116766527297,1.4928123048693,-0.285479737729177,0.775276625759968,1
vamb.megahit.295_101_14,0.757430008768216,-0.788065011605661,2.53996923480856,-0.0799478233132876,0.936278754025188,1
vamb.megahit.295_101_15,0.867409692577426,-1.33083449524441,2.42261623177753,-0.307863245305335,0.758186394297085,1
vamb.megahit.295_101_17,1.26914207290862,2.15966584236053,2.40827471553491,0.65385640276125,0.51320432424427,1
vamb.megahit.295_101_22,0.193219022212334,0.984631272553108,3.9871924080154,0.100228740341132,0.920162729402204,1
vamb.megahit.295_101_23,0.347042594952761,0.214944047942549,3.14014869886682,0,1,1
vamb.megahit.295_101_29,0.583617915035892,4.71040494620235,3.87527934954263,1.06454388809138,0.287082383664283,1
vamb.megahit.295_101_3,0.127575997796002,0.572810083743799,4.03083267839597,0,1,1
vamb.megahit.295_101_34,0.67725319521863,-0.496126254796622,2.05117163238508,0,1,1
vamb.megahit.295_101_36,0.284481071403876,-2.26690824296561,3.94256071140409,-0.426603004007164,0.669668509352499,1
vamb.megahit.295_101_5,0.35923771751676,2.59030017559883,3.78885207727275,0.529263253012047,0.596622843285584,1
vamb.megahit.295_101_6,0.407465016049132,-0.191204451006649,2.96985312401098,0,1,1
vamb.megahit.295_101_7,2.22511450673481,0.488895651014115,1.74513819519037,0,1,1
vamb.megahit.295_101_8,0.201895959379627,-1.77140027354131,3.9571367905656,-0.299812803128227,0.764319948842763,1
vamb.megahit.295_102_1,0.3178803207188,-0.870093148079553,3.22040636204737,-0.0885270726823138,0.929457767917111,1
vamb.megahit.295_102_10,1.79447949064521,0.834481532609344,1.49907632603725,0.16642350244356,0.867823679579442,1
vamb.megahit.295_102_11,0.60049217262151,2.01098418259174,2.36678188483946,0.602499195944481,0.546841898244408,1
vamb.megahit.295_102_2,0.911959462060051,0.274630688766161,1.73354755107343,0,1,1
vamb.megahit.295_102_3,0.689958307745585,-1.00843641926118,2.04013409810659,-0.207553228806949,0.835577826995656,1
vamb.megahit.295_102_4,1.07918718210159,-1.82731915407588,1.7553725201345,-0.707723938837037,0.479116708359145,1
vamb.megahit.295_102_5,0.846733533522332,-1.16581779523209,2.23518049660222,-0.259852748408914,0.794977360749958,1
vamb.megahit.295_102_6,1.19005478981356,0.995323774875492,1.58125468093006,0.259492528195489,0.795255246275752,1
vamb.megahit.295_102_7,0.31546432376735,2.10071168760233,3.9814468881671,0.380693685028685,0.703430555275662,1
vamb.megahit.295_102_8,2.32979789419545,0.0588507881850834,1.36330015586886,0,1,1
vamb.megahit.295_102_9,0.551425036377898,1.36111365786082,2.76748730073097,0.280439826284237,0.779140085416369,1
vamb.megahit.295_103_1,2.54608300956878,0.337428785125071,1.22777667283366,0,1,1
vamb.megahit.295_103_10,0.619740164259852,0.68087334995839,2.32983585981903,0.0411502593860139,0.967176107313649,1
vamb.megahit.295_103_11,0.889480268317152,0.482981581699709,1.92050424013254,0,1,1
vamb.megahit.295_103_12,1.20026572181822,0.385594753734081,1.59048159425442,0,1,1
vamb.megahit.295_103_13,1.64155478153767,-0.862393651736949,1.53377863456717,-0.180856380109395,0.856480307786733,1
vamb.megahit.295_103_15,0.284199132508334,-0.64005389111076,3.32761284431467,-0.0165445602257551,0.986799953024928,1
vamb.megahit.295_103_16,0.157888701846872,-1.41691381469604,3.97104814394609,-0.209494769275034,0.834062018311115,1
vamb.megahit.295_103_17,0.917689889585973,2.92343946889375,2.13173299025535,1.09696640225737,0.272656079375122,1
vamb.megahit.295_103_18,2.87874186401768,1.17519550644623,1.28900527049611,0.457868962955505,0.64704658632156,1
vamb.megahit.295_103_19,6.33292202300282,-0.585433481750857,0.731845873163554,-0.000592312899139494,0.999527402710246,1
vamb.megahit.295_103_2,0.191287951161796,0.255298133451208,3.97653958667586,0,1,1
vamb.megahit.295_103_20,13.0344683316151,0.0179844711657852,0.698125130036154,0,1,1
vamb.megahit.295_103_21,0.318618963809039,-0.354419273619639,3.85406037066503,0,1,1
vamb.megahit.295_103_22,5.98926306861131,-0.373795838883854,0.878515582737614,0,1,1
vamb.megahit.295_103_23,1.22665665578649,-0.768354617232249,1.72325459600597,-0.106400190463565,0.915264841968294,1
vamb.megahit.295_103_24,0.596052210535179,4.81561740196348,3.75066794879331,1.12796372798733,0.259335237982294,1
vamb.megahit.295_103_25,5.52253032777471,0.56357731059709,0.81323706155656,0,1,1
vamb.megahit.295_103_26,4.07952566091152,0.532917365405334,1.10554540761342,0,1,1
vamb.megahit.295_103_28,0.914863039984174,0.394755092070384,2.2942550028156,0,1,1
vamb.megahit.295_103_29,1.27045853648657,0.605724064685386,1.54048784321079,0.0134529232260549,0.989266444023113,1
vamb.megahit.295_103_3,0.458900074131996,-1.08011352300228,2.75368987820987,-0.179800030105113,0.857309559981401,1
vamb.megahit.295_103_31,0.780115348152234,1.96544731987018,1.87262036545832,0.737174146630792,0.461016453350972,1
vamb.megahit.295_103_32,1.68217557717796,-2.31554278164361,1.7170315680612,-1.0078689372017,0.313517385705799,1
vamb.megahit.295_103_34,0.222866222347206,-1.91931405612152,3.95225713984458,-0.337608108204719,0.735658531140177,1
vamb.megahit.295_103_35,1.74161598145557,1.1831418149992,1.88321723434389,0.317617003546377,0.750775474581876,1
vamb.megahit.295_103_37,0.0974662807505009,-0.747969233907136,4.00845320334949,-0.040656389295242,0.96756982912789,1
vamb.megahit.295_103_38,0.600560002643809,2.70424087900875,3.35090466972594,0.632438427197058,0.527100430705438,1
vamb.megahit.295_103_4,0.876400322810312,1.33477205618365,1.95782968312922,0.382960817605584,0.701748816421268,1
vamb.megahit.295_103_6,0.917524022084382,-0.417440662522197,1.92449107162941,0,1,1
vamb.megahit.295_103_7,0.88297434295255,0.0295390456431843,1.89810865336717,0,1,1
vamb.megahit.295_103_8,0.249265888356046,-2.08363914076418,3.9473849881479,-0.379653655588162,0.704202526209565,1
vamb.megahit.295_103_9,0.457047954971632,-1.07669853941217,2.85333942009063,-0.172323886863959,0.8631829062465,1
vamb.megahit.295_104_1,0.436113877431511,-0.015216371098846,2.88744510704665,0,1,1
vamb.megahit.295_104_11,2.45450865885792,-0.367332969521261,1.10143615609685,0,1,1
vamb.megahit.295_104_13,0.576883336544006,-1.28671858867218,2.7373420222256,-0.25635035117082,0.797680321170767,1
vamb.megahit.295_104_14,0.151799607605545,-1.36453062553336,3.97340405134493,-0.196187101905607,0.844463723077356,1
vamb.megahit.295_104_15,0.969962463316346,-0.244783608198506,1.79861939737531,0,1,1
vamb.megahit.295_104_16,1.05976707973339,-0.0540641327176123,1.58643412007546,0,1,1
vamb.megahit.295_104_17,0.128444488717369,-1.10920619617613,3.98616882213733,-0.131506270699056,0.895374826355262,1
vamb.megahit.295_104_18,1.87589380529237,0.00121670413650643,1.31047351254632,0,1,1
vamb.megahit.295_104_19,1.04064893592618,0.0122098770999549,1.630983201119,0,1,1
vamb.megahit.295_104_2,0.226618271527257,2.54252697315711,4.01378746702624,0.487700703945697,0.625761853074891,1
vamb.megahit.295_104_24,0.456636168244962,0.828357369519864,2.87869163578902,0.08453749144033,0.932629095654225,1
vamb.megahit.295_104_26,0.197658984298665,-1.74183487961533,3.95817273824177,-0.292264879811486,0.770084108932422,1
vamb.megahit.295_104_27,0.59149368824259,0.523815135270603,2.62522205146617,0,1,1
vamb.megahit.295_104_28,0.152783235844543,0.127620377998559,3.99462710947985,0,1,1
vamb.megahit.295_104_30,0.368164948984755,0.0827992382192411,3.70032638584031,0,1,1
vamb.megahit.295_104_31,0.241254455104751,1.51428373601754,3.97840770430434,0.233581825968244,0.815309638258596,1
vamb.megahit.295_104_32,0.467872726632008,1.85421741586162,2.8428037716896,0.446466769356815,0.655260111488324,1
vamb.megahit.295_104_33,0.150404192639878,1.98246204316647,4.03864095316209,0.346022847629551,0.729325544215653,1
vamb.megahit.295_104_4,0.61021475583663,0.218459803950067,2.1432246525205,0,1,1
vamb.megahit.295_104_5,0.497931713493549,-1.71291283904232,2.67837368279238,-0.421118549024269,0.67366851736427,1
vamb.megahit.295_104_6,0.995528202323298,0.361632901465606,1.73511615598367,0,1,1
vamb.megahit.295_104_8,0.330100507344843,1.27853349276352,3.17984720297605,0.218102773024575,0.827349036853358,1
vamb.megahit.295_104_9,0.569105767076055,0.921144280702021,2.64346585809487,0.127160439645049,0.898813415732002,1
vamb.megahit.295_105_1,1.49227834496909,0.850319696976989,1.45195559204863,0.182732652727097,0.855007793938531,1
vamb.megahit.295_105_10,0.432542406266546,0.675528158205787,2.87731965465998,0.0314626698007542,0.974900562579781,1
vamb.megahit.295_105_11,0.921552197444044,-0.082317027144595,1.87761665831689,0,1,1
vamb.megahit.295_105_12,0.3181984450418,-0.869588527561292,3.89064697848338,-0.0731468388510099,0.941689269445216,1
vamb.megahit.295_105_13,0.826199955084011,1.35294585630971,2.05103808000225,0.374418136746088,0.708093251474768,1
vamb.megahit.295_105_14,0.143122670438252,1.982462043166,4.03864095316211,0.346022847629433,0.729325544215742,1
vamb.megahit.295_105_15,4.15713920089348,0.112889501230818,0.996086130499514,0,1,1
vamb.megahit.295_105_2,0.228752329583164,0.459689678832974,3.94977735143562,0,1,1
vamb.megahit.295_105_4,2.20894674456972,0.620796515386619,1.14038692704736,0.0313897980918652,0.974958677086942,1
vamb.megahit.295_105_6,0.10779235007279,-0.876748226001034,3.9998780483903,-0.0729392802659183,0.941854436041489,1
vamb.megahit.295_105_7,0.18527199609471,-0.282191629225924,3.96965419432801,0,1,1
vamb.megahit.295_105_8,1.04542737930548,1.90402304664241,2.13418733177551,0.618044642568966,0.536545911377895,1
vamb.megahit.295_105_9,0.19017447509167,1.03179001755111,3.99124546448412,0.111942505547918,0.910868993832955,1
vamb.megahit.295_106_2,0.291350806878833,0.789858654406378,3.92560431875861,0.0521852529628254,0.958381083353115,1
vamb.megahit.295_106_3,0.381462426253466,0.373407353640784,2.53770613219291,0,1,1
vamb.megahit.295_106_4,3.74250910835388,0.437171794888572,1.020804891685,0,1,1
vamb.megahit.295_107_3,1.02259918446161,1.59838904429452,2.43112370384643,0.416839769482389,0.67679561113558,1
vamb.megahit.295_107_7,0.489139639008625,-1.67184305777851,2.78207035444537,-0.390659803423694,0.69604871454783,1
vamb.megahit.295_108_1,0.0974662807505009,-0.747969233907136,4.00845320334949,-0.040656389295242,0.96756982912789,1
vamb.megahit.295_108_2,0.278110038267007,-0.599036960099593,3.34376811864833,-0.00419794662832877,0.996650533035991,1
vamb.megahit.295_108_4,0.779029590224335,-1.0087253333361,2.28937167527456,-0.185083679470825,0.853163402345891,1
vamb.megahit.295_108_6,0.46120597816242,-1.57682089556863,2.72513092421342,-0.363953484493561,0.715892744624587,1
vamb.megahit.295_108_7,0.372004847852543,-0.316327435804734,2.59735304507888,0,1,1
vamb.megahit.295_108_8,0.610034177821544,-2.34837049556368,2.49264276405413,-0.707430090261174,0.479299243118365,1
vamb.megahit.295_108_9,1.4868979516188,-0.980269055526547,1.76249252311346,-0.22426708218217,0.822549488468552,1
vamb.megahit.295_109_10,2.70760358947168,-0.682552183886883,1.33194253375264,-0.0732405350942866,0.941614710644575,1
vamb.megahit.295_109_11,2.04112023443376,-0.892406138409246,1.36038452916454,-0.225970034074141,0.821224726890269,1
vamb.megahit.295_109_14,0.206761484629803,2.36174805387078,4.0208632369243,0.44188224000125,0.6585744229586,1
vamb.megahit.295_109_2,0.397212085901084,-0.472450372308113,2.99849001812513,0,1,1
vamb.megahit.295_109_5,1.76139962917878,2.06774013293015,1.93485303614431,0.766332173675007,0.443478679148778,1
vamb.megahit.295_109_6,1.12384284320954,0.461645124150293,2.28220208292521,0,1,1
vamb.megahit.295_109_7,6.56465390639139,0.390582018460882,0.705015940995976,0,1,1
vamb.megahit.295_109_8,0.188243404041132,0.291632444509391,3.97889776193301,0,1,1
vamb.megahit.295_10_12,1.0273743717142,1.62087621121589,2.77050843068096,0.373893903279437,0.708483252514848,1
vamb.megahit.295_10_13,0.557276843947254,-0.576013330607255,2.27333882098457,0,1,1
vamb.megahit.295_10_15,0.917180065380011,0.652576936878905,1.70317239034485,0.0396770974341726,0.968350560895549,1
vamb.megahit.295_10_16,0.177672349570084,-0.169359858273132,3.97585408480122,0,1,1
vamb.megahit.295_10_17,1.36695778577489,-2.08838659500155,1.64409280783015,-0.914417110665239,0.360497714294805,1
vamb.megahit.295_10_18,0.548656615436845,-0.0564278877552968,2.70757764051161,0,1,1
vamb.megahit.295_10_2,0.251710372258167,-0.371184401252721,3.94381366788843,0,1,1
vamb.megahit.295_10_20,0.448427726461223,-0.416935109537081,3.55274956708788,0,1,1
vamb.megahit.295_10_5,0.906357948791397,1.60968963355224,1.90503332741082,0.53788541061637,0.590656161229737,1
vamb.megahit.295_10_6,0.387416363511723,2.82422671364982,3.71981434091224,0.60197270842842,0.547192304141685,1
vamb.megahit.295_110_1,8.02412464456203,0.270008496034057,0.702762355300584,0,1,1
vamb.megahit.295_110_2,1.46147771255326,-0.0448128495610518,1.63014507215185,0,1,1
vamb.megahit.295_110_3,0.209806031750467,2.36174805387083,4.02086323692429,0.441882240001262,0.658574422958591,1
vamb.megahit.295_110_4,0.166080713113254,0.660111539449641,4.00637707953812,0.0187479954977928,0.985042140101162,1
vamb.megahit.295_110_5,2.4185363418377,1.12670658150531,1.44020072698562,0.376132695502189,0.706818248533371,1
vamb.megahit.295_110_6,0.488899698256472,0.881578318339385,2.80038033304396,0.105906442364209,0.915656582550574,1
vamb.megahit.295_110_7,1.42125492720247,-1.36521608779752,1.7529017221814,-0.445099732588872,0.656247682065435,1
vamb.megahit.295_110_8,1.73440710320867,1.1518161442229,1.43501796996708,0.394988882429053,0.692851092820328,1
vamb.megahit.295_111_2,2.00880247754633,0.0379169923248377,1.66594875636265,0,1,1
vamb.megahit.295_112_10,1.63735287394018,-0.40838700260923,1.72279563986513,0,1,1
vamb.megahit.295_112_11,0.995240689533817,-0.418010247427164,2.37558730038599,0,1,1
vamb.megahit.295_112_12,3.8331665529918,0.116375765711597,0.94350780827738,0,1,1
vamb.megahit.295_112_14,2.7713610280742,1.13684012918606,1.25500548546341,0.439711328418851,0.660146196694989,1
vamb.megahit.295_112_15,9.19630378723367,1.14262010848077,0.630138005844111,0.884917436036568,0.376201163270321,1
vamb.megahit.295_112_19,2.90467575698918,-0.239591150145802,1.02505809431188,0,1,1
vamb.megahit.295_112_2,0.292391143774716,0.758478604707182,3.92692301042653,0.0441767267263891,0.964763533320114,1
vamb.megahit.295_112_20,0.153448739760541,1.98246204316656,4.03864095316208,0.346022847629573,0.729325544215636,1
vamb.megahit.295_112_21,2.41073868799713,0.186888340214751,1.07860277987791,0,1,1
vamb.megahit.295_112_3,0.304763421465175,3.99683166393448,3.99823309825599,0.853334855694808,0.393473636043789,1
vamb.megahit.295_112_6,8.16719539658821,-0.0332509142562947,0.716403208109899,0,1,1
vamb.megahit.295_112_7,0.503462742659723,0.799820606384646,2.37960545246029,0.0902757245586831,0.928068110366078,1
vamb.megahit.295_112_8,2.80417100657594,0.500438134825135,1.078702994789,0,1,1
vamb.megahit.295_112_9,0.359169887494461,1.94479436633643,3.75782118695126,0.361857123765817,0.717458801965492,1
vamb.megahit.295_114_1,0.596917278567919,0.0108532184373108,2.63401402379499,0,1,1
vamb.megahit.295_114_10,3.36392731044425,2.55433420640031,1.01370806873938,1.94270349337291,0.0520519939148011,1
vamb.megahit.295_114_11,1.78290505301172,2.05743590565609,1.3525168713244,1.0886636143875,0.276302252761725,1
vamb.megahit.295_114_12,0.708284522694301,1.04268196670014,2.17293028764554,0.210628923211363,0.833176841131524,1
vamb.megahit.295_114_13,0.346735591995174,0.714914112245276,3.91396543350734,0.0331924526295213,0.973521116736983,1
vamb.megahit.295_114_15,2.78964441235548,0.088994822401834,1.05063519240918,0,1,1
vamb.megahit.295_114_17,0.601532509517394,1.95918923745198,2.11698139257513,0.649126743518699,0.516256457072339,1
vamb.megahit.295_114_2,4.2064768072616,0.671069842412654,0.977741139589594,0.0880292737286086,0.92985340938114,1
vamb.megahit.295_114_3,0.356328327379167,0.19706784856493,3.05323717307526,0,1,1
vamb.megahit.295_114_4,0.140281110322957,-1.25809847777341,3.97845734921503,-0.169185797079417,0.86565050103629,1
vamb.megahit.295_114_6,0.23603385178479,0.379193076181992,3.94512410975936,0,1,1
vamb.megahit.295_114_7,9.11489462952759,0.687053191307018,0.658728740462304,0.154924455300668,0.876880873870095,1
vamb.megahit.295_114_8,2.76052994948331,1.61347760396752,1.28698717698267,0.799135859596351,0.42421163855411,1
vamb.megahit.295_114_9,0.148473121589339,0.959440941380239,4.03427744550531,0.0928148711728822,0.92605063652291,1
vamb.megahit.295_115_1,0.347578251037631,3.04190524611608,3.71604513795075,0.661161303188843,0.50850887471861,1
vamb.megahit.295_115_2,2.81178011868018,0.555424877808238,1.64347537282575,0,1,1
vamb.megahit.295_115_4,2.57009274147171,1.69521921643602,1.77203899186981,0.626520760282228,0.530973424335903,1
vamb.megahit.295_115_6,3.7828412384804,0.525876464965258,2.04658289825474,0,1,1
vamb.megahit.295_116_1,0.792862723577916,0.0952803251031452,2.43858540727012,0,1,1
vamb.megahit.295_116_2,1.28030498905989,1.44787237422343,1.5670881041312,0.550621481937556,0.581893179625057,1
vamb.megahit.295_116_3,5.87459208525266,0.735657497237568,0.823383536926168,0.182973657452514,0.854818687968167,1
vamb.megahit.295_116_4,11.6338827534623,0.905578039953195,0.58662864221295,0.546475260300746,0.584739289083665,1
vamb.megahit.295_116_5,2.12549407669201,1.34082445051687,1.59612531197179,0.473537036752554,0.635830083939023,1
vamb.megahit.295_117_2,0.151799607605545,-1.36453062553336,3.97340405134493,-0.196187101905607,0.844463723077356,1
vamb.megahit.295_117_3,0.26243351779363,0.0920350972043076,3.93044896819348,0,1,1
vamb.megahit.295_117_4,2.89286934233812,0.0588889829450884,1.04567738688621,0,1,1
vamb.megahit.295_117_5,0.572787331162045,-0.901634713266188,3.20973475853456,-0.0986482488698697,0.921417559764083,1
vamb.megahit.295_117_6,0.194614437178001,-1.72079092456216,3.95892295654647,-0.286893919641457,0.774193546305564,1
vamb.megahit.295_117_7,2.48267362790317,1.12974206570848,1.13385002677884,0.480435730337319,0.630917592823674,1
