,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
maxbin2.spades.001_1_1,69.5430346201601,-1.24654214506536,0.429585822877182,-2.90173017516397,0.00371108035210913,0.0264689840639017
maxbin2.spades.001_1_10,53.6633979294569,-1.53998351601115,0.483908171363773,-3.18238791395296,0.00146066040106654,0.0136619853081793
maxbin2.spades.001_1_100,3.63646380640643,0.813102734082713,1.35379839874825,0.600608432418391,0.548100820227994,NA
maxbin2.spades.001_1_1000,44.4195027950264,-1.76586759777221,0.452071137907546,-3.90617194883464,9.3769797892786e-05,0.00203428367095183
maxbin2.spades.001_1_1001,444.233033125747,-1.13214913954587,0.303822422885639,-3.7263514943794,0.000194271444897357,0.00348795398769738
maxbin2.spades.001_1_1002,642.61261235988,-0.839042968142574,0.313661548253984,-2.67499466483271,0.00747304394194224,0.0442155099898249
maxbin2.spades.001_1_1003,621.731789383646,-1.12588749795937,0.307036275039471,-3.6669527006691,0.000245458176486608,0.00399380907991752
maxbin2.spades.001_1_1004,884.546435621085,-1.27981131258561,0.310178648475801,-4.12604580900239,3.69053787134617e-05,0.00101133686930574
maxbin2.spades.001_1_1005,450.443897242779,-0.627926232878345,0.279873706388647,-2.24360566407183,0.0248577845110902,0.0966985871667298
maxbin2.spades.001_1_1006,456.285279469514,-0.00433551110567009,0.31348981605806,-0.013829830774685,0.988965743290566,0.989599289570701
maxbin2.spades.001_1_1007,402.13791002972,-0.205494753244934,0.332560070801852,-0.617917697543952,0.536629592415716,0.706162951435003
maxbin2.spades.001_1_1008,892.573061889153,-0.234118108607263,0.322086156055296,-0.726880383418495,0.467299235113759,0.65034423704157
maxbin2.spades.001_1_1009,414.716410442675,0.343535698201928,0.33012002302204,1.04063878057767,0.298043225608627,0.493160506780377
maxbin2.spades.001_1_101,3.76915945506398,0.952063264215235,1.54801710810333,0.615021151401697,0.53854075205106,NA
maxbin2.spades.001_1_1010,3.55602060216944,-0.482017243527366,1.41937030147544,-0.339599358269163,0.734158261470687,NA
maxbin2.spades.001_1_1011,75.0610757503795,-0.442622080079005,0.460593800784552,-0.960981409921421,0.336561515113932,0.533714808739048
maxbin2.spades.001_1_1012,108.90815742163,-0.288460905102498,0.401627177050839,-0.718230542117881,0.47261514895406,0.653268968145386
maxbin2.spades.001_1_1013,15.7130150617079,0.179042127258573,0.6529462153632,0.274206547255935,0.78392589690733,NA
maxbin2.spades.001_1_1014,2712.93536409239,0.231115439743121,0.423136196063399,0.546196335584803,0.584930984771049,0.744024591378158
maxbin2.spades.001_1_1015,12.8107892378367,-1.24932925241047,0.94029723240317,-1.32865354630204,0.183962297423033,NA
maxbin2.spades.001_1_1016,1.56185963912015,0.629902767295015,2.04497517441624,0.308024652414094,0.758063573825594,NA
maxbin2.spades.001_1_1017,28.9677425195835,-0.905523289615874,0.665138256017602,-1.36140611583152,0.173385384461118,0.348107931270266
maxbin2.spades.001_1_1018,68.1748820512475,-0.657412202022736,0.428662388477043,-1.53363630608787,0.125119151312245,0.280396146843223
maxbin2.spades.001_1_1019,50.7915679768211,-0.699593062332419,0.464658143790384,-1.5056080942122,0.132167809382707,0.29036022258198
maxbin2.spades.001_1_102,9.7773669465323,0.346790586852812,0.846296643048262,0.409774267334575,0.68197154441073,NA
maxbin2.spades.001_1_1020,34.2916903644153,-0.82238917761626,0.484483312917667,-1.69745614696954,0.0896104551891744,0.231740945373329
maxbin2.spades.001_1_1021,62.2364247344072,-0.715296563550441,0.412869742645209,-1.7324993567405,0.083184691523328,0.221731208463205
maxbin2.spades.001_1_1022,4.54876911455924,-1.10147095521093,1.30129657398255,-0.846441139731844,0.397306696503682,NA
maxbin2.spades.001_1_1023,8.49538630249139,-0.789569682704021,0.86305731857379,-0.914851963724486,0.360269350794969,NA
maxbin2.spades.001_1_1024,5.29444845378572,-1.65983339961298,1.21213509567458,-1.36934687027542,0.170890873448708,NA
maxbin2.spades.001_1_1025,8.43061283627718,0.465428681595468,0.829293522486228,0.561235158572214,0.574637237957191,NA
maxbin2.spades.001_1_1026,102.142945919999,-0.808782861716715,0.413189991820413,-1.95741154850682,0.0502991018118379,0.161328946673698
