,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.megahit.78_101_2,0.504081786472243,-1.3847080057674,4.45881142454059,-0.179354525146754,0.857659336004892,1
vamb.megahit.78_101_3,0.287135194825961,-0.372397687247929,4.51031064721983,0,1,1
vamb.megahit.78_102_8,0.745753908784094,2.307791493117,4.28287887947483,0.402250808766335,0.687499452917177,1
vamb.megahit.78_104_1,9.5456500324364,-5.3894507910258e-12,2.05855475796238,0,1,1
vamb.megahit.78_104_15,0.404966971073059,-0.965437014152225,4.47596646090976,-0.08499550152458,0.932264967032686,1
vamb.megahit.78_104_16,7.86670674046793,-4.29084744819242,2.91798560902596,-1.2700019618772,0.204083931314785,1
vamb.megahit.78_106_2,0.542366479115704,-1.7092483045609,4.44852610759593,-0.252723773530571,0.800481675478379,1
vamb.megahit.78_108_2,1.27017443822318,-2.86173330831856,3.7253324949171,-0.611149021308828,0.541100928964989,1
vamb.megahit.78_109_11,0.912983573178103,1.26337074198693,3.81822772188734,0.177666391686983,0.858984980824555,1
vamb.megahit.78_109_16,0.616941869994114,-1.89901588639488,4.39117963835284,-0.29923983863429,0.764757054251547,1
vamb.megahit.78_109_17,2.53795608315613,-3.90325276290991,3.6013206910069,-0.921398855479919,0.356842226097963,1
vamb.megahit.78_109_20,0.291521982524691,-0.816932953902889,4.48331751214598,-0.0517324399341666,0.958741888508912,1
vamb.megahit.78_10_2,0.399995278347832,-1.27282616041761,4.4629209698777,-0.154120174894438,0.877514981067014,1
vamb.megahit.78_10_3,1.48472823657924,-3.16945433959734,4.42243999225049,-0.584395569894926,0.558954206600576,1
vamb.megahit.78_10_6,3.358604421924,0.917260787693158,2.75361098080582,0.120663663098818,0.90395744128975,1
vamb.megahit.78_110_12,0.325419887469423,-0.96544167982135,4.47596680641573,-0.0849965373460847,0.932264143546643,1
vamb.megahit.78_111_1,1.48246837624959,-3.16774020307732,3.60554417135599,-0.71632466011531,0.473790903243679,1
vamb.megahit.78_112_26,0.574270389651922,-1.38470299218877,4.45881130583718,-0.179353405501115,0.857660215099255,1
vamb.megahit.78_112_6,0.833888461640396,-2.3344828157438,4.22691882445201,-0.413890800462819,0.678954081512319,1
vamb.megahit.78_112_9,0.294499680841405,0.719663937036815,4.5621529215894,0.029517628924613,0.976451759218612,1
vamb.megahit.78_117_4,0.325419887469423,-0.96544167982135,4.47596680641573,-0.0849965373460847,0.932264143546643,1
vamb.megahit.78_123_3,0.759313070761986,-2.19771969732369,4.43677938506713,-0.363488818657881,0.716239764000169,1
vamb.megahit.78_124_7,2.17574035220161,-0.673818482637052,2.60307921563018,-0.0341205454308658,0.972781025138125,1
vamb.megahit.78_125_19,0.867786366585127,-2.39133443406495,4.43311046884583,-0.407464340615729,0.68366697949529,1
vamb.megahit.78_125_21,0.325419887469423,-0.96544167982135,4.47596680641573,-0.0849965373460847,0.932264143546643,1
vamb.megahit.78_125_22,1.49209272259468,-3.02179788793896,3.46440771019969,-0.703380806122988,0.481818464782654,1
vamb.megahit.78_128_3,1.34235703581137,3.46807848223171,4.38615023965797,0.657314119376023,0.510978959617651,1
vamb.megahit.78_12_27,0.399995278347832,-1.27282616041761,4.4629209698777,-0.154120174894438,0.877514981067014,1
vamb.megahit.78_132_2,0.447718211191591,-0.88847981775493,4.28342705641482,-0.0708497690652727,0.943517321328649,1
vamb.megahit.78_132_8,0.325419887469423,-0.96544167982135,4.47596680641573,-0.0849965373460847,0.932264143546643,1
vamb.megahit.78_133_33,0.291521982524691,-0.816932953902889,4.48331751214598,-0.0517324399341666,0.958741888508912,1
vamb.megahit.78_135_12,0.399995278347832,-1.27282616041761,4.4629209698777,-0.154120174894438,0.877514981067014,1
