,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.megahit.78_101_2,0.504081786472243,-0.702940031774464,4.56207696003845,-0.154083334834522,0.877544028229732,1
vamb.megahit.78_101_3,0.287135194825961,-0.702948459423908,4.56207696004898,-0.154085182161495,0.87754257166989,1
vamb.megahit.78_102_8,0.745753908784094,-3.89596311352683,4.3009477715317,-0.905838275766682,0.365021458538903,1
vamb.megahit.78_104_1,9.5456500324364,-5.22919387743189e-06,2.05926796050362,-2.53934600922603e-06,0.999997973895025,1
vamb.megahit.78_104_15,0.404966971073059,-0.70294352227424,4.56207696004194,-0.154084099946393,0.877543424962777,1
vamb.megahit.78_104_16,7.86670674046793,-1.94889488093022,3.14267338302672,-0.620139175599989,0.535166162140924,1
vamb.megahit.78_106_2,0.542366479115704,0,4.56207696003636,0,1,1
vamb.megahit.78_108_2,1.27017443822318,-0.702944213049101,3.88608081343549,-0.180887698119603,0.856455725045074,1
vamb.megahit.78_109_11,0.912983573178103,-3.85106560493261,3.91659241167923,-0.983269434278832,0.325474849379152,1
vamb.megahit.78_109_16,0.616941869994114,0,4.51114634082647,0,1,1
vamb.megahit.78_109_17,2.53795608315613,-0.702940643697735,3.77851776524093,-0.186036082763505,0.852416465268399,1
vamb.megahit.78_109_20,0.291521982524691,0,4.56207696004344,0,1,1
vamb.megahit.78_10_2,0.399995278347832,0,4.56207696003929,0,1,1
vamb.megahit.78_10_3,1.48472823657924,0,4.56207696003109,0,1,1
vamb.megahit.78_10_6,3.358604421924,-3.57397571889419,2.89205531463352,-1.23579092723788,0.216536288295581,1
vamb.megahit.78_110_12,0.325419887469423,0,4.56207696004194,0,1,1
vamb.megahit.78_111_1,1.48246837624959,0,3.77555003690572,0,1,1
vamb.megahit.78_112_26,0.574270389651922,-0.0325245788777408,4.53077650009747,-0.00717858823471895,0.994272364472074,1
vamb.megahit.78_112_6,0.833888461640396,0,4.3609575668449,0,1,1
vamb.megahit.78_112_9,0.294499680841405,0.460287140501179,4.50862289358451,0.102090405732566,0.918684916340905,1
vamb.megahit.78_117_4,0.325419887469423,0,4.56207696004194,0,1,1
vamb.megahit.78_123_3,0.759313070761986,0,4.56207696003398,0,1,1
vamb.megahit.78_124_7,2.17574035220161,0.534085934106566,2.60897980851658,0.204710642973599,0.83779820461473,1
vamb.megahit.78_125_19,0.867786366585127,0,4.56207696003324,0,1,1
vamb.megahit.78_125_21,0.325419887469423,0,4.56207696004194,0,1,1
vamb.megahit.78_125_22,1.49209272259468,0.0379561621516937,3.59482520034769,0.0105585557116999,0.991575647942361,1
vamb.megahit.78_128_3,1.34235703581137,-5.05362189277193,4.40359122753846,-1.14761376150638,0.251128046200383,1
vamb.megahit.78_12_27,0.399995278347832,0,4.56207696003929,0,1,1
vamb.megahit.78_132_2,0.447718211191591,-0.0304942696878442,4.33669847023044,-0.00703167856773401,0.994389578468399,1
vamb.megahit.78_132_8,0.325419887469423,0,4.56207696004194,0,1,1
vamb.megahit.78_133_33,0.291521982524691,0,4.56207696004344,0,1,1
vamb.megahit.78_135_12,0.399995278347832,0,4.56207696003929,0,1,1
vamb.megahit.78_138_3,0.399995278347832,0,4.56207696003929,0,1,1
vamb.megahit.78_139_7,0.325419887469423,0,4.56207696004194,0,1,1
vamb.megahit.78_13_3,0.291521982524691,0,4.56207696004344,0,1,1
vamb.megahit.78_140_1,0.406774859336778,-3.50257332282636,4.48692106888337,-0.780618439472129,0.435026943284429,1
vamb.megahit.78_141_17,3.04203786962838,-0.0220852502362931,3.7462580390181,-0.00589528270777677,0.995296272191753,1
vamb.megahit.78_142_1,0.949141338452483,0,4.24757869427434,0,1,1
vamb.megahit.78_142_2,2.10225501159985,0.0288587336966597,4.52770393790657,0.00637381200105652,0.994914468244615,1
vamb.megahit.78_144_1,0.267567463030414,0.0877705838885846,4.52486463616395,0.0193973943854802,0.984524088997671,1
vamb.megahit.78_145_1,0.556510546120095,0.0342698596040482,3.89460702064764,0.00879931130980949,0.992979255960542,1
vamb.megahit.78_145_2,5.43857986933273,-2.68110768319649,2.4235441903597,-1.10627555043614,0.268607270947005,1
vamb.megahit.78_147_3,0.433893183292564,0,4.56207696003845,0,1,1
vamb.megahit.78_14_20,0.325419887469423,0,4.56207696004194,0,1,1
