,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.megahit.78_101_2,0.504081786472243,-2.08764803754186,3.96458209726632,-0.526574550942292,0.598489068561497,0.76228607679938
vamb.megahit.78_101_3,0.287135194825961,-1.07534614667184,4.022412042466,-0.267338635455302,0.789208442117084,0.882485406998747
vamb.megahit.78_102_8,0.745753908784094,-1.58817162040983,3.90830008872605,-0.406358668565676,0.684479083760817,0.836585546818776
vamb.megahit.78_104_1,9.5456500324364,-5.22919926688268e-06,1.79165957257358,-2.91863440294707e-06,0.999997671266671,1
vamb.megahit.78_104_15,0.404966971073059,-1.66838053642646,3.98386527651518,-0.418784376635812,0.675373723894691,0.833879801951608
vamb.megahit.78_104_16,7.86670674046793,-6.23974232912264,2.63097959809465,-2.37164223304562,0.017709229135544,0.734501150671713
vamb.megahit.78_106_2,0.542366479115704,-3.37394629629157,3.95301144282334,-0.853512909105524,0.39337493198669,0.734501150671713
vamb.megahit.78_108_2,1.27017443822318,-3.56467752136766,3.29506992865027,-1.08182150866456,0.279331847388075,0.734501150671713
vamb.megahit.78_109_11,0.912983573178103,-2.58769486294567,3.48455578319725,-0.742618291669688,0.457712810984107,0.734501150671713
vamb.megahit.78_109_16,0.616941869994114,-3.5637142536862,3.90023358469975,-0.913718159770306,0.360864959336005,0.734501150671713
vamb.megahit.78_109_17,2.53795608315613,-4.60619340660764,3.180222364147,-1.44838721296242,0.147508788926553,0.734501150671713
vamb.megahit.78_109_20,0.291521982524691,-2.48163837430521,3.9921223057167,-0.621633853940676,0.534182655033973,0.734501150671713
vamb.megahit.78_10_2,0.399995278347832,-2.93752778543421,3.96920322593873,-0.74007996522765,0.459251474578924,0.734501150671713
vamb.megahit.78_10_3,1.48472823657924,-4.83414017487326,3.9236332815545,-1.23205708280617,0.217927761586632,0.734501150671713
vamb.megahit.78_10_6,3.358604421924,-2.65671493120103,2.58216321463531,-1.02887180645405,0.303539918401602,0.734501150671713
vamb.megahit.78_110_12,0.325419887469423,-2.63014586386417,3.98386566468634,-0.660199435733547,0.509125854350077,0.734501150671713
vamb.megahit.78_111_1,1.48246837624959,-4.83245712990245,3.18570803275256,-1.51691777156585,0.129287446100101,0.734501150671713
vamb.megahit.78_112_26,0.574270389651922,-1.41722757106651,3.92852311326376,-0.360753272974663,0.718283896481632,0.844641896877054
vamb.megahit.78_112_6,0.833888461640396,-3.9991835087595,3.750037112244,-1.06643838155682,0.286225519187244,0.734501150671713
vamb.megahit.78_112_9,0.294499680841405,1.17995107753799,4.02060272297833,0.293476167340385,0.769158213628059,0.882485406998747
vamb.megahit.78_117_4,0.325419887469423,-2.63014586386417,3.98386566468634,-0.660199435733547,0.509125854350077,0.734501150671713
vamb.megahit.78_123_3,0.759313070761986,-3.86241362244989,3.93978803040486,-0.98036076881349,0.326908067802208,0.734501150671713
vamb.megahit.78_124_7,2.17574035220161,-0.139732548530486,2.15204801871094,-0.0649300328410815,0.948229708291401,0.972337243247961
