,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.megahit.78_101_2,0.504081786472243,-2.08764803754186,3.96458209726632,-0.379018015184495,0.704674486001481,0.907080987299779
vamb.megahit.78_101_3,0.287135194825961,-1.07534614667184,4.022412042466,-0.1219035100072,0.902975435779042,1
vamb.megahit.78_102_8,0.745753908784094,-1.58817162040983,3.90830008872605,-0.256677224787216,0.797427954623462,0.984396049142021
vamb.megahit.78_104_1,9.5456500324364,-5.22919926688268e-06,1.79165957257358,0,1,1
vamb.megahit.78_104_15,0.404966971073059,-1.66838053642646,3.98386527651518,-0.271942061598563,0.785666569023089,0.980058297441172
vamb.megahit.78_104_16,7.86670674046793,-6.23974232912264,2.63097959809465,-2.14929159208145,0.0316112925973498,0.873153060535377
vamb.megahit.78_106_2,0.542366479115704,-3.37394629629157,3.95301144282334,-0.705524468277187,0.48048391039337,0.873153060535377
vamb.megahit.78_108_2,1.27017443822318,-3.56467752136766,3.29506992865027,-0.904283546597809,0.36584506897318,0.873153060535377
vamb.megahit.78_109_11,0.912983573178103,-2.58769486294567,3.48455578319725,-0.574734625458658,0.565470786119817,0.873153060535377
vamb.megahit.78_109_16,0.616941869994114,-3.5637142536862,3.90023358469975,-0.763727143259167,0.445029861879453,0.873153060535377
vamb.megahit.78_109_17,2.53795608315613,-4.60619340660764,3.180222364147,-1.26443781162649,0.206072928502554,0.873153060535377
vamb.megahit.78_109_20,0.291521982524691,-2.48163837430521,3.9921223057167,-0.475095257374564,0.634719078719597,0.873153060535377
vamb.megahit.78_10_2,0.399995278347832,-2.93752778543421,3.96920322593873,-0.592695221564985,0.55338513992921,0.873153060535377
vamb.megahit.78_10_3,1.48472823657924,-4.83414017487326,3.9236332815545,-1.08296058014621,0.278825920489384,0.873153060535377
vamb.megahit.78_10_6,3.358604421924,-2.65671493120103,2.58216321463531,-0.802317575999405,0.42236927800179,0.873153060535377
vamb.megahit.78_110_12,0.325419887469423,-2.63014586386417,3.98386566468634,-0.513357135003997,0.607701524240323,0.873153060535377
vamb.megahit.78_111_1,1.48246837624959,-4.83245712990245,3.18570803275256,-1.33328512413377,0.182438253548822,0.873153060535377
vamb.megahit.78_112_26,0.574270389651922,-1.41722757106651,3.92852311326376,-0.211842350693238,0.832230027187095,0.99641603751562
vamb.megahit.78_112_6,0.833888461640396,-3.9991835087595,3.750037112244,-0.910439925410891,0.362590550084087,0.873153060535377
vamb.megahit.78_112_9,0.294499680841405,1.17995107753799,4.02060272297833,0.147975594340063,0.882362029072685,1
vamb.megahit.78_117_4,0.325419887469423,-2.63014586386417,3.98386566468634,-0.513357135003997,0.607701524240323,0.873153060535377
