,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.spades.21_10_21,0.740593277515803,2.94638467643662,3.79085857729094,0.622915529105319,0.533340032634272,1
vamb.spades.21_11_9,0.39674639866918,-2.4888370079864,3.99992298433235,-0.475968416252939,0.634096879152061,1
vamb.spades.21_13_42,0.290947359024066,0,4.08045587188211,0,1,1
vamb.spades.21_13_49,0.581894718048131,-0.202017685219791,3.62104624238153,0,1,1
vamb.spades.21_14_103,0.952191356806033,-2.00770630504666,2.99716257895811,-0.474684394845617,0.635011942371118,1
vamb.spades.21_14_105,0.238047839201508,0,4.08045587188557,0,1,1
vamb.spades.21_14_112,0.238047839201508,-1.51691631839287,4.0377446206145,-0.230801203631112,0.817469246116003,1
vamb.spades.21_14_118,0.264497599112787,0,4.08045587188369,0,1,1
vamb.spades.21_14_150,0.714143517604525,0.550669401044006,3.44503936449054,0,1,1
vamb.spades.21_14_180,1.53408607485416,2.45584255508903,2.93634276742248,0.6371335716815,0.524037842575094,1
vamb.spades.21_14_22,2.53917695148275,-5.02617187839477,2.7261426978101,-1.62910469872408,0.103290856713286,1
vamb.spades.21_14_27,1.16378943609626,-3.87339074782212,3.48187013729212,-0.94443233611795,0.344948763785699,1
vamb.spades.21_14_28,0.528995198225574,-2.84647555695439,3.85219440680071,-0.587061637637486,0.557162310944161,1
vamb.spades.21_14_29,0.819942557249639,-3.40880375186791,3.30618598291692,-0.854097067272838,0.393051208749297,1
vamb.spades.21_14_52,6.53309069808584,-6.38922834703842,3.7655233748186,-1.5414134422464,0.123216194520234,1
vamb.spades.21_14_64,0.449645918491738,-1.6596670246004,3.46110400183707,-0.310498333488387,0.756182026590095,1
vamb.spades.21_14_71,0.502545438314295,-2.23116537869414,3.68089902767932,-0.447218292682153,0.654717454864182,1
vamb.spades.21_14_8,0.238047839201508,-1.51691631839287,4.0377446206145,-0.230801203631112,0.817469246116003,1
vamb.spades.21_15_110,1.03154063653987,-3.71047575322759,3.20127158043566,-0.976323212416186,0.328904320455681,1
vamb.spades.21_15_118,0.238047839201508,0,4.08045587188557,0,1,1
vamb.spades.21_15_120,0.290947359024066,-1.65691215828291,4.03074323187921,-0.265934120984224,0.790289946222871,1
vamb.spades.21_15_121,0.925741596894754,-3.33309653792189,3.08625507099948,-0.890430788998889,0.373234616196734,1
vamb.spades.21_15_125,0.238047839201508,-0.898695209028202,4.07088846554518,-0.0770581684276609,0.938577270766119,1
vamb.spades.21_15_126,0.264497599112787,-2.03862708524499,4.0145397317525,-0.362090596276257,0.717284330632102,1
vamb.spades.21_15_130,0.978641116717311,-3.13247568188953,2.83085411214697,-0.899896490941909,0.368175337726462,1
vamb.spades.21_15_131,2.61852623121659,-0.918905195529719,2.69034650711266,-0.124112338186531,0.901226329234204,1
vamb.spades.21_15_142,0.952191356806033,3.5739668572903,3.95691350715745,0.755378365456741,0.450021990432161,1
vamb.spades.21_15_143,0.581894718048131,-2.88575905997479,3.50084040972017,-0.657201926025157,0.511051087329452,1
vamb.spades.21_15_150,0.872842077072197,-3.46207503820026,3.58472293383732,-0.802593419715272,0.42220977293448,1
vamb.spades.21_15_169,0.925741596894754,-3.41620094401836,3.04019837662323,-0.931255330503464,0.351721502620393,1
vamb.spades.21_15_3,0.343846878846623,0.437043172277052,3.9919094187591,0,1,1
vamb.spades.21_15_4,0.423196158580459,-2.55559659559057,3.99809986285727,-0.492883285357027,0.622095058192901,1
vamb.spades.21_15_58,1.93083247352334,-3.24800276249144,2.72954412846386,-0.975621802454657,0.329251916154266,1
vamb.spades.21_16_1,1.08444015636243,-0.89439583310623,2.91603352590138,-0.106101603550869,0.915501738879428,1
vamb.spades.21_16_12,0.687693757693246,-1.09541116232562,3.55821116067611,-0.143446001172295,0.885937954914515,1
vamb.spades.21_16_14,0.925741596894754,-0.570593821599418,3.27270746165623,0,1,1
vamb.spades.21_16_157,2.27467935236997,1.69388211190958,2.41134610284252,0.459860204473515,0.645616566241118,1
vamb.spades.21_16_158,0.528995198225574,-1.11353868458052,4.04980460756356,-0.130509675354067,0.896163199788088,1
vamb.spades.21_16_162,0.317397118935344,-0.898690392743378,4.07088846553399,-0.0770569853237753,0.938578211947983,1
vamb.spades.21_16_170,2.53917695148275,-2.67910996913173e-06,1.99213958429333,0,1,1
vamb.spades.21_16_19,1.93083247352334,-3.58463423027083,2.61279088665831,-1.14805752178173,0.250944818468431,1
vamb.spades.21_16_30,0.317397118935344,-1.51690936179547,4.03774460507543,-0.230799481627458,0.81747058396457,1
vamb.spades.21_16_47,0.264497599112787,-1.65691390738411,4.0307432318832,-0.26593455492408,0.790289612018045,1
vamb.spades.21_16_61,0.528995198225574,-1.66025080959153,3.36808084675149,-0.319247327637225,0.749538970820917,1
vamb.spades.21_16_76,0.343846878846623,-2.03980165766601,3.92291088891962,-0.370847490259119,0.710751127324967,1
vamb.spades.21_16_78,0.581894718048131,-1.25157586461152,3.51132188966211,-0.189836160157809,0.849437519385145,1
vamb.spades.21_16_95,0.581894718048131,-1.09950638991077,3.65809681947616,-0.14064865292014,0.888147510763379,1
vamb.spades.21_16_96,0.60834447795941,-2.95158349342337,3.47688432411656,-0.680662131037304,0.496085303326744,1
vamb.spades.21_17_31,0.317397118935344,0,4.08045587188076,0,1,1
vamb.spades.21_17_40,0.714143517604525,-2.94014027982777,3.79620258142844,-0.620393730131645,0.534998599293026,1
vamb.spades.21_17_66,0.264497599112787,0,4.08045587188369,0,1,1
vamb.spades.21_17_67,1.19023919600754,-3.96974570351468,3.09814755454029,-1.0925062941416,0.274610625455925,1
vamb.spades.21_18_26,0.476095678403016,-2.55716545052632,3.99560589098895,-0.493583577643136,0.621600301148644,1
vamb.spades.21_19_27,0.238047839201508,-1.93648701665605,4.01849456587587,-0.33631674610999,0.736632023108812,1
vamb.spades.21_19_53,0.238047839201508,-0.0721970074561652,4.04609218980065,0,1,1
vamb.spades.21_19_56,1.26958847574138,-3.64382255891521,3.24567751887224,-0.942429597866531,0.345972739698938,1
vamb.spades.21_1_3,0.264497599112787,0,4.08045587188369,0,1,1
vamb.spades.21_20_1,0.264497599112787,0,4.08045587188369,0,1,1
vamb.spades.21_21_10,0.634794237870688,-2.05332131432892,3.56566663116709,-0.411794333630209,0.680490174958135,1
vamb.spades.21_21_18,0.872842077072197,-1.41645310563891,3.39318485940081,-0.245036194634482,0.806428406201073,1
vamb.spades.21_21_19,0.264497599112787,-1.07956721315302,4.06400100114785,-0.121694658296918,0.903140843856462,1
vamb.spades.21_21_31,0.317397118935344,0,4.08045587188076,0,1,1
vamb.spades.21_21_36,0.555444958136852,-1.12167524298666,3.32697170445817,-0.161310432026672,0.871848907292526,1
vamb.spades.21_21_41,0.238047839201508,0,4.08045587188557,0,1,1
vamb.spades.21_21_5,0.238047839201508,-0.898695209028202,4.07088846554518,-0.0770581684276609,0.938577270766119,1
vamb.spades.21_21_7,0.264497599112787,-2.03862708524499,4.0145397317525,-0.362090596276257,0.717284330632102,1
vamb.spades.21_21_8,0.555444958136852,-2.82428780243968,3.86743325944072,-0.579011362891239,0.562581506079866,1
vamb.spades.21_21_9,0.343846878846623,-0.0722259550752271,4.00376674583493,0,1,1
