,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
maxbin2.spades.006_10_1,0.736196684000387,0.0394126028254097,3.30331939542475,0,1,1
maxbin2.spades.006_10_10,0.417101385536517,1.80223412774914,3.26919344434349,0.372334690030427,0.709643673418711,1
maxbin2.spades.006_10_12,0.302610429995092,-0.585697154670661,4.37270023227124,-0.000159433446984441,0.999872790514714,1
maxbin2.spades.006_10_13,0.369159829114534,-0.75275190220172,3.95205571393841,-0.0424467452748907,0.966142564565317,1
maxbin2.spades.006_10_14,1.46367075290636,1.34345770882181,3.50698489644083,0.216270594604371,NA,NA
maxbin2.spades.006_10_15,5.2427613670422,-0.918470449286316,1.23656968057462,-0.269673803688406,0.78741121573345,1
maxbin2.spades.006_10_16,7.00816993331706,0.588274284193022,0.862096353624096,0.00379804899911459,0.996969602628105,1
maxbin2.spades.006_10_17,3.68202054096656,-0.0779818864609877,2.39116291680737,0,NA,NA
maxbin2.spades.006_10_19,0.343188862937105,0,4.56207696004466,0,1,1
maxbin2.spades.006_10_20,0.24032735436356,1.51947612799843,4.50554119549675,0.207405966886382,0.835692823016753,1
maxbin2.spades.006_10_21,0.348523806999174,-1.17668178355072,4.35776073592956,-0.135776564939034,0.891997917941767,1
maxbin2.spades.006_10_22,0.180848893374178,-0.164722589136073,4.38766818885834,0,1,1
maxbin2.spades.006_10_23,5.48477870360512,-3.2531176064022,1.47218869928496,-1.81234756638066,0.0699325091531816,1
maxbin2.spades.006_10_24,9.14348344209978,-2.50508334905156,1.13551482632376,-1.690936396901,0.0908489508893364,1
maxbin2.spades.006_10_26,0.388045746246723,-1.17667640757981,4.35776073592501,-0.13577533128473,0.891998893224212,1
maxbin2.spades.006_10_27,0.734661926979229,-0.564127165391322,2.69485275584966,0,1,1
maxbin2.spades.006_10_29,0.758262069055721,-1.27311213407611,2.74445967478974,-0.250727726261391,0.802024622788093,1
maxbin2.spades.006_10_3,14.3330277790333,0.336703239668137,0.773725637929162,0,1,1
maxbin2.spades.006_10_30,1.99940188886987,0.397617818205861,2.4201198051285,0,1,1
maxbin2.spades.006_10_31,1.15852800945587,-1.59088489257139,3.71102838521597,-0.271052869489936,0.786350369713794,1
maxbin2.spades.006_10_33,0.981265884120922,-0.193257960449286,2.18079915271391,0,1,1
maxbin2.spades.006_10_34,2.08152860249557,-1.00283021197341,1.67857694653913,-0.248919308009615,0.803423199652101,1
maxbin2.spades.006_10_35,1.78091642648317,-0.861879445930692,2.34098270962042,-0.118274878662212,0.905849861590579,1
maxbin2.spades.006_10_36,0.13173979749183,0,4.56207696004918,0,1,1
maxbin2.spades.006_10_37,2.68926851009578,-2.62809987456404,2.30614218326693,-0.885938382025406,0.375650731909387,1
maxbin2.spades.006_10_38,4.29414125283067,-0.361289307760387,2.37532034768801,0,NA,NA
maxbin2.spades.006_10_39,0.369839329488061,-0.904728898003423,3.86610688018035,-0.0827004808487105,0.934089702522035,1
maxbin2.spades.006_10_4,0.387279632725154,0.0958147564615123,3.83953768662056,0,1,1
