,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.spades.108_10_10,17.951545749009,-0.649560589416571,0.892735969855942,-0.0723176746501981,0.942349099186994,1
vamb.spades.108_10_100,0.274722640367883,0.778015423285065,4.30719680271186,0.0448123065014211,0.964256915778347,1
vamb.spades.108_10_102,0.133956911068857,-0.246641499372997,4.33626147976386,0,1,1
vamb.spades.108_10_103,0.553768998746599,0.64517929792599,2.88871930797581,0.0208325183273548,0.983379257489244,1
vamb.spades.108_10_104,0.579471810587728,-0.852653187343485,2.69885465566064,-0.0991728794220553,0.921001007769438,1
vamb.spades.108_10_105,0.160875084501098,-0.483255746915792,4.33460542555202,0,1,1
vamb.spades.108_10_11,0.33082887664515,-0.449380726279538,3.46257187622937,0,1,1
vamb.spades.108_10_12,0.0733960457824061,-1.97108531066281,4.43556156410784,-0.312493759951137,0.754665304635403,1
vamb.spades.108_10_13,1.39504333198533,-0.28289816771846,1.9829905035277,0,1,1
vamb.spades.108_10_14,2.64829779477534,-1.75896465580602,1.60644367530799,-0.730784822306916,0.464910595629285,1
vamb.spades.108_10_15,0.765441675317099,0.11688171960239,2.40243486006523,0,1,1
vamb.spades.108_10_16,1.42262721072453,0.566761602490417,1.92367512154169,0,1,1
vamb.spades.108_10_17,0.870123449499967,0.753534797531693,2.49034095410103,0.0676753908954328,0.9460440396085,1
vamb.spades.108_10_18,1.58313230106183,-0.8096375902806,1.86213687420433,-0.120634306420996,0.903980694672189,1
vamb.spades.108_10_19,1.93663238132804,-0.429122445948979,1.91154076630509,0,1,1
vamb.spades.108_10_2,0.496598723786498,-0.68234022903699,3.56277065972382,-0.0273214973215637,0.978203310884246,1
vamb.spades.108_10_20,0.90939935920944,0.455746455553065,2.32075734324638,0,1,1
vamb.spades.108_10_21,0.154150566079129,-2.42993538360105,4.43306687648673,-0.416175851843496,0.677281328722426,1
vamb.spades.108_10_22,0.639188384132118,-1.5325715100802,2.82886460893627,-0.334965309787843,0.737651254799666,1
vamb.spades.108_10_23,3.36384550844754,-0.781584229103825,1.57776218240375,-0.124596869728697,0.900842706680671,1
vamb.spades.108_10_27,0.844135302803419,1.4626305633622,2.40739898588858,0.364555509288902,0.715443230805024,1
vamb.spades.108_10_28,0.108920506169295,-1.22815703603527,4.37281041343345,-0.14708093313615,0.883068139348917,1
vamb.spades.108_10_29,1.67927476258665,2.05967965112855,1.72531752247946,0.854729423375523,0.392700957646067,1
vamb.spades.108_10_3,1.54822169702293,0.625992926714852,1.78935598049281,0.0229093188620646,0.981722606970453,1
vamb.spades.108_10_30,3.21460424679276,-0.183391393371527,1.38737002443151,0,1,1
vamb.spades.108_10_31,0.0874790387186923,-0.86671898194327,4.36664314667287,-0.0645161448921978,0.94855925212754,1
vamb.spades.108_10_33,0.0929557447003303,-0.755671230946721,4.36022656534045,-0.0391427437058869,0.968776582515798,1
vamb.spades.108_10_34,0.207935063984632,-1.7344721856992,4.43717806470257,-0.259054779622925,0.79559297464679,1
vamb.spades.108_10_36,1.23856450116471,0.631440244227515,2.02869326095241,0.022891703305463,0.981736658466075,1
vamb.spades.108_10_37,0.322992156707402,-4.96715004675413,4.30554422470369,-1.01779236678395,0.308776640337369,1
vamb.spades.108_10_38,0.55008976148944,1.01510347753612,3.09787172578065,0.138838375377771,0.889577868474247,1
vamb.spades.108_10_39,0.498743214770495,-0.866804986521845,2.84050486925231,-0.0992094713768341,0.920971954889836,1
vamb.spades.108_10_4,6.28643689580514,-1.1812673695832,1.04300022545539,-0.571684794529031,0.567535537572956,1
vamb.spades.108_10_40,0.519281477307701,-0.0167848856125875,2.94549424599955,0,1,1
vamb.spades.108_10_41,11.9842239472925,-1.4012352340625,0.914404718348716,-0.892641100470813,0.372049401569358,1
vamb.spades.108_10_42,5.51222535006974,1.18183614509482,1.10737851436154,0.538963089272982,0.589912323510778,1
vamb.spades.108_10_43,0.470372717983334,-0.840279910315137,3.03667541588673,-0.0840655899473517,0.933004283013431,1
vamb.spades.108_10_44,0.162756853033777,-1.55980972453178,4.37090518268279,-0.223022390966957,0.823518079877294,1
vamb.spades.108_10_45,0.200078782145146,-0.557521574447388,4.32938983996812,0,1,1
vamb.spades.108_10_46,0.46185019299426,-0.416984493727096,3.04506783452398,0,1,1
vamb.spades.108_10_47,13.0516092663931,0.0808403921440169,0.832075460276663,0,1,1
vamb.spades.108_10_48,11.5560449164664,-0.0299112032184035,0.976918937740837,0,1,1
vamb.spades.108_10_49,9.56386471624296,0.124195905319686,0.919775324314727,0,1,1
vamb.spades.108_10_5,1.67581239130946,-0.28371077789826,1.80438269899526,0,1,1
vamb.spades.108_10_51,0.436755412765988,-0.326335904638225,3.08675962794866,0,1,1
vamb.spades.108_10_52,2.65934032325057,-0.442563570795438,1.68699651840034,0,1,1
vamb.spades.108_10_53,1.30595374658306,-0.234785028638583,2.16843739936017,0,1,1
vamb.spades.108_10_55,3.46924681335641,1.29035396032191,1.41556280720441,0.498285174442321,0.618283055894753,1
vamb.spades.108_10_56,13.2349344060961,-0.497996342877728,0.939301885718341,0,1,1
vamb.spades.108_10_57,3.56383780912149,-0.566431086997088,1.29470619845531,0,1,1
vamb.spades.108_10_58,5.63457142856143,-0.822005352880456,1.18328662871567,-0.200294119048484,0.841250561680349,1
vamb.spades.108_10_59,8.73938712637525,-0.608533525079261,1.00410920349381,-0.0234372167861584,0.981301518449547,1
vamb.spades.108_10_6,0.580450912049636,-2.68485848809359,2.77901887210072,-0.755611453083175,0.449882187076976,1
vamb.spades.108_10_60,13.1676056590581,-0.793933574382331,0.945728862368646,-0.220923335107953,0.825152127514151,1
vamb.spades.108_10_61,1.81925408807613,0.133646014657576,1.9135899509904,0,1,1
vamb.spades.108_10_62,2.58623938311482,0.0577647019016249,1.56056838302239,0,1,1
vamb.spades.108_10_63,5.16799382894084,-1.07375075183635,1.12589773668943,-0.434098707111238,0.664216764317545,1
vamb.spades.108_10_64,1.43160443479827,-1.67617796325395,1.92990359421744,-0.565405425702838,0.571798034980529,1
vamb.spades.108_10_65,3.44258419680398,-1.0790752299954,1.39482734788766,-0.354219632088252,0.723174291910515,1
vamb.spades.108_10_67,0.936951488734028,-1.35511938756498,2.36981893543327,-0.324969716483498,0.745203991572669,1
vamb.spades.108_10_68,6.97185155493383,-0.967001516030308,1.01107942238418,-0.377815538100387,0.705567630082008,1
vamb.spades.108_10_69,3.1277501505955,-1.53913728243077,1.4514838841642,-0.657352997742851,0.510953966439418,1
vamb.spades.108_10_7,1.06399829838734,-2.56672504384537,2.8833978798938,-0.687288097721136,0.491901197703271,1
vamb.spades.108_10_70,1.55263105388929,-0.442527127814375,1.95951206569451,0,1,1
vamb.spades.108_10_71,4.96659940234927,-1.19514447482488,1.17709112605712,-0.518349396506516,0.604214514352326,1
vamb.spades.108_10_72,0.873048786880987,-3.10703671164869,2.77784839563297,-0.907910134913613,0.363925702527682,1
vamb.spades.108_10_73,0.330854801124639,-1.07128674567939,3.48626557337275,-0.139486431955593,0.889065776858062,1
vamb.spades.108_10_74,0.243485448851011,-1.55982194814092,4.33563988985384,-0.224839233171135,0.822104343724256,1
vamb.spades.108_10_75,0.841038710522254,-0.0333818671603076,2.30001410237922,0,1,1
vamb.spades.108_10_76,0.375399593825772,-1.35408402778711,3.68905358079022,-0.208477326486098,0.834856284543764,1
vamb.spades.108_10_77,1.14057854669155,-0.0518915059452377,2.11949367393515,0,1,1
vamb.spades.108_10_78,1.66417108052872,1.13203312632176,1.8037533784852,0.303274900464032,0.761680372526777,1
vamb.spades.108_10_79,0.734639753713111,0.923480965541577,2.39116809275827,0.141554651288079,0.887431789152043,1
vamb.spades.108_10_8,1.47593928794173,1.37147867487834,1.91662348406542,0.410345945052341,0.681552192943268,1
vamb.spades.108_10_80,3.04600346620336,-0.873102737301775,1.44465783953331,-0.19942627895533,0.841929305686754,1
vamb.spades.108_10_82,0.345597136790137,-0.697131112505235,3.40887935404975,-0.0328938342660978,0.973759249679707,1
vamb.spades.108_10_83,4.26493931880792,1.63124598642497,1.36045815961621,0.769039443829805,0.441869895210576,1
vamb.spades.108_10_84,0.585352037267636,-1.33766369091035,2.91147918504418,-0.258515909980283,0.796008771746418,1
vamb.spades.108_10_85,1.6956742070022,-1.19049209071868,2.00220838073489,-0.302412124804133,0.762337912939338,1
vamb.spades.108_10_86,1.5153161213364,-0.640756088348604,1.84648871636718,-0.0301957373767762,0.975910948063518,1
vamb.spades.108_10_87,2.84081509611995,0.52448078213918,1.55614349386707,0,1,1
vamb.spades.108_10_88,9.2777203690409,1.97766914126858,1.02608713082589,1.35726206813219,0.174697955294767,1
vamb.spades.108_10_89,4.53863347313969,0.315183020617425,1.24186995912852,0,1,1
vamb.spades.108_10_9,4.6092316981805,0.126619719441768,1.3401285917903,0,1,1
vamb.spades.108_10_90,0.114397212150933,-1.10333322949403,4.36499861909729,-0.118747627370665,0.905475302282977,1
vamb.spades.108_10_91,1.68855851898682,0.740249330117691,1.76863726837679,0.0877790674738944,0.930052275269509,1
vamb.spades.108_10_92,0.267862511021361,-0.30305043147638,4.0620873067188,0,1,1
vamb.spades.108_10_93,3.3214573980038,-1.86707355988473,1.39794643931102,-0.917112075135443,0.359083914139801,1
vamb.spades.108_10_95,2.91199068671596,0.996177823470561,1.57664179006725,0.260793432002726,0.794251809728512,1
vamb.spades.108_10_96,3.52314741732944,0.0380990413195188,1.30356660456896,0,1,1
vamb.spades.108_10_97,3.05985271331313,-0.123357632029954,1.4552381915201,0,1,1
vamb.spades.108_10_99,7.45399153414957,1.16092999125572,1.08132349585057,0.532615811517804,0.594299554632095,1
vamb.spades.108_11_10,1.62989053782119,0.415886281084916,1.90330787078622,0,1,1
vamb.spades.108_11_11,1.3569120762838,1.24293365196455,2.091636563211,0.314554480226965,0.753099945353074,1
vamb.spades.108_11_12,1.08167798756224,2.37837964883538,2.28880061814543,0.783545597907312,0.433306788114485,1
vamb.spades.108_11_13,11.1389986978768,1.19939725643697,1.01202247689304,0.607098429595361,0.543785592301841,1
vamb.spades.108_11_14,68.4190822512289,0.170066843217306,0.801217174168884,0,1,1
