,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.spades.108_10_10,17.951545749009,0.401208758756478,0.856750728025092,0,1,1
vamb.spades.108_10_100,0.274722640367883,-2.39209748836061,4.35603162915756,-0.414849487378515,0.678252089616477,1
vamb.spades.108_10_102,0.133956911068857,-1.36744909614148,4.38477166020076,-0.178446942458494,0.858371986104721,1
vamb.spades.108_10_103,0.553768998746599,-1.34287351564263,2.94925993510907,-0.256970742599059,0.797201358851496,1
vamb.spades.108_10_104,0.579471810587728,1.24736737052955,2.68126726662356,0.247035190700571,0.804880989652555,1
vamb.spades.108_10_105,0.160875084501098,-1.36744712628584,4.38477166019959,-0.178446493209231,0.858372338891877,1
vamb.spades.108_10_11,0.33082887664515,0.614130207662357,3.47623288544063,0.00837982051903429,0.993313948836292,1
vamb.spades.108_10_12,0.0733960457824061,0.120370051012597,4.48459532417055,0,1,1
vamb.spades.108_10_13,1.39504333198533,0.971244688435072,1.87932795818633,0.205522770388528,0.837163709598717,1
vamb.spades.108_10_14,2.64829779477534,0.43466557469546,1.5937657745633,0,1,1
vamb.spades.108_10_15,0.765441675317099,0.601696139229569,2.3559978188588,0.00708665309276733,0.994345716236524,1
vamb.spades.108_10_16,1.42262721072453,-0.0830765186768611,1.837570408966,0,1,1
vamb.spades.108_10_17,0.870123449499967,0.399464629978885,2.42323776132699,0,1,1
vamb.spades.108_10_18,1.58313230106183,1.09756510967898,1.76316937894471,0.290706676170703,0.771275665176464,1
vamb.spades.108_10_19,1.93663238132804,0.136464895470519,1.82942989691961,0,1,1
vamb.spades.108_10_2,0.496598723786498,1.59677040474343,3.53282794479452,0.286391078352465,0.774578607114859,1
vamb.spades.108_10_20,0.90939935920944,0.362012953552118,2.26554078303727,0,1,1
vamb.spades.108_10_21,0.154150566079129,0.120373871015873,4.48459532416511,0,1,1
vamb.spades.108_10_22,0.639188384132118,0.905205445632359,2.83538963416107,0.112931726128392,0.91008468340564,1
vamb.spades.108_10_23,3.36384550844754,1.52270989735791,1.43900163927647,0.651639214135563,0.51463394426272,1
vamb.spades.108_10_27,0.844135302803419,-1.46069835762548,2.42260493178131,-0.361469732905063,0.717748327236084,1
vamb.spades.108_10_28,0.108920506169295,-0.622552038603499,4.42254204623885,-0.00849105293084451,0.993225201369833,1
vamb.spades.108_10_29,1.67927476258665,-0.998981103611071,1.63497353024037,-0.253203550977494,0.800110922625711,1
vamb.spades.108_10_3,1.54822169702293,0.375323542548689,1.6779984137331,0,1,1
vamb.spades.108_10_30,3.21460424679276,-0.315718311710961,1.31872363989157,0,1,1
vamb.spades.108_10_31,0.0874790387186923,-0.747376775819155,4.41481850778424,-0.0367799436223372,0.97066046589778,1
vamb.spades.108_10_33,0.0929557447003303,-0.858423602324749,4.40847225828895,-0.0620223030349459,0.950545070937634,1
vamb.spades.108_10_34,0.207935063984632,1.54385498823242,4.46144462156879,0.214920293663817,0.829829462530097,1
vamb.spades.108_10_36,1.23856450116471,-0.333592545369027,1.96487511628941,0,1,1
vamb.spades.108_10_37,0.322992156707402,3.09793606550931,4.35184777436191,0.57744116885563,0.563641470109228,1
vamb.spades.108_10_38,0.55008976148944,-1.45134852212545,3.14942043619832,-0.275081888771645,0.78325332568783,1
vamb.spades.108_10_39,0.498743214770495,0.765349932324765,2.85501501325523,0.0631695215217568,0.949631514593741,1
vamb.spades.108_10_4,6.28643689580514,0.563904166396562,0.99982345376015,0,1,1
vamb.spades.108_10_40,0.519281477307701,-0.812497368399524,2.99142217181236,-0.0760499038026764,0.939379395628086,1
vamb.spades.108_10_41,11.9842239472925,1.45874729360689,0.861087018636697,1.01470266616055,0.310247582840021,1
vamb.spades.108_10_42,5.51222535006974,-1.56113342385894,1.04386691173643,-0.935112908440775,0.349730114833558,1
vamb.spades.108_10_43,0.470372717983334,-0.620138663015528,3.10002243878597,-0.0113349705395322,0.99095619567011,1
vamb.spades.108_10_44,0.162756853033777,-0.622549277537635,4.42254204623642,-0.00849042861437347,0.993225699484351,1
vamb.spades.108_10_45,0.200078782145146,-1.47542106727609,4.38071305289596,-0.203259390999705,0.838932294236625,1
vamb.spades.108_10_46,0.46185019299426,-0.417894071195636,3.08915856795429,0,1,1
vamb.spades.108_10_47,13.0516092663931,-0.45711069738185,0.789573102789958,0,1,1
vamb.spades.108_10_48,11.5560449164664,0.552909492286679,0.901925221129366,0,1,1
vamb.spades.108_10_49,9.56386471624296,-0.389098009163909,0.866304693967383,0,1,1
vamb.spades.108_10_5,1.67581239130946,-0.00192217162108242,1.78045129747956,0,1,1
vamb.spades.108_10_51,0.436755412765988,-1.18779292741169,3.1547980761102,-0.191071793778612,0.848469345796655,1
vamb.spades.108_10_52,2.65934032325057,1.31375350670967,1.54460390688602,0.471806074981946,0.637065214326416,1
vamb.spades.108_10_53,1.30595374658306,0.121215203302964,2.10400686032383,0,1,1
vamb.spades.108_10_55,3.46924681335641,-0.193818326010627,1.26560846447511,0,1,1
vamb.spades.108_10_56,13.2349344060961,-1.73565108567988,0.969629923960244,-1.18669098100881,0.23534953382428,1
vamb.spades.108_10_57,3.56383780912149,-0.178092146722432,1.24834080079431,0,1,1
vamb.spades.108_10_58,5.63457142856143,-2.09349577302302,1.30848456838897,-1.15285713677183,0.248969027854755,1
vamb.spades.108_10_59,8.73938712637525,-0.65316205856726,0.992514065479961,-0.0686761638328002,0.945247391903041,1
vamb.spades.108_10_6,0.580450912049636,1.43855305513997,2.81547877943961,0.303164442713312,0.761764545228716,1
vamb.spades.108_10_60,13.1676056590581,0.804385606358354,0.896998154434996,0.244577544863,0.80678355268356,1
vamb.spades.108_10_61,1.81925408807613,-0.0492516545331892,1.82763418336507,0,1,1
vamb.spades.108_10_62,2.58623938311482,-0.712254473742318,1.4960830522691,-0.0850584287746006,0.932214939517771,1
vamb.spades.108_10_63,5.16799382894084,0.408827684768913,1.08231994417225,0,1,1
vamb.spades.108_10_64,1.43160443479827,0.177874984160744,1.99779570050944,0,1,1
vamb.spades.108_10_65,3.44258419680398,-0.44810410921719,1.39989867219812,0,1,1
vamb.spades.108_10_67,0.936951488734028,1.35241091883739,2.32643063825499,0.329866236378752,0.741501036322389,1
vamb.spades.108_10_68,6.97185155493383,1.2719040717884,0.929482967043111,0.739017385088395,0.459896440724353,1
vamb.spades.108_10_69,3.1277501505955,2.26915856771412,1.31450694117086,1.28120933786321,0.200120147117385,1
vamb.spades.108_10_7,1.06399829838734,4.42302395761172,2.78682141943504,1.37720484378572,0.168448924702785,1
vamb.spades.108_10_70,1.55263105388929,2.32606209473209,1.82170437598789,0.955732509446233,0.339207393607979,1
vamb.spades.108_10_71,4.96659940234927,1.57836707960969,1.07535691358596,0.923755701069646,0.355613524124341,1
vamb.spades.108_10_72,0.873048786880987,0.057513235410374,2.87861418627222,0,1,1
vamb.spades.108_10_73,0.330854801124639,-0.0172376388071393,3.53603711902274,0,1,1
vamb.spades.108_10_74,0.243485448851011,0.275454883199323,4.37866865247225,0,1,1
vamb.spades.108_10_75,0.841038710522254,-0.0694421659450264,2.28287535122585,0,1,1
vamb.spades.108_10_76,0.375399593825772,1.47466659187525,3.6913897608075,0.241011285592512,0.809546369673317,1
vamb.spades.108_10_77,1.14057854669155,1.49411913639349,2.00741816645713,0.452879799328499,0.650635297725527,1
vamb.spades.108_10_78,1.66417108052872,0.630747848066353,1.66440617025922,0.0274859880261248,0.978072115561634,1
vamb.spades.108_10_79,0.734639753713111,-0.742865655934721,2.39324655630354,-0.0659629721471533,0.94740730516757,1
