,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.spades.108_10_10,17.951545749009,-0.248351830660093,0.83046551517628,0,1,1
vamb.spades.108_10_100,0.274722640367883,0,4.02820494473117,0,1,1
vamb.spades.108_10_102,0.133956911068857,0,4.02820494473851,0,1,1
vamb.spades.108_10_103,0.553768998746599,-0.697694217716639,2.81515312546742,-0.0400312923290551,0.968068178609877,1
vamb.spades.108_10_104,0.579471810587728,0.394714183186067,2.51223316907908,0,1,1
vamb.spades.108_10_105,0.160875084501098,-1.85070287320163,4.02642224925994,-0.31434926464413,0.75325578533219,1
vamb.spades.108_10_11,0.33082887664515,0.164749481382819,3.21642821067961,0,1,1
vamb.spades.108_10_12,0.0733960457824061,-1.85071525965021,4.02642224928372,-0.314352340933784,0.753253449134599,1
vamb.spades.108_10_13,1.39504333198533,0.688346520716612,1.86188187217915,0.0555064863463414,0.95573496256166,1
vamb.spades.108_10_14,2.64829779477534,-1.32429908111056,1.54617227543726,-0.478147935294911,0.632544916320952,1
vamb.spades.108_10_15,0.765441675317099,0.718577858831959,2.27536417003399,0.0587061449728126,0.953186164801442,1
vamb.spades.108_10_16,1.42262721072453,0.483685083813556,1.85048740092835,0,1,1
vamb.spades.108_10_17,0.870123449499967,1.15299942751058,2.34658582765426,0.242053548954726,0.80873867057373,1
vamb.spades.108_10_18,1.58313230106183,0.287927519398379,1.75172366688821,0,1,1
vamb.spades.108_10_19,1.93663238132804,-0.29265755047846,1.8297366763728,0,1,1
vamb.spades.108_10_2,0.496598723786498,0.914430175706435,3.24412176625215,0.101546797390105,0.919116410575967,1
vamb.spades.108_10_20,0.90939935920944,0.817759409105183,2.20880110855036,0.105378165650208,0.916075740876044,1
vamb.spades.108_10_21,0.154150566079129,-2.30956151258518,4.02367399384335,-0.428603687879272,0.668211661264085,1
vamb.spades.108_10_22,0.639188384132118,-0.627366064447844,2.64746751739749,-0.0160024869689396,0.987232407635327,1
vamb.spades.108_10_23,3.36384550844754,0.74112566825408,1.46437175627335,0.106616142782896,0.915093511493916,1
vamb.spades.108_10_27,0.844135302803419,0.00193220573672117,2.375930968636,0,1,1
vamb.spades.108_10_28,0.108920506169295,-1.85070907463877,4.02642224926899,-0.314350804828917,0.753254615683924,1
vamb.spades.108_10_29,1.67927476258665,1.06069854751748,1.70994230385341,0.278195671541362,0.780862157378932,1
vamb.spades.108_10_3,1.54822169702293,1.00131646926354,1.71255111642412,0.243097251387641,0.807930060436314,1
vamb.spades.108_10_30,3.21460424679276,-0.499109705082489,1.3725882368984,0,1,1
vamb.spades.108_10_31,0.0874790387186923,0,4.02820494474585,0,1,1
vamb.spades.108_10_33,0.0929557447003303,0,4.02820494474431,0,1,1
vamb.spades.108_10_34,0.207935063984632,-0.190617197466777,4.0024166569232,0,1,1
vamb.spades.108_10_36,1.23856450116471,0.297847698858487,1.96254737919182,0,1,1
vamb.spades.108_10_37,0.322992156707402,-1.86921398124482,3.82796775468866,-0.335481922404351,0.737261579236477,1
vamb.spades.108_10_38,0.55008976148944,-0.436245044589336,2.9910694468125,0,1,1
vamb.spades.108_10_39,0.498743214770495,-0.101455054197079,2.66964097422001,0,1,1
