,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
metabat2.spades.25_10_1,3.19611300408932,-2.54322412870495,2.13454602921671,-0.917396065440452,0.358935133763742,1
metabat2.spades.25_10_10,1.09513689100253,-3.43706675952613,3.07794994150536,-0.926612457553891,0.354127784528051,1
metabat2.spades.25_10_100,6.57249192185745,2.2565114747607,1.22829174895387,1.36084238633397,0.173563503764123,1
metabat2.spades.25_10_101,1.73315209059399,1.14922344043421,2.10183781347871,0.268442901167704,0.788358420528309,1
metabat2.spades.25_10_102,13.5568486168947,0.545695235629851,0.782033225267924,0,1,1
metabat2.spades.25_10_11,14.0143389823231,0.40291470540568,0.983918397084002,0,1,1
metabat2.spades.25_10_12,6.6327662107438,-1.64576639724197,1.03829237217535,-1.02164517978644,0.306948866004366,1
metabat2.spades.25_10_13,13.3801291738466,0.174811610869933,0.852843417594872,0,1,1
metabat2.spades.25_10_14,4.87129424111182,0.550347994674558,1.29623842042906,0,1,1
metabat2.spades.25_10_15,1.51192685069398,0.140393879390298,1.99328798013306,0,1,1
metabat2.spades.25_10_16,0.274542219085659,1.37718212288749,4.37271828182834,0.181164683345724,0.856238314479575,1
metabat2.spades.25_10_17,1.26218804789667,2.20173668919207,2.09619829272185,0.771270873946181,0.440546392532349,1
metabat2.spades.25_10_18,0.970428583245919,2.43923376404745,3.7789292479881,0.490677025783068,0.623654898133856,1
metabat2.spades.25_10_19,0.981572422830471,0.488614616959161,3.5195673638993,0,1,1
metabat2.spades.25_10_2,3.09032224383584,-0.0296167278469362,1.46228517316353,0,1,1
metabat2.spades.25_10_20,41.329145515212,0.25562615586779,0.768995417586093,0,1,1
metabat2.spades.25_10_21,0.613430232413044,1.94799788889862,2.89028643862582,0.47157882716519,0.637227442348169,1
metabat2.spades.25_10_22,11.9456661039519,0.541093783589366,1.11539876913633,0,1,1
metabat2.spades.25_10_23,1.00150057315355,0.39730538034443,2.18401461610929,0,1,1
metabat2.spades.25_10_24,0.599836799476239,1.94563300755223,2.96405929867452,0.459043787740915,0.646202721958384,1
metabat2.spades.25_10_25,0.482976732743901,0.811108574456897,3.80897849802752,0.0593619981246907,0.952663780760115,1
metabat2.spades.25_10_27,6.97826364627,0.542759226933036,1.02696261060482,0,1,1
metabat2.spades.25_10_28,6.32948847947078,-0.972482458808282,0.998449715235217,-0.388084099675463,0.697953798261069,1
metabat2.spades.25_10_29,3.30255234285801,0.530641638775803,1.33555248913974,0,1,1
metabat2.spades.25_10_3,0.668231574993491,-1.69642614596568,3.35583741999185,-0.331191892475048,0.740499543854951,1
metabat2.spades.25_10_30,13.3753773413141,0.184835501927831,0.926674382645899,0,1,1
metabat2.spades.25_10_31,0.272629983138402,-0.31176635133807,4.46815532247184,0,1,1
metabat2.spades.25_10_32,1.39377796363149,3.24648734697093,2.36541540819242,1.12516699508809,0.260518276202546,1
metabat2.spades.25_10_33,0.796641795355883,2.2162798382624,2.67854081474984,0.609018100183309,0.542512441561064,1
metabat2.spades.25_10_34,0.424584321609143,1.63628939831417,4.36545485192381,0.240820128480055,0.809694528392375,1
metabat2.spades.25_10_35,0.219633775268527,1.06098055569802,4.38348807745737,0.108584886576015,0.913531748631538,1
metabat2.spades.25_10_36,8.43023496470434,-0.297277908729773,0.989169157760358,0,1,1
metabat2.spades.25_10_37,11.0134720846612,0.383998357867028,0.750537790377313,0,1,1
metabat2.spades.25_10_38,5.56511652857388,0.0166733648664938,1.06881864447267,0,1,1
metabat2.spades.25_10_39,5.85271823170774,0.03485987346014,1.17017476559108,0,1,1
metabat2.spades.25_10_40,28.6959078714444,-0.720832962264682,0.524154923448579,-0.259146592329983,0.795522136845592,1
metabat2.spades.25_10_41,2.11375141827526,-0.570394380080424,1.65210437889946,0,1,1
metabat2.spades.25_10_42,4.41991852223644,0.554230841203905,1.14124917380485,0,1,1
