,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.megahit.39_10_11,0.537936199889273,-4.18613720626739,4.49760765037476,-0.930747528837601,0.351984177682946,0.992325407013383
vamb.megahit.39_10_16,0.836789644272203,-0.473933656026748,4.31615168936826,-0.109804680218761,0.912564279214731,0.992325407013383
vamb.megahit.39_10_18,0.441988515113701,-0.564082554314923,4.15414744125386,-0.135787802982906,0.891989033558528,0.992325407013383
vamb.megahit.39_10_19,0.448280166574394,-3.98982357875332,4.50374669551323,-0.885889870921938,0.375676874856279,0.992325407013383
vamb.megahit.39_10_20,1.30001248306574,-5.35755364517356,4.23035145454552,-1.2664559204453,0.205349901197642,0.992325407013383
vamb.megahit.39_10_21,3.6247776977919,-0.691422716735631,3.10184423224917,-0.222906975645994,0.823607907194635,0.992325407013383
vamb.megahit.39_10_22,0.567821544327566,0.255452653480149,4.35908938476211,0.0586022976204903,0.953268880593756,0.992325407013383
vamb.megahit.39_10_23,0.136843419270078,-0.882959385492303,4.46015029249132,-0.197966285346655,0.843071442052702,0.992325407013383
vamb.megahit.39_10_24,3.23705467652668,-1.49327390906318,3.67657213670485,-0.406159284664963,0.68462556796239,0.992325407013383
vamb.megahit.39_10_25,2.345999538406,-3.61635091021329,3.84186488144498,-0.941300910315497,0.34655067639504,0.992325407013383
vamb.megahit.39_10_28,1.97243273292734,-1.2174106039582,3.77936631670268,-0.322120297939347,0.747361561624634,0.992325407013383
vamb.megahit.39_10_29,1.78682901483688,-0.379807919880906,3.45344432064561,-0.109979453732702,0.912425669601682,0.992325407013383
vamb.megahit.39_11_7,0.358624133259516,-3.7538801759708,4.51220720154765,-0.831938784788795,0.405443498317434,0.992325407013383
vamb.megahit.39_12_1,0.322447137360529,2.02679082346477,4.39239749829855,0.461431558562238,0.644489014167045,0.992325407013383
vamb.megahit.39_12_100,0.202905759607358,-1.90134055481367,4.46882303627064,-0.425467855715404,0.670495649449524,0.992325407013383
vamb.megahit.39_12_108,1.07587239977855,2.21805997246673,4.27324549437251,0.519057464727387,0.603720668981417,0.992325407013383
vamb.megahit.39_12_109,1.42191323011668,1.03987408351518,3.46787350167506,0.299859289277101,0.764284488597596,0.992325407013383
vamb.megahit.39_12_110,0.973633063542281,2.03097854288048,3.84797965986905,0.527803866548918,0.59763547321606,0.992325407013383
vamb.megahit.39_12_112,0.202905759607358,-1.90134055481367,4.46882303627064,-0.425467855715404,0.670495649449524,0.992325407013383
vamb.megahit.39_12_114,0.316155485899836,-1.68936936016166,4.44069716496824,-0.380428860019718,0.703627094979907,0.992325407013383
vamb.megahit.39_12_125,0.184030805225278,-0.254333206893684,4.44528900310713,-0.0572140994018415,0.954374646860064,0.992325407013383
vamb.megahit.39_12_126,0.912289461800522,0.387009903685829,3.79003957359148,0.102112364837155,0.918667486597428,0.992325407013383
vamb.megahit.39_12_133,0.478165511012687,0.593547241159182,4.36832497663542,0.135875248369535,0.891919902922454,0.992325407013383
vamb.megahit.39_12_139,1.63740229264542,-4.35867575938756,3.82948500386574,-1.13818849139966,0.255041783231028,0.992325407013383
vamb.megahit.39_12_146,0.160437112247678,-0.523370427661999,4.450908474821,-0.117587326412738,0.906394647331449,0.992325407013383
vamb.megahit.39_12_148,0.418394822136101,-0.910359890561027,4.42302736028522,-0.20582280334398,0.836929328054984,0.992325407013383
vamb.megahit.39_12_149,0.268968099944637,-3.45764749244606,4.52474809230453,-0.764163533949361,0.444769794610472,0.992325407013383
vamb.megahit.39_12_16,0.262676448483943,0.259795105770571,4.42744905540659,0.0586782823516223,0.953208357698995,0.992325407013383
vamb.megahit.39_12_168,1.80806333851672,-3.2197856842476,3.85379691614841,-0.835484005593513,0.40344524873868,0.992325407013383
vamb.megahit.39_12_169,2.26499452584957,-4.91100640785423,4.18223110987368,-1.17425514727295,0.240292842987208,0.992325407013383
vamb.megahit.39_12_171,0.292561792922236,-2.23943514247761,4.45979556621107,-0.502138519407555,0.615570086287969,0.992325407013383
vamb.megahit.39_12_190,0.448280166574394,-3.98982357875332,4.50374669551323,-0.885889870921938,0.375676874856279,0.992325407013383
vamb.megahit.39_12_191,0.986216366463668,-4.97510203936488,4.46395443439809,-1.11450556059175,0.265062360277676,0.992325407013383
vamb.megahit.39_12_192,2.86899306607612,-6.47585354270942,4.42780238603635,-1.46254348729109,0.143592336564989,0.992325407013383
vamb.megahit.39_12_193,6.50006241532872,-3.24487104910509,3.46895772598744,-0.935402303924428,0.34958101002674,0.992325407013383
vamb.megahit.39_12_194,0.358624133259516,-3.7538801759708,4.51220720154765,-0.831938784788795,0.405443498317434,0.992325407013383
vamb.megahit.39_12_196,1.52415256635294,1.20706872375134,3.85270647790118,0.313304096918619,0.754049637826006,0.992325407013383
vamb.megahit.39_12_197,6.86733756934669,0.288101344027897,2.98253941380835,0.0965959888724572,0.923047242015712,0.992325407013383
vamb.megahit.39_12_198,1.34484049972318,-5.33397194054591,4.2244194654025,-1.2626520600595,0.206714249736058,0.992325407013383
vamb.megahit.39_12_2,0.322447137360529,2.02679082346477,4.39239749829855,0.461431558562238,0.644489014167045,0.992325407013383
vamb.megahit.39_12_204,0.55523824140618,-0.650578512063098,4.01474192794762,-0.162047405222801,0.871268523200734,0.992325407013383
vamb.megahit.39_12_206,1.91266204405075,-1.94701553731599,3.8103975705163,-0.51097438030651,0.609368996471128,0.992325407013383
vamb.megahit.39_12_207,0.721967005114551,-1.71610111730012,3.94984027704594,-0.434473547518632,0.66394459978635,0.992325407013383
vamb.megahit.39_12_21,0.268968099944637,-3.45764749244606,4.52474809230453,-0.764163533949361,0.444769794610472,0.992325407013383
vamb.megahit.39_12_211,0.495467552529594,-2.22154500853446,4.41929637452653,-0.502692017068546,0.615180823130121,0.992325407013383
vamb.megahit.39_12_215,0.0943747719103989,0.587787466369869,4.46400482777192,0.1316726771246,0.895243197811391,0.992325407013383
vamb.megahit.39_12_217,1.34484049972318,-5.29725766840189,4.45290510966665,-1.18961835878835,0.234196426751956,0.992325407013383
vamb.megahit.39_12_219,0.717248266519031,0.860813377092029,4.33553468901728,0.19854837726766,0.842616038468423,0.992325407013383
vamb.megahit.39_12_24,1.74829264964014,-1.05575777711432,3.79712450865986,-0.27804139019053,0.780980586136385,0.992325407013383
vamb.megahit.39_12_25,1.16552843309343,-0.220580427264522,4.23538624249226,-0.0520803569345127,0.958464664617543,0.992325407013383
vamb.megahit.39_12_34,0.493108183231834,-4.0594725177329,4.49843588630204,-0.902418667362628,0.366834508438552,0.992325407013383
vamb.megahit.39_12_58,0.717248266519031,-4.41962174629846,4.38427173637318,-1.00806291490375,0.313424259631951,0.992325407013383
vamb.megahit.39_12_63,0.747133610957324,3.26259110019326,4.35592481103926,0.749000784385637,0.453856732657336,0.992325407013383
vamb.megahit.39_12_9,0.202905759607358,-1.90134055481367,4.46882303627064,-0.425467855715404,0.670495649449524,0.992325407013383
vamb.megahit.39_13_10,0.0707810789327991,0.318750827883105,4.46960075774864,0.0713152796321928,0.943146834804374,0.992325407013383
vamb.megahit.39_13_105,1.46438187747636,0.53221042016038,4.1974385787148,0.126794093631106,0.899103370607406,0.992325407013383
vamb.megahit.39_13_115,0.80690429983391,-4.69780084938538,4.4755273386157,-1.04966420579132,0.293872526152173,0.992325407013383
vamb.megahit.39_13_117,1.07587239977855,-5.0959304665887,4.45953307793005,-1.14270493738642,0.253161119153651,0.992325407013383
vamb.megahit.39_13_126,0.687362922080738,-1.63884957969487,4.39525884730421,-0.372867591336524,0.709246993751109,0.992325407013383
vamb.megahit.39_13_133,0.448280166574394,-3.98982357875332,4.50374669551323,-0.885889870921938,0.375676874856279,0.992325407013383
vamb.megahit.39_13_139,0.597706888765859,2.93456130637058,4.3629077367612,0.672615944097192,0.501191655548892,0.992325407013383
vamb.megahit.39_13_140,0.328738788821223,-0.572265013177067,4.43212973066386,-0.129117387791659,0.897264763706643,0.992325407013383
vamb.megahit.39_13_141,2.19499990334936,-2.31706428919227,3.33812609552518,-0.694121259319216,0.48760616736642,0.992325407013383
vamb.megahit.39_13_145,2.74945168832295,-1.26831148854233,3.77559058830358,-0.335923998876213,0.73692817913269,0.992325407013383
vamb.megahit.39_13_15,3.64601202147174,-4.26772571904496,3.84308964066552,-1.11049340975193,0.266786466391103,0.992325407013383
vamb.megahit.39_13_163,0.196614108146664,1.31477819239339,4.43123788573618,0.296706750189505,0.766690403090627,0.992325407013383
vamb.megahit.39_13_17,0.358624133259516,-3.7538801759708,4.51220720154765,-0.831938784788795,0.405443498317434,0.992325407013383
vamb.megahit.39_13_171,0.399519867754022,0.178302763531463,4.13936990833403,0.0430748561930828,0.9656418625421,0.992325407013383
vamb.megahit.39_13_172,1.34484049972318,-5.29725766840189,4.45290510966665,-1.18961835878835,0.234196426751956,0.992325407013383
vamb.megahit.39_13_18,1.24889281494761,-2.21943969273275,3.87815688959354,-0.572292394536253,0.56712390137546,0.992325407013383
vamb.megahit.39_13_180,0.358624133259516,-3.7538801759708,4.51220720154765,-0.831938784788795,0.405443498317434,0.992325407013383
vamb.megahit.39_13_185,0.136843419270078,-0.882959385492303,4.46015029249132,-0.197966285346655,0.843071442052702,0.992325407013383
vamb.megahit.39_13_187,1.12935143719444,1.34445194529673,3.84117650688982,0.350010457182903,0.726330849749243,0.992325407013383
vamb.megahit.39_13_192,0.268968099944637,-3.45764749244606,4.52474809230453,-0.764163533949361,0.444769794610472,0.992325407013383
vamb.megahit.39_13_194,0.268968099944637,-3.45764749244606,4.52474809230453,-0.764163533949361,0.444769794610472,0.992325407013383
vamb.megahit.39_13_195,0.358624133259516,-3.7538801759708,4.51220720154765,-0.831938784788795,0.405443498317434,0.992325407013383
vamb.megahit.39_13_207,0.418394822136101,-0.910359890561027,4.42302736028522,-0.20582280334398,0.836929328054984,0.992325407013383
vamb.megahit.39_13_233,0.268968099944637,-3.45764749244606,4.52474809230453,-0.764163533949361,0.444769794610472,0.992325407013383
vamb.megahit.39_13_238,0.268968099944637,-3.45764749244606,4.52474809230453,-0.764163533949361,0.444769794610472,0.992325407013383
vamb.megahit.39_13_239,0.429405212192315,-1.62601315857874,4.41860899868766,-0.367992089605952,0.712879132557812,0.992325407013383
vamb.megahit.39_13_240,0.352332481798822,-0.216826061771741,4.26471445670813,-0.0508418708855613,0.959451525860479,0.992325407013383
vamb.megahit.39_13_242,1.45809022601566,-0.535468862836852,3.47697489864808,-0.154004235994069,0.877606395593288,0.992325407013383
vamb.megahit.39_13_255,0.286270141461543,0.470497220417887,4.33234843765511,0.108600964855113,0.913518995438529,0.992325407013383
vamb.megahit.39_13_28,1.09081507199769,-2.41990755408414,3.90816396551138,-0.619192944676644,0.53578925917252,0.992325407013383
vamb.megahit.39_13_45,0.478165511012687,0.593547241159182,4.36832497663542,0.135875248369535,0.891919902922454,0.992325407013383
vamb.megahit.39_13_52,0.339749178877436,-1.32978060531611,4.43141477384079,-0.300080374594131,0.764115848579545,0.992325407013383
vamb.megahit.39_13_56,0.226499452584957,-1.35127478307816,4.44976338143852,-0.303673401762166,0.761376723925208,0.992325407013383
vamb.megahit.39_13_60,0.328738788821223,-0.572265013177067,4.43212973066386,-0.129117387791659,0.897264763706643,0.992325407013383
vamb.megahit.39_13_69,0.770727303934924,-0.178489716138758,3.92625912206282,-0.0454605033925985,0.963740256057843,0.992325407013383
vamb.megahit.39_13_78,0.561529892866873,1.7395301279955,4.02807773514474,0.431851181226768,0.665849578191487,0.992325407013383
vamb.megahit.39_13_85,1.61380859966782,-5.66276929195496,4.44291750710271,-1.27456098000967,0.202464675951909,0.992325407013383
vamb.megahit.39_13_86,0.202905759607358,-1.90134055481367,4.46882303627064,-0.425467855715404,0.670495649449524,0.992325407013383
vamb.megahit.39_13_90,0.448280166574394,-3.98982357875332,4.50374669551323,-0.885889870921938,0.375676874856279,0.992325407013383
vamb.megahit.39_14_12,0.561529892866873,-2.96797524921831,4.43072311460961,-0.669862497033923,0.502945448832024,0.992325407013383
vamb.megahit.39_14_18,0.268968099944637,-3.45764749244606,4.52474809230453,-0.764163533949361,0.444769794610472,0.992325407013383
vamb.megahit.39_14_59,0.136843419270078,-0.882959385492303,4.46015029249132,-0.197966285346655,0.843071442052702,0.992325407013383
vamb.megahit.39_14_69,0.740841959496631,0.921576394134081,3.93983286988336,0.233912560397864,0.815052861903144,0.992325407013383
vamb.megahit.39_14_73,0.388509477697809,1.06186263407462,4.37890506257354,0.242495011629813,0.808396621676365,0.992325407013383
vamb.megahit.39_14_9,0.762076283176471,-4.48174196993681,4.03100514635843,-1.11181747658784,0.266216636049296,0.992325407013383
vamb.megahit.39_15_113,0.268968099944637,-3.45764749244606,4.52474809230453,-0.764163533949361,0.444769794610472,0.992325407013383
vamb.megahit.39_15_114,0.357051220394342,0.953179676813695,4.16668343774515,0.228762201653966,0.819053746478766,0.992325407013383
vamb.megahit.39_15_123,0.777018955395617,1.62412247217386,4.33309049220833,0.374818498504548,0.707795455758903,0.992325407013383
vamb.megahit.39_15_32,0.537936199889273,1.66722338021724,4.35545753238215,0.382789492911293,0.701875852674868,0.992325407013383
vamb.megahit.39_15_34,0.403452149916955,-3.83251948932303,4.50924708785302,-0.849924480662646,0.395367074061749,0.992325407013383
vamb.megahit.39_15_37,0.567821544327566,0.255452653480149,4.35908938476211,0.0586022976204903,0.953268880593756,0.992325407013383
vamb.megahit.39_15_40,4.91613916009919,-3.45975281193255,3.80190959171514,-0.910003967340992,0.362820417506614,0.992325407013383
vamb.megahit.39_15_47,0.913862374665695,1.38141124785239,3.84971956996507,0.358834253442759,0.719719086321274,0.992325407013383
vamb.megahit.39_15_48,0.561529892866873,-2.47443011232346,4.09304711414186,-0.604544742173642,0.545481531931103,0.992325407013383
vamb.megahit.39_15_66,0.651185926181752,-1.90696759234716,4.16969074113813,-0.457340294696926,0.647426471393492,0.992325407013383
vamb.megahit.39_15_77,0.292561792922236,-2.23943514247761,4.45979556621107,-0.502138519407555,0.615570086287969,0.992325407013383
vamb.megahit.39_15_91,0.0707810789327991,0.318750827883105,4.46960075774864,0.0713152796321928,0.943146834804374,0.992325407013383
vamb.megahit.39_15_94,0.382217826237115,-2.53566782599842,4.44707151092413,-0.570188228313757,0.56855003934653,0.992325407013383
vamb.megahit.39_16_2,0.117968464887999,0.803417586146808,4.46018727471131,0.18013090856119,0.857049797945958,0.992325407013383
vamb.megahit.39_17_1,0.979924715002975,-1.82297141532121,3.91402317064449,-0.465753863950948,0.641391692220337,0.992325407013383
vamb.megahit.39_17_10,0.292561792922236,-2.23943514247761,4.45979556621107,-0.502138519407555,0.615570086287969,0.992325407013383
vamb.megahit.39_17_12,0.202905759607358,-1.90134055481367,4.46882303627064,-0.425467855715404,0.670495649449524,0.992325407013383
vamb.megahit.39_17_18,1.91266204405075,-0.0998389500894008,3.79730734269631,-0.0262920382995676,0.979024405234275,0.994295149856646
vamb.megahit.39_17_20,0.537936199889273,-4.18613720626739,4.49760765037476,-0.930747528837601,0.351984177682946,0.992325407013383
vamb.megahit.39_17_3,0.358624133259516,-3.7538801759708,4.51220720154765,-0.831938784788795,0.405443498317434,0.992325407013383
vamb.megahit.39_17_30,0.0707810789327991,0.318750827883105,4.46960075774864,0.0713152796321928,0.943146834804374,0.992325407013383
