,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.megahit.39_10_11,0.537936199889273,0,4.56207696004637,0,1,1
vamb.megahit.39_10_16,0.836789644272203,-2.65780087066157,4.38332908992787,-0.472882785694668,0.636296806961375,1
vamb.megahit.39_10_18,0.441988515113701,-1.84585750142575,4.19544641822638,-0.300529997463006,0.763772918629328,1
vamb.megahit.39_10_19,0.448280166574394,0,4.56207696004763,0,1,1
vamb.megahit.39_10_20,1.30001248306574,0,4.34709094023987,0,1,1
vamb.megahit.39_10_21,3.6247776977919,-4.52838079506269,3.28695671699986,-1.19970572617153,0.23025364837095,1
vamb.megahit.39_10_22,0.567821544327566,-2.65825984708766,4.3978301652997,-0.471427901751722,0.637335194823271,1
vamb.megahit.39_10_23,0.136843419270078,-0.713460658847836,4.47872943095713,-0.0286823887953382,0.977117902294769,1
vamb.megahit.39_10_24,3.23705467652668,-3.79606765989272,3.83512470505295,-0.837278552027784,0.402436012250764,1
vamb.megahit.39_10_25,2.345999538406,-1.43139752476427,3.98942937194707,-0.212160047428331,0.831982174726132,1
vamb.megahit.39_10_28,1.97243273292734,-3.25218211671523,3.91501234495173,-0.681270423107212,0.495700394593918,1
vamb.megahit.39_10_29,1.78682901483688,-3.73333987033972,3.58864239892913,-0.877306658161093,0.380320096776024,1
vamb.megahit.39_11_7,0.358624133259516,0,4.56207696004936,0,1,1
vamb.megahit.39_12_1,0.322447137360529,-2.78107941609768,4.39232436324985,-0.499981156781603,0.617088345602161,1
vamb.megahit.39_12_100,0.202905759607358,-0.163395636287266,4.49766570747378,0,1,1
vamb.megahit.39_12_108,1.07587239977855,-4.2834536674333,4.30345903715935,-0.859414167881704,0.390112055891048,1
vamb.megahit.39_12_109,1.42191323011668,-4.09784528674313,3.54998590177097,-0.989537813372918,0.322400078609202,1
vamb.megahit.39_12_110,0.973633063542281,-4.10365163251183,3.88213755686472,-0.906369643262601,0.364740234872913,1
vamb.megahit.39_12_112,0.202905759607358,-0.163395636287266,4.49766570747378,0,1,1
vamb.megahit.39_12_114,0.316155485899836,-0.713454024496898,4.47872942867867,-0.0286809075079124,0.9771190837051,1
vamb.megahit.39_12_125,0.184030805225278,-1.34208161044153,4.46393048936839,-0.169599775857767,0.86532489883499,1
vamb.megahit.39_12_126,0.912289461800522,-3.33962279509437,3.86071022699127,-0.713501566586389,0.475535444071211,1
vamb.megahit.39_12_133,0.478165511012687,-2.65826266178073,4.39783016530323,-0.471428541769934,0.637334737869149,1
vamb.megahit.39_12_139,1.63740229264542,-0.161857586747964,3.96493320847971,0,1,1
vamb.megahit.39_12_146,0.160437112247678,-1.07304662946879,4.46952633723594,-0.109194261907092,0.91304841143119,1
vamb.megahit.39_12_148,0.418394822136101,-1.49245714154542,4.46121085417421,-0.203410502486414,0.8388141916077,1
vamb.megahit.39_12_149,0.268968099944637,0,4.56207696005195,0,1,1
vamb.megahit.39_12_16,0.262676448483943,-1.85620719625884,4.44616611378835,-0.285910864264969,0.77494639246099,1
vamb.megahit.39_12_168,1.80806333851672,-1.43178623312449,3.99192971336042,-0.212124534730764,0.832009879279521,1
vamb.megahit.39_12_169,2.26499452584957,-0.162924746477061,4.31858375263233,0,1,1
vamb.megahit.39_12_171,0.292561792922236,-0.16339282159392,4.4976657074705,0,1,1
vamb.megahit.39_12_190,0.448280166574394,0,4.56207696004763,0,1,1
vamb.megahit.39_12_191,0.986216366463668,0,4.56207696003949,0,1,1
vamb.megahit.39_12_192,2.86899306607612,0,4.56207696003217,0,1,1
vamb.megahit.39_12_193,6.50006241532872,-3.24315108638084,3.65169878136938,-0.727921782580336,0.466661468189454,1
vamb.megahit.39_12_194,0.358624133259516,0,4.56207696004936,0,1,1
vamb.megahit.39_12_196,1.52415256635294,-4.27879314128486,3.9264432865566,-0.940747865614589,0.346834083395387,1
vamb.megahit.39_12_197,6.86733756934669,-5.00112941719619,3.16939603103648,-1.39336623569633,0.163509070496387,1
vamb.megahit.39_12_198,1.34484049972318,0,4.34060428023929,0,1,1
vamb.megahit.39_12_2,0.322447137360529,-2.78107941609768,4.39232436324985,-0.499981156781603,0.617088345602161,1
vamb.megahit.39_12_204,0.55523824140618,-2.05967492314396,4.07169444784617,-0.362177207065238,0.717219611131424,1
vamb.megahit.39_12_206,1.91266204405075,-2.64131934937236,3.94834832152622,-0.520804949796705,0.602502654601443,1
vamb.megahit.39_12_207,0.721967005114551,-1.3547315108676,4.02181422473124,-0.191389126363498,0.848220738510735,1
vamb.megahit.39_12_21,0.268968099944637,0,4.56207696005195,0,1,1
vamb.megahit.39_12_211,0.495467552529594,-0.713449584675691,4.47872942894172,-0.0286799161935627,0.977119874334275,1
vamb.megahit.39_12_215,0.0943747719103989,-1.34208803899162,4.46393050043865,-0.169601215546977,0.865323766531837,1
vamb.megahit.39_12_217,1.34484049972318,0,4.56207696003725,0,1,1
vamb.megahit.39_12_219,0.717248266519031,-3.26361553094459,4.37448485630707,-0.612327078257593,0.540321377587588,1
vamb.megahit.39_12_24,1.74829264964014,-3.25250609780133,3.9270913570227,-0.679257459348662,0.496974745791659,1
vamb.megahit.39_12_25,1.16552843309343,-3.26243985350821,4.3188488149599,-0.619942945035243,0.535295350760895,1
vamb.megahit.39_12_34,0.493108183231834,0,4.55907667104514,0,1,1
vamb.megahit.39_12_58,0.717248266519031,0,4.45877565379518,0,1,1
vamb.megahit.39_12_63,0.747133610957324,-4.01686940454334,4.35585228327167,-0.787875525008775,0.430769518592623,1
vamb.megahit.39_12_9,0.202905759607358,-0.163395636287266,4.49766570747378,0,1,1
vamb.megahit.39_13_10,0.0707810789327991,-1.07305364028832,4.46952633724131,-0.109195830489179,0.913047167323012,1
vamb.megahit.39_13_105,1.46438187747636,-4.01590974500227,4.28170012785105,-0.8012961306387,0.422960230382678,1
vamb.megahit.39_13_115,0.80690429983391,0,4.56207696004185,0,1,1
vamb.megahit.39_13_117,1.07587239977855,0,4.5620769600386,0,1,1
vamb.megahit.39_13_126,0.687362922080738,-1.49245107681901,4.461210854166,-0.203409143051735,0.838815254070708,1
vamb.megahit.39_13_133,0.448280166574394,0,4.56207696004763,0,1,1
vamb.megahit.39_13_139,0.597706888765859,-3.68884234163385,4.36283509272584,-0.71142783893182,0.476819152847604,1
vamb.megahit.39_13_140,0.328738788821223,-1.49245995620837,4.46121085417725,-0.203411133405332,0.838813698514588,1
vamb.megahit.39_13_141,2.19499990334936,-2.54650923963408,3.50271991145539,-0.559996028577422,0.575482146574956,1
vamb.megahit.39_13_145,2.74945168832295,-3.68071962535634,3.92357844146721,-0.78900413781423,0.430109588113253,1
vamb.megahit.39_13_15,3.64601202147174,-1.43318237893522,4.00106109624939,-0.211989359455247,0.832115335600255,1
vamb.megahit.39_13_163,0.196614108146664,-2.06907271267291,4.431164103983,-0.334917118356989,0.73768760853871,1
vamb.megahit.39_13_17,0.358624133259516,0,4.56207696004936,0,1,1
vamb.megahit.39_13_171,0.399519867754022,-2.24695015860922,4.17081447879556,-0.398471369814837,0.690282758332603,1
vamb.megahit.39_13_172,1.34484049972318,0,4.56207696003725,0,1,1
vamb.megahit.39_13_18,1.24889281494761,-1.83596413463319,3.99655670722709,-0.313010480339497,0.754272699804643,1
vamb.megahit.39_13_180,0.358624133259516,0,4.56207696004936,0,1,1
vamb.megahit.39_13_185,0.136843419270078,-0.713460658847836,4.47872943095713,-0.0286823887953382,0.977117902294769,1
vamb.megahit.39_13_187,1.12935143719444,-4.05784666888084,3.90095248115984,-0.890256081214372,0.37332839770592,1
vamb.megahit.39_13_192,0.268968099944637,0,4.56207696005195,0,1,1
vamb.megahit.39_13_194,0.268968099944637,0,4.56207696005195,0,1,1
vamb.megahit.39_13_195,0.358624133259516,0,4.56207696004936,0,1,1
vamb.megahit.39_13_207,0.418394822136101,-1.49245714154542,4.46121085417421,-0.203410502486414,0.8388141916077,1
vamb.megahit.39_13_233,0.268968099944637,0,4.56207696005195,0,1,1
vamb.megahit.39_13_238,0.268968099944637,0,4.56207696005195,0,1,1
vamb.megahit.39_13_239,0.429405212192315,-1.07303744975844,4.46952633722733,-0.109192208063191,0.913050040421167,1
vamb.megahit.39_13_240,0.352332481798822,-1.85022325568958,4.2951144233277,-0.29457265418073,0.768320354492127,1
vamb.megahit.39_13_242,1.45809022601566,-3.32471857435414,3.60010951191822,-0.761009787420147,0.446651221338392,1
vamb.megahit.39_13_255,0.286270141461543,-2.06720753022336,4.35151456905328,-0.340618767719266,0.733390598889017,1
vamb.megahit.39_13_28,1.09081507199769,-1.43569728902567,4.01751317282897,-0.211747230794179,0.832304238627488,1
vamb.megahit.39_13_45,0.478165511012687,-2.65826266178073,4.39783016530323,-0.471428541769934,0.637334737869149,1
vamb.megahit.39_13_52,0.339749178877436,-1.07303991595076,4.46952633723049,-0.10919275984246,0.913049602781787,1
vamb.megahit.39_13_56,0.226499452584957,-0.713456828606508,4.47872942898537,-0.0286815336008385,0.977118584360646,1
vamb.megahit.39_13_60,0.328738788821223,-1.49245995620837,4.46121085417725,-0.203411133405332,0.838813698514588,1
vamb.megahit.39_13_69,0.770727303934924,-2.76972829912165,3.99415266615508,-0.546981670889598,0.584391324601095,1
vamb.megahit.39_13_78,0.561529892866873,-3.33724147021858,4.04882594226387,-0.679762852112058,0.496654631692523,1
vamb.megahit.39_13_85,1.61380859966782,0,4.56207696003522,0,1,1
vamb.megahit.39_13_86,0.202905759607358,-0.163395636287266,4.49766570747378,0,1,1
vamb.megahit.39_13_90,0.448280166574394,0,4.56207696004763,0,1,1
vamb.megahit.39_14_12,0.561529892866873,-0.163383218134646,4.49615711711013,0,1,1
vamb.megahit.39_14_18,0.268968099944637,0,4.56207696005195,0,1,1
vamb.megahit.39_14_59,0.136843419270078,-0.713460658847836,4.47872943095713,-0.0286823887953382,0.977117902294769,1
vamb.megahit.39_14_69,0.740841959496631,-3.33572000162765,3.98377010883478,-0.69048161075545,0.489891370342131,1
vamb.megahit.39_14_73,0.388509477697809,-2.65826656225606,4.39783016522968,-0.471429428686859,0.637334104636859,1
vamb.megahit.39_14_9,0.762076283176471,0,4.11610198037218,0,1,1
vamb.megahit.39_15_113,0.268968099944637,0,4.56207696005195,0,1,1
vamb.megahit.39_15_114,0.357051220394342,-2.55043639065175,4.18668297632865,-0.469449538396925,0.638748346073797,1
vamb.megahit.39_15_123,0.777018955395617,-3.68882931303418,4.36283514295437,-0.711424844472204,0.476821007892158,1
vamb.megahit.39_15_32,0.537936199889273,-3.26362226864583,4.37448485555295,-0.612328618590507,0.540320358676474,1
vamb.megahit.39_15_34,0.403452149916955,0,4.56207696004876,0,1,1
vamb.megahit.39_15_37,0.567821544327566,-2.65825984708766,4.3978301652997,-0.471427901751722,0.637335194823271,1
vamb.megahit.39_15_40,4.91613916009919,-2.64210543369437,3.96601956763748,-0.518682623373885,0.603982081178549,1
vamb.megahit.39_15_47,0.913862374665695,-3.79813368473304,3.89493231864693,-0.824952379621647,0.409398626890936,1
vamb.megahit.39_15_48,0.561529892866873,-0.162454086782865,4.14577997460271,0,1,1
vamb.megahit.39_15_66,0.651185926181752,2.46175614215213,4.11403771994271,0.456183503873722,0.648258026695683,1
vamb.megahit.39_15_77,0.292561792922236,-0.16339282159392,4.4976657074705,0,1,1
vamb.megahit.39_15_91,0.0707810789327991,-1.07305364028832,4.46952633724131,-0.109195830489179,0.913047167323012,1
