,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.megahit.39_10_11,0.537936199889273,-3.13132175496975,4.00816353110846,-0.781236027588869,0.434663687681558,0.777165461149712
vamb.megahit.39_10_16,0.836789644272203,-3.13173452668831,3.99539517347464,-0.783835988860337,0.433136353599749,0.777165461149712
vamb.megahit.39_10_18,0.441988515113701,-2.40994005574068,3.81688554434665,-0.63138913329747,0.527786119482698,0.777165461149712
vamb.megahit.39_10_19,0.448280166574394,-2.93500976179883,4.0150507808235,-0.731001903093452,0.464777990512509,0.777165461149712
vamb.megahit.39_10_20,1.30001248306574,-4.30273160408968,3.75712136752088,-1.14522028521235,0.252117917397874,0.777165461149712
vamb.megahit.39_10_21,3.6247776977919,-5.21980351179833,2.99835183160755,-1.74089093106854,0.0817026986802419,0.777165461149712
vamb.megahit.39_10_22,0.567821544327566,-2.40280719360751,4.03859350016796,-0.594961387796912,0.551869281345709,0.777165461149712
vamb.megahit.39_10_23,0.136843419270078,-1.59642004434014,4.05997302875042,-0.393209519628628,0.694164739203058,0.801117836339624
vamb.megahit.39_10_24,3.23705467652668,-5.2893415689559,3.46640884609429,-1.52588508851619,0.127038484914907,0.777165461149712
vamb.megahit.39_10_25,2.345999538406,-5.04774843497756,3.50848318203759,-1.43872670127666,0.15022797101988,0.777165461149712
vamb.megahit.39_10_28,1.97243273292734,-4.46959272067343,3.54376440865284,-1.26125560428339,0.20721677085935,0.777165461149712
vamb.megahit.39_10_29,1.78682901483688,-4.11314779022063,3.28360776606281,-1.2526306682337,0.210340148424655,0.777165461149712
vamb.megahit.39_11_7,0.358624133259516,-2.69906832328383,4.02453845364019,-0.670652884641351,0.502441684071356,0.777165461149712
vamb.megahit.39_12_1,0.322447137360529,0,4.08045587187949,0,1,1
vamb.megahit.39_12_100,0.202905759607358,-2.06473619110094,4.04855994309764,-0.509992743128601,0.610056545850677,0.777165461149712
vamb.megahit.39_12_108,1.07587239977855,-2.06539369496657,4.00747169802321,-0.515385722121352,0.606283507707318,0.777165461149712
vamb.megahit.39_12_109,1.42191323011668,-3.05797120322795,3.31487380809643,-0.922500034770252,0.356267812197891,0.777165461149712
vamb.megahit.39_12_110,0.973633063542281,-2.07267308963135,3.64355289308157,-0.568860436626835,0.569450856293597,0.777165461149712
vamb.megahit.39_12_112,0.202905759607358,-2.06473619110094,4.04855994309764,-0.509992743128601,0.610056545850677,0.777165461149712
vamb.megahit.39_12_114,0.316155485899836,-2.40282338465856,4.03859350019233,-0.594965396874959,0.551866601446381,0.777165461149712
vamb.megahit.39_12_125,0.184030805225278,-1.59641481733522,4.05997302856632,-0.39320823219827,0.694165690004809,0.801117836339624
vamb.megahit.39_12_126,0.912289461800522,-2.95261289140854,3.56964435780826,-0.82714483445668,0.408154974808831,0.777165461149712
vamb.megahit.39_12_133,0.478165511012687,-2.06471542062155,4.04855994307209,-0.509987612794198,0.610060140097633,0.777165461149712
vamb.megahit.39_12_139,1.63740229264542,-4.52053334613553,3.46308689222797,-1.30534794153757,0.191774396290345,0.777165461149712
vamb.megahit.39_12_146,0.160437112247678,-1.59641705713078,4.05997302856791,-0.393208783875565,0.694165282576313,0.801117836339624
vamb.megahit.39_12_148,0.418394822136101,-2.40281703210645,4.03859349329346,-0.594963824929792,0.551867652224564,0.777165461149712
vamb.megahit.39_12_149,0.268968099944637,-2.40283810594477,4.03859350021707,-0.594969042023075,0.551864164824388,0.777165461149712
vamb.megahit.39_12_16,0.262676448483943,-1.59641209048827,4.05962125974197,-0.393241632247669,0.694141023330789,0.801117836339624
vamb.megahit.39_12_168,1.80806333851672,-4.65157191737209,3.52097394353751,-1.32110376048358,0.186466769369504,0.777165461149712
vamb.megahit.39_12_169,2.26499452584957,-5.07393115433129,3.77214276266143,-1.3451058121542,0.178591066539769,0.777165461149712
vamb.megahit.39_12_171,0.292561792922236,-2.40282796407153,4.03859350019837,-0.594966530786896,0.551865843475309,0.777165461149712
