,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.spades.857_100_1,2.39328312182215,0.873485618987342,1.61133673917278,0.179034966418902,0.857910246011002,1
vamb.spades.857_100_3,4.80932850969534,-0.907584684729549,1.09721448762622,-0.294003304155644,0.768755378548251,1
vamb.spades.857_100_4,0.264737639464013,-1.10794258167184,4.38958093559169,-0.119132689280588,0.90517023285391,1
vamb.spades.857_101_1,3.67771947769352,2.08391292704202,1.27226865324999,1.17814183601323,0.238740065872958,1
vamb.spades.857_101_10,0.957843987872202,-0.692019400913428,2.14648874559099,-0.0498578905355327,0.96023563402771,1
vamb.spades.857_101_11,0.533888616279638,0.0509462351147767,3.23731504014942,0,1,1
vamb.spades.857_101_12,2.13852922219611,-0.356383659399959,1.53473674098428,0,1,1
vamb.spades.857_101_13,1.35660017101916,0.945374438935247,1.76374899007276,0.204322973939948,0.838101118042707,1
vamb.spades.857_101_14,2.16454466101391,2.34920887279474,1.62428567554978,1.08614445066605,0.277415088993829,1
vamb.spades.857_101_16,0.385323329849006,-0.226622649925519,3.68225520611612,0,1,1
vamb.spades.857_101_17,3.69187294457691,0.563248859679331,1.25742643338927,0,1,1
vamb.spades.857_101_19,1.11750792178704,1.17940148444267,1.92886574088254,0.308161149759809,0.757959712853511,1
vamb.spades.857_101_2,1.38334001906708,2.0046409969438,2.07812232015878,0.68313639826328,0.494520657500631,1
vamb.spades.857_101_20,0.759677721908988,0.441675642125843,2.25084232166734,0,1,1
vamb.spades.857_101_21,0.420588420557938,-2.44626450953243,3.50718547180058,-0.53070033635172,0.595626452919994,1
vamb.spades.857_101_22,2.88732210534396,0.0811129991865602,1.24873033403114,0,1,1
vamb.spades.857_101_23,8.58427395633115,0.848685147010471,1.22866112308051,0.214611777045046,0.830070011125759,1
vamb.spades.857_101_24,2.24827560274044,2.43633104938566,1.50045383906984,1.23384738749,0.21725977759507,1
vamb.spades.857_101_25,1.21283826752125,-0.538924792851495,2.22960828042974,0,1,1
vamb.spades.857_101_27,1.65634674111712,2.36725567382408,1.73500515737141,1.02723364610873,0.30431045842664,1
vamb.spades.857_101_28,5.33812427145018,0.625780611789094,1.02513719371919,0.0397806381808681,0.968268012504583,1
vamb.spades.857_101_29,1.21191980501387,0.0631595515564188,1.78482964432265,0,1,1
vamb.spades.857_101_3,1.43814239918528,1.16954488081346,1.67082786416784,0.349853442924593,0.726448688724976,1
vamb.spades.857_101_31,1.65358253788964,0.349882808383492,1.58196647394313,0,1,1
vamb.spades.857_101_32,0.998363683360795,-1.15356038659689,2.54450156998403,-0.223446663701786,0.823187889858228,1
vamb.spades.857_101_33,4.30096896860354,0.448330767878355,1.08038612462154,0,1,1
vamb.spades.857_101_35,0.651949302446612,0.739160911815228,2.6558817630994,0.0580450959666678,0.953712707669558,1
vamb.spades.857_101_36,0.808224972849052,0.725967797023677,2.64880440413245,0.0532194060096513,0.957557093765365,1
vamb.spades.857_101_37,0.587166149389563,-0.249193535307796,2.86204574446042,0,1,1
vamb.spades.857_101_39,1.18763704472675,0.987704129582119,1.83828598342038,0.219065005779369,0.8265994100235,1
vamb.spades.857_101_4,0.973911108041028,0.505121105441526,1.98615009773965,0,1,1
vamb.spades.857_101_40,0.420243053349854,4.20071448828758,3.62787971718242,0.996646738634355,0.318936010828474,1
vamb.spades.857_101_41,1.3383049359308,0.223509721630732,1.82904743443539,0,1,1
vamb.spades.857_101_43,1.12466161690374,2.31719464120391,2.05644047767411,0.84232666104835,0.399605131600116,1
vamb.spades.857_101_44,11.966759179341,0.683994222275071,0.765309374662816,0.129351900750839,0.897079205484676,1
vamb.spades.857_101_45,1.1580543980988,0.256700368250089,2.10345154599986,0,1,1
vamb.spades.857_101_46,0.888184356413621,0.210405332728776,2.2325692621015,0,1,1
vamb.spades.857_101_48,5.38308712545097,1.70444982701183,0.966874411328283,1.15780272380354,0.246944551585099,1
vamb.spades.857_101_49,4.13940035363546,0.898476936073771,1.08759033334927,0.288230711933975,0.773170141135748,1
vamb.spades.857_101_50,2.61502911843493,0.920635340639474,1.32324443797547,0.253645759624721,0.799769241324425,1
vamb.spades.857_101_51,1.64756380315105,2.03326991760541,1.88800346890013,0.767090707968411,0.4430275861921,1
vamb.spades.857_101_52,3.63410493126285,1.94484723315438,1.20282003536479,1.13054920368197,0.258244877724508,1
vamb.spades.857_101_53,17.3673391374064,-1.28703470793416,0.7839132541567,-0.895551522074182,0.370492336908354,1
vamb.spades.857_101_54,0.125495164211926,-1.71516431466529,4.40659006487111,-0.256471398071458,0.797586863047399,1
vamb.spades.857_101_55,5.41070470688307,-0.513580145919935,1.02034019080013,0,1,1
vamb.spades.857_101_57,15.1323006574432,-1.32919356666923,0.795857126218905,-0.935084379032797,0.349744816183535,1
vamb.spades.857_101_58,3.54835473451774,-1.02800361366111,1.56765992060977,-0.28258910484156,0.777491833133447,1
vamb.spades.857_101_59,2.01242370869804,-0.595864799541467,1.73503344769683,-0.00626201158017428,0.995003670293969,1
vamb.spades.857_101_6,0.383286013333754,-2.15978655755988,4.22293388978695,-0.372912908101275,0.709213264612027,1
vamb.spades.857_101_60,7.53683196257613,-0.90299252156414,1.10895647088992,-0.286749326877508,0.774304265430827,1
