,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.spades.1056_10_1,0.302492304444396,0.963782309462544,4.53355414258449,0.212588684098766,0.831647798480649,1
vamb.spades.1056_11_1,0.297106940796006,-1.52605127532596,4.54017844728834,-0.336121430697818,0.736779298281267,1
vamb.spades.1056_11_10,0.308928785114841,-0.39556040740077,4.50758664338757,-0.0877543658491933,0.930071908551127,1
vamb.spades.1056_11_11,0.77051295119212,1.27855865855211,2.88910479498791,0.442544922832215,0.658094930245231,1
vamb.spades.1056_11_2,1.33308543985767,-3.24524673987132,2.69637305687903,-1.20355999389328,0.228759690047307,1
vamb.spades.1056_11_4,0.17299501742233,0,4.56215292158991,0,1,1
vamb.spades.1056_11_5,1.00677532825264,-0.428934620799388,2.91302811717379,-0.147246989574388,0.882937072465882,1
vamb.spades.1056_11_6,0.17299501742233,0,4.56215292158991,0,1,1
vamb.spades.1056_11_7,0.29300988773456,-1.20838638472397,4.54813140374902,-0.265688538314416,0.790479091322732,1
vamb.spades.1056_11_8,0.584268153496017,-1.21344391114182,3.67992089578767,-0.329747281396953,0.741590924597818,1
vamb.spades.1056_12_10,0.540069918144706,-2.49018868082323,3.46453990851107,-0.718764611342988,0.472285965659052,1
vamb.spades.1056_12_12,2.30587055760886,0.598138180453152,2.0899815143194,0.286193048290159,0.774730267835067,1
vamb.spades.1056_12_13,0.42331350707473,-0.20463308429444,4.10197002860993,-0.0498865381431823,0.960212804952194,1
vamb.spades.1056_12_2,1.04083405985181,-1.6101917112046,2.82003783811683,-0.570982307201897,0.568011636175848,1
vamb.spades.1056_12_3,0.583483265963811,0,4.02610813261889,0,1,1
vamb.spades.1056_12_4,0.6022808253126,-3.24943536772447,3.60329340624651,-0.901795940927649,0.367165276418751,1
vamb.spades.1056_12_5,0.660084788456936,-2.78245440177229,3.2315375382247,-0.861031124924166,0.389220900857911,1
vamb.spades.1056_12_6,0.17299501742233,0,4.56215292158991,0,1,1
vamb.spades.1056_12_7,0.246578920610055,0.0992808104000489,4.51944444660349,0.0219674810860131,0.982473895609101,1
vamb.spades.1056_12_8,0.32016282379778,0.268782648907301,4.47312053967227,0.0600883983616041,0.952085230033509,1
vamb.spades.1056_12_9,0.671513149045362,1.46950405882716,3.86427008522279,0.380279852706631,0.703737689364349,1
vamb.spades.1056_13_1,2.97002346704636,-0.970547102032024,1.46470911007137,-0.662621059265981,0.507573279185945,1
vamb.spades.1056_13_10,0.288325029037216,0,4.5621529215889,0,1,1
vamb.spades.1056_13_11,0.470119756632269,0,4.26243109362929,0,1,1
vamb.spades.1056_13_12,0.288325029037216,0,4.5621529215889,0,1,1
vamb.spades.1056_13_14,0.648482339289056,0.972142790764808,3.54484729740849,0.274241091139668,0.783899351949861,1
vamb.spades.1056_13_18,0.708828925168697,-2.6446689016333,3.74499682151825,-0.706187221959012,0.480071715697031,1
vamb.spades.1056_13_19,0.295943124458801,-1.20838649626714,4.54813140712831,-0.265688562642062,0.790479072585233,1
vamb.spades.1056_13_2,1.55112032950669,0.234118073020943,1.94261812191814,0.120516775983627,0.904073791187839,1
vamb.spades.1056_13_20,0.997405610857956,0.97895213915155,3.10346754960813,0.315438174720132,0.75242898591725,1
vamb.spades.1056_13_21,4.34851844501384,-0.0128229653507821,1.23719094144054,-0.0103645806975045,0.99173040914202,1
vamb.spades.1056_13_22,1.40862126045982,-0.79974392273572,2.27990131855245,-0.350780060622752,0.725753357179553,1
vamb.spades.1056_13_23,2.00198121667674,-1.58764153765412,1.92310133044044,-0.825563121674147,0.409051962145216,1
vamb.spades.1056_13_24,1.26145345408437,-1.72020641758484,2.52162463410615,-0.682181794355215,0.495124005054153,1
vamb.spades.1056_13_3,2.78978957527804,-2.23683262871387,1.77147218171593,-1.26269701088231,0.206698088682896,1
vamb.spades.1056_13_5,0.304243926417498,0.0992817152370019,4.51944413459787,0.0219676828123545,0.982473734693599,1
vamb.spades.1056_13_6,2.71255357065993,0.377626525787313,1.88164072308517,0.200690026079022,0.840940959087094,1
vamb.spades.1056_13_7,3.53973359471202,0.0673816428616414,1.56316298167844,0.0431059612154395,0.965617067355333,1
vamb.spades.1056_13_8,0.68834954155905,0.103426426861506,3.0926271884297,0.033442901636657,0.973321398222738,1
vamb.spades.1056_13_9,3.04386662393176,-0.721006630721573,1.67354344593499,-0.430826359765495,0.666594631474426,1
vamb.spades.1056_14_2,0.761213031509678,0.840696990114,2.63514324721497,0.319032747461647,0.749701680403753,1
vamb.spades.1056_14_21,0.864847802927585,-0.780910546975889,3.05630992150188,-0.255507643868835,0.798331040545677,1
vamb.spades.1056_14_22,2.59913850441537,0.897973878157547,1.53664422519612,0.584373313896352,0.558969176891477,1
vamb.spades.1056_14_23,0.244827298636953,0.963781790317883,4.53355433944213,0.212588560356041,0.831647895007025,1
vamb.spades.1056_14_26,0.265709759201224,0.647948866696845,4.49009454342032,0.144306285854567,0.885258614869285,1
vamb.spades.1056_14_3,15.7834825415033,1.59304376814559,0.83046216028898,1.91826171536973,0.0550778342699538,1
vamb.spades.1056_14_33,0.233593259954014,0,4.56215292158934,0,1,1
vamb.spades.1056_14_34,0.440589006197857,-1.21079955581343,4.06085041870539,-0.29816403732483,0.765577968163654,1
vamb.spades.1056_14_36,0.788042976708763,-1.69993910917699,3.06006178014871,-0.555524440782493,0.578535997494118,1
vamb.spades.1056_14_37,1.34512370098659,0.428553338925887,2.2300637185679,0.192170894202563,0.847608344029446,1
vamb.spades.1056_14_39,1.75995167742135,0.968478583244643,1.92792123035071,0.502343440176995,0.615425957240816,1
vamb.spades.1056_14_4,0.957892234203989,-1.17340591393221,2.74440509587484,-0.427562940943367,0.668969351687929,1
vamb.spades.1056_14_40,0.561065078024128,0.286724579038618,3.46115033095331,0.0828408337177441,0.933978100083512,1
vamb.spades.1056_14_41,0.664679941155984,1.46529683660915,3.81426064242823,0.384162744493599,0.700857829218989,1
vamb.spades.1056_14_42,0.590134626944499,-1.21374145146006,3.64392465817481,-0.333086319097499,0.739069126096528,1
vamb.spades.1056_14_43,0.341157983677201,2.59825229674635,4.28765926586872,0.60598385637342,0.544525473318967,1
vamb.spades.1056_14_46,1.9339456420786,1.24599580483821,2.11996920448475,0.587742407862498,0.556705206043011,1
vamb.spades.1056_14_47,0.714732174958979,0.102492110387642,3.29091762860385,0.0311439306462142,0.975154755057349,1
vamb.spades.1056_14_48,2.70003805136353,-0.551769897872377,1.56012378788276,-0.353670588294269,0.723585766914511,1
vamb.spades.1056_14_49,0.323374765008667,0.647956420022218,4.49009394761257,0.144307987223017,0.885257271434952,1
vamb.spades.1056_14_50,1.01364062715428,0.155375436748117,2.45409328364567,0.0633127671973818,0.949517449407641,1
vamb.spades.1056_14_55,0.288325029037216,0,4.5621529215889,0,1,1
vamb.spades.1056_14_56,0.17299501742233,0,4.56215292158991,0,1,1
vamb.spades.1056_14_57,2.05586677215441,-1.43933243724003,2.5003489726998,-0.575652620076423,0.564850006400552,1
vamb.spades.1056_14_58,1.01413084055634,0.591560837225748,2.88731208382547,0.204882887630898,0.837663625306045,1
vamb.spades.1056_14_59,0.66615285864244,0.280922045430209,3.47820169324707,0.08076646215647,0.935627680226321,1
vamb.spades.1056_14_6,0.799287941857543,-3.87741056012233,3.40711531785339,-1.13803326227456,0.255106593412696,1
vamb.spades.1056_14_60,2.71620400707625,-1.76131991547641,2.19869770704853,-0.801074158503014,0.423088715321229,1
vamb.spades.1056_14_61,0.256061337319891,1.62812795033871,4.49928718737966,0.361863531384604,0.717454013428588,1
