,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.megahit.488_10_10,3.55003792941693,0.182895069509703,2.05358304769955,0,1,1
vamb.megahit.488_10_11,3.60589452061404,-1.41882448307275,1.37410127936414,-0.606814428888823,0.543974071438085,1
vamb.megahit.488_10_14,0.613824881344331,1.65607323227835,3.57655769766325,0.299470418994818,0.764581139179017,1
vamb.megahit.488_10_15,1.10737059779639,0.777621384703195,2.36776014527607,0.0813517302787169,0.935162235469151,1
vamb.megahit.488_10_18,3.91013961084268,1.07305322387995,1.1535654214066,0.423082397255669,0.672235144888594,1
vamb.megahit.488_10_19,1.96478925898673,-1.35321549065597,1.97528662303704,-0.388913427396589,0.697340188979457,1
vamb.megahit.488_10_2,0.406764968730626,1.59550451393995,4.20325978141283,0.240409721618559,0.8100126424157,1
vamb.megahit.488_10_21,0.588019050174865,3.22561589178668,3.80282725697539,0.694382288057679,0.48744249831766,1
vamb.megahit.488_10_22,10.6167709885013,0.712916780847939,0.833302891936195,0.153505744532726,0.877999460517305,1
vamb.megahit.488_10_23,0.401523177165483,0.634295266471203,3.89542301054231,0.0126546632645014,0.989903309041341,1
vamb.megahit.488_10_25,0.145139465331907,0,4.11322752705005,0,1,1
vamb.megahit.488_10_26,0.402051821904303,2.61798537359929,4.0577167108673,0.501017078928794,0.616359103190621,1
vamb.megahit.488_10_27,0.370078986082445,-0.787974777580714,4.18998496853801,-0.0484428414671705,0.961363316810582,1
vamb.megahit.488_10_30,0.490739445964744,2.68303685643425,4.02387212228332,0.521397497901532,0.602089894129659,1
vamb.megahit.488_10_31,1.46192327302251,2.65552743644907,2.01613595928116,1.0269780799839,0.304430785855677,1
vamb.megahit.488_10_32,0.397731603627284,0.0494901653239718,4.51284013158266,0,1,1
vamb.megahit.488_10_34,0.6954463316187,0.698525608230053,3.60737248439658,0.0314704424677794,0.974894363958289,1
vamb.megahit.488_10_35,0.190680375096884,0,3.97802052967343,0,1,1
vamb.megahit.488_10_36,0.628326852458003,3.27078119066452,4.08934105199235,0.656776032254876,0.511324937554586,1
vamb.megahit.488_10_38,0.312324276532831,0,4.45460923814507,0,1,1
vamb.megahit.488_10_4,1.75392908875152,1.41196714991184,1.78961160631302,0.462093086005165,0.644014568132458,1
vamb.megahit.488_10_40,1.51972942634167,3.28090597399852,2.05692331867612,1.31064972112507,0.189976132669998,1
vamb.megahit.488_10_41,0.260152881217329,-0.787975642717115,4.26857810204193,-0.0475511137116171,0.962073993527546,1
vamb.megahit.488_10_43,0.602975818103365,0.699825067238447,3.70460803739368,0.030995200053399,0.975273367637725,1
vamb.megahit.488_10_44,1.03980496801495,-0.424281238278299,2.78360009177219,0,1,1
vamb.megahit.488_10_5,0.740563224596624,-0.373971601035535,3.26202234757509,0,1,1
