,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.megahit.488_10_10,3.55003792941693,0.941441624654572,1.98089393408644,0.179939783004564,0.857199842587429,1
vamb.megahit.488_10_11,3.60589452061404,0.238053198950424,1.37388222013594,0,1,1
vamb.megahit.488_10_14,0.613824881344331,-1.78410353992779,3.51426788471876,-0.341210055483222,0.732945453865057,1
vamb.megahit.488_10_15,1.10737059779639,-3.45059924368041,2.50727033972413,-1.14291594260063,0.253073492638007,1
vamb.megahit.488_10_18,3.91013961084268,-1.19152262009664,1.08808721297663,-0.557420961172225,0.577239847349223,1
vamb.megahit.488_10_19,1.96478925898673,1.9715548474111,1.8873343474334,0.734663070852646,0.462544716181959,1
vamb.megahit.488_10_2,0.406764968730626,-0.117480970768748,4.10957165600022,0,1,1
vamb.megahit.488_10_21,0.588019050174865,-3.46224681561069,3.80215456363437,-0.756741149644483,0.449204956588215,1
vamb.megahit.488_10_22,10.6167709885013,-3.55934865022941,0.917961710217916,-3.24016635674632,0.00119459982607167,0.873573960744122
vamb.megahit.488_10_23,0.401523177165483,-1.05814653790889,3.85952560640785,-0.122591889822766,0.902430276983085,1
vamb.megahit.488_10_25,0.145139465331907,0.644082306876147,4.06073798471707,0.0145496476498873,0.988391470349099,1
vamb.megahit.488_10_26,0.402051821904303,-2.85469527433297,4.05707786375427,-0.559440895776321,0.575860857667835,1
vamb.megahit.488_10_27,0.370078986082445,0.969351906401236,4.11522164261462,0.0933976198076751,0.925587681372482,1
vamb.megahit.488_10_30,0.490739445964744,-2.14708888325274,3.98939836797962,-0.391560014610383,0.695383337063002,1
vamb.megahit.488_10_31,1.46192327302251,-0.714888249091678,1.70364874536757,-0.0762412143024554,0.939227193818611,1
vamb.megahit.488_10_32,0.397731603627284,-2.78955787423518,4.52951838154776,-0.48670911309601,0.626464486194218,1
vamb.megahit.488_10_34,0.6954463316187,0.280524334448908,3.47378294770371,0,1,1
vamb.megahit.488_10_35,0.190680375096884,0.969561715231466,3.89909221559221,0.0986285252997171,0.921433220524646,1
vamb.megahit.488_10_36,0.628326852458003,-3.49663807505501,4.08828317157266,-0.712190900889816,0.476346570705773,1
vamb.megahit.488_10_38,0.312324276532831,1.70379461794914,4.3495108527488,0.257223089176127,0.797006560937781,1
vamb.megahit.488_10_4,1.75392908875152,0.181033614708042,1.51301292689336,0,1,1
vamb.megahit.488_10_40,1.51972942634167,-2.89960337450486,1.87031961644733,-1.23754429678787,0.215885079711463,1
vamb.megahit.488_10_41,0.260152881217329,0.639083522571807,4.21849676248561,0.0128205675189235,0.989770947336388,1
vamb.megahit.488_10_43,0.602975818103365,-0.178040276440127,3.5974744067701,0,1,1
vamb.megahit.488_10_44,1.03980496801495,0.940363016274116,2.66535385942848,0.133326768232686,0.893934958592109,1
vamb.megahit.488_10_5,0.740563224596624,-0.502705340613131,3.23461201508984,0,1,1
vamb.megahit.488_10_54,0.420314278318425,-2.92131588045885,4.43001717073676,-0.527383030452293,0.597927625345337,1
