,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
vamb.megahit.488_10_10,3.55003792941693,1.12433669416427,1.75750718796378,0.306875953542552,0.758937792826988,1
vamb.megahit.488_10_11,3.60589452061404,-1.18077128412233,1.06675246484487,-0.558490656226386,0.576509383192645,1
vamb.megahit.488_10_14,0.613824881344331,-0.128030307649442,3.25949564657831,0,1,1
vamb.megahit.488_10_15,1.10737059779639,-2.67297785897721,2.33615532074762,-0.893766711670959,0.371446723312325,1
vamb.megahit.488_10_18,3.91013961084268,-0.118469396216692,1.03701385160613,0,1,1
vamb.megahit.488_10_19,1.96478925898673,0.618339356755126,1.31929716871422,0.0252705436998842,0.979839169147306,1
vamb.megahit.488_10_2,0.406764968730626,1.4780235431712,3.65864775255492,0.24408568508613,0.807164458955078,1
vamb.megahit.488_10_21,0.588019050174865,-0.236630923824014,3.56129223537266,0,1,1
vamb.megahit.488_10_22,10.6167709885013,-2.84643186938147,0.85486803407764,-2.64535785552146,0.00816045645729425,1
vamb.megahit.488_10_23,0.401523177165483,-0.423851271437691,3.44847536334726,0,1,1
vamb.megahit.488_10_25,0.145139465331907,0.817896289147507,3.62022176035232,0.0643320505108619,0.948705833685314,1
vamb.megahit.488_10_26,0.402051821904303,-0.236709900733682,3.74158980598491,0,1,1
vamb.megahit.488_10_27,0.370078986082445,0.181377128820522,3.6638781977902,0,1,1
vamb.megahit.488_10_30,0.490739445964744,0.535947973181512,3.68053145195374,0,1,1
vamb.megahit.488_10_31,1.46192327302251,1.94063918735739,1.82709343990363,0.741964892298501,0.458108606922915,1
vamb.megahit.488_10_32,0.397731603627284,-2.74006770891121,4.0363331240256,-0.533917207200648,0.593398816493126,1
vamb.megahit.488_10_34,0.6954463316187,0.979049942678961,3.08721467254786,0.12763930742586,0.898434422706834,1
vamb.megahit.488_10_35,0.190680375096884,1.14337666276701,3.46959810142682,0.160934104309485,0.872145301040798,1
vamb.megahit.488_10_36,0.628326852458003,-0.225856884390487,3.80855457783402,0,1,1
vamb.megahit.488_10_38,0.312324276532831,1.87761297938865,3.86648715114119,0.334311981098175,0.738144150443542,1
vamb.megahit.488_10_4,1.75392908875152,1.59300076461989,1.54494265009954,0.652451898169125,0.514109693922216,1
vamb.megahit.488_10_40,1.51972942634167,0.381302599493662,2.01173238696514,0,1,1
vamb.megahit.488_10_41,0.260152881217329,-0.148892120145308,3.76187811114729,0,1,1
vamb.megahit.488_10_43,0.602975818103365,0.52178479079832,3.20375243719821,0,1,1
vamb.megahit.488_10_44,1.03980496801495,0.516081777995817,2.24604783977286,0,1,1
vamb.megahit.488_10_5,0.740563224596624,-0.876676941648665,2.80287721319291,-0.104063403232852,0.917119033120573,1
vamb.megahit.488_10_54,0.420314278318425,-0.23681998385733,4.070517421482,0,1,1
