,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
metabat2.megahit.33_10_1,4.03832265083658,1.55729130399869,1.12469994773049,0.864489507588809,0.38731904176046,1
metabat2.megahit.33_10_10,17.1373329565388,1.03157231130908,0.693247406768648,0.644174513959793,0.519462275527782,1
metabat2.megahit.33_10_11,220.929000124836,0.268891780372039,0.458613517644487,0,1,1
metabat2.megahit.33_10_12,2.78797448664953,1.10805993167358,1.35148004289767,0.387027492135291,0.698735855146423,1
metabat2.megahit.33_10_13,164.370378711274,-0.644500913892534,0.388752940679369,-0.153055855445241,0.878354227865496,1
metabat2.megahit.33_10_14,0.803928085874601,3.11557570645498,2.47343410089924,1.02310213380456,0.306259558173305,1
metabat2.megahit.33_10_15,82.0328119343997,0.205353616902117,0.388309010831449,0,1,1
metabat2.megahit.33_10_16,16.9714917471271,0.0268709974203491,0.616732627073972,0,1,1
metabat2.megahit.33_10_17,67.4159986705707,-0.530815588975038,0.411312762059182,0,1,1
metabat2.megahit.33_10_18,82.8488493234166,-0.130652014818158,0.363668508817017,0,1,1
metabat2.megahit.33_10_19,97.6171345969633,0.666851700204254,0.494513391567821,0.165519683794101,0.868534958083511,1
metabat2.megahit.33_10_2,2.29722493020055,4.37988285390296,1.74572988602787,2.17380872280167,0.0297195031825872,0.457094330639228
metabat2.megahit.33_10_20,260.248097237385,0.850789479447243,0.589000119706494,0.451255391220785,0.651805491685181,1
metabat2.megahit.33_10_21,125.918822285031,-0.40510298262228,0.388902388146631,0,1,1
metabat2.megahit.33_10_22,73.765830592143,-0.0939584562403338,0.372026673999162,0,1,1
metabat2.megahit.33_10_23,37.7247649599187,-0.123730034665615,0.479583398038584,0,1,1
metabat2.megahit.33_10_25,6.50563607677984,0.668085507947724,0.859599363314015,0.0966560836287787,0.922999516654401,1
metabat2.megahit.33_10_26,19.8298064147109,0.00966210862668294,0.552881746508393,0,1,1
metabat2.megahit.33_10_27,33.1435111928442,0.0331024608826293,0.570655297787551,0,1,1
metabat2.megahit.33_10_28,3.52280622218774,1.92825805906134,1.22374511264909,1.09766163327389,0.272352268978083,1
metabat2.megahit.33_10_29,14.7069402731169,0.300640975211544,0.64614043995414,0,1,1
metabat2.megahit.33_10_3,31.2052964068842,0.752652551418695,0.547649529936113,0.306131097087316,0.75950483174689,1
metabat2.megahit.33_10_30,10.4752003214218,0.427402708778578,0.696051116060484,0,1,1
metabat2.megahit.33_10_31,91.7728909405761,-1.57332089423522,0.572971760874928,-1.72490332285496,0.0845448966551277,0.803487694939846
metabat2.megahit.33_10_32,63.462246050949,-0.787906689309951,0.511769760803328,-0.39648041922494,0.691750650060997,1
metabat2.megahit.33_10_33,71.1493497236353,-1.0172452749659,0.585622803203576,-0.738095020551387,0.460456709441487,1
metabat2.megahit.33_10_34,1.97370861151154,-0.940602445870076,1.7001631120444,-0.209157841004133,0.834325022498463,1
metabat2.megahit.33_10_35,38.5671067805814,0.221529633273007,0.453675339960257,0,1,1
metabat2.megahit.33_10_36,35.6965834475938,-0.495435997387149,0.475228949919306,0,1,1
metabat2.megahit.33_10_37,79.0419787891774,-0.584496938731717,0.406063335555868,0,1,1
metabat2.megahit.33_10_38,45.0399429230604,-0.408735100979635,0.515037514412609,0,1,1
metabat2.megahit.33_10_39,20.970371340896,0.723681441449847,0.705867387173151,0.196469540837177,0.844242670938734,1
metabat2.megahit.33_10_4,46.6825760433611,-0.0951974281712522,0.421613136283019,0,1,1
metabat2.megahit.33_10_40,83.0863500396629,-0.0585985371086729,0.41931864989868,0,1,1
metabat2.megahit.33_10_41,75.1326555784681,0.0163134112150933,0.417654176281355,0,1,1
metabat2.megahit.33_10_42,16.1215749017514,0.0634747341389946,0.615536599215396,0,1,1
metabat2.megahit.33_10_43,234.31007587218,-0.199739481761873,0.436718024486514,0,1,1
metabat2.megahit.33_10_44,104.637804157076,0.667422955253998,0.475458710104335,0.173354601571839,0.862372707459198,1
metabat2.megahit.33_10_45,1.12168687817196,3.29125818530427,2.28263904718433,1.18558305950408,0.235786995530553,1
metabat2.megahit.33_10_46,79.1962010537488,0.926188744163518,0.476406963083313,0.716170775412978,0.473885906093202,1
metabat2.megahit.33_10_47,108.175222565282,0.479855498686387,0.375885181476965,0,1,1
metabat2.megahit.33_10_48,179.577605704785,0.511051689480701,0.336381091944429,0,1,1
metabat2.megahit.33_10_49,16.4142072831077,-1.13561895997454,0.634657959323382,-0.867583793578454,0.385622221628166,1
metabat2.megahit.33_10_5,30.0617352443764,-0.0762947727992015,0.48348306741466,0,1,1
metabat2.megahit.33_10_50,2.06508656881703,-1.85428480361796,1.5539195437459,-0.816827878075468,0.414026798210575,1
metabat2.megahit.33_10_51,74.1000851153126,-1.1692813420097,0.425930042863649,-1.37177771748951,0.170132645938294,1
metabat2.megahit.33_10_6,192.554136998323,0.0388945349652086,0.453770622755675,0,1,1
metabat2.megahit.33_10_7,313.596386368479,0.268725235105679,0.371332716029372,0,1,1
metabat2.megahit.33_10_8,179.346481466551,0.058274028949423,0.398179557809399,0,1,1
metabat2.megahit.33_10_9,121.514907590054,0.457838688428991,0.497920342348745,0,1,1
metabat2.megahit.33_11_1,19.7902590061073,1.15286080310518,0.583164279806017,0.973757863382976,0.330176779333997,1
metabat2.megahit.33_11_10,36.9803076934289,-1.39460566801842,0.655268221752778,-1.23553323836276,0.216632114023177,1
metabat2.megahit.33_11_11,16.5462689545284,0.758889252368662,0.594045111127384,0.292720618537964,0.769735708560554,1
metabat2.megahit.33_11_12,16.4605020076685,-0.442769382783293,0.737835739777039,0,1,1
metabat2.megahit.33_11_13,4.30954938135776,-1.81793212531165,1.23420977229658,-0.998964805648432,0.317811740619847,1
metabat2.megahit.33_11_14,8.44957869493936,0.495083928844556,0.853544502783998,0,1,1
metabat2.megahit.33_11_15,4.33810305289241,-0.0779221880610123,1.12057869481163,0,1,1
metabat2.megahit.33_11_16,87.0379625858003,-0.93229145492491,0.412903978162254,-0.841094959827292,0.400294738471795,1
metabat2.megahit.33_11_17,185.362954898329,-0.339919858562275,0.413390991800838,0,1,1
metabat2.megahit.33_11_18,10.2319409975854,-1.68998632723367,0.933641086780044,-1.18352367186899,0.236601670589935,1
metabat2.megahit.33_11_19,923.578369021366,2.10446159992631,0.66253150459112,2.29341788186214,0.0218239581074251,0.387508329322085
metabat2.megahit.33_11_2,9.32353989008588,-1.2477398087999,0.864577013797624,-0.766548032417428,0.44335028335214,1
metabat2.megahit.33_11_20,35.4930192207773,-0.465408318614217,0.525414815499451,0,1,1
metabat2.megahit.33_11_21,150.591449087261,-0.0518780499609877,0.500598441209419,0,1,1
metabat2.megahit.33_11_22,16.6537652782399,-0.0907388038861719,0.587343110935328,0,1,1
metabat2.megahit.33_11_23,218.17837517268,-1.87496520753156,0.433531502163724,-2.97548206091929,0.00292528458910174,0.0819079684948488
metabat2.megahit.33_11_24,254.925350935782,-1.74312729447066,0.572553396191752,-2.02274111405812,0.0430998456498392,0.587888447780977
metabat2.megahit.33_11_25,30.5606507527837,-0.928258002756483,0.568040961104628,-0.604283891937958,0.545654913843109,1
metabat2.megahit.33_11_26,0.623099347032789,1.13325481665334,2.74808193624577,0.199504537845886,0.841868094016436,1
metabat2.megahit.33_11_27,2.25522821530919,0.898835103481699,2.0288678494749,0.154684842368084,0.877069780192943,1
