,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
metabat2.megahit.33_10_1,4.03832265083658,-1.48545898747935,1.09909324506373,-1.35153135928264,0.176525281469349,NA
metabat2.megahit.33_10_10,17.1373329565388,0.207298667564743,0.651664271393732,0.318106541457901,0.750404121804348,0.970928193137965
metabat2.megahit.33_10_11,220.929000124836,-0.352889010128883,0.458464371488976,-0.769719594529862,0.441466244224567,0.918897170571427
metabat2.megahit.33_10_12,2.78797448664953,-0.154735914921932,1.24080345346338,-0.124706225220463,0.900756128865189,NA
metabat2.megahit.33_10_13,164.370378711274,-0.96674655068036,0.396477473048909,-2.43833916526477,0.0147549229617325,0.310061782295681
metabat2.megahit.33_10_14,0.803928085874601,-1.13550627786671,2.35503035119728,-0.48216205676051,0.629690828667546,NA
metabat2.megahit.33_10_15,82.0328119343997,-0.403858376021465,0.388636502480373,-1.03916737991399,0.298726898452725,0.859312117867913
metabat2.megahit.33_10_16,16.9714917471271,0.427404806934997,0.599487914490019,0.712949830354108,0.475876802584854,0.937402676261842
metabat2.megahit.33_10_17,67.4159986705707,-0.149136645710129,0.416489836871222,-0.358079915780134,0.720283508763471,0.96590223949693
metabat2.megahit.33_10_18,82.8488493234166,-0.448891474910676,0.367653988543732,-1.22096179804474,0.22210048430278,0.802148598265102
metabat2.megahit.33_10_19,97.6171345969633,-0.577477900959703,0.492925573489546,-1.17153163077255,0.241385151314869,0.809205880892021
metabat2.megahit.33_10_2,2.29722493020055,-0.81874392430048,1.39295450813778,-0.587775063375937,0.556683284010363,NA
metabat2.megahit.33_10_20,260.248097237385,0.373537954226047,0.586028978131391,0.637405261796283,0.523860901879426,0.940344210288704
metabat2.megahit.33_10_21,125.918822285031,-0.52601560338773,0.39370102032945,-1.33607884213142,0.181523504735409,0.770038103920633
metabat2.megahit.33_10_22,73.765830592143,-0.405067544228743,0.375482679364311,-1.07879155681567,0.280680659565898,0.84821786576725
metabat2.megahit.33_10_23,37.7247649599187,-0.0658271078414368,0.479768935655945,-0.137205856713998,0.890868081706329,0.983629193662228
metabat2.megahit.33_10_25,6.50563607677984,-1.1700621842009,0.875590187487667,-1.33631258198331,0.18144712572607,NA
metabat2.megahit.33_10_26,19.8298064147109,0.487472859049146,0.535737074767347,0.909910629688713,0.362869643464939,0.894589503056162
metabat2.megahit.33_10_27,33.1435111928442,0.0845223839103529,0.566507348337862,0.149199095401573,0.8813965337694,0.98214494413983
metabat2.megahit.33_10_28,3.52280622218774,-0.698347676480744,1.07820611494804,-0.647694041796823,0.517182858674136,NA
metabat2.megahit.33_10_29,14.7069402731169,-0.519870796032762,0.646686468049342,-0.803899295435845,0.421455137011581,0.911617635030157
metabat2.megahit.33_10_3,31.2052964068842,-0.276252083395713,0.535551637645956,-0.515827165817274,0.605975127296255,0.95137481324558
metabat2.megahit.33_10_30,10.4752003214218,-0.135822003321496,0.67588748250417,-0.200953571174708,0.840734878263035,0.979030451979597
metabat2.megahit.33_10_31,91.7728909405761,-0.158369447946563,0.582302194782473,-0.271971236525605,0.785644135910333,0.970928193137965
metabat2.megahit.33_10_32,63.462246050949,-0.124056947355131,0.518278353418636,-0.23936355152947,0.810823690259246,0.974301020009823
metabat2.megahit.33_10_33,71.1493497236353,-0.0388217310566319,0.591769001329001,-0.0656028466672733,0.947694022685316,0.995784895367852
metabat2.megahit.33_10_34,1.97370861151154,1.55595773602481,1.6423645934468,0.94738874804854,0.343440722601567,NA
metabat2.megahit.33_10_35,38.5671067805814,-0.386610880639162,0.453356848224178,-0.852773884752237,0.39378470881409,0.904066708373523
metabat2.megahit.33_10_36,35.6965834475938,-0.0826040803512807,0.4815157440574,-0.171550113097514,0.863791229858297,0.979805658013055
metabat2.megahit.33_10_37,79.0419787891774,0.591045192732954,0.404742666822557,1.46029870626927,0.144207997467969,0.717668176004665
metabat2.megahit.33_10_38,45.0399429230604,0.679681881976747,0.51018201770337,1.33223410153967,0.182783273918777,0.770038103920633
metabat2.megahit.33_10_39,20.970371340896,0.205219162071539,0.682218461005072,0.300811505114067,0.763558234706331,0.970928193137965
