,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
metabat2.megahit.33_10_1,4.03832265083658,-1.48545898747935,1.09909324506373,-0.819274426008449,0.412629860145297,1
metabat2.megahit.33_10_10,17.1373329565388,0.207298667564743,0.651664271393732,0,1,1
metabat2.megahit.33_10_11,220.929000124836,-0.352889010128883,0.458464371488976,0,1,1
metabat2.megahit.33_10_12,2.78797448664953,-0.154735914921932,1.24080345346338,0,1,1
metabat2.megahit.33_10_13,164.370378711274,-0.96674655068036,0.396477473048909,-0.962845499757481,0.335625063289299,1
metabat2.megahit.33_10_14,0.803928085874601,-1.13550627786671,2.35503035119728,-0.233757614880349,0.815173156388063,1
metabat2.megahit.33_10_15,82.0328119343997,-0.403858376021465,0.388636502480373,0,1,1
metabat2.megahit.33_10_16,16.9714917471271,0.427404806934997,0.599487914490019,0,1,1
metabat2.megahit.33_10_17,67.4159986705707,-0.149136645710129,0.416489836871222,0,1,1
metabat2.megahit.33_10_18,82.8488493234166,-0.448891474910676,0.367653988543732,0,1,1
metabat2.megahit.33_10_19,97.6171345969633,-0.577477900959703,0.492925573489546,0,1,1
metabat2.megahit.33_10_2,2.29722493020055,-0.81874392430048,1.39295450813778,-0.167804420700694,0.866737144601256,1
metabat2.megahit.33_10_20,260.248097237385,0.373537954226047,0.586028978131391,0,1,1
metabat2.megahit.33_10_21,125.918822285031,-0.52601560338773,0.39370102032945,0,1,1
metabat2.megahit.33_10_22,73.765830592143,-0.405067544228743,0.375482679364311,0,1,1
metabat2.megahit.33_10_23,37.7247649599187,-0.0658271078414368,0.479768935655945,0,1,1
metabat2.megahit.33_10_25,6.50563607677984,-1.1700621842009,0.875590187487667,-0.66819180086933,0.504011168509758,1
metabat2.megahit.33_10_26,19.8298064147109,0.487472859049146,0.535737074767347,0,1,1
metabat2.megahit.33_10_27,33.1435111928442,0.0845223839103529,0.566507348337862,0,1,1
metabat2.megahit.33_10_28,3.52280622218774,-0.698347676480744,1.07820611494804,-0.105126167352711,0.916275695801211,1
metabat2.megahit.33_10_29,14.7069402731169,-0.519870796032762,0.646686468049342,0,1,1
metabat2.megahit.33_10_3,31.2052964068842,-0.276252083395713,0.535551637645956,0,1,1
metabat2.megahit.33_10_30,10.4752003214218,-0.135822003321496,0.67588748250417,0,1,1
metabat2.megahit.33_10_31,91.7728909405761,-0.158369447946563,0.582302194782473,0,1,1
metabat2.megahit.33_10_32,63.462246050949,-0.124056947355131,0.518278353418636,0,1,1
metabat2.megahit.33_10_33,71.1493497236353,-0.0388217310566319,0.591769001329001,0,1,1
metabat2.megahit.33_10_34,1.97370861151154,1.55595773602481,1.6423645934468,0.591195000123013,0.554389772430727,1
metabat2.megahit.33_10_35,38.5671067805814,-0.386610880639162,0.453356848224178,0,1,1
metabat2.megahit.33_10_36,35.6965834475938,-0.0826040803512807,0.4815157440574,0,1,1
metabat2.megahit.33_10_37,79.0419787891774,0.591045192732954,0.404742666822557,0.0149358919345282,0.988083325488949,1
metabat2.megahit.33_10_38,45.0399429230604,0.679681881976747,0.51018201770337,0.185584514332681,0.852770598368088,1
metabat2.megahit.33_10_39,20.970371340896,0.205219162071539,0.682218461005072,0,1,1
metabat2.megahit.33_10_4,46.6825760433611,-0.0328569077345077,0.420885804911372,0,1,1
metabat2.megahit.33_10_40,83.0863500396629,0.64344636471189,0.413467194851715,0.141356715695066,0.887588146719037,1
metabat2.megahit.33_10_41,75.1326555784681,0.664397624732489,0.41018700639696,0.193564455953663,0.846516931801046,1
metabat2.megahit.33_10_42,16.1215749017514,0.766873790115183,0.58678872301659,0.309947657446787,0.756600760715292,1
metabat2.megahit.33_10_43,234.31007587218,-0.664897674357523,0.438947414281363,-0.182021061653433,0.85556619719299,1
metabat2.megahit.33_10_44,104.637804157076,-0.813324386628355,0.475454919802856,-0.480222997215022,0.631068835992364,1
metabat2.megahit.33_10_45,1.12168687817196,-0.778852973796399,2.09896038794999,-0.0923566613783175,0.926414671415786,1
metabat2.megahit.33_10_46,79.1962010537488,-0.359017633090272,0.47002184609933,0,1,1
metabat2.megahit.33_10_47,108.175222565282,-0.176661005022751,0.372431947868377,0,1,1
metabat2.megahit.33_10_48,179.577605704785,-0.154663852973087,0.33380443769677,0,1,1
metabat2.megahit.33_10_49,16.4142072831077,0.566656928634847,0.643529372782728,0,1,1
metabat2.megahit.33_10_5,30.0617352443764,-0.450313351213656,0.490134868408764,0,1,1
metabat2.megahit.33_10_50,2.06508656881703,0.679763007980952,1.62482084641833,0.0583221271377965,0.953492042604577,1
metabat2.megahit.33_10_51,74.1000851153126,0.0135816506531366,0.434675663293522,0,1,1
metabat2.megahit.33_10_6,192.554136998323,-0.325185696866624,0.454285658248673,0,1,1
metabat2.megahit.33_10_7,313.596386368479,-0.22979453703237,0.370883445354297,0,1,1
metabat2.megahit.33_10_8,179.346481466551,-0.144865337101242,0.397960573689293,0,1,1
metabat2.megahit.33_10_9,121.514907590054,-0.0481298699788279,0.495126030104948,0,1,1
metabat2.megahit.33_11_1,19.7902590061073,-0.144654574941962,0.546547436012609,0,1,1
metabat2.megahit.33_11_10,36.9803076934289,0.946546244243837,0.658263652229466,0.549242302866518,0.582839176980951,1
metabat2.megahit.33_11_11,16.5462689545284,-0.270298511980889,0.571633604585421,0,1,1
metabat2.megahit.33_11_12,16.4605020076685,1.38897696693273,0.713451793885015,1.12688337715822,0.259791792371207,1
metabat2.megahit.33_11_13,4.30954938135776,1.67888349565775,1.23192501079109,0.887946495180993,0.374569532791626,1
metabat2.megahit.33_11_14,8.44957869493936,0.269262111676369,0.814849905348047,0,1,1
metabat2.megahit.33_11_15,4.33810305289241,0.163098970409132,1.10477572809048,0,1,1
metabat2.megahit.33_11_16,87.0379625858003,-0.125629148931455,0.419963662442101,0,1,1
metabat2.megahit.33_11_17,185.362954898329,-0.323211912736315,0.415401719185421,0,1,1
metabat2.megahit.33_11_18,10.2319409975854,2.77788679416853,0.901098839844869,2.43356965651632,0.0149507584514753,1
metabat2.megahit.33_11_19,923.578369021366,-1.79094678156482,0.662171398537703,-1.8212003481696,0.0685764075839711,1
metabat2.megahit.33_11_2,9.32353989008588,0.185756142523856,0.892441814749453,0,1,1
metabat2.megahit.33_11_20,35.4930192207773,-0.323884039301091,0.534712865475774,0,1,1
metabat2.megahit.33_11_21,150.591449087261,-0.33787548073054,0.501594830011261,0,1,1
metabat2.megahit.33_11_22,16.6537652782399,0.571042368107843,0.568677590011513,0,1,1
metabat2.megahit.33_11_23,218.17837517268,-0.242629742719239,0.440588560154692,0,1,1
metabat2.megahit.33_11_24,254.925350935782,-0.22891575733959,0.576742566834455,0,1,1
metabat2.megahit.33_11_25,30.5606507527837,0.768137440416682,0.567941151296614,0.322458480070651,0.74710538733843,1
metabat2.megahit.33_11_26,0.623099347032789,-1.32654338043983,2.73564537522398,-0.271067071469057,0.786339446904231,1
metabat2.megahit.33_11_27,2.25522821530919,0.654078000779467,1.89717925108274,0.0364108983060211,0.970954724351137,1
metabat2.megahit.33_11_28,7.50603854886371,0.0996524182419921,0.755394571015844,0,1,1
metabat2.megahit.33_11_29,1.43593551152667,0.00695662096304852,1.73548677348155,0,1,1
metabat2.megahit.33_11_3,11.1123385914534,1.31311866638526,0.866058162564378,0.840727214243114,0.400500771043073,1
metabat2.megahit.33_11_30,3.52558034851356,0.719970090821331,1.16082011437087,0.116271323308764,0.907437512123816,1
metabat2.megahit.33_11_31,25.4442311388332,0.955564832839128,0.543731502827722,0.681521727014113,0.495541423667691,1
metabat2.megahit.33_11_32,43.9422407796841,0.882211014372194,0.534925062437305,0.55561243105342,0.578475831533487,1
metabat2.megahit.33_11_33,70.9942983402836,-0.21485491694962,0.639076138401176,0,1,1
metabat2.megahit.33_11_34,8.95677657232691,0.700373946146481,0.770717856868353,0.149696734178806,0.881003884894442,1
metabat2.megahit.33_11_35,11.8268103409969,1.9010394036787,0.847142729228611,1.55350374650214,0.120302834908516,1
metabat2.megahit.33_11_36,39.7237603997626,0.0582109742488577,0.46878023525278,0,1,1
metabat2.megahit.33_11_37,117.614205021793,0.564023883907464,0.704865923936101,0,1,1
metabat2.megahit.33_11_38,10.3649477519379,0.229117525575734,0.710480410201191,0,1,1
metabat2.megahit.33_11_39,49.6549452097996,-0.0394352769259972,0.607252495682232,0,1,1
metabat2.megahit.33_11_4,0.744720805598787,-0.554296612201766,2.71559575908825,0,1,1
metabat2.megahit.33_11_40,15.2904453077201,-0.30694421999469,0.580072164203076,0,1,1
metabat2.megahit.33_11_41,24.6655817266755,-0.396645535705919,0.545141820617467,0,1,1
metabat2.megahit.33_11_5,36.8800677799892,0.771246050313518,0.651421892751746,0.285906955823629,0.774949386057034,1
metabat2.megahit.33_11_6,17.8408498824141,0.409459500135988,0.708418004333126,0,1,1
metabat2.megahit.33_11_7,82.1906680116536,0.260161222354599,0.528062712362602,0,1,1
metabat2.megahit.33_11_8,67.5228905866934,0.0856165093723426,0.434285925382844,0,1,1
metabat2.megahit.33_11_9,30.5389656663164,-0.4717401994441,0.659122956728724,0,1,1
metabat2.megahit.33_12_10,17.015731791273,2.39432289342001,0.717050461301671,2.52328530705569,0.0116264029875998,1
metabat2.megahit.33_12_11,12.5189258094903,2.56307322008818,0.784686851265819,2.5208441009267,0.0117073708490942,1
metabat2.megahit.33_12_12,4.0900643613051,1.99599220137831,1.09933953775525,1.28349081691306,0.199320174783576,1
metabat2.megahit.33_12_13,2.86867965944222,1.40416189194015,1.31579233750702,0.622561682865686,0.533572597557544,1
metabat2.megahit.33_12_2,10.5434227681307,-0.44625672716973,0.683080428354923,0,1,1
metabat2.megahit.33_12_3,19.9485979052128,0.0668024146972338,0.576687644060675,0,1,1
metabat2.megahit.33_12_4,2.34807977993783,0.318908542807636,1.44157282062835,0,1,1
metabat2.megahit.33_12_5,58.8309758742769,-0.0802088272596388,0.429883588249896,0,1,1
metabat2.megahit.33_12_6,42.5377610095537,0.430695035503141,0.446308695404157,0,1,1
metabat2.megahit.33_12_7,137.076922343815,0.311964822243335,0.409947490215274,0,1,1
metabat2.megahit.33_12_8,14.7320840061869,1.0447408217558,0.596550598713989,0.770665259153009,0.440905369019327,1
metabat2.megahit.33_12_9,1.36207871044387,0.445005179566218,2.00291866307084,0,1,1
metabat2.megahit.33_13_1,11.0090960731799,1.23266558697343,0.785942245562901,0.824062570284111,0.40990400635493,1
metabat2.megahit.33_13_10,38.2634145771397,0.383932313680176,0.531106596251465,0,1,1
metabat2.megahit.33_13_11,7.33222446996898,0.565061583522824,0.811705251520248,0,1,1
metabat2.megahit.33_13_12,61.7687625721611,1.2279572749909,0.627989912822852,1.02383376207552,0.305913800595748,1
metabat2.megahit.33_13_13,60.167288528202,0.831958362184619,0.482647608774475,0.511674268544888,0.608878997636523,1
metabat2.megahit.33_13_14,13.0616796293601,1.13931113320585,0.891574076513772,0.62172190489579,0.534124745465093,1
metabat2.megahit.33_13_15,8.29137530831921,1.12023790037854,0.85390644465103,0.626810938986742,0.530783172136488,1
metabat2.megahit.33_13_16,5.09313904348132,-0.0634989942338041,0.896433436603398,0,1,1
metabat2.megahit.33_13_17,35.7087421066463,0.135005382582486,0.492185333346016,0,1,1
metabat2.megahit.33_13_18,11.5512256007315,-0.141926284516521,0.672503906900771,0,1,1
metabat2.megahit.33_13_19,1.99832459769694,-2.01796792444133,1.93749539011689,-0.739598107820468,0.459543890149544,1
metabat2.megahit.33_13_2,8.34026023531686,1.47245780181246,0.854996034652924,1.03796715521927,0.299285346577621,1
metabat2.megahit.33_13_20,55.124835113469,0.509578007313751,0.464360893710077,0,1,1
metabat2.megahit.33_13_21,24.2401448383319,0.120139402108133,0.545861715174455,0,1,1
metabat2.megahit.33_13_22,29.2243627187798,0.560622542814974,0.483373458197272,0,1,1
metabat2.megahit.33_13_23,127.387493861955,-0.343036396415884,0.404860787760899,0,1,1
metabat2.megahit.33_13_24,0.986363650941042,1.12910453876376,2.06816875578118,0.263085174864387,0.792484930315237,1
metabat2.megahit.33_13_25,12.7840197858282,-1.18267616867837,0.624284296613584,-0.957378187983347,0.338376403714499,1
metabat2.megahit.33_13_26,51.9452735563878,0.0383852163122451,0.421550523288162,0,1,1
metabat2.megahit.33_13_27,28.3226821114201,-0.0516923374838867,0.594480656343653,0,1,1
metabat2.megahit.33_13_28,9.25794352161236,-0.0519655361322753,0.747818013858955,0,1,1
metabat2.megahit.33_13_29,21.8412629240104,-0.00396009566254803,0.547200130610204,0,1,1
metabat2.megahit.33_13_3,2.15217412050492,-1.29357752575382,1.59996207851832,-0.442871450059622,0.657858718952749,1
metabat2.megahit.33_13_30,19.9183904022356,0.0164066226676052,0.596259582484822,0,1,1
metabat2.megahit.33_13_31,26.6045888842417,0.230176796518341,0.542066884516309,0,1,1
metabat2.megahit.33_13_32,35.3856112785772,0.4429481935674,0.474565755847769,0,1,1
metabat2.megahit.33_13_33,84.8177172227689,0.681182881059689,0.40979869365128,0.234707632185709,0.814435663568893,1
metabat2.megahit.33_13_34,121.127880689969,0.587762785010002,0.425768593187656,0.00648893566647996,0.994822614749109,1
metabat2.megahit.33_13_35,272.457765997289,0.401818714302974,0.418213613729723,0,1,1
metabat2.megahit.33_13_36,165.701572267759,0.674005258312391,0.350326174126736,0.254063969197438,0.799446138643125,1
metabat2.megahit.33_13_37,86.6177629923026,0.861246606836324,0.407401432058663,0.678069798234157,0.497727438953537,1
metabat2.megahit.33_13_38,840.532241039523,0.740588125908765,0.343289669893081,0.45322693793036,0.650385336928133,1
metabat2.megahit.33_13_39,48.0644339665496,0.616168409291077,0.412384779604983,0.0755808915181905,0.939752539332517,1
metabat2.megahit.33_13_4,3.17056460809935,0.677944496160166,1.46645436022419,0.0633804219764173,0.949463576902056,1
metabat2.megahit.33_13_5,4.1159556760954,0.587558133884814,1.19701976958926,0.0021370857439486,0.998294853577731,1
metabat2.megahit.33_13_6,34.8095926051319,-0.914159823375082,0.609557546041168,-0.539997946892535,0.589198448329007,1
metabat2.megahit.33_13_7,95.7141555623249,-0.524013917769017,0.489222171172668,0,1,1
metabat2.megahit.33_13_8,182.930432427914,0.130604869070407,0.516876588026482,0,1,1
metabat2.megahit.33_13_9,148.294677042888,0.387967088155827,0.553049281238013,0,1,1
metabat2.megahit.33_14_1,137.958244885024,0.609434682766641,0.458704057714339,0.0532689483681388,0.95751762067407,1
metabat2.megahit.33_14_17,0.42125599903683,3.29778648340499,3.86551756579664,0.701791270439077,0.482809343609585,1
metabat2.megahit.33_14_18,1.0617974624052,0.682104679399136,2.05881590262688,0.0471653047148307,0.962381479559353,1
metabat2.megahit.33_14_2,73.7739600460711,0.219743820474984,0.456274974563817,0,1,1
metabat2.megahit.33_14_20,4.1530624367733,-0.883647247404343,1.1497834614532,-0.259742166604907,0.795062664365709,1
metabat2.megahit.33_14_21,2.67715122228307,0.603383246901105,1.24913629049795,0.0147167663296185,0.988258143210359,1
metabat2.megahit.33_14_22,2.51835786353072,0.00483868823285852,1.3292464310669,0,1,1
metabat2.megahit.33_14_23,6.09969016597294,0.153523617028862,1.16378360387227,0,1,1
metabat2.megahit.33_14_24,17.6377674404729,-0.473794518334107,0.829837485346215,0,1,1
metabat2.megahit.33_14_25,4.93247606308247,-1.4333430652846,1.02434950689124,-0.828177355070151,0.407570066277255,1
metabat2.megahit.33_14_26,13.5598916321202,-0.41031927795967,0.645648663331997,0,1,1
metabat2.megahit.33_14_27,26.868809010315,-0.323729645062364,0.614595166857657,0,1,1
metabat2.megahit.33_14_28,87.1204576310805,0.218582444448729,0.481524849182448,0,1,1
metabat2.megahit.33_14_29,136.786264441578,0.417574573595598,0.435796741618095,0,1,1
metabat2.megahit.33_14_3,12.8380226168395,-1.29457727436665,0.74188775606651,-0.956448288254313,0.338845798387002,1
metabat2.megahit.33_14_30,192.350948687502,0.377351319682351,0.339439957023554,0,1,1
metabat2.megahit.33_14_31,179.856373224451,-0.0587476733075049,0.362604809374381,0,1,1
metabat2.megahit.33_14_32,72.3050113455651,0.197057135628052,0.414492595366582,0,1,1
metabat2.megahit.33_14_33,39.181346628465,0.139358297132964,0.503761281784799,0,1,1
metabat2.megahit.33_14_34,85.2555431217576,0.277876792905953,0.430478055272189,0,1,1
metabat2.megahit.33_14_35,12.5194014047034,-0.131950430972317,0.66046902805142,0,1,1
metabat2.megahit.33_14_36,33.5175248999366,0.306891779039091,1.11493830377869,0,1,1
metabat2.megahit.33_14_37,20.2894468059087,0.973036924039254,1.05170306455962,0.368960533743178,0.71215714203035,1
metabat2.megahit.33_14_38,10.6216199033256,0.989199641077808,1.07644493458183,0.375494953891748,0.70729239857702,1
metabat2.megahit.33_14_39,8.53595435506052,-0.155006291968624,1.17994330667932,0,1,1
metabat2.megahit.33_14_4,7.979354402692,-0.806663868462738,0.859786343028492,-0.257812734826601,0.796551435685692,1
metabat2.megahit.33_14_40,1.01667575569493,0.248269305974352,2.98294222003521,0,1,1
metabat2.megahit.33_14_41,2.84342634475441,-0.595714872937418,1.56666757957017,-0.0068392766130753,0.994543089325207,1
metabat2.megahit.33_14_42,3.62179793641079,1.26782220622217,1.23738255925063,0.551827889537807,0.581066277304354,1
metabat2.megahit.33_14_43,7.39055069861796,1.27838060184208,1.07422105809924,0.645472918831969,0.518620762443438,1
metabat2.megahit.33_14_44,8.27821915185939,0.934820334039471,0.922698554572284,0.379127432579138,0.704593236030857,1
metabat2.megahit.33_14_45,11.946673300189,0.665154071220028,1.02867049487677,0.0779200644124923,0.937891638841196,1
metabat2.megahit.33_14_46,14.5685834322471,-0.76592014558507,0.631718914299255,-0.286393428295176,0.774576807470017,1
metabat2.megahit.33_14_47,2.75686926519401,-1.78524165020856,1.32557655999277,-0.905448758248342,0.365227694797302,1
metabat2.megahit.33_14_48,0.903455900585947,0.253705970547495,1.99167639561447,0,1,1
metabat2.megahit.33_14_49,4.22535339793549,-0.120431841083039,1.08143143733517,0,1,1
metabat2.megahit.33_14_50,27.0658114969776,1.47983859068856,0.555940074558957,1.60959540720006,0.10748621153248,1
metabat2.megahit.33_14_51,320.373757328687,1.36485309139151,0.424185901708188,1.83847008646693,0.0659931658255569,1
metabat2.megahit.33_14_52,18.9570231484922,0.0267195799087677,0.795700080214154,0,1,1
metabat2.megahit.33_14_53,207.425214323942,-0.15589973720206,0.51351910874418,0,1,1
metabat2.megahit.33_14_54,28.5914285342772,0.290345840959716,0.613955213643191,0,1,1
metabat2.megahit.33_14_55,2.98777795677211,-0.0567325827502925,1.23935925742477,0,1,1
metabat2.megahit.33_14_56,11.3430757629199,0.505478336503151,0.830293775063574,0,1,1
metabat2.megahit.33_14_57,12.0910650419492,-0.463956209626768,0.847634456994005,0,1,1
metabat2.megahit.33_14_58,5.94003966514422,-0.440674842446777,0.98175679271729,0,1,1
