99980 Enzymes with EC numbers
K00046 idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
K23842 lpdA; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
K00344 qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]
K00359 qorA; NADPH:quinone reductase [EC:1.6.5.5]
K23948 E1.6.5.9; NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]
K03923 mdaB; NADPH dehydrogenase (quinone) [EC:1.6.5.10]
K00354 E1.6.99.1; NADPH2 dehydrogenase [EC:1.6.99.1]
K16908 CRR1; chloroplast NAD(P)H dehydrogenase [EC:1.6.99.-]
K03206 azr; azobenzene reductase [EC:1.7.1.6]
K01118 acpD, azoR; FMN-dependent NADH-azoreductase [EC:1.7.1.17]
K00378 hox; hydroxylamine oxidase [EC:1.7.2.9]
K22962 NP7; nitrite dismutase [EC:1.7.6.1]
K22364 xecC; 2-oxopropyl-CoM reductase (carboxylating) [EC:1.8.1.5]
K08255 cdr; CoA-disulfide reductase [EC:1.8.1.14]
K17883 mtr; mycothione reductase [EC:1.8.1.15]
K23076 garB; glutathione amide reductase [EC:1.8.1.16]
K18367 CoADR; CoA-dependent NAD(P)H sulfur oxidoreductase [EC:1.8.1.18]
K20202 sudA; sulfide dehydrogenase subunit alpha [EC:1.8.1.19]
K20203 sudB; sulfide dehydrogenase subunit beta [EC:1.8.1.19]
K22347 nox; 4,4'-dithiodibutanoate disulfide reductase [EC:1.8.1.20]
K03387 ahpF; NADH-dependent peroxiredoxin subunit F [EC:1.8.1.-]
K22124 GLIT, ACLT; gliotoxin/aspirochlorine biosynthesis thioredoxin reductase [EC:1.8.1.-]
K24426 PYROXD1; pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1 [EC:1.8.1.-]
K26960 bdr; bacillithiol disulfide reductase [EC:1.8.1.-]
K19713 tsdA; thiosulfate dehydrogenase [EC:1.8.2.2]
K24299 tcdH; thiocyanate desulfurase [EC:1.8.2.7]
K10758 QSOX; thiol oxidase [EC:1.8.3.2]
K17891 ERV2; FAD-linked sulfhydryl oxidase [EC:1.8.3.2]
K07304 msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
K12267 msrAB; peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11 1.8.4.12]
K07305 msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]
K11209 yghU, yfcG; GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]
K07393 ECM4, yqjG; glutathionyl-hydroquinone reductase [EC:1.8.5.7]
K17892 FTRC; ferredoxin-thioredoxin reductase catalytic chain [EC:1.8.7.2]
K12260 SRX1; sulfiredoxin [EC:1.8.98.2]
K21816 fsr; sulfite reductase (coenzyme F420) [EC:1.8.98.3]
K01829 dsbH; disulfide reductase [EC:1.8.-.-]
K07147 msrP; methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-]
K00421 lccA; laccase [EC:1.10.3.2]
K05909 E1.10.3.2; laccase [EC:1.10.3.2]
K17893 AOX1, AOX2; ubiquinol oxidase [EC:1.10.3.11]
K12262 cybB; superoxide oxidase [EC:1.10.3.17]
K08071 NQO2; ribosyldihydronicotinamide dehydrogenase (quinone) [EC:1.10.5.1]
K05910 npr; NADH peroxidase [EC:1.11.1.1]
K00428 E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5]
K07217 ydbD; manganese catalase [EC:1.11.1.6]
K19511 PXDN, VPO1; peroxidase [EC:1.11.1.7]
K00433 cpo; non-heme chloroperoxidase [EC:1.11.1.10]
K17990 VCPO; vanadium chloroperoxidase [EC:1.11.1.10]
K20205 mpn; manganese peroxidase [EC:1.11.1.13]
K23515 LPO; lignin peroxidase [EC:1.11.1.14]
K23075 garA; glutathione amide-dependent peroxidase [EC:1.11.1.17]
K20206 VBPO; bromide peroxidase [EC:1.11.1.18]
K15733 E1.11.1.19; dye decolorizing peroxidase [EC:1.11.1.19]
K20207 gpx; hydroperoxy fatty acid reductase [EC:1.11.1.22]
K03564 BCP, PRXQ, DOT5; thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
K11065 tpx; thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
K23856 GPX; peroxiredoxin [EC:1.11.1.24]
K24157 prxII; thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
K24158 prx; thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
K24129 K24129; glutaredoxin-dependent peroxiredoxin [EC:1.11.1.25]
K24130 K24130; glutaredoxin-dependent peroxiredoxin [EC:1.11.1.25]
K24140 PRXII; glutaredoxin-dependent peroxiredoxin [EC:1.11.1.25]
K24119 ahpC; NADH-dependent peroxiredoxin subunit C [EC:1.11.1.26]
K04063 osmC, ohr; lipoyl-dependent peroxiredoxin [EC:1.11.1.28]
K04756 ahpD; lipoyl-dependent peroxiredoxin subunit D [EC:1.11.1.28]
K24126 ahpC; lipoyl-dependent peroxiredoxin subunit C [EC:1.11.1.28]
K24120 ahpE; mycoredoxin-dependent peroxiredoxin [EC:1.11.1.29]
K07223 yfeX; porphyrinogen peroxidase [EC:1.11.1.-]
K21820 APO1; unspecific peroxygenase [EC:1.11.2.1]
K20208 sfmD; 3-methyl-L-tyrosine peroxygenase [EC:1.11.2.5]
K00436 hoxH; NAD-reducing hydrogenase large subunit [EC:1.12.1.2]
K18005 hoxF; [NiFe] hydrogenase diaphorase moiety large subunit [EC:1.12.1.2]
K18006 hoxU; [NiFe] hydrogenase diaphorase moiety small subunit [EC:1.12.1.2]
K18007 hoxY; NAD-reducing hydrogenase small subunit [EC:1.12.1.2]
K17992 hndB; NADP-reducing hydrogenase subunit HndB [EC:1.12.1.3]
K18330 hndA; NADP-reducing hydrogenase subunit HndA [EC:1.12.1.3]
K18331 hndC; NADP-reducing hydrogenase subunit HndC [EC:1.12.1.3]
K18332 hndD; NADP-reducing hydrogenase subunit HndD [EC:1.12.1.3]
K17997 hydA; iron-hydrogenase subunit alpha [EC:1.12.1.4]
K17998 hydB; iron-hydrogenase subunit beta [EC:1.12.1.4]
K17999 hydC; iron-hydrogenase subunit gamma [EC:1.12.1.4]
K00437 hydB; [NiFe] hydrogenase large subunit [EC:1.12.2.1]
K18008 hydA; [NiFe] hydrogenase small subunit [EC:1.12.2.1]
K05922 hydB; quinone-reactive Ni/Fe-hydrogenase large subunit [EC:1.12.5.1]
K05927 hydA; quinone-reactive Ni/Fe-hydrogenase small subunit [EC:1.12.5.1]
K00532 E1.12.7.2; ferredoxin hydrogenase [EC:1.12.7.2]
K00533 E1.12.7.2L; ferredoxin hydrogenase large subunit [EC:1.12.7.2]
K00534 E1.12.7.2S; ferredoxin hydrogenase small subunit [EC:1.12.7.2]
K06441 E1.12.7.2G; ferredoxin hydrogenase gamma subunit [EC:1.12.7.2]
K18016 mbhL; membrane-bound hydrogenase subunit alpha [EC:1.12.7.2]
K18017 mbhK; membrane-bound hydrogenase subunit beta [EC:1.12.7.2]
K18023 mbhJ; membrane-bound hydrogenase subunit mbhJ [EC:1.12.7.2]
K14068 vhoA, vhtA; methanophenazine hydrogenase, large subunit [EC:1.12.98.3]
K14069 vhoC, vhtC; methanophenazine hydrogenase, cytochrome b subunit [EC:1.12.98.3]
K14070 vhoG, vhtG; methanophenazine hydrogenase [EC:1.12.98.3]
K06911 PIR; quercetin 2,3-dioxygenase [EC:1.13.11.24]
K07155 qodI; quercetin 2,3-dioxygenase [EC:1.13.11.24]
K20209 qdo; 3-hydroxy-4-oxoquinoline 2,4-dioxygenase [EC:1.13.11.47]
K21821 hod; 3-hydroxy-2-methylquinolin-4-one 2,4-dioxygenase [EC:1.13.11.48]
K09162 cld; chlorite dismutase [EC:1.13.11.49]
K20148 dke1; acetylacetone-cleaving enzyme [EC:1.13.11.50]
K18031 nspLOX; linolenate 9R-lipoxygenase [EC:1.13.11.61]
K21817 blh; beta-carotene 15,15'-dioxygenase [EC:1.13.11.63]
K18250 naaB; 5-nitrosalicylate dioxygenase [EC:1.13.11.64]
K18048 ninaB; carotenoid isomerooxygenase [EC:1.13.11.65]
K10252 BCDO2; beta,beta-carotene 9',10'-dioxygenase [EC:1.13.11.71]
K00464 diox1; all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:1.13.11.75]
K21822 E1.13.11.82; 8'-apo-carotenoid 13,14-cleaving dioxygenase [EC:1.13.11.82]
K22690 roxA; exo-cleaving rubber dioxygenase [EC:1.13.11.85]
K23019 mabB; 5-aminosalicylate 1,2-dioxygenase [EC:1.13.11.86]
K23117 lcp; endo-cleaving rubber dioxygenase [EC:1.13.11.87]
K23118 roxB; endo-cleaving rubber dioxygenase [EC:1.13.11.87]
K23363 iem, iso; isoeugenol monooxygenase [EC:1.13.11.88]
K24290 tmpB; [1-hydroxy-2-(trimethylamino)ethyl]phosphonate dioxygenase [EC:1.13.11.90]
K24700 mdo; 3-mercaptopropionate dioxygenase [EC:1.13.11.91]
K00465 CCD1; carotenoid 9,10(9',10')-cleavage dioxygenase 1 [EC:1.13.11.-]
K11159 K11159; carotenoid cleavage oxygenase [EC:1.13.11.-]
K23953 PCO; plant cysteine oxidase [EC:1.13.11.-]
K18053 luci; renilla-luciferin 2-monooxygenase [EC:1.13.12.5]
K05914 E1.13.12.7; photinus-luciferin 4-monooxygenase (ATP-hydrolysing) [EC:1.13.12.7]
K21823 E1.13.12.13; oplophorus-luciferin 2-monooxygenase catalytic subunit [EC:1.13.12.13]
K22500 E1.13.12.18; dinoflagellate luciferase [EC:1.13.12.18]
K21815 efe; 2-oxoglutarate dioxygenase / 2-oxoglutarate/L-arginine monooxygenase/decarboxylase [EC:1.13.12.19 1.14.20.7]
K22619 Aequorin; calcium-regulated photoprotein [EC:1.13.12.24]
K24788 HPDL; 4-hydroxyphenylpyruvate dioxygenase-like protein [EC:1.13.-.-]
K05882 E1.1.1.91; aryl-alcohol dehydrogenase (NADP+) [EC:1.1.1.91]
K25939 BDH2; 4-oxoproline reductase [EC:1.1.1.104]
K17735 lcdH, cdhA; carnitine 3-dehydrogenase [EC:1.1.1.108]
K22418 HSD1; 11beta/17beta-hydroxysteroid dehydrogenase [EC:1.1.1.146 1.1.1.-]
K00085 E1.1.1.200; aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]
K13374 AKR1C13; aldo-keto reductase family 1 member C13 [EC:1.1.1.218]
K00091 E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]
K17739 THNR; tetrahydroxynaphthalene reductase [EC:1.1.1.252]
K00095 MTD; mannitol dehydrogenase [EC:1.1.1.255]
K13981 AKR1E2, AKR1CL2; 1,5-anhydro-D-fructose reductase [EC:1.1.1.263]
K00098 idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264]
K26078 xecD; 2-(R)-hydroxypropyl-CoM dehydrogenase [EC:1.1.1.268]
K26079 xecE; 2-(S)-hydroxypropyl-CoM dehydrogenase [EC:1.1.1.269]
K17064 ddh; D-2-hydroxyacid dehydrogenase (NADP+) [EC:1.1.1.272]
K05886 sdh; serine 3-dehydrogenase (NADP+) [EC:1.1.1.276]
K19181 afr; 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [EC:1.1.1.292]
K19648 apdH, APDH; D-arabitol-phosphate dehydrogenase [EC:1.1.1.301]
K00153 E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
K15509 hpsN; sulfopropanediol 3-dehydrogenase [EC:1.1.1.308]
K19639 PR; perakine reductase [EC:1.1.1.317]
K16216 yueD; benzil reductase ((S)-benzoin forming) [EC:1.1.1.320]
K21837 ZSD1; zerumbone synthase [EC:1.1.1.326]
K16652 dprE2; decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase [EC:1.1.1.333]
K19651 MecgoR; methylecgonone reductase [EC:1.1.1.334]
K06221 dkgA; 2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]
K06222 dkgB; 2,5-diketo-D-gluconate reductase B [EC:1.1.1.346]
K19811 hsdA; 3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.357]
K19654 CPR-C2; 2-dehydropantolactone reductase [EC:1.1.1.358]
K19635 E1.1.1.366; L-idonate 5-dehydrogenase [EC:1.1.1.366]
