	K00198	K15022	K05299	K22015	K25123	K25124	K01938	K01491	K01500	K00297	K25007	K25008	K15023	K14138	K00197	K00194
concoct_megahit_6	1	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0
vamb.spades.21	1	0	6	0	0	0	1	1	0	1	0	0	0	0	0	0
vamb.spades.267	2	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1
metabat1.spades.10	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
vamb.megahit.39	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0
metabat1.spades.2	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1
vamb.spades.108	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
vamb.spades.812	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
vamb.spades.298	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0
vamb.spades.1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
vamb.spades.222	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0
maxbin2.megahit.017	3	0	0	0	0	0	2	2	0	3	0	0	1	1	1	1
maxbin2.spades.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
maxbin2.spades.006	3	0	2	0	0	0	1	1	0	1	0	0	1	1	1	1
concoct_spades_11	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
metabat2.megahit.33	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
maxbin2.spades.028	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
vamb.megahit.77	2	0	0	0	0	0	1	1	0	2	0	0	1	1	1	1
metabat2.megahit.14	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
vamb.spades.1056	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0
metabat2.spades.15	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
vamb.spades.6	2	2	4	2	0	0	1	1	0	1	0	0	1	1	1	1
metabat2.spades.7	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
metabat2.spades.25	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0
metabat1.megahit.20	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
metabat2.megahit.24	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
vamb.megahit.488	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
vamb.spades.857	2	0	0	0	0	0	2	2	0	3	0	0	1	1	1	1
vamb.megahit.78	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
vamb.spades.286	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0
metabat2.spades.18	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
vamb.megahit.295	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0
