	G15	G16	G17	G18	G19	G20	G21	G22	G23
metabat1.spades.2_100_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_100_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_100_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_100_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_100_5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_100_6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_100_7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_100_8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_101_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_101_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_101_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_102_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_102_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_102_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_102_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_103_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_103_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_103_11	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0
metabat1.spades.2_103_12	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0
metabat1.spades.2_103_13	0.0	0.0	2.0	0.0	3.0	0.0	0.0	2.0	1.0
metabat1.spades.2_103_14	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_103_15	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
metabat1.spades.2_103_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_103_17	3.0	1.0	0.0	2.0	1.0	1.0	1.0	3.0	0.0
metabat1.spades.2_103_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_103_19	1.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0
metabat1.spades.2_103_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_103_20	0.0	1.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0
metabat1.spades.2_103_21	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
metabat1.spades.2_103_22	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_103_23	1.0	0.0	0.0	3.0	2.0	1.0	2.0	2.0	1.0
metabat1.spades.2_103_24	1.0	0.0	0.0	0.0	1.0	1.0	2.0	2.0	0.0
metabat1.spades.2_103_25	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
metabat1.spades.2_103_26	0.0	0.0	0.0	1.0	1.0	1.0	1.0	3.0	0.0
metabat1.spades.2_103_27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_103_28	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_103_29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_103_3	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
metabat1.spades.2_103_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_103_31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_103_32	2.0	1.0	0.0	1.0	0.0	1.0	3.0	4.0	0.0
metabat1.spades.2_103_33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_103_34	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
metabat1.spades.2_103_4	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
metabat1.spades.2_103_5	2.0	2.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0
metabat1.spades.2_103_6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_103_7	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0
metabat1.spades.2_103_8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
metabat1.spades.2_103_9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_104_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_104_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_104_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_104_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_104_5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_105_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_105_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_105_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_106_1	7.0	15.0	3.0	2.0	6.0	2.0	14.0	16.0	5.0
metabat1.spades.2_106_10	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
metabat1.spades.2_106_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_106_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_106_13	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
metabat1.spades.2_106_14	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0
metabat1.spades.2_106_15	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
metabat1.spades.2_106_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
metabat1.spades.2_106_17	0.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0
metabat1.spades.2_106_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_106_19	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0
metabat1.spades.2_106_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
metabat1.spades.2_106_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_106_21	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_106_22	0.0	0.0	0.0	0.0	0.0	2.0	4.0	2.0	1.0
metabat1.spades.2_106_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat1.spades.2_106_24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
metabat1.spades.2_106_25	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0
metabat1.spades.2_106_26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
