	G15	G16	G17	G18	G19	G20	G21	G22	G23
metabat2.spades.15_10_1	27.0	34.0	49.0	40.0	78.0	47.0	24.0	21.0	2.0
metabat2.spades.15_10_10	15.0	22.0	26.0	9.0	15.0	19.0	11.0	2.0	1.0
metabat2.spades.15_10_100	667.0	625.0	850.0	477.0	568.0	368.0	215.0	235.0	16.0
metabat2.spades.15_10_101	151.0	150.0	242.0	158.0	193.0	161.0	67.0	58.0	5.0
metabat2.spades.15_10_102	17.0	8.0	5.0	6.0	17.0	15.0	16.0	4.0	2.0
metabat2.spades.15_10_103	17.0	25.0	37.0	38.0	49.0	39.0	11.0	22.0	8.0
metabat2.spades.15_10_104	382.0	321.0	389.0	493.0	420.0	422.0	209.0	134.0	15.0
metabat2.spades.15_10_105	11.0	11.0	14.0	20.0	25.0	28.0	8.0	6.0	2.0
metabat2.spades.15_10_106	263.0	168.0	180.0	78.0	108.0	118.0	60.0	34.0	8.0
metabat2.spades.15_10_107	64.0	48.0	46.0	20.0	31.0	44.0	20.0	8.0	5.0
metabat2.spades.15_10_108	94.0	52.0	86.0	39.0	48.0	34.0	20.0	28.0	0.0
metabat2.spades.15_10_109	460.0	330.0	470.0	425.0	369.0	316.0	177.0	185.0	27.0
metabat2.spades.15_10_11	47.0	36.0	49.0	22.0	20.0	21.0	8.0	14.0	0.0
metabat2.spades.15_10_110	251.0	183.0	280.0	210.0	223.0	255.0	125.0	173.0	1.0
metabat2.spades.15_10_111	46.0	34.0	28.0	38.0	31.0	34.0	21.0	21.0	1.0
metabat2.spades.15_10_112	144.0	54.0	78.0	86.0	74.0	84.0	56.0	58.0	1.0
metabat2.spades.15_10_113	79.0	53.0	82.0	66.0	88.0	73.0	51.0	62.0	2.0
metabat2.spades.15_10_114	43.0	23.0	37.0	58.0	53.0	62.0	31.0	50.0	1.0
metabat2.spades.15_10_115	131.0	92.0	119.0	287.0	186.0	161.0	100.0	236.0	7.0
metabat2.spades.15_10_116	29.0	10.0	17.0	35.0	37.0	28.0	28.0	17.0	0.0
metabat2.spades.15_10_117	1.0	0.0	0.0	6.0	3.0	2.0	0.0	0.0	0.0
metabat2.spades.15_10_12	32.0	34.0	47.0	65.0	39.0	43.0	21.0	26.0	4.0
metabat2.spades.15_10_13	85.0	41.0	82.0	49.0	71.0	75.0	35.0	38.0	4.0
metabat2.spades.15_10_14	297.0	304.0	352.0	258.0	256.0	199.0	145.0	130.0	17.0
metabat2.spades.15_10_15	215.0	178.0	225.0	177.0	194.0	195.0	121.0	76.0	5.0
metabat2.spades.15_10_16	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
metabat2.spades.15_10_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat2.spades.15_10_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat2.spades.15_10_19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat2.spades.15_10_2	16.0	20.0	35.0	25.0	33.0	43.0	13.0	27.0	2.0
metabat2.spades.15_10_20	0.0	1.0	2.0	2.0	0.0	1.0	0.0	1.0	0.0
metabat2.spades.15_10_21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat2.spades.15_10_22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat2.spades.15_10_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
metabat2.spades.15_10_24	197.0	110.0	133.0	203.0	233.0	188.0	270.0	163.0	18.0
metabat2.spades.15_10_25	52.0	47.0	76.0	143.0	125.0	118.0	69.0	121.0	1.0
metabat2.spades.15_10_26	38.0	33.0	75.0	87.0	125.0	92.0	54.0	73.0	2.0
metabat2.spades.15_10_27	59.0	55.0	101.0	103.0	155.0	140.0	63.0	96.0	2.0
metabat2.spades.15_10_28	0.0	0.0	0.0	0.0	2.0	3.0	1.0	2.0	0.0
metabat2.spades.15_10_29	36.0	40.0	42.0	81.0	59.0	99.0	58.0	57.0	0.0
metabat2.spades.15_10_3	27.0	15.0	36.0	25.0	21.0	22.0	4.0	13.0	1.0
metabat2.spades.15_10_30	15.0	24.0	48.0	139.0	63.0	92.0	44.0	53.0	3.0
