	G15	G16	G17	G18	G19	G20	G21	G22	G23
metabat2.megahit.24_10_1	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
metabat2.megahit.24_10_10	25.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0
metabat2.megahit.24_10_11	29.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0
metabat2.megahit.24_10_12	14.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
metabat2.megahit.24_10_13	234.0	0.0	0.0	2.0	0.0	0.0	15.0	28.0	5.0
metabat2.megahit.24_10_14	3.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
metabat2.megahit.24_10_15	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
metabat2.megahit.24_10_16	4.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	1.0
metabat2.megahit.24_10_17	1.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0
metabat2.megahit.24_10_18	394.0	2.0	0.0	3.0	0.0	0.0	4.0	20.0	5.0
metabat2.megahit.24_10_19	104.0	0.0	0.0	0.0	2.0	0.0	0.0	8.0	0.0
metabat2.megahit.24_10_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat2.megahit.24_10_20	117.0	2.0	1.0	0.0	0.0	0.0	2.0	12.0	0.0
metabat2.megahit.24_10_21	45.0	0.0	0.0	0.0	0.0	0.0	3.0	22.0	0.0
metabat2.megahit.24_10_22	22.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0
metabat2.megahit.24_10_23	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
metabat2.megahit.24_10_24	18.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0
metabat2.megahit.24_10_25	274.0	3.0	0.0	0.0	0.0	0.0	44.0	58.0	12.0
metabat2.megahit.24_10_26	9.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0
metabat2.megahit.24_10_27	92.0	0.0	0.0	1.0	0.0	0.0	7.0	15.0	3.0
metabat2.megahit.24_10_28	19.0	0.0	0.0	0.0	0.0	0.0	3.0	13.0	1.0
