	G15	G16	G17	G18	G19	G20	G21	G22	G23
metabat2.spades.18_10_1	375.0	761.0	1000.0	1828.0	1823.0	811.0	7014.0	3171.0	1936.0
metabat2.spades.18_10_10	3.0	3.0	7.0	11.0	12.0	4.0	43.0	13.0	12.0
metabat2.spades.18_10_11	0.0	3.0	4.0	1.0	5.0	4.0	14.0	6.0	4.0
metabat2.spades.18_10_12	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0
metabat2.spades.18_10_13	0.0	2.0	2.0	12.0	5.0	4.0	35.0	18.0	2.0
metabat2.spades.18_10_14	96.0	93.0	144.0	385.0	236.0	107.0	930.0	304.0	319.0
metabat2.spades.18_10_15	45.0	41.0	83.0	298.0	145.0	63.0	396.0	289.0	82.0
metabat2.spades.18_10_16	37.0	48.0	118.0	277.0	150.0	108.0	434.0	347.0	105.0
metabat2.spades.18_10_17	3.0	6.0	17.0	75.0	15.0	13.0	84.0	44.0	23.0
metabat2.spades.18_10_18	12.0	10.0	59.0	164.0	51.0	58.0	250.0	184.0	68.0
metabat2.spades.18_10_19	12.0	13.0	82.0	143.0	40.0	49.0	277.0	142.0	64.0
metabat2.spades.18_10_2	5.0	6.0	9.0	22.0	32.0	13.0	74.0	45.0	26.0
metabat2.spades.18_10_20	10.0	6.0	38.0	62.0	13.0	36.0	128.0	70.0	32.0
metabat2.spades.18_10_21	56.0	52.0	237.0	408.0	116.0	243.0	772.0	647.0	215.0
metabat2.spades.18_10_22	36.0	50.0	114.0	179.0	123.0	169.0	788.0	301.0	213.0
metabat2.spades.18_10_23	4.0	9.0	9.0	25.0	34.0	16.0	139.0	47.0	39.0
metabat2.spades.18_10_24	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
metabat2.spades.18_10_25	4.0	0.0	0.0	4.0	0.0	1.0	1.0	8.0	0.0
metabat2.spades.18_10_26	0.0	0.0	1.0	28.0	2.0	2.0	12.0	5.0	0.0
metabat2.spades.18_10_27	27.0	12.0	17.0	280.0	32.0	17.0	138.0	108.0	25.0
metabat2.spades.18_10_28	4.0	3.0	10.0	87.0	18.0	11.0	53.0	37.0	18.0
metabat2.spades.18_10_29	11.0	14.0	39.0	212.0	84.0	30.0	179.0	109.0	57.0
metabat2.spades.18_10_3	1.0	1.0	2.0	10.0	4.0	5.0	54.0	16.0	23.0
metabat2.spades.18_10_30	10.0	3.0	7.0	49.0	29.0	11.0	69.0	32.0	11.0
metabat2.spades.18_10_31	29.0	16.0	50.0	125.0	114.0	58.0	210.0	167.0	70.0
metabat2.spades.18_10_32	6.0	7.0	6.0	19.0	36.0	17.0	43.0	28.0	14.0
metabat2.spades.18_10_33	7.0	8.0	14.0	36.0	61.0	27.0	103.0	45.0	21.0
metabat2.spades.18_10_34	5.0	8.0	17.0	47.0	44.0	20.0	128.0	51.0	47.0
metabat2.spades.18_10_35	6.0	7.0	3.0	28.0	18.0	6.0	64.0	21.0	10.0
metabat2.spades.18_10_36	1.0	12.0	10.0	61.0	28.0	9.0	95.0	28.0	26.0
metabat2.spades.18_10_37	33.0	7.0	20.0	179.0	71.0	37.0	244.0	55.0	49.0
metabat2.spades.18_10_38	43.0	27.0	39.0	231.0	105.0	43.0	274.0	128.0	78.0
metabat2.spades.18_10_39	25.0	15.0	16.0	105.0	54.0	23.0	135.0	60.0	34.0
metabat2.spades.18_10_4	7.0	8.0	21.0	42.0	29.0	13.0	94.0	64.0	15.0
metabat2.spades.18_10_40	34.0	23.0	45.0	206.0	75.0	38.0	229.0	130.0	61.0
metabat2.spades.18_10_41	59.0	66.0	70.0	477.0	151.0	98.0	376.0	351.0	94.0
