	G15	G16	G17	G18	G19	G20	G21	G22	G23
vamb.megahit.295_100_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_100_2	8.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
vamb.megahit.295_100_3	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_100_4	0.0	0.0	1.0	5.0	4.0	0.0	0.0	0.0	0.0
vamb.megahit.295_100_5	2.0	0.0	4.0	4.0	1.0	1.0	0.0	0.0	0.0
vamb.megahit.295_100_6	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_100_7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_100_8	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_100_9	0.0	5.0	5.0	6.0	1.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_1	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_10	0.0	3.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0
vamb.megahit.295_101_11	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_12	9.0	3.0	5.0	5.0	1.0	1.0	0.0	0.0	0.0
vamb.megahit.295_101_13	9.0	7.0	3.0	1.0	3.0	0.0	0.0	1.0	1.0
vamb.megahit.295_101_14	13.0	2.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_15	2.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
vamb.megahit.295_101_16	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_17	4.0	1.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0
vamb.megahit.295_101_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_19	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
vamb.megahit.295_101_2	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_20	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
vamb.megahit.295_101_21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_22	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_23	3.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_29	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0
vamb.megahit.295_101_3	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_34	3.0	4.0	4.0	3.0	1.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_35	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_36	0.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_5	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
vamb.megahit.295_101_6	1.0	3.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_7	1.0	0.0	5.0	1.0	1.0	1.0	0.0	2.0	0.0
vamb.megahit.295_101_8	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_101_9	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
vamb.megahit.295_102_1	1.0	1.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0
vamb.megahit.295_102_10	7.0	1.0	3.0	8.0	2.0	0.0	0.0	1.0	0.0
vamb.megahit.295_102_11	1.0	1.0	1.0	4.0	0.0	1.0	0.0	0.0	0.0
vamb.megahit.295_102_2	2.0	5.0	3.0	3.0	1.0	1.0	0.0	0.0	0.0
vamb.megahit.295_102_3	5.0	5.0	3.0	2.0	1.0	0.0	0.0	0.0	0.0
vamb.megahit.295_102_4	7.0	7.0	9.0	2.0	1.0	0.0	0.0	0.0	0.0
vamb.megahit.295_102_5	4.0	6.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_102_6	6.0	2.0	3.0	8.0	1.0	1.0	0.0	0.0	0.0
vamb.megahit.295_102_7	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
vamb.megahit.295_102_8	3.0	6.0	3.0	3.0	3.0	0.0	2.0	0.0	0.0
vamb.megahit.295_102_9	0.0	1.0	3.0	1.0	4.0	0.0	0.0	0.0	0.0
vamb.megahit.295_103_1	7.0	8.0	4.0	4.0	1.0	3.0	1.0	0.0	0.0
vamb.megahit.295_103_10	3.0	0.0	3.0	1.0	1.0	1.0	0.0	0.0	0.0
vamb.megahit.295_103_11	7.0	1.0	3.0	3.0	4.0	0.0	0.0	0.0	0.0
vamb.megahit.295_103_12	2.0	6.0	5.0	6.0	1.0	1.0	0.0	0.0	0.0
vamb.megahit.295_103_13	14.0	8.0	8.0	8.0	1.0	0.0	0.0	0.0	0.0
vamb.megahit.295_103_14	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_103_15	1.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
vamb.megahit.295_103_16	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
vamb.megahit.295_103_17	1.0	1.0	1.0	13.0	1.0	0.0	0.0	0.0	0.0
vamb.megahit.295_103_18	5.0	8.0	8.0	7.0	1.0	6.0	0.0	0.0	0.0
vamb.megahit.295_103_19	24.0	34.0	28.0	10.0	11.0	3.0	1.0	0.0	0.0
vamb.megahit.295_103_2	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
vamb.megahit.295_103_20	44.0	39.0	61.0	23.0	10.0	15.0	2.0	0.0	5.0
vamb.megahit.295_103_21	0.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_103_22	22.0	29.0	33.0	16.0	3.0	6.0	0.0	0.0	0.0
vamb.megahit.295_103_23	8.0	1.0	11.0	1.0	2.0	1.0	0.0	0.0	0.0
vamb.megahit.295_103_24	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0
vamb.megahit.295_103_25	13.0	16.0	20.0	21.0	5.0	5.0	1.0	0.0	2.0
vamb.megahit.295_103_26	4.0	8.0	6.0	3.0	3.0	3.0	3.0	0.0	1.0
vamb.megahit.295_103_27	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_103_28	0.0	6.0	4.0	6.0	2.0	0.0	0.0	0.0	0.0
vamb.megahit.295_103_29	3.0	3.0	6.0	2.0	2.0	2.0	0.0	0.0	1.0
vamb.megahit.295_103_3	3.0	4.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_103_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_103_31	1.0	1.0	2.0	2.0	3.0	1.0	0.0	0.0	0.0
vamb.megahit.295_103_32	12.0	8.0	3.0	2.0	0.0	0.0	1.0	0.0	1.0
vamb.megahit.295_103_33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_103_34	3.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.295_103_35	2.0	1.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0
vamb.megahit.295_103_36	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
vamb.megahit.295_103_37	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
