	G15	G16	G17	G18	G19	G20	G21	G22	G23
maxbin2.spades.001_1_1	159.0	112.0	223.0	51.0	40.0	44.0	19.0	79.0	36.0
maxbin2.spades.001_1_10	175.0	120.0	109.0	36.0	27.0	21.0	20.0	438.0	19.0
maxbin2.spades.001_1_100	3.0	11.0	0.0	4.0	2.0	2.0	6.0	93.0	1.0
maxbin2.spades.001_1_1000	85.0	119.0	114.0	41.0	27.0	32.0	12.0	73.0	13.0
maxbin2.spades.001_1_1001	911.0	854.0	1308.0	371.0	209.0	312.0	213.0	307.0	162.0
maxbin2.spades.001_1_1002	1069.0	1115.0	1936.0	653.0	341.0	442.0	352.0	306.0	255.0
maxbin2.spades.001_1_1003	1149.0	1151.0	2039.0	585.0	326.0	363.0	296.0	257.0	228.0
maxbin2.spades.001_1_1004	1193.0	2117.0	2890.0	891.0	531.0	553.0	354.0	367.0	307.0
maxbin2.spades.001_1_1005	640.0	736.0	1262.0	420.0	312.0	383.0	223.0	166.0	222.0
maxbin2.spades.001_1_1006	537.0	559.0	1226.0	400.0	345.0	383.0	303.0	294.0	294.0
maxbin2.spades.001_1_1007	387.0	657.0	1127.0	340.0	296.0	365.0	237.0	223.0	243.0
maxbin2.spades.001_1_1008	848.0	1376.0	2473.0	957.0	749.0	681.0	493.0	566.0	523.0
maxbin2.spades.001_1_1009	387.0	407.0	896.0	372.0	419.0	449.0	286.0	252.0	267.0
maxbin2.spades.001_1_101	1.0	12.0	2.0	7.0	1.0	0.0	8.0	80.0	0.0
maxbin2.spades.001_1_1010	5.0	6.0	4.0	1.0	2.0	9.0	3.0	199.0	0.0
maxbin2.spades.001_1_1011	176.0	72.0	148.0	71.0	56.0	60.0	47.0	194.0	34.0
maxbin2.spades.001_1_1012	224.0	112.0	205.0	100.0	92.0	94.0	66.0	145.0	56.0
maxbin2.spades.001_1_1013	11.0	19.0	39.0	24.0	10.0	14.0	12.0	125.0	8.0
maxbin2.spades.001_1_1014	1947.0	3386.0	7940.0	1669.0	2187.0	2796.0	1816.0	1628.0	2058.0
maxbin2.spades.001_1_1015	13.0	67.0	15.0	12.0	6.0	4.0	10.0	282.0	1.0
maxbin2.spades.001_1_1016	0.0	7.0	0.0	1.0	1.0	1.0	3.0	7.0	0.0
maxbin2.spades.001_1_1017	36.0	124.0	38.0	15.0	20.0	16.0	22.0	89.0	7.0
maxbin2.spades.001_1_1018	85.0	202.0	164.0	41.0	44.0	40.0	51.0	161.0	25.0
maxbin2.spades.001_1_1019	55.0	151.0	95.0	48.0	40.0	35.0	23.0	51.0	26.0
maxbin2.spades.001_1_102	6.0	23.0	12.0	15.0	4.0	9.0	11.0	126.0	3.0
maxbin2.spades.001_1_1020	49.0	103.0	75.0	27.0	21.0	19.0	14.0	50.0	20.0
maxbin2.spades.001_1_1021	79.0	176.0	128.0	58.0	43.0	39.0	33.0	321.0	29.0
maxbin2.spades.001_1_1022	3.0	12.0	10.0	1.0	10.0	3.0	1.0	14.0	2.0
maxbin2.spades.001_1_1023	6.0	23.0	25.0	7.0	9.0	4.0	4.0	12.0	4.0
maxbin2.spades.001_1_1024	4.0	15.0	18.0	7.0	6.0	1.0	2.0	7.0	1.0
maxbin2.spades.001_1_1025	5.0	18.0	10.0	5.0	10.0	9.0	5.0	23.0	7.0
maxbin2.spades.001_1_1026	94.0	271.0	282.0	98.0	64.0	78.0	47.0	265.0	48.0
maxbin2.spades.001_1_1027	13.0	12.0	31.0	11.0	10.0	6.0	4.0	10.0	5.0
maxbin2.spades.001_1_1028	21.0	63.0	30.0	10.0	18.0	8.0	3.0	11.0	4.0
maxbin2.spades.001_1_1029	72.0	176.0	124.0	37.0	35.0	20.0	13.0	38.0	14.0
maxbin2.spades.001_1_103	0.0	3.0	3.0	0.0	3.0	1.0	0.0	59.0	0.0
maxbin2.spades.001_1_1030	36.0	71.0	47.0	10.0	15.0	13.0	13.0	20.0	7.0
maxbin2.spades.001_1_1031	151.0	318.0	201.0	48.0	71.0	56.0	41.0	42.0	38.0
maxbin2.spades.001_1_1032	40.0	127.0	47.0	17.0	16.0	10.0	18.0	80.0	9.0
maxbin2.spades.001_1_1033	176.0	168.0	255.0	75.0	120.0	104.0	70.0	359.0	76.0
maxbin2.spades.001_1_1034	605.0	505.0	707.0	238.0	306.0	350.0	249.0	356.0	262.0
maxbin2.spades.001_1_1035	228.0	274.0	390.0	102.0	121.0	115.0	57.0	134.0	78.0
maxbin2.spades.001_1_1036	1541.0	658.0	1730.0	1096.0	857.0	896.0	675.0	853.0	683.0
maxbin2.spades.001_1_1037	319.0	460.0	400.0	221.0	209.0	233.0	192.0	377.0	197.0
maxbin2.spades.001_1_1038	162.0	189.0	306.0	147.0	129.0	149.0	116.0	173.0	86.0
maxbin2.spades.001_1_1039	165.0	224.0	345.0	189.0	171.0	163.0	92.0	191.0	121.0
maxbin2.spades.001_1_104	0.0	1.0	0.0	2.0	0.0	0.0	1.0	35.0	0.0
maxbin2.spades.001_1_1040	59.0	131.0	167.0	51.0	52.0	82.0	51.0	109.0	43.0
maxbin2.spades.001_1_1041	73.0	93.0	180.0	44.0	62.0	62.0	55.0	63.0	45.0
maxbin2.spades.001_1_1042	1018.0	1953.0	1243.0	132.0	429.0	460.0	307.0	379.0	421.0
maxbin2.spades.001_1_1043	372.0	2116.0	579.0	188.0	245.0	198.0	144.0	245.0	124.0
maxbin2.spades.001_1_1044	300.0	469.0	235.0	64.0	109.0	82.0	60.0	124.0	73.0
maxbin2.spades.001_1_1045	1182.0	2779.0	1699.0	78.0	458.0	189.0	144.0	338.0	203.0
maxbin2.spades.001_1_1046	180.0	640.0	113.0	20.0	122.0	41.0	30.0	92.0	26.0
maxbin2.spades.001_1_1047	325.0	448.0	246.0	11.0	123.0	45.0	47.0	122.0	53.0
maxbin2.spades.001_1_1048	33.0	31.0	49.0	3.0	14.0	25.0	21.0	150.0	13.0
maxbin2.spades.001_1_1049	882.0	1248.0	1117.0	322.0	358.0	407.0	325.0	526.0	349.0
maxbin2.spades.001_1_105	34.0	61.0	65.0	40.0	15.0	24.0	49.0	251.0	10.0
maxbin2.spades.001_1_1050	671.0	839.0	889.0	461.0	516.0	521.0	398.0	406.0	370.0
maxbin2.spades.001_1_1051	18.0	20.0	24.0	13.0	8.0	8.0	6.0	13.0	11.0
maxbin2.spades.001_1_1052	879.0	638.0	853.0	487.0	318.0	359.0	268.0	253.0	216.0
maxbin2.spades.001_1_1053	52.0	37.0	65.0	32.0	26.0	27.0	31.0	85.0	28.0
maxbin2.spades.001_1_1054	250.0	557.0	228.0	219.0	209.0	201.0	158.0	191.0	150.0
maxbin2.spades.001_1_1055	303.0	327.0	258.0	157.0	152.0	176.0	138.0	183.0	167.0
maxbin2.spades.001_1_1056	283.0	419.0	309.0	377.0	438.0	452.0	388.0	307.0	342.0
maxbin2.spades.001_1_1057	322.0	274.0	442.0	254.0	198.0	271.0	163.0	250.0	173.0
maxbin2.spades.001_1_1058	1307.0	2225.0	2106.0	1337.0	1111.0	1042.0	750.0	1346.0	687.0
maxbin2.spades.001_1_1059	7509.0	9830.0	5216.0	5223.0	8440.0	6498.0	6249.0	7598.0	5713.0
maxbin2.spades.001_1_106	879.0	780.0	2102.0	830.0	1141.0	991.0	531.0	583.0	677.0
