	G15	G16	G17	G18	G19	G20	G21	G22	G23
vamb.spades.6_10_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.6_10_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
vamb.spades.6_10_100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
vamb.spades.6_10_101	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.6_10_102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
vamb.spades.6_10_103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
vamb.spades.6_10_104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
vamb.spades.6_10_105	1.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	6.0
vamb.spades.6_10_106	30.0	0.0	3.0	6.0	0.0	0.0	114.0	0.0	121.0
vamb.spades.6_10_107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.6_10_108	1.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	1.0
vamb.spades.6_10_109	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0
vamb.spades.6_10_11	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0
vamb.spades.6_10_110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
vamb.spades.6_10_111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
vamb.spades.6_10_112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.6_10_113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.6_10_114	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.6_10_115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.6_10_116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
vamb.spades.6_10_117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.6_10_118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.6_10_119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
vamb.spades.6_10_12	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0
vamb.spades.6_10_120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
vamb.spades.6_10_121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.6_10_122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.6_10_123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.6_10_124	3.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	11.0
vamb.spades.6_10_125	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	8.0
vamb.spades.6_10_126	0.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	1.0
vamb.spades.6_10_127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
vamb.spades.6_10_128	1.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	4.0
vamb.spades.6_10_129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
vamb.spades.6_10_13	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
vamb.spades.6_10_130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.6_10_131	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
vamb.spades.6_10_132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.6_10_133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
vamb.spades.6_10_134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
vamb.spades.6_10_135	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0
vamb.spades.6_10_136	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.6_10_137	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
vamb.spades.6_10_138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.6_10_139	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	7.0
vamb.spades.6_10_14	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.6_10_140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.6_10_141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
vamb.spades.6_10_142	3.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0
vamb.spades.6_10_143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0
