	G15	G16	G17	G18	G19	G20	G21	G22	G23
vamb.spades.298_100_1	3.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_100_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_100_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_100_2	1.0	0.0	12.0	0.0	0.0	0.0	1.0	0.0	0.0
vamb.spades.298_100_3	52.0	1.0	176.0	0.0	0.0	0.0	4.0	11.0	7.0
vamb.spades.298_100_4	15.0	0.0	49.0	0.0	0.0	0.0	2.0	2.0	1.0
vamb.spades.298_100_5	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_100_6	33.0	0.0	113.0	0.0	0.0	0.0	3.0	9.0	4.0
vamb.spades.298_100_7	2.0	0.0	31.0	0.0	0.0	0.0	4.0	5.0	1.0
vamb.spades.298_100_8	4.0	0.0	23.0	0.0	0.0	0.0	1.0	0.0	0.0
vamb.spades.298_100_9	3.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
vamb.spades.298_101_1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
vamb.spades.298_102_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_102_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_102_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_103_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_103_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_103_3	3.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	2.0
vamb.spades.298_103_4	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0
vamb.spades.298_103_5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_103_6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_104_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_104_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_104_3	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0
vamb.spades.298_104_4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_104_5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_104_6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_105_1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_105_2	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
vamb.spades.298_105_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.298_105_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
