	G15	G16	G17	G18	G19	G20	G21	G22	G23
vamb.spades.286_10_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_10_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_10_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_10_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
vamb.spades.286_10_13	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0
vamb.spades.286_10_14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
vamb.spades.286_10_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_10_16	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_10_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_10_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_10_19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_10_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_10_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_10_21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
vamb.spades.286_10_22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_10_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_10_24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
vamb.spades.286_10_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_10_26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_10_27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
vamb.spades.286_10_28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_10_29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_10_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_10_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
vamb.spades.286_10_31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
vamb.spades.286_10_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_10_5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_10_6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_10_7	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0
vamb.spades.286_10_8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_10_9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
vamb.spades.286_11_1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
vamb.spades.286_11_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
vamb.spades.286_11_14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0
vamb.spades.286_11_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
vamb.spades.286_11_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_21	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_11_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_11_27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
vamb.spades.286_11_3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0
vamb.spades.286_11_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_11_31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_11_33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_34	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
vamb.spades.286_11_35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
vamb.spades.286_11_39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
vamb.spades.286_11_40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_11_5	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
vamb.spades.286_11_6	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
vamb.spades.286_11_7	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
vamb.spades.286_11_8	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
vamb.spades.286_11_9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_12_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_12_10	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_12_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_12_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_12_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_12_14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_12_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
vamb.spades.286_12_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_12_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_12_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_12_19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_12_2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
vamb.spades.286_12_20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_12_21	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
vamb.spades.286_12_22	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_12_23	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
vamb.spades.286_12_24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_12_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_12_26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
vamb.spades.286_12_27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_12_28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_12_29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_12_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_12_30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_12_31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_12_32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_12_33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_12_34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_12_35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_12_36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.286_12_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.286_12_5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
