	G15	G16	G17	G18	G19	G20	G21	G22	G23
metabat2.spades.25_10_1	17.0	0.0	0.0	0.0	2.0	1.0	0.0	11.0	0.0
metabat2.spades.25_10_10	6.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
metabat2.spades.25_10_100	2.0	0.0	1.0	9.0	17.0	12.0	8.0	61.0	0.0
metabat2.spades.25_10_101	0.0	0.0	1.0	3.0	3.0	4.0	0.0	17.0	0.0
metabat2.spades.25_10_102	12.0	3.0	1.0	27.0	17.0	18.0	23.0	71.0	1.0
metabat2.spades.25_10_11	21.0	2.0	0.0	16.0	20.0	21.0	37.0	47.0	0.0
metabat2.spades.25_10_12	13.0	3.0	2.0	7.0	1.0	7.0	7.0	14.0	0.0
metabat2.spades.25_10_13	9.0	5.0	2.0	30.0	17.0	8.0	22.0	58.0	0.0
metabat2.spades.25_10_14	6.0	0.0	1.0	14.0	4.0	5.0	4.0	40.0	0.0
metabat2.spades.25_10_15	0.0	0.0	2.0	1.0	1.0	3.0	1.0	13.0	0.0
metabat2.spades.25_10_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0
metabat2.spades.25_10_17	0.0	0.0	0.0	2.0	2.0	4.0	2.0	12.0	0.0
metabat2.spades.25_10_18	0.0	0.0	0.0	4.0	0.0	0.0	0.0	21.0	0.0
metabat2.spades.25_10_19	3.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0
metabat2.spades.25_10_2	8.0	0.0	0.0	3.0	2.0	4.0	6.0	19.0	0.0
metabat2.spades.25_10_20	64.0	3.0	13.0	23.0	52.0	61.0	116.0	140.0	5.0
metabat2.spades.25_10_21	0.0	0.0	0.0	0.0	1.0	1.0	4.0	4.0	0.0
metabat2.spades.25_10_22	0.0	3.0	4.0	9.0	24.0	37.0	12.0	51.0	0.0
metabat2.spades.25_10_23	1.0	0.0	1.0	0.0	1.0	0.0	2.0	11.0	0.0
metabat2.spades.25_10_24	0.0	0.0	0.0	0.0	1.0	1.0	1.0	12.0	0.0
metabat2.spades.25_10_25	0.0	0.0	0.0	3.0	0.0	0.0	1.0	4.0	0.0
