	G15	G16	G17	G18	G19	G20	G21	G22	G23
vamb.megahit.39_10_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
vamb.megahit.39_10_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.39_10_11	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.39_10_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.megahit.39_10_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.39_10_14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.39_10_15	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.39_10_16	6.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
vamb.megahit.39_10_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.39_10_18	3.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
vamb.megahit.39_10_19	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.39_10_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.39_10_20	12.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.39_10_21	11.0	1.0	3.0	0.0	0.0	0.0	7.0	1.0	11.0
vamb.megahit.39_10_22	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0
vamb.megahit.39_10_23	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
vamb.megahit.39_10_24	29.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	1.0
vamb.megahit.39_10_25	22.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
vamb.megahit.39_10_26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
vamb.megahit.39_10_27	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.39_10_28	7.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	2.0
vamb.megahit.39_10_29	8.0	0.0	1.0	0.0	0.0	0.0	4.0	1.0	0.0
vamb.megahit.39_10_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.megahit.39_10_30	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
vamb.megahit.39_10_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.39_10_5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.39_10_6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
vamb.megahit.39_10_7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.39_10_8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.39_10_9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.39_11_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.39_11_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
