	G15	G16	G17	G18	G19	G20	G21	G22	G23
maxbin2.megahit.017_100_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
maxbin2.megahit.017_100_2	1.0	0.0	1.0	0.0	0.0	1.0	9.0	2.0	4.0
maxbin2.megahit.017_100_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
maxbin2.megahit.017_100_4	3.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0	1.0
maxbin2.megahit.017_100_5	0.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	0.0
maxbin2.megahit.017_100_6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
maxbin2.megahit.017_101_1	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
maxbin2.megahit.017_101_10	0.0	1.0	1.0	3.0	0.0	0.0	2.0	0.0	3.0
maxbin2.megahit.017_101_11	1.0	1.0	1.0	1.0	0.0	2.0	11.0	6.0	15.0
maxbin2.megahit.017_101_12	2.0	6.0	3.0	4.0	2.0	6.0	28.0	7.0	29.0
maxbin2.megahit.017_101_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
maxbin2.megahit.017_101_14	4.0	7.0	5.0	3.0	1.0	1.0	33.0	4.0	28.0
maxbin2.megahit.017_101_15	2.0	5.0	1.0	1.0	2.0	1.0	13.0	4.0	7.0
maxbin2.megahit.017_101_16	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	4.0
maxbin2.megahit.017_101_17	1.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	4.0
maxbin2.megahit.017_101_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
maxbin2.megahit.017_101_19	0.0	0.0	0.0	1.0	0.0	0.0	6.0	1.0	4.0
maxbin2.megahit.017_101_2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
maxbin2.megahit.017_101_20	3.0	5.0	2.0	0.0	0.0	1.0	15.0	2.0	8.0
maxbin2.megahit.017_101_21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
maxbin2.megahit.017_101_22	0.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0
maxbin2.megahit.017_101_23	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
maxbin2.megahit.017_101_24	0.0	3.0	2.0	1.0	3.0	2.0	6.0	0.0	2.0
maxbin2.megahit.017_101_25	5.0	9.0	2.0	0.0	4.0	3.0	19.0	8.0	6.0
maxbin2.megahit.017_101_26	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
maxbin2.megahit.017_101_27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
maxbin2.megahit.017_101_28	2.0	0.0	4.0	1.0	0.0	0.0	8.0	7.0	6.0
maxbin2.megahit.017_101_29	2.0	2.0	1.0	0.0	2.0	0.0	5.0	1.0	8.0
maxbin2.megahit.017_101_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
maxbin2.megahit.017_101_30	3.0	7.0	4.0	2.0	1.0	1.0	17.0	9.0	36.0
maxbin2.megahit.017_101_31	2.0	5.0	0.0	0.0	2.0	0.0	11.0	1.0	8.0
maxbin2.megahit.017_101_32	0.0	1.0	0.0	0.0	0.0	0.0	18.0	2.0	21.0
maxbin2.megahit.017_101_33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
