	G15	G16	G17	G18	G19	G20	G21	G22	G23
vamb.spades.222_10_1	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0
vamb.spades.222_10_10	119.0	20.0	26.0	35.0	8.0	44.0	74.0	39.0	43.0
vamb.spades.222_10_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
vamb.spades.222_10_3	2.0	2.0	0.0	0.0	9.0	5.0	1.0	4.0	0.0
vamb.spades.222_10_4	0.0	0.0	0.0	0.0	1.0	2.0	2.0	3.0	0.0
vamb.spades.222_10_5	8.0	1.0	0.0	0.0	3.0	3.0	6.0	13.0	1.0
vamb.spades.222_10_6	18.0	0.0	1.0	4.0	3.0	8.0	7.0	4.0	2.0
vamb.spades.222_10_7	4.0	2.0	4.0	2.0	1.0	3.0	3.0	3.0	5.0
vamb.spades.222_10_8	8.0	1.0	2.0	4.0	1.0	3.0	11.0	9.0	9.0
vamb.spades.222_10_9	7.0	1.0	0.0	3.0	0.0	2.0	7.0	6.0	10.0
vamb.spades.222_11_1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_11_10	25.0	9.0	2.0	11.0	2.0	9.0	10.0	14.0	7.0
vamb.spades.222_11_11	13.0	2.0	5.0	8.0	0.0	3.0	5.0	3.0	4.0
vamb.spades.222_11_12	23.0	1.0	8.0	15.0	0.0	6.0	2.0	5.0	4.0
vamb.spades.222_11_13	289.0	59.0	104.0	138.0	13.0	67.0	91.0	51.0	51.0
vamb.spades.222_11_14	19.0	0.0	3.0	0.0	0.0	0.0	5.0	9.0	0.0
vamb.spades.222_11_15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
vamb.spades.222_11_16	4.0	1.0	0.0	2.0	0.0	1.0	2.0	2.0	3.0
vamb.spades.222_11_17	29.0	3.0	4.0	6.0	4.0	4.0	15.0	8.0	10.0
vamb.spades.222_11_18	3.0	0.0	1.0	3.0	1.0	1.0	3.0	2.0	1.0
vamb.spades.222_11_19	3.0	5.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0
vamb.spades.222_11_2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_11_20	14.0	1.0	3.0	8.0	2.0	2.0	11.0	3.0	10.0
vamb.spades.222_11_3	14.0	2.0	1.0	8.0	1.0	1.0	12.0	10.0	3.0
vamb.spades.222_11_4	1.0	0.0	0.0	5.0	0.0	2.0	0.0	1.0	0.0
vamb.spades.222_11_5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
vamb.spades.222_11_6	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
vamb.spades.222_11_7	5.0	0.0	3.0	1.0	1.0	0.0	1.0	3.0	0.0
vamb.spades.222_11_8	8.0	0.0	8.0	2.0	0.0	4.0	8.0	2.0	2.0
vamb.spades.222_11_9	11.0	0.0	3.0	8.0	1.0	3.0	4.0	2.0	1.0
vamb.spades.222_12_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_12_10	0.0	1.0	1.0	5.0	0.0	4.0	1.0	0.0	1.0
vamb.spades.222_12_11	8.0	1.0	6.0	7.0	0.0	0.0	3.0	2.0	4.0
vamb.spades.222_12_12	15.0	2.0	1.0	5.0	0.0	2.0	11.0	6.0	6.0
vamb.spades.222_12_13	11.0	0.0	6.0	12.0	0.0	4.0	5.0	1.0	1.0
vamb.spades.222_12_14	2.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0
vamb.spades.222_12_15	5.0	2.0	3.0	2.0	0.0	5.0	3.0	1.0	0.0
vamb.spades.222_12_16	6.0	2.0	3.0	2.0	0.0	1.0	4.0	1.0	3.0
vamb.spades.222_12_2	3.0	0.0	0.0	1.0	0.0	0.0	7.0	5.0	6.0
vamb.spades.222_12_3	9.0	0.0	1.0	4.0	0.0	0.0	3.0	1.0	0.0
vamb.spades.222_12_4	4.0	0.0	1.0	4.0	0.0	2.0	2.0	5.0	1.0
vamb.spades.222_12_5	4.0	1.0	3.0	1.0	1.0	0.0	4.0	5.0	0.0
vamb.spades.222_12_6	3.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.222_12_7	7.0	0.0	3.0	8.0	0.0	3.0	3.0	4.0	0.0
vamb.spades.222_12_8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_12_9	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_1	5.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0
vamb.spades.222_13_10	3.0	1.0	4.0	4.0	1.0	1.0	0.0	4.0	2.0
vamb.spades.222_13_100	9.0	2.0	0.0	4.0	0.0	1.0	2.0	3.0	1.0
vamb.spades.222_13_101	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
vamb.spades.222_13_102	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_103	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_104	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.222_13_105	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_106	2.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0
vamb.spades.222_13_107	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_108	8.0	0.0	1.0	0.0	0.0	2.0	1.0	7.0	0.0
vamb.spades.222_13_109	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_11	11.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	2.0
vamb.spades.222_13_110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.spades.222_13_111	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_112	188.0	38.0	39.0	35.0	22.0	46.0	56.0	59.0	36.0
vamb.spades.222_13_113	13.0	0.0	3.0	7.0	0.0	5.0	4.0	2.0	5.0
vamb.spades.222_13_114	34.0	2.0	6.0	11.0	2.0	7.0	15.0	10.0	4.0
vamb.spades.222_13_115	3.0	0.0	0.0	4.0	1.0	1.0	1.0	3.0	4.0
vamb.spades.222_13_116	30.0	5.0	7.0	12.0	4.0	14.0	3.0	5.0	8.0
vamb.spades.222_13_117	2.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
vamb.spades.222_13_12	4.0	5.0	0.0	2.0	0.0	1.0	4.0	2.0	1.0
vamb.spades.222_13_13	4.0	1.0	2.0	1.0	0.0	0.0	5.0	1.0	0.0
vamb.spades.222_13_14	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_15	6.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_16	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_17	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
vamb.spades.222_13_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_19	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_2	6.0	2.0	0.0	3.0	1.0	0.0	1.0	3.0	3.0
vamb.spades.222_13_20	59.0	17.0	12.0	14.0	10.0	6.0	20.0	32.0	8.0
vamb.spades.222_13_21	7.0	1.0	6.0	10.0	1.0	1.0	0.0	0.0	0.0
vamb.spades.222_13_22	10.0	6.0	17.0	15.0	2.0	5.0	4.0	6.0	1.0
vamb.spades.222_13_23	7.0	2.0	2.0	5.0	1.0	0.0	0.0	5.0	0.0
vamb.spades.222_13_24	1.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0
vamb.spades.222_13_25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_26	64.0	11.0	22.0	12.0	10.0	11.0	12.0	24.0	2.0
vamb.spades.222_13_27	130.0	39.0	44.0	33.0	8.0	19.0	27.0	56.0	4.0
vamb.spades.222_13_28	17.0	4.0	0.0	7.0	4.0	1.0	4.0	7.0	0.0
vamb.spades.222_13_29	31.0	11.0	12.0	8.0	4.0	2.0	8.0	5.0	0.0
vamb.spades.222_13_3	6.0	0.0	8.0	10.0	1.0	3.0	3.0	6.0	3.0
vamb.spades.222_13_30	7.0	5.0	1.0	7.0	3.0	2.0	5.0	3.0	2.0
vamb.spades.222_13_31	9.0	6.0	5.0	9.0	5.0	5.0	7.0	7.0	4.0
vamb.spades.222_13_32	5.0	2.0	1.0	11.0	2.0	0.0	2.0	0.0	4.0
vamb.spades.222_13_33	5.0	1.0	0.0	6.0	1.0	2.0	1.0	2.0	2.0
vamb.spades.222_13_34	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0
vamb.spades.222_13_35	36.0	14.0	9.0	32.0	9.0	24.0	62.0	59.0	42.0
vamb.spades.222_13_36	1.0	0.0	2.0	0.0	1.0	0.0	5.0	1.0	1.0
vamb.spades.222_13_37	7.0	0.0	0.0	1.0	2.0	1.0	4.0	10.0	3.0
vamb.spades.222_13_38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_4	1.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	3.0
vamb.spades.222_13_40	13.0	4.0	6.0	9.0	1.0	3.0	4.0	3.0	1.0
vamb.spades.222_13_41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_43	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_44	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_46	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
vamb.spades.222_13_47	4.0	2.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_48	3.0	1.0	0.0	3.0	0.0	0.0	2.0	1.0	0.0
vamb.spades.222_13_49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.spades.222_13_5	5.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
vamb.spades.222_13_50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
vamb.spades.222_13_51	10.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0
vamb.spades.222_13_52	13.0	2.0	3.0	6.0	0.0	3.0	5.0	10.0	4.0
vamb.spades.222_13_53	6.0	6.0	0.0	2.0	0.0	0.0	3.0	2.0	1.0
vamb.spades.222_13_54	11.0	0.0	4.0	6.0	1.0	8.0	7.0	1.0	0.0
