	G15	G16	G17	G18	G19	G20	G21	G22	G23
vamb.megahit.488_10_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_10	0.0	0.0	5.0	17.0	8.0	6.0	4.0	0.0	1.0
vamb.megahit.488_10_11	0.0	5.0	7.0	12.0	3.0	1.0	2.0	1.0	0.0
vamb.megahit.488_10_12	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_14	1.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0
vamb.megahit.488_10_15	1.0	2.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0
vamb.megahit.488_10_16	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_18	1.0	1.0	5.0	11.0	2.0	4.0	2.0	7.0	1.0
vamb.megahit.488_10_19	0.0	1.0	3.0	6.0	8.0	2.0	0.0	1.0	3.0
vamb.megahit.488_10_2	0.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0
vamb.megahit.488_10_20	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
vamb.megahit.488_10_21	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0
vamb.megahit.488_10_22	4.0	20.0	4.0	1.0	4.0	4.0	15.0	14.0	3.0
vamb.megahit.488_10_23	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
vamb.megahit.488_10_24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_25	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_26	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0
vamb.megahit.488_10_27	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0
vamb.megahit.488_10_28	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_3	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_30	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0
vamb.megahit.488_10_31	1.0	0.0	0.0	4.0	5.0	1.0	2.0	2.0	0.0
vamb.megahit.488_10_32	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
vamb.megahit.488_10_33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_34	0.0	1.0	0.0	1.0	4.0	0.0	0.0	1.0	0.0
vamb.megahit.488_10_35	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0
vamb.megahit.488_10_36	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0
vamb.megahit.488_10_37	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
vamb.megahit.488_10_38	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_4	1.0	1.0	0.0	3.0	7.0	3.0	1.0	2.0	0.0
vamb.megahit.488_10_40	0.0	0.0	1.0	1.0	0.0	2.0	1.0	5.0	0.0
vamb.megahit.488_10_41	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_42	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
vamb.megahit.488_10_43	0.0	1.0	0.0	2.0	2.0	0.0	0.0	1.0	1.0
vamb.megahit.488_10_44	0.0	0.0	2.0	5.0	1.0	2.0	1.0	0.0	0.0
vamb.megahit.488_10_45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_46	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_5	0.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0
vamb.megahit.488_10_50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.megahit.488_10_53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
vamb.megahit.488_10_54	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0
vamb.megahit.488_10_55	0.0	0.0	1.0	16.0	0.0	0.0	0.0	2.0	0.0
vamb.megahit.488_10_56	0.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0
vamb.megahit.488_10_57	1.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0
vamb.megahit.488_10_58	0.0	0.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0
