	G15	G16	G17	G18	G19	G20	G21	G22	G23
metabat2.megahit.33_10_1	4.0	2.0	1.0	5.0	5.0	0.0	19.0	7.0	5.0
metabat2.megahit.33_10_10	14.0	6.0	4.0	31.0	16.0	18.0	43.0	19.0	16.0
metabat2.megahit.33_10_11	243.0	245.0	73.0	396.0	236.0	67.0	335.0	468.0	113.0
metabat2.megahit.33_10_12	3.0	0.0	1.0	4.0	2.0	3.0	5.0	6.0	3.0
metabat2.megahit.33_10_13	170.0	236.0	192.0	98.0	116.0	39.0	304.0	199.0	110.0
metabat2.megahit.33_10_14	0.0	0.0	0.0	1.0	2.0	0.0	1.0	5.0	0.0
metabat2.megahit.33_10_15	70.0	85.0	50.0	98.0	87.0	38.0	113.0	182.0	49.0
metabat2.megahit.33_10_16	11.0	19.0	7.0	26.0	16.0	16.0	29.0	18.0	16.0
metabat2.megahit.33_10_17	64.0	84.0	60.0	67.0	49.0	39.0	110.0	76.0	61.0
metabat2.megahit.33_10_18	95.0	90.0	55.0	77.0	74.0	41.0	158.0	119.0	63.0
metabat2.megahit.33_10_19	77.0	66.0	58.0	73.0	115.0	60.0	297.0	122.0	115.0
metabat2.megahit.33_10_2	0.0	0.0	0.0	2.0	2.0	3.0	10.0	5.0	5.0
metabat2.megahit.33_10_20	136.0	107.0	119.0	184.0	448.0	284.0	641.0	236.0	237.0
metabat2.megahit.33_10_21	159.0	144.0	102.0	90.0	86.0	66.0	194.0	194.0	94.0
metabat2.megahit.33_10_22	64.0	100.0	47.0	80.0	70.0	33.0	117.0	129.0	49.0
metabat2.megahit.33_10_23	39.0	37.0	23.0	34.0	36.0	28.0	66.0	49.0	21.0
metabat2.megahit.33_10_24	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
metabat2.megahit.33_10_25	5.0	7.0	4.0	10.0	6.0	0.0	15.0	17.0	4.0
metabat2.megahit.33_10_26	18.0	19.0	7.0	42.0	26.0	11.0	34.0	21.0	5.0
metabat2.megahit.33_10_27	40.0	34.0	10.0	74.0	40.0	9.0	44.0	59.0	23.0
metabat2.megahit.33_10_28	0.0	3.0	1.0	7.0	3.0	2.0	9.0	10.0	2.0
metabat2.megahit.33_10_29	15.0	11.0	9.0	14.0	8.0	12.0	30.0	25.0	1.0
metabat2.megahit.33_10_3	16.0	39.0	7.0	49.0	32.0	20.0	64.0	61.0	26.0
metabat2.megahit.33_10_30	10.0	6.0	6.0	22.0	9.0	5.0	22.0	16.0	8.0
metabat2.megahit.33_10_31	216.0	158.0	48.0	51.0	94.0	13.0	96.0	74.0	23.0
metabat2.megahit.33_10_32	111.0	91.0	29.0	94.0	49.0	17.0	59.0	100.0	18.0
metabat2.megahit.33_10_33	134.0	124.0	23.0	70.0	85.0	14.0	73.0	89.0	26.0
metabat2.megahit.33_10_34	3.0	2.0	0.0	7.0	2.0	1.0	0.0	3.0	0.0
metabat2.megahit.33_10_35	32.0	36.0	26.0	62.0	26.0	20.0	85.0	56.0	28.0
metabat2.megahit.33_10_36	31.0	52.0	28.0	59.0	32.0	10.0	46.0	53.0	19.0
metabat2.megahit.33_10_37	60.0	107.0	49.0	163.0	75.0	43.0	95.0	85.0	37.0
metabat2.megahit.33_10_38	23.0	57.0	30.0	116.0	50.0	19.0	53.0	52.0	16.0
metabat2.megahit.33_10_39	9.0	15.0	10.0	40.0	27.0	15.0	64.0	10.0	11.0
metabat2.megahit.33_10_4	51.0	43.0	27.0	52.0	49.0	30.0	68.0	74.0	23.0
metabat2.megahit.33_10_40	55.0	84.0	39.0	222.0	101.0	40.0	109.0	104.0	43.0
metabat2.megahit.33_10_41	43.0	64.0	43.0	188.0	112.0	34.0	97.0	97.0	37.0
metabat2.megahit.33_10_42	7.0	16.0	8.0	37.0	28.0	8.0	23.0	18.0	5.0
metabat2.megahit.33_10_43	401.0	205.0	135.0	259.0	180.0	77.0	295.0	494.0	153.0
metabat2.megahit.33_10_44	127.0	61.0	47.0	125.0	79.0	53.0	160.0	300.0	78.0
metabat2.megahit.33_10_45	0.0	0.0	0.0	1.0	0.0	2.0	4.0	3.0	4.0
metabat2.megahit.33_10_46	72.0	33.0	33.0	136.0	61.0	55.0	142.0	189.0	68.0
metabat2.megahit.33_10_47	102.0	71.0	52.0	154.0	111.0	71.0	238.0	161.0	85.0
metabat2.megahit.33_10_48	129.0	142.0	93.0	290.0	159.0	122.0	358.0	302.0	142.0
metabat2.megahit.33_10_49	27.0	21.0	9.0	17.0	26.0	5.0	18.0	14.0	11.0
metabat2.megahit.33_10_5	25.0	26.0	30.0	33.0	29.0	12.0	47.0	54.0	20.0
metabat2.megahit.33_10_50	5.0	3.0	1.0	1.0	4.0	0.0	1.0	2.0	1.0
metabat2.megahit.33_10_51	73.0	148.0	63.0	63.0	58.0	31.0	68.0	88.0	27.0
metabat2.megahit.33_10_6	117.0	278.0	120.0	269.0	241.0	55.0	275.0	379.0	85.0
metabat2.megahit.33_10_7	182.0	360.0	189.0	440.0	408.0	129.0	526.0	583.0	152.0
metabat2.megahit.33_10_8	114.0	156.0	156.0	224.0	237.0	77.0	319.0	272.0	98.0
